GEOID10,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
560010103,289.0,93.0,178.0,294,114,174
560010104,142.0,12.0,123.0,134,29,104
560010515,1784.0,522.0,1002.0,1708,742,915
560010121,1708.2,470.0,1056.2,1671,612,1015
560010122,413.0,87.0,286.0,354,130,215
560030101,816.0,102.0,624.0,787,192,565
560030201,263.9,13.0,209.0,285,33,247
560030301,88.0,2.0,69.0,111,6,102
560030501,60.0,3.0,51.0,57,4,52
560031101,1073.0,185.0,779.0,1110,327,756
560031601,270.0,38.0,208.0,273,68,199
560032001,1484.0,155.0,1114.0,1441,242,1173
560032301,329.0,29.0,259.0,319,77,240
560032501,111.0,14.0,82.0,110,30,78
560030601,100.0,13.0,82.0,106,23,80
560030801,156.0,15.0,132.0,172,32,135
560032201,469.9,25.0,379.0,404,52,347
560032601,96.0,10.0,79.0,95,22,71
560050201,577.0,21.8,524.8,390,68,318
560050103,256.3,43.5,189.4,267,66,199
560050117,990.7,68.8,860.7,1049,215,820
560050101,274.8,30.9,221.6,285,66,215
560050107,340.8,24.1,289.8,366,73,288
560050104,327.8,38.3,261.7,448,83,357
560050102,317.6,39.2,254.6,236,81,152
560050118,639.5,60.5,530.4,424,90,329
560050501,776.0,35.2,689.6,803,128,668
560050108,470.8,39.0,400.1,320,63,248
560050105,497.3,48.1,420.9,631,158,460
560051901,689.1,35.1,610.7,374,53,314
560050121,782.8,43.0,679.0,485,95,379
560050120,359.9,26.4,309.4,339,59,275
560050109,409.6,34.7,351.3,381,82,294
560051801,837.7,42.8,750.6,676,113,555
560050114,988.2,111.7,812.8,872,193,662
560050901,922.7,45.1,834.4,680,78,594
560050801,138.8,5.4,127.3,123,10,113
560050601,248.5,13.2,220.2,283,43,232
560050113,247.9,22.5,207.2,243,45,191
560050701,157.2,11.6,144.7,154,24,128
560050110,366.0,28.0,314.9,543,88,444
560050111,252.9,25.1,217.4,301,56,243
560050115,285.9,34.2,229.6,367,80,284
560050116,1332.0,123.4,1124.9,862,188,659
