GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_tot,Wh_2018_tot,His_2018_tot,BlC_2018_tot,NatC_2018_tot,AsnC_2018_tot,PacC_2018_tot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_tot,Wh_2019_tot,His_2019_tot,BlC_2019_tot,NatC_2019_tot,AsnC_2019_tot,PacC_2019_tot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap
53029000302,1652,1518,27,20,24,55,9,1350,1274,21,5,17,31,2,1930,1849,23,0,3,51,5,1529,1493,6,0,2,22,0,1754,1648,26,11,6,60,4,1447,1394,7,6,6,30,0
53029000304,1694,1590,33,15,26,35,8,1437,1357,26,6,16,27,2,1674,1569,33,0,12,47,7,1389,1325,6,0,12,31,3,1698,1571,36,17,6,61,5,1435,1363,6,9,6,43,3
53029000170,1457,1348,42,9,26,37,8,1216,1141,28,3,17,25,5,1773,1691,72,0,11,0,0,1522,1459,49,0,11,0,0,1557,1463,65,0,17,11,0,1393,1306,61,0,16,13,0
53029000169,1657,1519,52,18,40,36,5,1347,1247,37,10,29,29,3,1569,1385,97,2,42,45,0,1347,1202,70,6,46,29,0,1627,1447,55,2,49,75,0,1419,1262,54,6,50,61,0
53029000305,1329,1231,37,4,24,27,12,1077,1019,23,3,13,16,5,1544,1403,35,33,14,17,54,1248,1163,34,20,3,7,8,1688,1501,56,57,16,22,51,1351,1259,27,24,2,7,3
53029000301,1070,998,30,4,19,23,5,863,807,20,4,18,17,4,1200,1135,11,9,24,6,23,1028,976,11,6,22,3,9,1197,1136,18,18,6,6,19,1007,978,8,6,2,3,8
53031000709,1025,948,32,6,13,27,2,873,821,20,2,11,20,2,1128,1013,57,40,9,3,0,815,786,0,22,9,0,0,996,928,47,12,0,6,0,735,725,0,9,0,1,0
53031000710,594,542,15,5,8,14,3,508,473,10,2,6,9,2,635,589,24,20,4,3,0,469,454,0,9,4,0,0,581,548,21,7,0,4,0,437,427,0,7,0,2,0
53031000704,410,376,12,4,6,9,3,352,326,8,3,5,7,1,400,386,3,6,3,5,0,345,334,3,5,3,3,0,393,373,3,10,2,6,0,356,342,3,8,2,4,0
53031000102,410,371,13,6,18,8,0,338,307,11,3,16,6,0,379,344,10,0,0,17,0,313,283,10,0,0,13,0,424,389,5,0,0,23,0,352,322,5,0,0,20,0
53031000705,795,696,37,9,33,21,2,632,575,21,4,18,14,1,693,626,23,18,11,17,1,554,520,5,15,11,4,0,796,666,98,3,9,17,0,577,555,8,0,11,4,0
53031000706,1637,1441,75,20,55,44,11,1332,1209,44,12,39,28,6,1544,1406,66,33,36,18,8,1320,1222,41,17,37,3,0,1704,1542,77,30,22,17,1,1360,1269,60,8,22,3,0
53031000700,1167,1028,52,20,38,26,15,971,884,31,11,25,18,7,1157,1076,34,12,16,18,0,978,923,17,13,16,6,0,1265,1131,92,1,21,20,1,1013,977,8,3,21,6,0
53031000703,467,435,7,2,10,7,1,412,390,5,2,7,7,1,437,422,5,6,1,3,0,371,356,2,5,1,2,0,434,414,7,4,1,7,0,388,374,5,5,1,2,0
53031000701,367,344,9,5,10,8,3,326,306,6,5,8,8,2,387,378,5,0,4,4,0,366,356,4,1,5,4,0,368,346,7,15,0,5,0,357,338,5,7,1,4,0
53031000702,395,368,7,2,10,7,2,350,328,4,2,7,4,0,501,488,2,0,5,1,0,481,476,1,0,3,1,0,449,414,2,33,0,1,0,421,404,2,16,0,1,0
53041000050,1016,923,26,9,44,15,0,818,748,23,5,28,15,0,865,733,55,0,58,16,0,714,633,33,0,47,8,0,884,764,49,0,60,15,0,762,677,30,0,49,8,0
53041000001,1588,1470,46,6,32,25,5,1172,1111,25,3,16,13,1,1538,1460,21,35,12,2,0,1217,1178,17,8,13,2,0,1541,1464,24,35,13,2,0,1189,1146,17,10,13,3,0
53007000116,321,312,2,1,1,5,1,282,274,2,1,1,4,1,383,366,6,11,0,0,0,329,310,6,11,0,0,0,374,356,8,9,0,3,0,328,307,8,9,0,3,0
53007000115,111,103,0,0,2,6,0,94,91,0,0,2,1,0,132,124,2,4,0,1,1,112,107,2,3,0,0,0,131,124,2,3,0,2,1,114,108,2,3,0,1,0
53041000059,1042,930,61,8,34,10,0,797,737,30,4,19,7,0,1130,973,79,24,38,21,17,878,781,28,21,29,15,0,1141,967,78,29,36,29,18,890,778,30,26,26,23,0
53041000107,558,458,71,5,15,8,3,435,379,36,0,14,5,1,627,455,147,5,16,6,6,449,399,38,0,6,6,0,602,466,104,13,17,5,13,454,402,29,6,9,5,0
