GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag,Tot_2018_sen,Dem_2018_sen,Rep_2018_sen,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_gov,Dem_2016_gov,Rep_2016_gov,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen
3800139-01,113,39,70,102.9,19.3,83.2,103.7,32.4,70.9,108.5,19.2,81.0,108.4,12.0,93.5,108.9,10.1,95.1
3800139-02,1018,348,631,924.8,173.8,747.9,932.0,291.5,637.4,975.3,173.0,727.9,974.5,108.1,840.0,979.2,91.3,854.4
3800139-03,140,48,87,127.2,23.9,102.9,128.2,40.1,87.7,134.2,23.8,100.1,134.1,14.9,115.6,134.7,12.5,117.5
3800320-06,316,152,157,318.0,116.0,202.0,327.0,163.0,164.0,327.0,91.0,206.0,321.0,56.0,247.0,320.0,52.0,252.0
3800320-10,88,44,44,76.0,28.0,48.0,78.0,38.0,39.0,88.0,28.0,54.0,87.0,17.0,66.0,85.0,17.0,62.0
3800320-12,257,102,141,241.8,76.6,164.2,248.3,124.8,123.5,275.1,65.5,183.1,278.3,42.0,232.4,277.3,32.8,234.2
3800320-13,263,141,118,213.2,80.4,132.8,218.7,111.1,107.6,235.0,61.5,141.0,237.6,37.0,191.6,236.8,35.2,188.9
3800324-01,355,184,166,363.0,109.0,254.0,372.0,191.0,178.0,419.0,141.0,240.0,420.0,78.0,333.0,419.0,63.0,346.0
3800324-02,787,404,358,662.0,298.0,363.0,678.0,382.0,292.0,682.0,233.0,372.0,672.0,131.0,526.0,674.0,131.0,526.0
3800324-03,453,262,183,311.8,113.7,197.3,321.9,162.2,157.2,383.7,137.1,192.3,380.4,76.9,281.7,382.1,76.9,280.1
3800324-04,684,346,313,558.8,216.0,342.7,567.5,296.5,268.0,595.5,198.1,327.5,597.4,112.0,453.6,598.5,101.1,467.5
3800324-05,992,489,488,892.3,310.9,580.4,899.6,467.7,430.4,940.7,322.5,507.6,940.2,182.9,720.9,947.3,156.8,754.6
3800324-07,218,87,125,177.0,48.2,128.8,177.0,79.7,96.0,184.9,40.2,117.5,181.9,20.6,153.7,186.9,23.0,157.0
3800324-08,102,43,56,94.0,20.8,73.2,96.0,42.3,53.0,104.1,18.8,76.5,104.1,11.4,91.3,106.1,8.1,96.0
3800324-09,231,115,114,216.0,50.0,166.0,217.0,91.0,126.0,225.0,46.0,151.0,222.0,19.0,188.0,222.0,19.0,193.0
3800324-11,604,239,357,546.0,159.4,385.6,559.0,237.5,321.5,587.1,144.3,380.6,586.1,85.2,490.8,582.1,78.2,490.8
3800324-14,101,50,49,92.0,24.0,68.0,92.0,51.0,41.0,97.0,25.0,65.0,98.0,21.0,73.0,97.0,18.0,76.0
3800324-15,243,83,157,186.0,45.0,141.0,191.0,79.0,110.0,200.0,45.0,146.0,201.0,27.0,168.0,204.0,23.0,178.0
3800507-01,97,48,49,90.0,26.6,63.4,91.3,42.3,48.4,93.2,27.9,55.5,94.6,27.9,64.4,95.1,18.1,73.9
3800507-02,471,245,218,408.4,120.7,287.7,414.5,192.0,219.7,423.0,126.4,251.9,429.3,126.8,292.1,431.4,82.1,335.2
3800507-03,183,114,67,160.7,47.5,113.2,163.1,75.5,86.5,166.5,49.7,99.1,168.9,49.9,114.9,169.8,32.3,131.9
3800507-04,420,232,177,355.9,105.2,250.7,361.1,167.3,191.4,368.5,110.1,219.5,374.1,110.4,254.5,375.9,71.5,292.1
3800523-05,178,108,67,137.0,46.8,89.6,134.7,67.4,66.8,143.9,45.1,83.4,145.6,48.5,93.6,147.9,28.6,114.2
3800523-06,122,66,53,103.0,35.2,67.4,101.3,50.6,50.2,108.1,33.9,62.7,109.4,36.5,70.4,111.1,21.5,85.8
3800523-07,706,623,80,751.0,617.0,132.0,767.0,691.0,74.0,540.0,372.0,81.0,523.0,344.0,137.0,527.0,270.0,203.0
3800523-08,197,133,62,228.0,113.0,111.0,234.0,141.0,91.0,168.0,77.0,76.0,162.0,73.0,82.0,164.0,50.0,104.0
3800739-01,144,33,106,174.0,34.0,140.0,175.0,53.0,122.0,183.0,31.0,133.0,185.0,16.0,160.0,185.0,22.0,156.0
3800739-02,277,73,200,290.0,30.0,260.0,295.0,41.0,254.0,313.0,21.0,267.0,314.0,23.0,280.0,313.0,18.0,285.0
3800739-03,78,8,69,95.0,13.0,82.0,95.0,21.0,74.0,109.0,7.0,95.0,108.0,9.0,97.0,107.0,3.0,102.0
3800906-01,583,229,342,513.6,106.3,407.3,515.7,165.7,349.3,540.5,122.2,372.1,538.4,96.6,421.1,543.9,67.6,457.0
3800906-03,163,66,90,120.5,26.1,93.9,121.9,42.0,79.2,127.2,26.2,92.7,126.8,22.7,101.8,128.2,13.1,111.9
3800906-04,379,153,219,369.6,78.7,289.4,373.4,126.3,244.9,390.3,79.1,285.9,389.0,68.6,312.5,393.0,39.8,343.9
3800906-05,149,24,124,131.5,24.8,106.6,130.9,35.7,94.4,143.3,22.0,111.3,141.8,19.0,115.5,142.4,13.5,124.5
3800906-06,365,132,224,342.2,88.8,252.5,345.1,131.0,212.7,372.1,86.7,256.6,369.2,67.1,293.6,372.0,41.6,316.4
3800906-07,94,30,61,65.8,14.1,51.4,66.6,22.9,43.3,69.3,14.3,50.5,69.2,12.4,55.5,69.9,7.1,61.2
3800906-08,213,65,146,188.3,35.5,152.5,187.4,51.0,135.1,205.1,31.5,159.3,202.9,27.2,165.4,203.9,19.3,178.2
3800906-10,295,112,180,269.3,50.7,218.2,268.0,73.0,193.3,293.4,45.1,227.8,290.3,38.9,236.6,291.6,27.6,254.9
3800906-11,179,81,93,147.3,40.9,106.1,148.0,59.9,88.1,160.3,43.1,103.8,158.8,30.6,124.8,160.4,18.8,135.9
3800906-12,373,173,193,340.6,91.1,248.8,342.5,134.0,208.1,369.9,94.7,244.8,366.7,69.1,288.9,370.0,43.1,313.4
3800906-13,257,122,131,304.3,67.5,236.5,306.4,102.6,202.7,324.8,70.1,228.2,323.1,56.9,255.2,325.8,38.6,274.6
3800906-14,235,101,131,245.8,61.2,183.7,248.6,89.4,157.2,269.0,53.1,196.0,267.0,45.3,214.7,268.2,29.0,227.4
3800906-15,231,99,125,214.2,49.3,164.2,216.6,76.6,138.8,228.8,48.0,165.0,227.7,40.6,182.5,229.8,24.1,198.7
3801139-01,837,275,543,777.5,134.4,642.1,791.4,222.2,561.1,843.4,136.9,640.0,842.5,100.0,722.3,846.5,80.6,743.7
3801139-02,305,67,228,369.5,43.6,325.9,365.6,71.7,292.9,399.6,28.1,352.0,400.5,32.0,363.6,403.4,18.4,375.3
3801139-03,201,48,142,203.0,23.0,180.0,205.0,32.0,171.0,210.0,12.0,193.0,216.0,12.0,201.0,212.0,7.0,197.0
3801139-04,297,88,194,281.0,60.0,221.0,287.0,78.0,208.0,333.9,50.0,261.0,333.0,34.0,290.0,332.0,30.0,289.0
380132-01,53,10,41,55.0,3.0,52.0,58.0,11.0,47.0,55.0,6.0,48.0,56.0,6.0,50.0,57.0,5.0,51.0
380132-02,303,96,203,261.0,43.0,218.0,260.0,81.0,177.0,284.0,39.0,229.0,284.0,43.0,239.0,285.0,23.0,258.0
380132-03,258,78,174,302.0,38.0,264.0,301.0,57.0,243.0,357.0,31.0,314.0,350.0,32.0,311.0,356.1,13.0,340.0
380132-04,145,52,90,144.0,16.0,128.0,146.0,30.0,113.0,150.0,16.0,128.0,150.0,16.0,129.0,150.0,7.0,136.0
380132-05,116,25,89,121.0,15.0,106.0,122.0,23.0,99.0,130.0,13.0,115.0,130.0,18.0,110.0,131.0,10.0,119.0
380132-06,68,25,43,74.0,15.0,59.0,77.0,26.0,50.0,76.0,14.0,61.0,76.0,7.0,66.0,76.0,8.0,66.0
380158-04,187,63,119,220.8,45.8,174.2,224.2,64.5,158.5,234.4,35.7,182.2,231.9,26.4,195.5,233.5,21.2,201.8
380158-05,1733,476,1232,1854.0,358.7,1493.3,1874.2,509.0,1359.6,1958.4,296.3,1532.8,1941.5,210.0,1677.2,1945.0,185.6,1691.8
380158-06,2588,978,1564,4222.1,1148.4,3065.6,4319.3,1613.6,2666.2,4397.0,936.7,3084.9,4331.3,730.5,3451.8,4399.4,591.4,3611.3
380158-10,1774,567,1165,2572.8,489.5,2076.2,2610.1,712.4,1878.5,2650.6,385.2,2089.8,2617.1,272.4,2273.4,2642.3,250.2,2297.6
3801514-11,178,63,111,177.7,24.2,153.5,181.9,40.0,141.0,192.8,14.2,165.2,190.3,20.0,162.7,193.6,10.9,176.9
3801514-12,100,47,50,124.7,33.5,91.2,127.7,47.9,78.3,110.9,19.8,87.4,113.3,18.2,92.7,114.0,15.2,98.8
3801514-13,331,130,195,339.0,77.5,259.3,345.3,101.7,242.3,373.4,57.5,292.6,370.3,43.0,307.5,371.9,33.9,320.8
3801514-16,276,87,177,271.3,58.8,212.4,275.1,77.9,196.0,294.2,35.8,238.8,289.7,30.0,248.3,294.4,25.1,251.1
3801514-17,351,105,235,378.0,68.9,308.1,384.6,94.5,289.8,401.5,50.5,326.4,399.0,37.2,349.4,399.1,33.7,349.4
3801514-19,1335,505,803,2133.3,479.7,1647.0,2169.7,629.5,1520.4,2286.0,313.6,1767.0,2244.6,283.5,1871.5,2272.5,232.5,1919.6
3801530-20,1087,417,660,780.9,184.8,593.3,797.2,256.0,538.5,913.3,187.1,637.7,890.0,148.6,706.6,899.8,126.9,736.9
3801530-21,793,320,460,826.8,184.7,639.4,842.1,259.0,579.7,947.6,179.7,681.5,926.3,143.1,747.1,936.9,121.1,778.5
3801530-22,1231,547,657,1043.7,374.1,666.4,1066.3,473.7,574.9,1137.8,288.1,690.4,1128.1,238.7,801.4,1134.4,217.0,832.7
3801530-23,931,355,567,775.9,272.8,500.6,793.9,345.9,434.0,837.0,208.7,511.6,831.5,174.2,590.7,836.0,163.2,608.7
3801530-24,1742,678,1033,1852.0,460.0,1384.0,1874.0,712.0,1152.0,1953.0,440.0,1356.0,1927.0,315.0,1543.0,1953.0,265.0,1615.0
3801530-25,1839,603,1209,2147.2,529.6,1611.7,2197.2,793.3,1385.9,2100.3,469.6,1458.8,2075.3,283.8,1722.6,2088.3,262.8,1743.6
3801532-31,785,372,397,565.4,219.4,344.3,577.2,270.9,295.3,639.6,152.7,394.9,632.0,130.8,442.2,638.8,109.7,485.2
3801532-33,872,383,467,701.0,248.0,449.0,715.0,314.0,392.0,780.0,233.0,449.0,757.0,175.0,551.0,772.0,158.0,565.0
3801532-34,607,301,287,450.0,181.9,265.4,464.1,224.1,232.9,532.6,176.7,291.8,516.8,146.8,344.5,526.5,116.9,368.3
3801532-36,922,378,530,747.0,228.0,515.0,757.0,325.0,423.0,820.0,205.0,542.0,817.0,158.0,626.0,827.0,130.0,657.0
3801532-37,1487,512,951,1698.0,396.0,1299.0,1729.0,623.0,1099.0,1753.0,383.0,1219.0,1740.0,234.0,1456.0,1750.0,226.0,1462.0
3801532-38,1476,642,803,1327.0,417.0,899.0,1354.0,564.0,770.0,1432.0,338.0,934.0,1412.0,279.0,1062.0,1428.0,227.0,1135.0
3801532-39,817,359,447,718.0,251.0,460.0,744.0,345.0,393.0,789.0,260.0,437.0,777.0,209.0,529.0,775.0,198.0,535.0
3801535-51,1108,418,673,997.0,294.0,699.0,1026.0,467.0,555.0,1105.0,311.0,652.0,1079.0,222.0,819.0,1101.0,203.0,854.0
3801535-52,1307,526,754,1087.8,346.4,738.1,1102.6,504.3,590.9,1139.9,341.2,663.8,1120.8,242.6,831.3,1134.0,224.3,844.2
3801535-53,1760,642,1094,1559.2,440.3,1113.6,1584.4,635.8,935.8,1711.6,425.9,1123.5,1689.6,282.4,1341.3,1711.1,247.7,1399.3
3801535-54,853,319,506,640.8,243.1,396.6,649.4,307.6,335.0,712.7,198.6,411.8,701.1,157.8,500.7,703.0,131.6,520.2
3801535-55,1114,428,671,941.1,271.4,667.7,962.7,401.2,552.7,1074.8,287.1,659.8,1074.8,206.5,824.1,1076.8,173.1,862.4
3801535-56,1542,764,741,1394.5,576.4,813.5,1427.4,771.4,645.2,1514.4,558.9,730.8,1479.3,428.8,965.6,1492.8,399.9,984.6
3801547-40,1695,498,1172,2035.9,429.8,1604.9,2082.5,632.0,1438.6,2047.1,348.9,1524.6,2029.2,232.4,1740.6,2049.4,212.3,1756.9
3801547-41,2369,747,1601,4520.3,954.2,3553.5,4610.6,1650.7,2930.5,4579.3,1044.2,3151.2,4563.7,615.9,3823.9,4587.7,576.1,3886.8
3801547-42,1377,567,784,1148.0,395.0,750.0,1177.0,544.0,615.0,1292.0,354.0,764.0,1271.0,266.0,947.0,1278.0,235.0,962.0
3801547-45,1581,578,987,1400.9,386.5,1010.8,1428.8,604.1,817.0,1499.1,402.6,975.7,1480.5,257.9,1193.7,1493.5,233.1,1211.8
3801547-46,1304,488,789,1091.8,304.1,784.7,1107.4,467.7,633.1,1148.2,307.8,732.7,1132.9,203.8,897.4,1145.3,185.0,911.2
3801547-48,2320,737,1552,2582.1,556.4,2020.6,2627.2,974.1,1644.6,2620.2,634.0,1771.2,2611.1,397.7,2153.3,2627.2,361.8,2194.6
3801711-01,3349,1905,1390,2657.3,1360.3,1289.8,2724.2,1749.0,957.6,2796.0,1328.2,1151.9,2763.7,796.5,1818.6,2766.5,825.1,1758.7
3801711-02,3363,2060,1225,2988.6,1639.7,1341.8,3088.6,1994.7,1070.0,3259.8,1488.2,1331.7,3193.2,966.4,2014.0,3192.1,954.4,2007.4
3801713-01,2381,1166,1162,2286.0,890.0,1393.0,2349.0,1288.0,1048.0,2557.0,846.0,1455.0,2527.0,458.0,1955.0,2541.0,462.0,1941.0
3801713-02,2832,1551,1235,2837.3,1221.6,1612.2,2921.9,1679.4,1219.7,3039.3,1142.2,1549.5,3009.3,634.1,2226.7,3009.2,598.1,2238.3
3801713-03,3538,1663,1827,3238.0,1317.7,1916.4,3331.6,1857.7,1449.1,3480.8,1345.9,1789.6,3447.2,731.8,2572.7,3458.6,678.5,2613.8
3801720-01,163,86,75,148.6,52.5,96.0,149.5,67.3,80.8,172.3,43.3,108.8,173.1,23.7,140.7,172.5,21.9,140.2
3801720-02,539,273,259,539.8,179.8,359.1,545.6,282.0,261.4,582.3,153.4,349.6,585.5,69.8,494.1,585.5,62.3,491.0
3801721-01,2938,1902,962,2633.8,1637.4,990.5,2721.6,1927.7,767.7,2797.8,1450.0,955.9,2720.5,978.1,1539.0,2718.0,1029.5,1464.7
3801721-02,2796,1739,974,2393.7,1353.6,1025.6,2516.1,1668.5,819.5,3050.2,1334.9,1274.8,2827.3,857.5,1746.2,2884.9,876.7,1764.6
3801722-01,96,32,62,71.8,25.5,46.3,72.1,31.3,40.1,84.2,20.8,53.9,84.5,11.6,68.5,84.1,10.9,68.1
3801722-02,501,255,238,457.0,164.0,289.0,473.0,262.0,208.0,480.9,126.0,297.0,486.0,57.0,419.0,481.0,60.0,396.0
3801722-03,659,303,336,644.5,238.5,405.3,655.4,337.8,313.0,732.8,181.4,466.9,733.4,115.8,587.4,733.6,83.1,617.9
3801722-04,427,200,219,420.6,129.8,290.4,427.3,200.0,225.8,446.1,107.1,289.2,446.1,46.6,388.5,446.1,47.9,376.7
3801722-05,1328,701,607,1415.0,457.0,952.0,1436.0,753.0,673.0,1551.0,463.0,924.0,1565.0,250.0,1278.0,1554.0,229.0,1277.0
3801722-06,643,300,326,810.0,292.0,515.0,826.0,378.0,444.0,808.9,213.0,499.0,803.0,142.0,617.0,809.0,126.0,647.0
3801722-07,254,115,137,418.1,126.5,291.1,428.5,187.1,238.3,404.6,107.5,257.7,403.0,64.5,324.0,400.1,57.4,323.9
3801722-08,362,175,181,371.3,127.0,243.9,376.8,187.8,188.6,369.8,94.4,234.0,373.2,66.7,292.0,375.4,56.4,301.5
3801722-09,806,394,396,942.0,310.2,629.6,962.6,459.5,497.4,915.3,220.7,591.6,911.9,141.1,732.2,916.4,122.0,757.3
3801722-10,2504,1127,1340,5798.8,2125.3,3659.2,5954.2,3028.5,2900.8,5920.9,1895.1,3313.1,5858.0,1021.5,4576.8,5887.6,1035.1,4546.7
3801722-11,1628,776,822,2591.7,936.0,1651.4,2654.7,1354.0,1287.7,2332.2,734.3,1357.1,2305.1,379.3,1841.1,2307.5,377.0,1807.4
3801722-12,493,201,288,382.9,94.0,288.9,393.7,152.3,240.4,419.5,93.0,290.9,418.5,51.4,351.2,418.5,50.4,338.3
3801727-01,4417,2641,1713,4146.4,2207.5,1926.4,4277.3,2757.9,1476.8,4635.9,2053.7,1968.4,4481.6,1335.6,2840.8,4527.5,1249.1,2938.8
3801727-02,1026,545,461,615.8,329.3,283.6,630.5,407.4,215.9,690.9,303.4,294.8,671.3,206.1,419.2,676.8,194.9,429.8
3801727-03,639,390,236,2498.0,1100.5,1390.2,2570.1,1475.7,1081.3,2369.6,885.6,1187.7,2322.8,535.8,1682.1,2334.5,517.1,1677.3
3801727-04,3458,1708,1710,6486.4,2634.4,3840.1,6698.9,3744.4,2925.3,6608.2,2397.8,3431.4,6523.7,1264.2,4982.4,6526.8,1288.0,4924.0
3801727-05,829,359,459,1085.0,423.5,660.3,1113.4,601.3,506.3,1113.3,402.0,589.6,1101.0,216.0,841.6,1104.5,213.4,840.4
3801741-01,4263,2147,2062,4055.2,1849.1,2196.7,4148.0,2448.2,1673.3,4349.8,1759.0,2092.2,4309.6,990.7,3090.1,4313.7,1033.4,3038.2
3801741-02,3211,1479,1691,3120.0,1245.0,1871.0,3204.0,1703.0,1482.0,3341.0,1241.0,1719.0,3300.0,671.0,2493.0,3326.0,663.0,2531.0
3801744-01,3934,2331,1525,3269.4,1839.5,1419.4,3406.3,2317.7,1065.0,3748.1,1765.6,1443.9,3632.6,1225.9,2180.8,3669.3,1210.3,2229.5
3801744-02,3362,1697,1605,2793.2,1190.0,1595.2,2865.2,1703.6,1147.3,2953.2,1257.5,1338.4,2902.5,781.2,2013.8,2942.5,723.4,2102.7
3801745-01,2526,1323,1155,2423.8,1128.9,1288.1,2516.8,1524.7,978.3,3032.2,1262.4,1383.3,2941.5,792.3,2006.2,2972.4,769.5,2051.4
3801745-02,3150,1618,1491,1851.8,791.8,1054.8,1915.0,1098.8,805.8,2263.4,884.0,1102.3,2205.8,535.0,1571.5,2226.4,516.4,1601.9
3801745-06,966,445,503,1104.3,342.0,760.1,1129.4,508.3,613.4,1134.7,305.0,713.0,1130.0,165.7,921.4,1126.3,154.0,918.5
3801746-01,3142,1719,1359,2849.7,1379.4,1462.4,2917.5,1844.5,1057.1,3105.4,1365.8,1368.1,3072.7,872.6,2036.3,3080.5,861.4,2051.6
3801746-02,4896,2296,2535,4903.5,1916.6,2979.1,5026.1,2741.6,2258.2,5273.5,2089.7,2642.8,5236.6,1103.1,3962.2,5253.1,1110.5,3938.3
3801910-01,95,44,46,78.7,19.4,59.1,81.2,31.7,49.0,83.2,19.7,56.3,83.5,15.5,66.3,84.9,12.0,70.8
3801910-02,89,51,34,78.1,19.3,58.7,80.6,31.5,48.6,82.6,19.6,55.8,82.9,15.4,65.8,84.3,11.9,70.3
3801910-03,190,51,136,178.1,43.9,133.8,183.8,71.8,110.9,188.3,44.7,127.4,189.0,35.1,150.0,192.2,27.2,160.2
3801910-04,71,29,40,46.7,11.5,35.1,48.2,18.8,29.1,49.4,11.7,33.4,49.6,9.2,39.4,50.4,7.1,42.1
3801910-05,64,33,30,55.0,13.6,41.4,56.8,22.2,34.3,58.2,13.8,39.3,58.4,10.8,46.3,59.4,8.4,49.5
3801910-06,101,43,54,85.8,21.2,64.5,88.5,34.6,53.4,90.7,21.5,61.4,91.1,16.9,72.3,92.6,13.1,77.2
3801910-07,130,67,61,120.7,29.8,90.7,124.6,48.7,75.1,127.6,30.3,86.3,128.1,23.8,101.7,130.3,18.4,108.6
3801910-08,99,57,39,99.4,24.5,74.7,102.6,40.1,61.9,105.1,24.9,71.1,105.5,19.6,83.7,107.3,15.2,89.4
3801910-09,308,141,152,256.2,63.2,192.5,264.4,103.3,159.5,270.8,64.3,183.2,272.0,50.5,215.8,276.5,39.2,230.5
3801910-10,983,414,536,899.0,221.7,675.4,927.4,362.3,559.4,950.1,225.5,642.7,953.9,177.1,756.9,970.0,137.4,808.5
3802126-02,164,74,85,146.0,42.0,104.0,152.0,68.0,81.0,153.0,31.0,108.0,157.0,33.0,122.0,157.0,29.0,125.0
3802126-03,1325,610,688,1113.0,357.0,755.0,1130.0,555.0,572.0,1266.1,342.0,835.0,1253.9,218.9,1009.0,1265.0,191.0,1040.0
3802128-01,1131,360,752,880.1,203.0,677.0,888.0,288.0,600.0,987.9,181.0,724.0,994.0,152.0,814.0,1009.0,115.0,857.0
3802302-01,518,203,296,574.0,107.0,467.0,573.0,220.0,349.0,596.0,121.0,425.0,592.0,105.0,468.0,599.0,73.0,502.0
3802302-02,284,149,125,287.0,71.0,216.0,292.0,135.0,156.0,300.0,70.0,198.0,299.0,67.0,223.0,300.9,35.0,252.0
3802302-03,180,65,112,152.0,37.0,113.0,155.0,58.0,95.0,165.1,37.0,123.0,164.0,32.0,127.0,167.0,20.0,142.0
3802302-04,149,47,97,180.0,35.0,144.0,177.0,56.0,120.0,158.0,17.0,121.0,157.0,28.0,121.0,163.0,12.0,143.0
3802504-01,55,47,8,125.0,100.0,25.0,129.0,108.0,21.0,127.0,91.0,24.0,127.0,84.0,34.0,125.0,73.0,40.0
3802504-02,169,51,113,202.0,32.0,170.0,202.0,41.0,160.0,214.0,20.0,182.0,208.0,14.0,187.0,212.0,12.0,192.0
3802504-03,228,47,177,272.0,32.0,239.0,274.0,57.0,216.0,315.0,33.0,268.0,309.0,31.0,272.0,313.0,24.0,280.0
3802504-04,68,36,31,83.0,13.0,70.0,88.0,22.0,66.0,93.0,14.0,75.0,92.0,17.0,74.0,95.0,6.0,88.0
3802504-05,34,31,3,52.0,46.0,6.0,53.0,50.0,3.0,79.0,65.0,10.0,79.0,51.0,26.0,78.0,52.0,24.0
3802536-06,344,109,223,409.0,57.0,352.0,417.0,84.0,333.0,473.0,52.0,399.0,461.0,37.0,412.0,468.0,27.0,426.0
3802536-07,163,32,129,228.3,34.4,193.9,236.1,39.2,194.7,248.8,18.6,218.7,246.0,14.8,225.8,245.2,15.4,221.6
3802536-08,79,19,60,86.0,8.0,78.0,85.0,14.0,71.0,91.0,11.0,78.0,89.0,7.0,82.0,91.0,4.0,87.0
3802536-09,233,65,159,235.7,26.6,209.1,238.9,46.8,191.3,250.2,23.4,212.3,251.0,24.2,221.2,247.8,18.6,220.4
3802536-10,186,80,102,211.0,25.0,185.0,210.0,51.0,155.0,232.0,23.0,197.0,235.0,17.0,212.0,237.0,15.0,213.0
3802536-11,85,10,75,98.0,10.0,88.0,101.0,12.0,88.0,120.0,7.0,107.0,119.0,5.0,114.0,121.0,4.0,117.0
3802723-01,640,317,306,660.0,216.0,444.0,671.0,309.0,360.0,685.0,194.0,434.0,679.0,310.0,353.0,675.0,114.0,536.0
3802723-02,97,40,53,102.5,36.1,66.4,103.3,45.1,57.8,100.2,29.5,65.5,102.2,32.8,66.6,101.1,19.3,78.1
3802723-03,197,120,74,210.8,74.3,136.5,212.3,92.8,118.8,205.9,60.7,134.6,210.0,67.5,136.9,207.8,39.6,160.6
3802723-04,103,50,48,116.8,41.2,75.6,117.6,51.4,65.8,114.1,33.6,74.6,116.4,37.4,75.8,115.1,21.9,89.0
3802729-05,128,56,67,128.9,45.4,83.5,129.8,56.7,72.6,125.9,37.1,82.3,128.5,41.3,83.7,127.1,24.2,98.2
3802928-01,415,116,285,437.0,65.0,372.0,440.9,89.0,351.0,455.0,53.0,379.0,453.1,45.0,391.0,457.0,35.0,403.0
3802928-02,378,124,240,540.5,97.9,441.7,542.3,113.5,425.0,563.7,63.5,477.2,558.9,55.3,488.8,560.4,43.2,495.6
3802928-03,457,135,313,244.5,41.8,202.7,237.0,59.6,176.0,278.8,29.5,234.9,280.8,26.0,250.7,281.5,19.9,254.8
3802928-04,259,91,154,290.4,43.1,247.1,299.4,68.3,229.2,331.4,44.4,269.7,326.2,32.2,286.6,327.8,22.8,293.9
3802928-05,328,80,238,311.5,48.3,259.4,315.3,60.6,251.9,352.1,24.6,316.2,354.2,26.5,321.0,351.3,15.1,326.7
3803129-01,121,60,51,102.0,34.0,68.0,103.0,50.0,53.0,106.0,29.0,75.0,110.0,29.0,77.0,110.0,16.0,89.0
3803129-02,94,53,40,67.0,21.0,46.0,66.0,32.0,33.0,60.0,21.0,36.0,63.0,15.0,48.0,62.0,9.0,50.0
3803129-03,92,37,53,91.0,24.0,67.0,92.0,33.0,59.0,99.0,19.0,70.0,103.0,27.0,66.0,102.0,13.0,81.0
3803129-04,352,127,212,392.0,59.0,333.0,399.0,115.0,280.0,412.0,45.0,330.0,413.0,41.0,362.0,414.9,21.0,381.0
3803129-05,481,205,263,525.0,134.0,389.0,537.0,192.0,340.0,535.0,119.0,372.0,538.0,85.0,437.0,545.0,52.0,465.0
3803129-06,511,205,295,453.0,118.0,333.0,457.0,166.0,287.0,507.0,114.0,358.0,511.0,89.0,407.0,509.0,59.0,425.0
3803339-01,875,210,642,869.0,131.0,736.0,880.0,171.0,704.0,956.9,99.0,796.0,951.0,128.0,795.0,956.2,62.0,857.0
3803517-01,252,117,131,303.6,82.6,221.0,310.2,125.9,183.5,292.5,83.8,195.1,288.9,55.2,224.0,290.7,59.1,222.8
3803517-02,390,135,251,402.3,108.5,293.8,411.0,165.8,244.1,387.3,110.4,259.6,382.7,72.7,297.3,385.1,77.9,295.6
3803517-03,1115,628,474,914.6,366.8,544.2,949.7,532.5,412.3,1003.1,383.1,515.1,975.3,263.0,669.2,991.9,282.9,669.6
3803517-04,1248,619,607,1139.0,459.6,677.2,1180.6,662.6,511.3,1253.2,489.9,625.5,1222.8,324.0,846.0,1242.0,365.1,826.3
3803517-05,1202,556,633,917.3,358.8,556.7,947.9,519.4,424.9,1011.3,386.4,526.4,981.5,254.8,690.6,1003.6,280.5,689.6
3803517-06,1214,620,571,1159.3,438.3,718.9,1194.0,637.1,554.7,1280.8,477.3,695.7,1235.9,313.9,885.2,1272.8,336.3,904.0
3803517-07,1720,772,928,2170.9,615.4,1552.5,2254.8,1052.0,1199.8,2114.0,707.3,1261.8,2088.0,362.6,1681.4,2116.0,399.6,1689.4
3803517-08,953,486,459,2320.2,854.5,1462.7,2400.9,1253.3,1139.7,2314.2,859.5,1205.5,2233.4,531.4,1591.3,2274.3,546.4,1646.2
3803518-09,468,196,266,474.0,149.0,324.0,492.0,200.0,288.0,535.0,130.0,351.0,506.0,87.0,384.0,519.0,99.0,390.0
3803518-10,513,325,177,430.0,202.0,228.0,444.0,272.0,166.0,497.0,194.0,248.0,475.0,135.0,308.0,485.0,160.0,304.0
3803518-11,1069,649,394,920.4,436.3,480.3,958.9,572.9,375.6,954.7,375.6,454.2,922.1,283.3,584.6,938.3,311.3,578.1
3803518-12,904,602,285,849.8,414.7,428.3,884.7,550.5,320.8,1009.9,423.4,447.5,978.7,332.5,578.6,992.1,348.8,582.4
3803518-13,859,512,334,590.4,290.1,297.4,609.9,386.6,217.4,717.6,306.2,318.3,696.6,236.0,415.8,706.4,255.9,415.8
3803518-14,194,126,68,194.0,115.0,79.0,198.0,131.0,66.0,185.0,101.0,64.0,177.0,78.0,91.0,182.0,85.0,87.0
3803518-15,1056,570,459,903.7,360.6,538.0,939.7,526.4,408.8,988.6,370.2,519.4,958.4,262.2,653.0,975.7,271.2,666.6
3803518-16,194,132,61,140.8,69.2,70.9,145.4,92.2,51.8,171.1,73.0,75.9,166.1,56.3,99.2,168.4,61.0,99.2
3803519-17,721,296,409,478.0,142.0,333.0,484.0,189.0,292.0,647.9,147.0,414.0,599.0,104.0,448.0,624.0,103.0,470.0
