GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag,Tot_2018_sen,Dem_2018_sen,Rep_2018_sen,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_gov,Dem_2016_gov,Rep_2016_gov,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen
3807726-18,147,63,79,138.2,47.3,90.9,140.6,82.0,58.6,144.2,32.9,99.3,144.2,22.1,120.3,144.2,19.1,119.7
380799-01,655,344,295,637.0,259.0,377.0,651.0,352.0,296.0,602.0,189.0,366.0,610.0,304.0,291.0,609.0,110.0,476.0
380799-02,439,299,132,533.0,327.8,205.3,542.0,400.9,139.1,442.7,212.5,181.2,441.7,233.5,197.2,440.7,155.4,259.3
380799-03,1937,1752,155,2051.0,1786.0,260.0,2119.0,1986.0,131.0,1367.0,1051.0,143.0,1354.0,1118.0,188.0,1338.0,929.0,312.0
380799-04,924,733,170,1110.9,842.2,267.7,1153.9,992.1,160.9,788.3,482.5,207.8,783.3,504.5,246.8,772.3,389.6,336.7
380799-05,579,275,293,563.0,231.0,332.0,579.0,311.0,266.0,554.9,164.0,319.0,564.9,223.0,317.0,566.0,117.0,417.0
3808126-01,487,268,216,485.0,196.0,287.0,493.0,299.0,190.0,502.0,184.0,247.0,505.0,117.0,379.0,514.0,104.0,386.0
3808126-02,421,230,184,440.0,166.0,274.0,449.0,249.0,196.0,451.0,120.0,294.0,448.0,81.0,350.0,453.0,67.0,366.0
3808126-03,251,151,96,246.0,96.0,149.0,251.0,141.0,109.0,242.9,89.0,131.0,248.0,67.0,171.0,248.1,55.0,181.0
3808126-04,513,295,210,535.0,226.0,309.0,554.0,315.0,239.0,532.0,195.0,281.0,542.0,152.0,377.0,542.0,123.0,401.0
3808126-05,255,171,72,251.0,124.0,124.0,255.0,167.0,87.0,269.0,106.0,135.0,271.0,76.0,187.0,267.0,74.0,179.0
380837-01,366,100,252,362.1,53.2,308.9,365.4,82.9,281.1,364.5,44.0,301.0,364.0,39.8,314.0,366.8,27.8,325.6
3808314-02,437,129,303,419.9,61.7,358.2,423.7,96.1,325.9,422.6,51.0,349.0,422.0,46.2,364.0,425.3,32.2,377.5
3808531-01,287,257,28,279.0,229.0,50.0,287.0,268.0,18.0,205.0,138.0,18.0,195.0,126.0,57.0,189.0,114.0,46.0
3808531-02,53,30,20,83.0,34.0,49.0,88.0,41.0,45.0,76.0,23.0,47.0,72.0,24.0,46.0,76.0,24.0,49.0
3808531-03,265,226,37,265.7,221.0,42.0,270.6,248.9,16.1,240.5,182.5,16.1,238.4,157.3,61.5,237.0,140.5,65.7
3808531-04,405,379,21,429.9,370.7,57.0,439.2,413.6,21.4,395.5,291.6,31.4,386.4,270.8,86.3,381.3,251.8,82.7
3808531-05,115,103,11,102.4,82.9,19.4,105.6,96.0,8.9,75.6,50.2,10.5,72.8,46.7,20.5,70.9,44.0,19.0
3808531-06,76,61,14,71.0,55.4,15.6,73.6,65.5,7.6,46.4,28.7,8.1,44.3,26.2,14.6,42.8,24.7,13.6
3808531-07,177,89,84,176.0,51.0,124.0,182.0,78.0,104.0,193.0,44.0,129.0,192.0,33.0,152.0,195.0,34.0,150.0
3808739-01,125,29,93,124.9,17.4,107.4,125.9,23.1,102.8,137.3,11.2,119.4,140.6,14.6,123.1,139.7,8.8,126.9
3808739-02,141,49,90,125.0,23.8,101.2,126.6,27.5,99.2,134.7,14.8,114.6,132.1,13.0,116.6,131.3,8.6,119.3
3808739-03,145,28,114,127.1,19.8,107.4,128.4,22.4,105.0,157.9,16.9,128.0,155.3,13.5,136.3,157.1,7.6,141.8
3808936-07,984,355,606,1273.6,249.0,1019.9,1296.1,352.9,937.2,1298.0,187.3,1018.3,1251.3,132.6,1061.4,1263.8,123.2,1083.3
3808936-08,477,134,331,553.1,98.0,454.0,562.0,140.0,418.0,578.0,87.0,457.0,579.0,51.0,519.0,584.0,52.0,517.0
3808936-09,213,45,160,243.0,34.0,208.0,249.0,45.0,203.0,248.0,28.0,205.0,236.0,22.0,208.0,241.0,18.0,213.0
3808936-10,189,68,120,269.0,57.0,212.0,272.0,76.0,194.0,286.0,38.0,236.0,287.0,22.0,256.0,289.0,18.0,262.0
3808936-11,1117,313,776,1345.1,186.4,1154.8,1362.0,274.0,1080.1,1302.7,118.8,1125.1,1287.6,88.8,1173.8,1289.8,69.0,1194.7
3808936-12,548,196,343,704.0,110.0,594.0,703.0,164.0,537.0,710.0,73.0,597.0,697.0,51.0,629.0,706.0,53.0,636.0
3808936-13,507,114,380,548.0,74.0,474.0,546.0,85.0,458.0,612.0,38.0,534.0,608.0,46.0,537.0,611.1,30.0,554.0
3808937-01,1470,514,927,1582.5,330.8,1250.2,1608.2,452.6,1145.4,1635.4,268.3,1249.9,1596.3,203.8,1340.1,1622.0,166.5,1388.1
3808937-02,1040,334,694,827.7,173.0,653.9,841.1,236.7,599.1,855.3,140.3,653.8,834.9,106.6,700.9,848.3,87.1,725.9
3808937-03,1263,494,736,1196.8,250.2,945.5,1216.2,342.3,866.3,1236.8,202.9,945.3,1207.3,154.2,1013.5,1226.7,125.9,1049.8
3808937-04,1607,586,990,1604.9,335.5,1267.9,1630.9,459.0,1161.6,1658.5,272.1,1267.6,1618.9,206.7,1359.1,1645.0,168.9,1407.7
3808937-05,1227,474,723,1194.6,249.7,943.7,1214.0,341.7,864.6,1234.5,202.5,943.5,1205.0,153.9,1011.6,1224.4,125.7,1047.8
3808937-06,428,175,238,653.9,128.3,523.1,665.4,181.8,480.6,666.8,96.7,522.5,642.6,68.4,544.6,649.1,63.6,555.8
3809120-03,241,122,114,227.8,84.9,142.9,231.6,139.1,91.0,253.7,90.6,136.3,259.7,61.3,192.8,259.9,56.4,193.6
3809120-04,280,183,97,277.9,118.6,159.3,278.6,168.9,109.7,291.4,110.4,156.3,305.6,60.7,236.0,306.4,51.7,245.0
3809120-05,57,36,20,46.1,20.7,25.4,46.1,28.5,17.5,48.4,18.8,24.8,51.3,12.0,37.2,51.0,9.9,39.2
3809123-01,169,110,56,146.1,53.6,92.5,149.6,89.0,59.5,161.5,58.1,86.6,164.5,42.9,117.8,164.1,39.4,118.3
3809123-02,285,163,117,250.2,79.3,171.0,254.0,131.5,121.2,243.9,83.2,134.0,247.8,54.1,182.2,250.5,46.6,194.8
3809329-01,267,87,176,252.0,54.0,198.0,263.0,86.0,176.0,256.0,47.0,199.0,258.0,28.0,222.0,257.0,20.0,229.0
3809329-02,192,100,84,199.0,55.0,144.0,203.0,72.0,130.0,187.0,40.0,133.0,183.0,21.0,153.0,186.0,17.0,157.0
3809329-03,530,215,301,563.4,154.1,408.9,582.2,259.6,320.2,579.1,133.4,383.7,566.9,72.2,469.5,574.7,64.3,490.6
3809329-04,657,240,398,703.8,159.6,543.2,724.7,247.3,470.3,730.6,127.6,539.2,706.7,97.7,582.1,731.6,71.8,624.9
3809329-05,533,155,358,474.1,80.0,394.0,481.0,117.0,361.0,536.1,70.0,433.0,531.0,43.0,470.0,535.9,36.9,481.0
3809329-06,627,226,389,645.9,138.0,507.0,667.0,238.0,426.0,654.9,136.0,482.0,644.0,72.0,563.0,659.1,66.0,581.0
3809329-07,1423,601,797,1054.7,305.2,745.5,1092.7,501.3,588.4,1252.7,362.1,755.5,1208.7,220.1,934.6,1235.7,189.1,1003.6
3809329-08,1355,584,749,1424.9,427.8,993.6,1479.1,711.1,754.4,1625.2,467.4,1009.8,1577.4,279.7,1248.9,1612.6,252.7,1314.8
3809329-09,1110,487,603,1093.0,335.0,756.0,1164.0,527.0,627.0,1235.0,316.0,790.0,1181.0,217.0,925.0,1215.1,177.0,987.0
3809329-10,932,361,548,928.3,269.5,658.9,950.4,394.7,544.6,972.4,223.3,670.8,948.3,124.3,790.9,966.4,106.2,831.0
3809329-11,1216,555,628,1091.0,353.0,737.0,1126.0,489.0,629.0,1207.0,342.0,724.0,1186.0,249.0,890.0,1209.0,205.0,943.0
3809329-12,942,445,468,816.0,269.0,547.0,850.0,384.0,462.0,919.0,233.0,598.0,893.0,150.0,704.0,904.0,123.0,749.0
3809510-02,206,115,76,196.0,72.0,124.0,198.0,95.0,102.0,188.0,55.0,108.0,196.0,57.0,133.0,197.0,31.0,159.0
3809510-03,237,163,72,214.0,94.0,120.0,221.0,129.0,91.0,218.9,91.0,107.0,228.0,117.0,107.0,226.0,60.0,158.0
3809515-01,754,343,388,699.0,191.0,506.0,708.0,273.0,431.0,750.0,159.0,518.0,747.0,129.0,601.0,754.0,88.0,635.0
3809720-01,178,91,85,185.0,56.0,129.0,190.0,85.0,105.0,201.0,59.0,129.0,198.0,55.0,141.0,200.0,54.0,141.0
3809720-02,322,182,136,319.9,100.9,217.3,323.4,165.6,156.1,333.7,103.5,198.3,337.2,75.9,253.5,340.6,61.2,276.0
3809720-03,207,101,102,198.6,61.0,137.1,203.3,104.1,97.8,215.3,59.9,136.4,217.7,38.5,173.0,216.3,33.5,173.7
3809720-04,139,66,72,155.2,52.9,102.3,156.1,81.1,74.1,167.5,56.4,94.4,167.5,32.6,129.6,167.5,33.5,127.0
3809720-05,162,97,60,125.0,36.0,89.0,133.0,77.0,55.0,133.0,50.0,73.0,130.0,23.0,105.0,130.0,24.0,103.0
3809720-06,106,65,40,79.0,33.0,46.0,81.0,46.0,35.0,96.0,38.0,50.0,97.0,18.0,76.0,96.0,26.0,68.0
3809720-07,429,211,210,392.1,125.3,266.8,401.1,206.6,192.8,437.7,120.4,263.6,434.4,74.8,348.2,435.2,66.7,351.4
3809720-08,333,182,146,234.3,77.5,156.6,239.2,121.1,117.8,274.2,84.9,154.4,269.5,58.6,195.7,272.7,52.7,209.8
3809720-09,394,206,179,375.0,128.0,246.0,383.0,209.0,173.0,383.0,114.0,220.0,385.0,66.0,304.0,385.0,60.0,312.0
3809720-10,480,228,247,403.8,130.6,273.1,407.4,197.3,208.1,404.1,127.6,234.3,408.3,74.5,313.8,409.7,75.1,319.3
3809720-11,401,214,182,412.9,140.6,271.8,422.5,234.5,185.2,451.5,143.6,264.0,453.6,91.2,342.9,456.7,83.4,353.0
3809720-12,512,272,235,408.1,145.2,263.0,418.0,239.6,176.1,451.9,148.7,253.6,450.7,93.9,335.3,457.1,86.9,349.8
3809720-13,378,221,151,381.0,140.0,240.0,384.0,221.0,159.0,384.0,135.0,194.0,390.0,91.0,276.0,391.0,90.0,278.0
3809916-01,193,130,57,174.7,49.3,125.1,176.9,84.9,91.2,183.7,48.8,112.3,186.0,33.8,144.4,187.9,31.4,150.6
3809916-02,274,124,146,229.8,64.9,164.6,232.8,111.7,119.9,241.7,64.3,147.8,244.8,44.5,190.0,247.3,41.4,198.2
3809916-03,292,93,192,274.8,73.3,201.0,280.0,117.1,161.3,287.0,71.4,187.6,289.7,47.8,223.3,291.0,45.8,234.3
3809916-04,374,158,205,299.7,79.0,220.1,305.7,124.2,179.7,312.6,76.7,206.9,315.3,51.0,242.7,316.4,49.1,255.0
3809916-05,202,106,91,177.2,46.7,130.1,180.8,73.4,106.2,184.8,45.3,122.3,186.4,30.1,143.4,187.1,29.0,150.8
3809916-06,220,64,144,188.4,49.7,138.4,192.2,78.1,113.0,196.6,48.2,130.1,198.2,32.0,152.5,198.9,30.9,160.3
3809916-07,307,131,155,267.2,72.5,194.2,271.7,118.7,151.5,279.6,71.0,179.2,282.5,48.1,218.2,284.3,45.6,228.6
3809916-08,265,147,113,203.3,54.3,148.6,207.1,86.9,119.0,212.4,52.9,138.6,214.3,35.5,165.2,215.4,33.9,173.4
3809916-09,192,134,45,160.9,45.4,115.2,163.0,78.2,84.0,169.2,45.0,103.4,171.4,31.1,133.0,173.0,29.0,138.7
3809916-10,296,154,139,338.8,89.3,248.8,345.5,140.4,203.2,353.4,86.6,233.9,356.4,57.6,274.3,357.6,55.5,288.2
3809916-11,183,96,85,229.9,60.6,168.8,234.5,95.3,137.9,239.8,58.8,158.8,241.8,39.1,186.2,242.7,37.7,195.6
3809916-12,370,180,173,360.7,95.1,264.9,368.0,149.5,216.3,376.3,92.3,249.1,379.5,61.4,292.1,380.8,59.1,306.9
3809916-13,304,159,135,340.7,89.8,250.2,347.5,141.2,204.3,355.4,87.1,235.3,358.4,58.0,275.9,359.6,55.8,289.9
3809916-14,477,205,266,329.0,86.7,241.6,335.6,136.3,197.3,343.2,84.1,227.2,346.1,56.0,266.4,347.3,53.9,279.9
3809916-15,243,112,126,216.6,61.2,155.1,219.4,105.3,113.0,227.8,60.6,139.3,230.7,41.9,179.0,233.1,39.0,186.8
3809916-16,221,114,105,190.2,53.7,136.2,192.6,92.4,99.2,200.0,53.2,122.3,202.6,36.8,157.2,204.6,34.2,164.0
3809916-17,221,97,120,228.7,64.6,163.8,231.6,111.1,119.3,240.5,63.9,147.0,243.6,44.3,189.0,246.0,41.1,197.2
3809916-18,248,121,118,222.6,58.7,163.5,227.0,92.2,133.5,232.2,56.9,153.7,234.2,37.9,180.2,235.0,36.5,189.4
3810103-08,1049,399,624,1110.2,274.1,832.5,1123.9,382.4,732.7,1300.1,220.8,948.7,1272.1,167.3,1041.4,1289.1,122.0,1097.6
