GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2018_sen,Dem_2018_sen,Rep_2018_sen,Tot_2018_gov,Dem_2018_gov,Rep_2018_gov,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag,Tot_2018_ltg,Dem_2018_ltg,Rep_2018_ltg
320031060,392,165,217,399.5,154.7,221.7,394.4,154.7,207.8,342.2,135.3,192.1,342.7,137.2,187.0,338.5,132.1,190.7,349.6,138.1,178.3
320031063,994,547,425,1008.0,468.0,471.0,997.0,466.0,440.0,871.0,482.0,358.0,871.0,476.0,357.0,867.0,443.0,367.0,870.0,465.0,351.0
320031070,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320031072,404,171,214,336.0,79.0,232.0,328.0,91.0,202.0,281.0,77.0,180.0,282.0,71.0,188.0,280.0,69.0,182.0,290.0,83.0,172.0
320031073,1362,507,815,1677.0,491.0,1117.0,1651.0,510.0,1007.0,1623.0,534.0,1015.0,1619.0,524.0,1021.0,1608.0,482.0,1044.0,1626.0,540.0,1006.0
320031074,1052,437,588,1382.0,470.0,853.0,1357.0,488.0,751.0,1213.0,471.0,681.0,1219.0,454.0,698.0,1212.0,434.0,722.0,1232.0,456.0,699.0
320031078,884,448,406,914.0,355.0,495.0,901.0,339.0,494.0,781.0,334.0,409.0,782.0,324.0,415.0,778.0,314.0,426.0,784.0,333.0,393.0
320031082,996,554,417,1058.9,501.1,474.4,1047.0,480.8,430.8,876.7,439.1,375.3,875.2,423.6,377.9,873.6,421.7,390.7,890.8,440.0,362.4
320031108,787,439,330,658.8,320.6,289.8,645.9,312.9,277.4,552.3,294.4,234.2,551.7,282.6,233.7,548.6,274.8,240.4,551.7,282.0,230.6
320031109,527,344,172,621.2,302.4,273.2,609.1,295.1,261.6,520.7,277.6,220.8,520.3,266.4,220.3,517.4,259.2,226.6,520.3,266.0,217.4
320031112,532,285,230,560.0,279.0,244.0,552.0,265.0,230.0,457.0,258.0,181.0,458.0,260.0,181.0,450.0,247.0,183.0,453.0,252.0,173.0
320031113,941,439,483,983.0,437.0,494.0,969.0,430.0,485.0,897.0,430.0,441.0,897.0,427.0,431.0,890.0,378.0,461.0,897.0,424.0,427.0
320031116,808,411,386,858.3,387.2,423.0,846.4,358.8,430.6,750.1,384.8,347.4,749.6,377.3,352.3,740.0,344.7,356.1,750.6,370.0,346.8
320031123,442,272,163,453.0,211.0,214.0,446.0,195.0,220.0,406.0,217.0,173.0,403.0,218.0,171.0,402.0,204.0,181.0,406.0,224.0,164.0
320031124,762,404,347,792.0,394.0,355.0,779.0,369.0,352.0,653.0,351.0,275.0,652.0,341.0,277.0,650.0,329.0,281.0,660.0,341.0,274.0
320031127,889,516,364,865.0,422.0,389.0,847.0,404.0,357.0,724.0,383.0,314.0,725.0,390.0,310.0,721.0,359.0,322.0,732.0,375.0,310.0
320031131,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320031137,708,389,305,880.0,432.0,399.0,869.0,430.0,376.0,762.0,401.0,336.0,761.0,389.0,336.0,756.0,377.0,345.0,756.0,388.0,327.0
320031138,1245,687,531,1653.3,834.5,734.4,1619.9,803.1,690.9,1426.9,764.2,612.3,1427.4,755.0,612.6,1416.6,720.3,632.7,1427.4,752.7,603.4
320031142,980,609,353,927.7,472.5,394.6,914.1,456.9,380.1,782.1,420.8,324.7,783.6,428.0,317.4,775.4,397.7,335.3,779.6,415.3,318.6
320031149,1137,591,519,1183.0,425.0,664.0,1166.0,427.0,617.0,974.0,391.0,536.0,971.0,371.0,544.0,967.0,368.0,543.0,982.0,396.0,526.0
320031163,1019,617,384,1018.0,549.0,390.0,1007.0,519.0,386.0,873.0,491.0,334.0,872.0,488.0,333.0,866.0,470.0,345.0,866.0,473.0,341.0
320031165,580,352,222,559.0,305.0,213.0,549.0,301.0,198.0,463.0,272.0,163.0,465.0,264.0,168.0,463.0,254.0,175.0,459.0,266.0,167.0
320031169,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320031300,733,460,258,756.9,439.2,273.7,729.2,409.6,251.7,607.6,379.9,202.9,609.6,378.9,203.8,600.9,360.8,204.8,609.6,369.4,192.3
320031301,591,364,219,642.1,348.8,254.3,629.8,339.4,233.3,520.4,304.1,193.1,518.4,301.1,197.2,516.1,289.2,203.2,521.4,297.6,194.7
320031302,999,644,335,1215.0,691.0,447.0,1189.0,664.0,405.0,1278.0,780.0,428.0,1277.0,775.0,421.0,1269.0,725.0,445.0,1280.0,766.0,419.0
