GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2018_sen,Dem_2018_sen,Rep_2018_sen,Tot_2018_gov,Dem_2018_gov,Rep_2018_gov,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag,Tot_2018_ltg,Dem_2018_ltg,Rep_2018_ltg
320033360,1019,583,399,973.0,524.4,390.2,963.0,532.5,341.0,794.9,479.7,277.7,793.5,455.1,290.0,783.1,427.5,308.5,807.5,465.8,268.7
320033361,766,455,303,994.0,503.0,435.0,975.0,487.0,394.0,827.0,463.0,346.0,823.0,442.0,342.0,822.0,432.0,348.0,841.0,442.0,333.0
320033362,794,450,327,747.7,374.6,319.8,731.9,360.9,309.5,645.3,346.1,270.3,644.7,337.8,271.7,639.5,332.2,278.6,646.4,337.3,270.1
320033363,1071,465,595,1334.0,565.0,698.0,1312.0,506.0,738.0,1140.0,482.0,626.0,1140.0,488.0,616.0,1120.0,436.0,642.0,1148.0,475.0,603.0
320033364,1147,440,692,1381.0,503.0,812.0,1357.0,455.0,845.0,1219.0,480.0,718.0,1215.0,482.0,709.0,1206.0,428.0,739.0,1220.0,462.0,705.0
320033365,672,335,332,723.0,338.0,355.0,719.0,303.0,383.0,558.0,252.0,297.0,557.0,262.0,282.0,555.0,232.0,309.0,554.0,247.0,290.0
320033366,775,271,498,753.0,285.0,422.0,744.0,258.0,462.0,650.0,272.0,369.0,652.0,275.0,367.0,646.0,261.0,369.0,654.0,281.0,356.0
320033370,754,418,321,754.0,351.0,371.0,741.0,344.0,343.0,660.0,359.0,269.0,661.0,364.0,265.0,658.0,337.0,289.0,661.0,367.0,269.0
320033371,594,381,208,602.0,338.0,245.0,589.0,320.0,229.0,523.0,311.0,197.0,523.0,312.0,198.0,519.0,298.0,202.0,525.0,303.0,187.0
320033372,957,515,429,1016.0,494.0,467.0,995.0,474.0,454.0,850.0,449.0,373.0,851.0,454.0,359.0,844.0,413.0,383.0,858.0,436.0,358.0
320033373,1163,579,573,1177.0,527.0,579.0,1166.0,478.0,628.0,1048.0,490.0,533.0,1050.0,487.0,531.0,1045.0,444.0,558.0,1055.0,474.0,528.0
320033374,741,398,334,765.0,359.0,365.0,757.0,326.0,380.0,672.0,322.0,327.0,673.0,315.0,330.0,668.0,291.0,350.0,676.0,307.0,333.0
320033375,1072,533,520,1217.0,546.0,602.0,1192.0,530.0,597.0,1020.0,482.0,518.0,1020.0,476.0,514.0,1013.0,440.0,522.0,1013.0,467.0,501.0
320033380,426,286,137,471.0,270.0,172.0,463.0,254.0,168.0,389.0,244.0,126.0,389.0,237.0,129.0,385.0,213.0,140.0,391.0,237.0,123.0
320033381,1238,601,615,1347.0,603.0,666.0,1327.0,574.0,683.0,1182.0,570.0,589.0,1187.0,559.0,597.0,1178.0,503.0,626.0,1189.0,568.0,562.0
320033382,975,540,421,1031.0,508.0,459.0,1017.0,495.0,434.0,875.0,471.0,377.0,874.0,468.0,363.0,871.0,436.0,394.0,881.0,476.0,360.0
320033383,1032,408,605,1027.0,348.0,648.0,1009.0,351.0,614.0,944.0,347.0,580.0,943.0,336.0,583.0,927.0,302.0,585.0,950.0,332.0,569.0
320033384,359,183,173,336.2,140.9,183.3,331.7,147.7,166.3,311.2,148.0,154.0,311.2,145.5,157.1,307.7,129.0,166.0,309.7,142.6,154.9
320033385,1296,601,681,1424.0,625.0,731.0,1406.0,605.0,753.0,1224.0,589.0,608.0,1226.0,607.0,595.0,1221.0,544.0,631.0,1237.0,578.0,599.0
320033386,646,282,356,712.0,319.0,356.0,707.0,282.0,399.0,613.0,267.0,328.0,613.0,287.0,315.0,609.0,239.0,348.0,616.0,268.0,317.0
320033390,971,503,440,1103.0,556.0,499.0,1091.0,531.0,506.0,966.0,520.0,406.0,964.0,499.0,425.0,953.0,468.0,440.0,961.0,503.0,406.0
320033391,692,386,297,655.0,333.0,279.0,639.0,323.0,279.0,543.0,302.0,228.0,545.0,302.0,223.0,542.0,286.0,236.0,547.0,290.0,222.0
320033392,711,387,308,729.0,356.0,329.0,715.0,338.0,329.0,612.0,300.0,281.0,613.0,307.0,285.0,611.0,297.0,283.0,616.0,314.0,261.0
320033393,523,299,216,557.0,273.0,244.0,548.0,268.0,247.0,455.0,257.0,185.0,455.0,252.0,192.0,452.0,236.0,197.0,453.0,245.0,196.0
320033394,367,220,145,378.5,197.5,162.9,372.5,194.0,152.9,330.4,189.5,130.3,330.9,182.0,134.4,328.4,180.0,137.9,331.4,183.5,129.8
320033395,811,399,402,828.0,358.0,443.0,812.0,347.0,425.0,703.0,338.0,347.0,703.0,346.0,345.0,699.0,308.0,364.0,704.0,328.0,341.0
320033396,366,200,161,376.5,196.5,162.1,370.5,193.0,152.1,328.6,188.5,129.7,329.1,181.0,133.6,326.6,179.0,137.1,329.6,182.5,129.2
320033400,330,156,173,307.9,149.6,143.9,300.1,149.3,134.9,262.6,137.9,117.5,263.5,137.6,117.8,261.3,126.5,122.0,262.5,136.7,114.2
320033401,687,375,298,717.1,348.4,335.1,698.9,347.7,314.1,611.5,321.1,273.5,613.6,320.4,274.2,608.6,294.5,284.0,611.5,318.3,265.8
320033402,433,244,175,428.4,219.1,184.6,420.6,210.5,173.4,356.1,194.4,140.8,356.9,197.7,137.8,354.3,191.7,143.4,361.8,201.5,133.7
320033403,633,375,247,715.6,365.9,308.4,702.4,351.5,289.6,594.9,324.6,235.2,596.1,330.3,230.2,591.7,320.3,239.6,604.2,336.5,223.3
320033404,1029,435,577,1032.9,414.8,583.4,1025.6,423.0,558.8,962.7,393.8,545.1,964.5,385.6,553.3,958.1,367.4,561.6,963.6,387.4,539.7
320033411,120,53,66,174.7,72.2,94.5,170.8,70.4,92.2,159.7,65.0,90.1,159.4,64.9,91.2,158.5,59.9,91.9,161.0,65.4,87.9
320033412,1122,498,600,1059.3,437.8,572.6,1035.2,426.6,558.8,968.3,394.0,545.9,966.6,393.1,552.8,960.5,363.1,557.1,976.0,396.6,533.1
320033413,820,382,425,785.0,309.0,450.0,778.0,316.0,428.0,722.0,293.0,410.0,721.0,293.0,415.0,715.0,276.0,417.0,718.0,289.0,404.0
320033414,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320033415,1304,797,489,1476.3,740.3,637.9,1456.7,734.9,597.0,1249.5,698.8,501.1,1249.4,678.6,503.5,1243.9,646.7,526.2,1259.8,675.7,481.7
320033416,1309,725,562,1681.0,756.0,819.0,1658.0,747.0,761.0,1451.0,756.0,642.0,1453.0,734.0,653.0,1448.0,715.0,645.0,1481.0,745.0,606.0
320033417,743,446,288,1436.0,753.0,566.0,1411.0,739.0,551.0,1199.0,720.0,433.0,1201.0,727.0,416.0,1189.0,690.0,435.0,1202.0,704.0,415.0
320033418,477,233,233,555.0,247.0,281.0,540.0,227.0,281.0,507.0,222.0,261.0,507.0,233.0,256.0,502.0,210.0,259.0,504.0,232.0,248.0
320033420,1347,734,586,1472.7,742.7,631.1,1449.3,728.1,601.0,1288.5,700.2,543.9,1286.6,687.4,545.5,1280.1,661.3,564.8,1293.2,682.3,534.3
320033422,568,294,258,575.8,267.2,272.7,561.1,261.2,239.5,512.7,280.3,212.3,513.8,267.8,212.8,511.6,266.7,209.0,522.5,277.6,201.9
320033423,787,435,335,790.5,366.0,373.6,771.9,361.9,338.1,694.5,370.1,297.0,696.4,359.2,296.0,691.0,351.2,293.6,705.3,365.5,280.8
320033424,1056,611,426,1135.9,597.9,472.8,1116.5,581.6,428.0,962.0,548.8,384.3,963.6,542.6,392.5,956.2,510.0,387.9,975.8,531.2,379.1
320033425,341,207,131,320.1,162.1,139.2,314.5,156.4,128.0,280.0,153.2,118.7,280.4,148.4,123.5,276.8,138.0,121.1,283.2,146.8,113.9
320033430,836,461,359,891.0,465.0,372.0,873.0,461.0,334.0,714.0,400.0,288.0,713.0,399.0,288.0,709.0,371.0,302.0,713.0,387.0,281.0
320033431,823,443,363,911.0,447.0,422.0,892.0,442.0,370.0,774.0,418.0,315.0,771.0,408.0,317.0,764.0,392.0,325.0,773.0,411.0,304.0
320033432,13,4,8,52.8,31.2,18.2,52.3,30.2,16.9,36.8,21.1,13.5,36.7,20.1,14.1,36.7,20.1,13.3,37.7,21.2,12.6
320033433,2,1,1,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0
320033434,647,359,279,737.1,395.1,306.6,725.0,369.9,296.3,634.6,343.9,262.8,636.4,343.9,267.4,633.7,328.0,272.1,645.8,344.8,260.0
320033435,1035,598,412,1152.0,597.0,464.0,1140.0,595.0,436.0,986.0,560.0,378.0,986.0,551.0,385.0,977.0,538.0,381.0,989.0,569.0,360.0
320033436,32,22,10,53.9,28.9,22.4,53.0,27.1,21.7,46.4,25.1,19.2,46.5,25.1,19.6,46.3,24.0,19.9,47.2,25.2,19.0
320033439,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320033440,29,4,25,29.2,3.3,25.0,29.2,4.2,24.2,24.2,4.2,19.2,24.2,5.0,19.2,24.2,5.8,16.7,24.2,5.0,17.5
320033441,7,0,7,5.8,0.7,5.0,5.8,0.8,4.8,4.8,0.8,3.8,4.8,1.0,3.8,4.8,1.2,3.3,4.8,1.0,3.5
320033442,1111,568,531,1194.4,537.4,581.9,1175.9,527.7,560.4,993.3,465.7,498.4,996.2,471.6,485.7,986.5,434.5,512.0,1012.8,474.5,464.2
320033443,919,497,406,1006.4,464.2,474.1,985.7,467.3,448.9,865.7,442.0,389.2,868.7,440.5,384.7,857.3,417.5,387.0,874.1,434.4,364.8
320033444,905,301,590,1083.2,315.0,704.7,1073.5,322.4,701.8,975.4,311.4,638.3,976.6,318.3,629.7,971.3,284.5,644.2,988.2,331.6,595.0
320033445,716,290,408,778.9,257.0,467.1,772.6,259.7,465.2,686.2,234.8,419.2,686.7,230.2,423.8,683.2,213.8,442.3,699.2,244.5,400.9
320033446,31,7,24,31.3,14.1,15.3,30.8,13.8,14.7,26.1,12.2,13.1,26.1,12.4,12.7,25.9,11.4,13.4,26.6,12.4,12.2
320033449,694,231,446,855.0,241.8,559.7,847.7,250.4,555.0,762.5,240.2,505.5,762.5,241.1,502.4,756.4,224.0,491.3,764.6,249.8,478.7
320033450,945,487,431,1026.8,435.2,532.5,1016.4,429.2,523.8,914.8,417.0,466.5,914.8,396.1,469.1,912.2,395.3,475.2,924.3,417.9,451.7
320033452,1288,662,599,1362.4,670.6,603.9,1342.0,641.8,584.0,1193.8,624.1,520.2,1191.8,609.9,523.9,1188.1,588.1,532.8,1202.7,609.8,497.2
320033453,243,143,92,324.6,176.4,124.1,318.0,166.2,122.0,276.2,162.9,99.8,276.2,161.1,100.1,275.9,156.9,102.2,281.3,160.2,96.8
320033454,41,15,26,51.0,21.6,26.5,50.5,21.3,26.0,45.5,20.7,23.2,45.5,19.7,23.3,45.3,19.6,23.6,45.9,20.8,22.4
320033455,2,0,1,3.0,1.0,2.0,3.0,1.0,2.0,3.0,0.0,2.0,3.0,0.0,3.0,3.0,0.0,2.0,4.0,0.0,2.0
320033456,1,0,1,0.8,0.3,0.4,0.8,0.3,0.4,0.7,0.3,0.4,0.7,0.3,0.4,0.7,0.3,0.4,0.7,0.3,0.4
320033457,4,0,4,5.0,2.0,3.0,5.0,2.0,3.0,9.0,0.0,9.0,9.0,1.0,8.0,9.0,1.0,8.0,10.0,2.0,6.0
320033459,133,60,70,320.6,99.1,201.5,318.2,97.6,199.4,282.4,96.2,175.3,282.4,100.3,173.5,280.9,92.6,172.9,285.3,97.4,167.4
320033461,814,300,497,882.6,225.7,616.9,876.0,247.4,589.5,839.9,234.1,581.5,839.3,253.8,561.8,828.9,228.1,563.5,855.9,241.8,540.5
320033463,987,380,594,1049.5,343.2,644.6,1038.6,359.1,629.6,964.7,355.9,583.8,965.6,354.9,566.9,961.6,312.0,604.9,976.6,341.0,560.9
320033464,972,444,510,1003.0,373.0,587.0,991.0,378.0,554.0,879.0,370.0,477.0,881.0,358.0,494.0,871.0,344.0,494.0,880.0,365.0,472.0
320033465,737,366,361,792.0,351.0,405.0,781.0,343.0,383.0,719.0,343.0,354.0,721.0,334.0,364.0,718.0,312.0,376.0,719.0,335.0,350.0
320033466,5,0,5,5.2,1.9,2.9,5.1,1.9,2.9,4.7,1.9,2.6,4.7,2.0,2.5,4.7,1.8,2.7,4.7,1.8,2.5
320033469,676,361,309,1003.0,407.0,542.0,991.0,418.0,505.0,887.0,391.0,462.0,888.0,381.0,472.0,882.0,374.0,466.0,901.0,389.0,447.0
320033470,755,401,333,861.0,403.0,404.0,847.0,399.0,380.0,727.0,348.0,355.0,728.0,340.0,351.0,730.0,314.0,373.0,743.0,346.0,340.0
320033471,735,422,301,928.0,421.0,452.0,915.0,415.0,406.0,809.0,386.0,395.0,810.0,382.0,393.0,807.0,355.0,413.0,823.0,372.0,393.0
320033472,902,407,471,980.0,361.0,568.0,968.0,372.0,513.0,832.0,352.0,455.0,833.0,336.0,470.0,829.0,311.0,477.0,839.0,339.0,445.0
320033473,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320033477,19,8,11,22.8,8.3,13.4,21.8,8.3,12.4,20.7,7.3,13.4,20.7,6.3,13.4,20.7,6.3,14.4,20.7,6.3,14.4
320033479,6,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320033480,97,47,45,96.0,32.0,58.0,96.0,39.0,50.0,79.0,35.0,39.0,79.0,30.0,44.0,79.0,31.0,44.0,80.0,32.0,43.0
320033481,1203,749,438,1290.5,648.4,576.0,1273.6,637.8,538.4,1056.8,553.0,456.5,1057.3,537.5,461.2,1052.4,526.0,474.5,1063.5,552.6,449.5
320033482,1036,563,462,1171.0,480.0,606.0,1155.0,487.0,541.0,984.0,426.0,509.0,984.0,416.0,508.0,978.0,401.0,528.0,1006.0,430.0,496.0
320033483,1093,502,560,1575.7,614.5,867.2,1552.7,602.5,815.3,1411.8,590.5,775.3,1412.8,586.5,769.3,1405.8,551.5,797.3,1417.8,589.5,755.3
320033484,739,273,444,1217.4,372.5,767.8,1209.3,386.5,732.7,1169.2,369.5,760.7,1171.2,386.5,742.7,1158.2,352.5,756.7,1178.2,384.5,725.7
320033485,1022,523,482,1192.5,555.0,568.6,1172.9,551.9,527.0,1025.2,502.1,490.7,1023.3,498.0,482.7,1013.7,473.7,492.2,1036.6,500.8,463.3
320033486,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320033487,37,20,16,32.0,8.0,23.0,32.0,9.0,18.0,42.0,12.0,27.0,42.0,13.0,27.0,42.0,13.0,27.0,42.0,17.0,24.0
320033488,25,8,14,30.0,9.0,21.0,30.0,10.0,15.0,30.0,12.0,18.0,30.0,12.0,16.0,30.0,12.0,17.0,29.0,13.0,15.0
320033490,758,472,270,891.9,484.3,344.6,871.6,474.4,323.2,680.4,394.2,252.6,680.2,382.3,254.5,676.9,381.7,252.0,692.9,382.5,242.0
320033491,1098,611,469,1334.0,632.0,599.0,1309.0,629.0,553.0,1266.0,689.0,520.0,1265.0,681.0,513.0,1260.0,654.0,536.0,1288.0,688.0,512.0
320033492,3,3,0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
320033493,52,14,37,50.0,12.0,35.0,49.0,12.0,34.0,45.0,15.0,28.0,45.0,15.0,28.0,42.0,14.0,27.0,44.0,18.0,22.0
320033494,1011,427,572,1356.0,507.0,785.0,1333.0,501.0,760.0,1263.0,517.0,715.0,1263.0,501.0,709.0,1258.0,484.0,711.0,1267.0,517.0,697.0
320033495,880,485,380,918.0,374.0,484.0,906.0,386.0,457.0,765.0,351.0,385.0,763.0,337.0,384.0,759.0,336.0,384.0,766.0,346.0,367.0
320033497,100,38,59,116.0,38.0,74.0,117.0,42.0,69.0,99.0,35.0,60.0,99.0,32.0,59.0,99.0,27.0,63.0,103.0,32.0,58.0
320033498,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320033499,1,1,0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0
320033500,937,518,399,1037.0,458.0,495.0,1020.0,460.0,460.0,824.0,411.0,376.0,825.0,412.0,367.0,821.0,391.0,375.0,838.0,406.0,357.0
320033501,915,526,370,1304.0,612.0,593.0,1286.0,590.0,565.0,1050.0,543.0,461.0,1050.0,551.0,444.0,1043.0,523.0,457.0,1066.0,537.0,431.0
320033502,876,413,442,1046.0,407.0,566.0,1029.0,414.0,538.0,884.0,377.0,477.0,884.0,381.0,462.0,880.0,360.0,477.0,888.0,402.0,442.0
320033504,649,277,369,1067.5,316.5,708.3,1049.9,329.3,658.0,949.8,291.1,638.3,950.8,296.3,629.0,947.9,281.5,641.7,958.8,302.2,607.5
320033505,689,240,429,792.9,215.0,529.6,787.2,224.5,514.4,720.0,225.5,478.4,721.9,227.4,469.9,714.3,209.4,473.7,733.2,230.2,458.5
320033506,733,415,303,843.0,369.0,411.0,831.0,372.0,380.0,698.0,370.0,305.0,697.0,358.0,307.0,695.0,341.0,315.0,702.0,363.0,299.0
320033507,708,415,284,740.5,304.9,384.1,728.0,302.9,352.2,622.3,297.9,299.4,623.4,300.0,297.0,619.4,280.7,305.3,631.8,289.5,294.1
320033508,1067,615,434,1203.0,548.0,548.0,1185.0,535.0,539.0,976.0,490.0,445.0,976.0,485.0,441.0,972.0,470.0,448.0,986.0,476.0,425.0
320033509,800,426,364,848.5,352.1,443.9,836.0,337.1,415.8,736.7,342.1,364.6,738.6,334.0,374.0,733.6,320.3,372.7,749.2,326.5,365.9
320033510,1213,564,634,2067.0,716.0,1229.0,2042.0,722.0,1183.0,1866.0,716.0,1096.0,1867.0,705.0,1093.0,1857.0,655.0,1111.0,1891.0,720.0,1064.0
320033511,59,26,32,116.0,38.0,72.0,116.0,38.0,69.0,113.0,36.0,73.0,113.0,35.0,76.0,113.0,31.0,76.0,115.0,34.0,74.0
320033512,29,6,23,33.0,5.0,25.0,33.0,5.0,24.0,30.0,3.0,25.0,30.0,3.0,27.0,30.0,3.0,26.0,30.0,6.0,24.0
320033514,731,355,362,834.2,329.0,454.0,819.0,336.5,419.6,692.3,292.9,376.8,694.0,294.6,380.1,689.8,282.8,377.6,699.9,306.3,359.2
320033515,104,59,43,116.7,42.1,67.0,114.8,42.1,63.1,101.4,38.3,58.4,102.4,38.3,61.2,102.4,37.3,62.2,103.3,40.2,59.3
320033516,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320033518,10,4,5,11.0,2.0,7.0,11.0,2.0,7.0,9.0,1.0,7.0,9.0,3.0,3.0,9.0,2.0,4.0,11.0,1.0,4.0
320033519,30,8,22,19.0,5.0,14.0,18.0,5.0,13.0,16.0,8.0,8.0,16.0,5.0,10.0,16.0,5.0,9.0,16.0,7.0,9.0
320033520,875,430,432,1136.8,472.5,585.1,1119.0,456.7,568.1,984.2,425.0,527.5,982.3,424.0,520.7,972.4,404.2,517.8,994.2,428.0,501.9
320033521,19,12,7,17.0,9.0,7.0,17.0,10.0,6.0,17.0,11.0,6.0,17.0,14.0,2.0,17.0,9.0,5.0,17.0,14.0,3.0
320033522,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320033523,1147,383,734,1524.3,448.8,987.9,1507.7,451.0,957.1,1393.8,454.9,891.9,1395.0,461.6,895.3,1389.5,429.6,868.7,1416.4,455.1,850.1
320033524,4,3,1,7.9,3.0,4.4,7.8,3.2,3.9,7.2,3.5,3.4,7.2,3.4,3.5,7.2,3.3,3.5,7.3,3.4,3.3
320033525,545,303,229,607.5,230.6,339.5,597.3,246.3,300.1,553.1,266.9,260.2,551.9,263.2,266.9,548.8,251.1,272.3,559.1,260.2,249.9
320033526,436,208,217,388.5,147.4,217.1,382.0,157.5,191.9,353.7,170.7,166.4,352.9,168.3,170.7,351.0,160.6,174.1,357.6,166.4,159.8
320033527,669,374,286,4720.0,2152.0,2249.0,4636.0,2077.0,2174.0,4411.0,2300.0,1969.0,4411.0,2271.0,1989.0,4388.0,2150.0,2043.0,4437.0,2267.0,1924.0
320033528,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320033529,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320033530,1483,850,606,2673.7,1419.7,1049.3,2628.2,1377.2,987.9,2291.5,1356.2,825.3,2289.5,1334.4,819.2,2277.6,1294.9,871.9,2300.4,1326.5,808.4
320033531,216,82,130,345.4,95.9,231.4,340.4,98.6,219.5,327.0,102.2,215.3,327.6,100.7,218.9,326.7,94.4,207.3,334.1,101.0,204.9
320033532,281,95,178,346.9,102.1,224.7,342.0,107.4,213.1,361.6,109.7,242.6,362.3,106.4,243.8,359.9,98.5,237.6,368.5,104.9,234.7
320033533,23,5,18,1.7,0.8,0.8,1.7,0.8,0.8,11.8,0.0,11.8,11.8,0.0,11.8,11.8,0.0,10.1,12.7,0.0,11.0
320033535,59,25,32,61.1,16.8,36.5,61.1,19.7,38.5,57.0,19.0,35.0,57.0,13.0,42.0,56.0,17.0,33.0,57.0,16.0,37.0
320033536,387,145,224,302.4,88.5,185.7,298.5,85.6,176.0,258.6,68.1,173.1,258.6,72.9,164.3,257.7,62.2,176.0,262.5,77.8,163.3
320033537,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320033540,405,167,229,416.8,126.0,264.9,408.8,130.0,245.9,388.8,128.9,246.9,387.8,117.9,243.9,380.8,119.9,237.9,404.8,119.9,237.9
320033541,1015,501,500,1885.0,816.0,988.0,1851.0,757.0,1010.0,2610.0,1234.0,1315.0,2609.0,1242.0,1317.0,2589.0,1120.0,1364.0,2620.0,1187.0,1310.0
320033543,27,16,10,8.8,2.5,5.4,8.7,2.5,5.1,7.6,2.0,5.1,7.6,2.1,4.8,7.6,1.8,5.2,7.7,2.3,4.8
320033544,1014,547,455,2167.0,921.0,1114.0,2124.0,818.0,1188.0,1850.0,821.0,988.0,1850.0,827.0,977.0,1835.0,748.0,1015.0,1854.0,816.0,954.0
320033546,1373,848,503,2448.9,1173.9,1090.0,2413.2,1143.3,1058.3,2446.8,1324.9,1023.6,2447.7,1318.8,1013.6,2436.5,1259.1,1055.7,2469.9,1294.8,991.2
320033547,1023,556,451,1982.3,856.0,999.3,1958.2,835.6,969.4,1929.0,913.9,947.1,1929.2,895.4,947.3,1918.8,855.5,966.6,1951.4,899.8,914.9
320033548,1006,389,602,1203.1,442.0,683.8,1184.8,451.0,650.0,1046.5,414.4,590.0,1046.6,406.9,591.4,1042.8,386.5,594.6,1046.9,418.3,567.3
320033549,1432,742,665,2170.0,773.0,1252.7,2137.0,792.5,1178.6,1966.5,820.1,1052.6,1964.5,791.7,1081.7,1959.9,767.2,1079.8,1985.9,813.5,1023.2
320033550,792,353,428,837.1,298.7,491.7,827.2,297.2,473.2,801.9,301.8,475.9,804.2,296.1,471.6,800.5,280.9,481.1,811.3,309.3,438.8
320033551,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320033552,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320033553,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320033555,62,22,40,79.5,24.5,51.7,78.1,25.7,48.0,69.2,21.9,45.7,69.2,22.7,45.0,69.1,21.5,46.3,70.2,22.8,43.5
320033556,517,229,275,534.0,196.0,312.0,522.0,190.0,302.0,472.0,191.0,263.0,472.0,189.0,264.0,471.0,177.0,265.0,479.0,193.0,254.0
320033557,1104,610,480,1534.0,753.0,687.0,1512.0,698.0,721.0,1320.0,678.0,602.0,1322.0,688.0,594.0,1312.0,641.0,609.0,1327.0,667.0,590.0
320033558,0,0,0,4.0,0.0,4.0,4.0,0.0,4.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0
320033559,2,0,2,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0
320033560,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320033562,7,0,7,11.0,0.0,11.0,11.0,0.0,10.0,7.0,0.0,7.0,7.0,0.0,7.0,7.0,0.0,7.0,7.0,0.0,7.0
320033563,28,16,12,68.9,19.1,46.1,67.9,19.7,43.8,65.2,20.4,42.9,65.3,20.1,43.6,65.1,18.8,41.3,66.6,20.1,40.9
320033564,102,37,62,381.0,107.0,252.8,376.2,103.6,250.4,352.5,118.9,223.2,352.6,121.0,220.4,348.1,112.0,223.7,352.0,113.3,223.1
320033565,624,360,258,923.0,417.0,444.0,913.0,396.0,452.0,747.0,354.0,371.0,749.0,355.0,366.0,743.0,340.0,371.0,754.0,362.0,355.0
320033566,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320033568,2,0,2,0.9,0.2,0.5,0.9,0.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320033569,216,127,85,1867.1,899.9,838.3,1840.0,872.6,809.9,1699.4,894.3,725.4,1698.7,876.6,750.2,1691.1,848.5,738.4,1711.5,879.1,711.3
320033570,64,15,49,59.0,17.0,37.0,58.0,18.0,35.0,49.0,17.0,31.0,49.0,16.0,32.0,48.0,14.0,33.0,48.0,17.0,30.0
320033571,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320033572,0,0,0,5.0,1.0,4.0,5.0,1.0,4.0,12.0,1.0,10.0,12.0,1.0,10.0,12.0,2.0,10.0,11.0,0.0,11.0
320033573,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320033574,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320033575,478,222,250,688.0,259.0,369.0,676.0,254.0,387.0,602.0,284.0,301.0,604.0,276.0,302.0,598.0,259.0,313.0,606.0,273.0,297.0
