GEOID10,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
484391062,632.0,356.0,217.0,625,338,287
480270311,1741.8,268.7,1404.2,1468,338,1130
480270317,2.2,0.3,1.8,0,0,0
480270104,3653.5,731.5,2702.1,2852,675,2177
480350001,472.0,61.0,401.0,449,111,338
482010736,17.0,16.0,1.0,6,4,2
484393039,2941.5,858.1,1934.4,1974,501,1473
482010422,1743.0,1663.0,57.0,1991,1959,32
480850082,1621.0,643.0,866.0,1612,662,950
482010813,3946.0,2285.0,1493.0,3045,1561,1484
482010305,2919.0,1976.0,826.0,1901,1083,818
482010877,2303.0,1424.0,779.0,1212,691,521
482010807,1124.0,914.0,164.0,1240,1018,222
482170010,1005.0,245.0,734.0,1068,363,705
483490101,589.6,167.7,407.0,590,246,344
483490103,1031.6,273.9,724.2,1294,386,908
483490400,961.9,231.1,689.8,1356,333,1023
483490208,106.0,40.5,64.0,135,123,12
480293019,19.0,11.0,6.0,29,20,9
480050024,1502.4,260.7,1185.2,1322,307,1015
480050007,798.6,66.3,705.8,520,58,462
48005008B,319.7,23.5,287.5,313,81,232
480050005,882.4,425.3,432.3,822,407,415
480050009,481.0,295.7,173.8,371,193,178
480050013,959.1,295.5,621.9,1058,364,694
480050014,1183.4,354.4,786.4,1428,408,1020
480050036,77.2,22.5,52.0,71,24,47
480050025,1355.0,211.0,1112.0,1274,297,977
480130002,574.0,233.0,320.0,228,100,128
480130010,572.0,200.0,360.0,377,158,219
480130024,812.0,265.0,518.0,581,199,382
480211014,2878.6,1029.3,1671.8,2195,1013,1182
480211001,2869.2,963.5,1699.7,2433,1034,1399
480213019,2026.7,789.8,1115.4,1684,774,910
480010018,1297.0,185.0,1090.0,1239,292,947
480030002,1681.0,222.0,1392.0,1587,210,1377
480030003,1191.0,211.0,944.0,1161,213,948
480050034,1509.2,360.8,1072.0,1473,362,1111
480050028,1177.7,214.6,921.7,982,178,804
480050037,297.0,45.7,240.1,228,60,168
48005016B,371.8,178.5,182.8,504,166,338
480050016,687.9,332.0,336.5,636,392,244
480050038,184.4,33.9,146.8,15,4,11
480050031,226.0,58.8,162.9,242,62,180
480050015,214.6,39.2,170.9,332,77,255
480050023,396.0,48.0,338.0,295,68,227
480050008,486.6,36.2,437.1,705,112,593
48005014B,1209.1,314.6,831.7,1229,342,887
480070002,2133.2,614.3,1440.9,1970,768,1202
480070003,3138.3,745.3,2287.1,2860,818,2042
480070001,1178.0,227.0,910.7,3085,1073,2012
48007004A,761.0,143.0,599.0,687,184,503
480070004,2499.6,555.3,1852.4,2279,671,1608
480090008,242.0,17.0,217.0,227,35,192
480090013,122.7,12.3,108.1,136,34,102
480090003,272.0,22.0,246.0,227,30,197
480090004,460.5,20.8,433.9,455,43,412
480090005,161.7,12.2,145.5,161,34,127
480090011,42.5,3.8,37.5,52,4,48
480090007,120.6,7.0,110.9,131,21,110
480130001,480.0,124.0,343.0,243,93,150
480130013,1217.6,337.5,840.0,726,317,409
480130019,355.4,91.5,248.0,210,69,141
480130003,611.5,216.9,370.1,492,257,235
480130015,1103.5,470.1,601.9,916,567,349
480130020,2176.0,441.0,1668.0,1483,425,1058
480130017,896.0,536.0,337.0,873,599,274
480130011,42.0,6.0,36.0,47,9,38
480130016,136.0,41.0,90.0,96,46,50
480130023,587.5,266.1,304.9,392,180,212
480130005,531.7,244.3,266.2,317,176,141
480130008,342.7,108.6,223.9,285,119,166
480130007,786.0,306.0,461.0,702,335,367
480130014,214.0,56.0,153.0,174,79,95
480150104,362.6,60.8,294.4,340,52,288
