GEOID20,Tot_2020_acstot,Wh_2020_acstot,His_2020_acstot,BlC_2020_acstot,NatC_2020_acstot,AsnC_2020_acstot,PacC_2020_acstot,Tot_2020_cvap,Wh_2020_cvap,His_2020_cvap,BlC_2020_cvap,NatC_2020_cvap,AsnC_2020_cvap,PacC_2020_cvap,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap,Tot_2020_nhvap,Wh_2020_nhvap,His_2020_nhvap,Bl_2020_nhvap,Asn_2020_nhvap,Nat_2020_nhvap,Pac_2020_nhvap,OthAl_2020_nhvap,Mix_2020_nhvap
720030038.5,4603,428,4166,1040,748,0,0,3859,383,3470,0,0,0,0,4527,13,4505,449,162,5,4,3835,9,3817,397,131,5,3,3835,9,3817,1,0,0,0,5,3
720030038.6,3161,88,2972,700,494,0,0,2619,89,2513,0,16,0,0,3095,35,3053,364,107,13,1,2620,34,2579,307,89,12,1,2620,34,2579,2,2,0,0,0,3
720030038.4,2819,209,2535,708,487,0,0,2069,184,1870,0,9,0,0,2456,17,2435,221,87,5,1,2083,16,2064,169,62,4,1,2083,16,2064,0,2,0,0,0,1
72003038.16,3802,258,3501,775,737,0,0,3303,240,3019,0,0,0,0,3911,10,3894,440,127,3,4,3268,8,3254,382,120,3,3,3268,8,3254,1,0,0,0,3,2
72003038.11,1306,65,1228,165,143,0,0,1058,80,977,0,0,0,0,1259,3,1256,140,42,4,3,1039,3,1036,126,35,1,1,1039,3,1036,0,0,0,0,0,0
72003038.10,2403,82,2319,507,340,4,0,2065,85,1980,0,0,0,0,2494,12,2475,280,95,4,3,2109,12,2092,244,82,4,2,2109,12,2092,3,0,0,0,0,2
720030038.2,2613,263,2332,307,205,0,0,2190,274,1912,0,0,0,0,2412,2,2405,175,57,5,2,2029,2,2022,154,51,2,0,2029,2,2022,0,0,0,0,1,4
720030038.3,1214,91,1098,252,99,0,0,1051,92,939,0,0,0,0,1486,8,1477,156,48,4,1,1239,4,1234,127,32,2,1,1239,4,1234,0,0,0,0,1,0
720030038.7,1017,73,920,201,69,0,0,873,73,787,0,0,0,0,1408,3,1403,99,28,6,2,1168,3,1163,78,25,6,2,1168,3,1163,0,0,0,0,0,2
72003038.15,1838,69,1760,516,335,0,0,1530,60,1461,0,0,0,0,1494,18,1473,286,21,1,2,1268,18,1247,247,15,0,1,1268,18,1247,1,0,0,0,1,1
720030038.1,2385,117,2260,485,402,0,0,1738,88,1642,0,0,0,0,2072,30,2039,239,72,5,0,1736,27,1706,217,60,5,0,1736,27,1706,1,2,0,0,0,0
72005ZZZZZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720050035.8,5148,51,5076,250,42,6,0,4243,43,4194,2,0,5,0,5786,105,5643,640,226,15,14,4851,85,4731,557,182,13,13,4851,85,4731,16,3,0,0,8,8
720050035.5,3107,315,2653,125,3,40,7,2426,250,2110,23,0,40,0,2944,231,2665,356,172,24,10,2557,182,2334,303,127,13,7,2557,182,2334,10,11,0,1,11,8
72005035.17,4574,22,4553,169,0,0,0,3799,16,3782,0,0,0,0,4787,39,4733,488,153,15,2,3973,37,3922,417,134,9,2,3973,37,3922,2,2,0,0,1,9
720050035.7,1658,40,1618,63,0,0,0,1235,26,1210,0,0,0,0,1727,11,1708,242,52,3,0,1317,11,1298,206,41,3,0,1317,11,1298,5,1,2,0,0,0
720050035.3,3400,125,3260,66,2,0,0,2921,68,2852,0,0,0,0,3355,29,3316,347,85,7,9,2869,27,2835,295,75,7,8,2869,27,2835,3,1,0,0,0,3
720050035.4,1030,79,922,5,4,0,0,868,66,805,0,0,0,0,1239,20,1213,88,28,3,0,1048,15,1027,78,28,3,0,1048,15,1027,2,3,0,0,0,1
720050035.6,1979,2,1977,48,13,0,0,1802,1,1801,0,0,0,0,1980,19,1943,205,57,3,3,1742,17,1712,176,41,3,2,1742,17,1712,0,3,1,0,5,4
72005035.19,3167,0,3126,152,100,18,0,2351,20,2311,0,0,0,0,3308,33,3258,389,110,7,1,2518,29,2473,313,81,5,0,2518,29,2473,6,3,0,0,5,2
72005035.15,3661,0,3654,137,0,0,0,2884,0,2877,8,0,0,0,3268,11,3250,342,95,12,2,2608,11,2591,277,80,10,1,2608,11,2591,0,5,0,0,0,1
72005035.16,1991,0,1979,109,63,0,0,1579,0,1579,0,0,0,0,1833,8,1821,315,58,2,3,1484,8,1473,266,46,1,1,1484,8,1473,2,1,0,0,0,0
720050035.1,1853,21,1804,112,20,10,0,1470,29,1434,9,0,0,0,1600,5,1595,241,54,2,2,1314,4,1310,193,46,2,0,1314,4,1310,0,0,0,0,0,0
720050035.2,1808,9,1772,103,10,0,0,1456,17,1426,11,0,0,0,1958,23,1926,359,147,3,7,1564,18,1543,289,109,3,7,1564,18,1543,3,0,0,0,0,0
72005035.11,2805,0,2799,115,0,0,0,2363,0,2357,6,0,0,0,3504,18,3479,354,91,6,5,2970,14,2949,299,70,6,5,2970,14,2949,2,4,0,0,0,1
