GEOID20,Tot_2018_gov,D_2018_gov,R_2018_gov,Tot_2018_sen,D_2018_sen,R_2018_sen,Tot_2018_ag,D_2018_ag,R_2018_ag,Tot_2020_pres,D_2020_pres,R_2020_pres,Tot_2016_sen,D_2016_sen,R_2016_sen,Tot_2016_pres,D_2016_pres,R_2016_pres
0900909-076,1724,740,945,1703,922,774,1678,799,871,2234,1198,1010,1885,1143,710,1930,897,956
0900909-033,2037,788,1180,1965,994,950,1947,822,1103,2876,1314,1524,2390,1475,857,2516,1025,1406
0900909-063,1666,728,835,1624,918,689,1604,726,854,2125,1191,897,1824,1170,626,1883,955,834
0900909-115,620,525,81,615,570,42,600,527,63,634,571,56,691,602,67,698,615,39
0900909-088,402,360,36,406,378,27,391,356,33,185,173,9,439,378,50,476,441,22
0900909-010,2675,1253,1345,2626,1557,1045,2590,1317,1259,3459,1936,1462,2969,1907,1008,3060,1588,1352
0900909-134,1330,728,560,1324,875,438,1305,763,527,1584,1034,525,1415,1013,379,1421,863,490
0900909-057,635,454,157,624,505,113,601,454,138,1017,704,293,806,660,121,907,719,157
0900101-004,2187,1110,1019,2174,1291,862,2141,1127,990,2852,1673,1133,2455,1312,1087,2514,1304,1082
0900909-177,711,549,152,690,566,115,682,526,146,1071,753,313,979,814,133,1075,872,180
0900101-127,4173,1305,2776,4127,1692,2405,4022,1346,2670,5517,2269,3169,4805,2364,2381,4947,1702,3077
0900909-122,1049,966,77,1028,965,52,994,906,72,1434,1316,101,1378,1282,65,1428,1299,90
0901515-001,2055,962,965,2037,1105,900,2026,978,1021,2544,1330,1160,2287,1360,843,2332,1112,1042
0901515-009,683,249,392,671,358,308,674,270,393,993,389,581,729,432,277,771,289,422
0900101-084,3113,1435,1638,3108,1719,1357,3035,1479,1529,4138,2380,1564,3498,1927,1516,3538,1915,1478
0900101-106,1836,1344,456,1823,1441,364,1806,1370,424,2691,2046,611,2083,1592,431,2212,1615,516
0900101-114,2827,1614,1170,2793,1783,971,2737,1616,1098,4008,2594,1374,3283,2135,1067,3422,1980,1315
0900909-179,916,751,150,888,779,100,857,719,130,1389,1022,360,1303,1135,140,1432,1198,213
0901515-029,1734,1235,423,1720,1362,325,1664,1216,416,2050,1456,563,2076,1703,307,2312,1657,537
0900909-025,565,224,322,557,293,257,549,242,302,702,358,339,604,395,202,621,287,311
0900101-118,1646,846,778,1634,973,642,1616,888,717,2048,1275,735,1842,979,825,1844,1010,732
0900101-166,2527,1150,1326,2506,1370,1115,2370,1184,1175,3277,1865,1380,2876,1720,722,2935,1372,1444
0900101-059,1640,699,917,1622,899,709,1569,757,800,2336,1425,870,2004,1016,943,2078,1159,798
0901515-028,1072,572,414,1043,697,328,1031,580,434,1028,635,361,1272,932,306,1339,791,464
0900101-041,1226,557,639,1214,639,562,1177,553,613,1607,823,766,1424,779,621,1460,654,752
0900101-048,1329,848,444,1312,922,365,1268,816,437,1809,1141,651,1282,1117,115,1745,1158,515
0900101-058,1607,599,986,1592,808,772,1560,678,879,2070,1285,747,1834,848,964,1834,1000,731
0900707-021,2541,1425,960,2507,1667,807,2466,1450,985,3472,2331,1094,2943,2028,826,3013,1854,981
0901111-037,1386,626,670,1375,782,566,1358,629,712,1778,980,769,1550,1011,498,1590,750,747
0901515-021,1046,362,617,1032,465,550,1022,349,659,1411,590,795,1149,626,485,1196,433,692
0900909-050,1821,1124,642,1801,1299,483,1787,1162,602,2402,1714,669,2098,1536,511,2134,1380,669
0900707-006,226,96,119,221,111,106,219,91,125,279,126,147,242,140,99,247,108,125
0900707-007,42,18,22,41,21,20,42,17,24,53,24,28,44,26,18,47,21,24
0900707-005,2539,971,1427,2499,1235,1233,2483,1059,1394,3055,1577,1413,2729,1512,1155,2743,1253,1328
0900707-004,2380,1150,1098,2353,1442,883,2318,1226,1064,2902,1785,1076,2569,1679,841,2606,1412,1077
0900303-006,2025,744,1127,1988,966,1007,1922,791,1110,2605,1244,1335,2238,1311,891,2304,969,1257
0900303-127,3752,1578,1934,3711,2005,1682,3672,1677,1962,4774,2578,2142,4222,2584,1577,4281,2151,1993
0900303-004,1151,425,643,1128,562,558,1107,460,635,1490,701,772,1347,778,544,1382,635,702
0900303-088,3284,1928,1120,3258,2237,972,3223,2005,1177,4731,3419,1249,3804,2719,995,3912,2503,1233
0900505-017,1822,688,990,1802,847,920,1778,745,1002,2233,1081,1091,1995,1013,928,2024,866,1029
0900303-135,2322,1055,1079,2293,1351,913,2270,1156,1082,3020,1849,1117,2638,2400,179,2673,1466,1073
0900303-051,245,90,135,242,115,117,233,101,128,307,168,135,254,127,123,255,120,123
0900303-044,136,66,63,135,84,50,135,71,63,176,106,65,158,101,51,159,90,68
0900303-080,944,811,124,906,813,82,796,698,98,1354,1111,239,1415,1291,101,1560,1405,130
0900303-175,3773,1646,1771,3741,2113,1581,3702,1821,1840,4610,2826,1703,4071,2371,1626,4100,2251,1621
0900303-056,4005,1906,1717,3991,2375,1578,3927,2058,1825,4961,3231,1654,4193,2700,1412,4234,2469,1558
0900303-054,2989,1157,1559,2965,1539,1392,2934,1335,1581,3704,2189,1439,3283,1824,1403,3258,1718,1357
0900303-162,1876,915,819,1841,1092,730,1817,955,838,2436,1434,966,2118,1343,730,2160,1146,900
0900303-046,920,383,462,902,483,413,898,427,459,1174,652,511,999,562,420,1012,511,467
0900303-015,2836,1121,1530,2785,1481,1272,2752,1177,1536,3684,1867,1755,3341,2076,1202,3417,1531,1741
0900303-172,1369,659,608,1352,816,518,1332,703,615,1735,1118,591,1483,940,515,1492,838,592
0900303-105,936,709,203,897,735,152,803,640,151,1368,994,361,1304,1134,151,1430,1179,221
0900303-001,4025,1673,2046,3972,2186,1744,3933,1888,2014,4820,2866,1875,4280,2300,1911,4317,2242,1850
0900505-044,767,298,431,765,367,388,753,310,439,945,465,470,833,420,397,858,352,451
0900505-007,897,328,542,893,384,501,882,332,541,1141,548,574,980,463,493,985,416,530
0900303-113,1587,1058,476,1526,1165,352,1392,985,399,2220,1512,683,1979,1588,347,2098,1516,517
0900303-092,2191,1011,975,2172,1246,909,2147,1115,1010,2535,1551,934,2269,1360,871,2305,1231,966
0900303-036,788,317,416,774,408,360,766,334,429,976,521,446,901,539,341,919,394,481
0900303-090,3126,1912,1020,3082,2127,910,3041,1970,1030,4330,3100,1157,3631,2623,880,3778,2429,1124
0900303-083,817,627,134,797,670,115,780,626,142,1117,931,164,933,751,151,987,812,133
0900303-118,1560,753,696,1541,930,598,1488,789,682,1980,1172,774,1772,1197,534,1799,989,715
0900303-141,2522,1009,1382,2495,1262,1190,2364,1057,1273,3415,1702,1643,2813,1668,1074,2939,1266,1509
0900303-063,1269,1075,134,1232,1105,109,1183,1041,141,1685,1434,215,1567,1370,138,1666,1442,149
0900505-038,500,138,338,493,178,311,492,145,343,700,275,403,560,268,285,569,192,349
0900505-039,9,2,6,8,3,5,8,2,6,13,5,7,10,5,5,10,3,6
0900505-029,1350,635,674,1340,747,579,1327,670,645,1622,937,660,1450,802,618,1474,765,638
0900505-020,1766,856,836,1744,1016,699,1724,867,817,2417,1339,1042,1972,1188,717,2031,994,933
0900101-050,1111,803,302,1110,848,249,1066,760,293,1687,1217,454,1543,1142,351,1653,1184,409
0900101-016,1521,1375,135,1540,1438,88,1506,1380,116,2237,1956,261,1957,1820,112,2066,1876,154
0900101-061,4006,1757,2181,3951,2125,1795,3862,1825,2013,5023,2777,2178,4481,2311,2091,4526,2203,2131
0900101-079,1083,509,564,1073,648,415,1050,549,497,1335,922,390,1186,658,509,1164,699,394
0900101-161,1522,1245,257,1500,1307,185,1402,1178,216,2183,1813,350,1884,1658,192,1993,1634,304
0900505-012,2796,1212,1445,2770,1489,1258,2735,1272,1443,3315,1830,1416,3011,1700,1244,3053,1543,1359
0901313-016,1631,541,970,1605,686,884,1583,546,1013,2092,825,1230,1804,970,784,1857,638,1116
0900505-013,717,168,511,705,222,470,705,177,520,886,294,574,782,300,464,795,202,541
0900101-176,2052,1149,882,2046,1367,666,2029,1230,787,2661,1953,668,2321,1399,887,2316,1534,685
0901313-005,3120,1253,1611,3080,1564,1468,3035,1317,1679,3863,1977,1781,3362,1916,1353,3389,1556,1644
0900505-016,1283,415,810,1270,497,760,1261,437,815,1561,653,874,1405,629,747,1418,510,838
0900303-069,497,451,33,485,454,24,474,422,42,788,690,81,614,553,42,682,608,55
0900303-086,1085,290,730,1056,362,679,1053,304,733,1292,457,818,1198,452,712,1238,349,804
0900101-137,784,549,223,776,578,186,764,549,212,1155,854,284,938,683,233,963,698,232
0900101-131,1915,1226,658,1886,1331,531,1843,1248,582,2635,1694,909,2251,1571,618,2368,1471,812
0900101-132,40,26,14,40,29,11,39,27,12,55,36,19,47,33,14,48,31,17
0900101-142,1623,1218,389,1597,1276,304,1551,1184,358,2312,1769,524,1819,1420,360,1902,1467,385
0900101-115,2196,1205,952,2164,1367,771,2141,1224,901,3012,1829,1142,2445,1604,791,2581,1448,1026
0900101-100,188,93,91,189,107,81,188,99,88,225,139,82,211,112,97,213,108,96
0900101-126,3895,1397,2413,3833,1776,2019,3795,1504,2265,5284,2571,2666,4249,2353,1835,4366,1808,2417
0900101-189,699,526,162,691,549,136,673,520,149,1089,814,260,896,733,139,953,712,213
0900101-143,3006,2496,482,2976,2563,373,2922,2471,430,4283,3525,722,1945,1420,459,3918,3294,519
0901515-010,1478,467,920,1444,612,813,1437,470,952,1656,672,945,1641,826,766,1696,543,1032
0901515-011,212,82,123,208,105,102,209,78,129,312,148,156,323,188,130,338,132,188
0901515-026,552,170,349,534,240,287,528,172,351,735,310,416,649,358,279,686,229,418
0901111-018,1832,939,764,1803,1133,649,1792,934,843,2252,1482,733,2016,1320,658,2055,1196,769
0900909-068,1451,451,953,1435,570,858,1426,469,945,1791,766,996,1585,665,884,1628,567,987
0900707-008,1123,381,682,1100,480,605,1091,402,676,1395,636,742,1226,653,537,1244,516,679
0900909-171,2193,1172,951,2144,1330,790,2098,1166,907,2986,1840,1116,2604,1767,766,2733,1571,1061
0900909-172,2165,1145,967,2108,1271,811,2081,1149,907,3007,1804,1170,2611,1730,826,2762,1594,1076
0900101-134,1135,764,353,1121,821,286,1102,770,322,1514,1040,448,1389,1015,343,1457,997,409
0900101-135,919,616,285,909,660,234,886,618,260,1216,839,359,1116,818,275,1169,803,328
0900101-150,1729,903,794,1701,1015,674,1673,977,688,2240,1318,896,1894,1213,648,1955,1052,840
0900303-030,1988,1239,636,1940,1386,521,1910,1251,633,2776,1934,815,2467,1898,520,2569,1750,724
0900303-024,5496,2391,2672,5445,3033,2359,5405,2598,2748,6663,3878,2663,5908,3387,2391,6002,3100,2601
0900303-098,1138,745,346,1098,821,262,984,680,284,1657,1131,513,1413,1148,231,1527,1096,388
0900303-026,1774,1320,394,1712,1378,321,1671,1287,372,2638,2114,508,2376,1995,350,2515,1993,449
0900303-005,2448,997,1279,2404,1246,1136,2279,1018,1223,3108,1512,1543,2661,1627,984,2786,1274,1395
0900303-110,2052,1191,764,1980,1358,600,1761,1107,631,3151,1975,1130,2449,1771,616,2625,1640,881
0900303-111,286,167,108,281,192,86,250,155,88,448,278,160,350,249,87,370,232,123
0900303-174,2641,1073,1388,2603,1381,1194,2560,1150,1376,3541,1857,1639,3018,1832,1111,3089,1377,1553
0900303-075,1303,1144,134,1245,1140,96,1222,1084,128,1877,1562,310,1741,1608,101,1871,1688,152
0900303-093,2487,1250,1050,2458,1466,956,2429,1310,1078,3147,1956,1145,2748,1748,934,2807,1571,1099
0900303-163,2530,1150,1185,2493,1444,1024,2458,1247,1184,3253,1928,1283,2822,1741,1037,2885,1499,1274
0900303-149,2000,697,1189,1973,933,1009,1891,729,1140,2530,1194,1304,2185,1247,888,2205,931,1167
0900303-065,831,781,34,786,766,17,747,710,35,1159,1087,65,1089,1061,16,1167,1118,31
0900303-140,2058,752,1198,2018,960,1038,1970,793,1161,2642,1280,1328,2254,1299,910,2304,968,1229
0900303-134,764,340,366,761,415,335,744,376,360,953,532,406,931,518,392,886,452,388
0900303-145,1798,554,1169,1778,770,994,1712,607,1092,2359,1010,1315,1945,1002,916,1970,766,1135
0900101-165,2326,1113,1149,2297,1353,918,2165,1117,1025,3007,1738,1238,2612,1654,912,2688,1308,1268
0900101-013,1359,1055,288,1340,1115,217,1311,1057,247,1860,1473,373,1628,1355,248,1718,1323,342
0900505-015,135,38,90,135,53,79,135,42,91,160,63,90,141,56,82,142,50,88
0900303-151,2935,1805,898,2910,2164,708,2863,1963,861,3453,2538,867,3278,2454,763,3301,2413,771
0901111-020,1052,411,570,1032,528,489,1032,416,595,1391,660,697,1222,675,509,1252,485,683
0900909-020,2899,1309,1453,2866,1666,1177,2846,1434,1386,3607,2103,1441,3183,1972,1169,3227,1700,1383
0900909-145,1599,446,1110,1567,604,948,1568,473,1081,2054,741,1288,1769,886,855,1833,592,1184
0901111-025,1240,469,698,1218,635,569,1206,464,722,1576,666,866,1379,850,494,1401,552,758
0901111-024,662,264,363,639,337,291,650,256,386,914,433,465,758,470,269,780,316,417
0900909-164,550,328,202,531,366,159,532,342,187,757,483,267,677,505,156,734,471,240
0900909-089,849,774,53,842,794,42,795,735,51,1279,1150,103,1311,1206,81,1370,1258,75
0900909-126,1058,932,101,1041,947,88,1013,915,91,1415,1223,180,1315,1202,94,1366,1225,103
0900909-051,581,370,198,573,424,147,565,373,186,740,529,200,661,510,142,680,463,193
0900101-121,3629,1853,1709,3599,2199,1369,3566,1968,1578,4587,2921,1591,3907,2155,1683,3935,2178,1575
0900909-184,1743,1107,593,1702,1217,466,1675,1123,530,2580,1806,740,2176,1689,433,2292,1584,635
0900909-094,689,595,81,658,599,52,630,562,60,883,703,176,1023,946,67,1076,964,96
0900909-060,1149,623,484,1130,748,367,1108,651,441,1526,934,570,1366,975,368,1438,861,521
0900101-156,2679,1514,1136,2666,1725,918,2658,1683,950,3407,2196,1167,3068,1938,1087,3132,1880,1126
0900101-157,464,263,197,461,299,159,461,291,166,589,380,202,530,336,188,542,325,195
0900101-198,1131,534,580,1123,624,498,1064,514,549,1288,720,559,1133,663,460,1143,554,563
0900101-095,2906,1204,1659,2904,1558,1321,2868,1350,1506,3760,2281,1416,3266,1518,1677,3285,1778,1299
0900909-128,363,332,24,348,329,16,334,308,25,540,477,55,446,419,19,485,453,25
0900101-087,1868,684,1174,1865,900,950,1832,752,1078,2312,1419,859,2110,951,1129,2058,1141,795
0900909-047,3084,1828,1175,3046,2064,960,3018,1841,1156,3965,2759,1163,3792,2676,1061,3871,2395,1368
0900707-014,244,111,115,241,127,112,241,113,125,259,140,116,254,149,101,256,126,119
0900707-019,721,407,267,714,487,216,708,436,261,960,666,282,828,587,223,840,524,280
0900505-024,1988,801,1112,1963,958,983,1946,811,1116,2694,1244,1407,2287,1191,1053,2323,926,1291
0900303-171,2538,1510,894,2530,1741,765,2502,1571,909,3175,2278,854,2734,1900,777,2772,1808,847
0900303-033,857,337,468,845,418,417,827,345,475,1129,592,507,1011,584,405,1062,453,556
0900101-007,279,229,49,273,237,35,259,221,37,424,332,87,355,306,43,384,316,60
0900303-070,530,487,27,490,468,18,483,446,31,842,741,92,914,868,30,1004,956,30
0900505-008,796,247,505,783,289,484,772,257,510,959,354,587,830,330,480,838,257,534
0900101-040,1318,720,570,1298,812,473,1262,712,545,1851,1091,736,1615,1049,537,1689,942,690
0900101-092,1671,588,1046,1642,751,873,1622,639,968,2148,986,1126,1905,1022,851,1987,777,1131
0900505-035,213,104,91,208,121,85,206,105,94,318,179,129,252,151,82,266,120,123
0900505-004,564,327,218,557,373,178,549,335,205,655,437,209,578,383,172,592,357,203
0901313-011,1821,1285,436,1812,1408,379,1795,1284,475,2153,1574,528,1948,1484,392,1978,1363,466
0900101-035,5095,2185,2775,5059,2636,2374,5013,2241,2737,6552,3345,3114,5760,2931,2725,5875,2640,2988
0900303-112,989,608,346,944,666,267,873,589,271,1559,975,563,1256,951,270,1426,955,423
0900101-153,2358,1147,1184,2327,1320,993,2258,1294,953,3188,1807,1338,2675,1537,1093,2750,1420,1237
0900303-144,1933,774,1056,1913,1017,877,1841,801,1016,2513,1371,1109,2289,1423,827,2309,1118,1087
0900101-163,1322,843,444,1301,951,337,1257,844,402,1936,1273,640,1569,1184,355,1648,1018,580
0900101-196,305,160,129,297,180,112,289,158,129,406,241,162,401,282,113,411,211,184
0900101-192,798,439,345,796,539,253,772,462,306,962,685,267,837,511,316,853,545,275
0900101-185,281,155,122,278,188,89,270,162,107,337,240,93,292,178,110,298,192,95
0900101-085,2362,1187,1150,2345,1330,1004,2293,1170,1111,3146,1808,1312,2701,1518,1146,2807,1457,1261
0900101-077,460,210,242,490,275,208,452,210,240,662,369,289,667,392,260,678,339,322
0900101-164,1695,828,817,1671,992,665,1628,851,765,2168,1258,882,1955,1285,636,2029,1009,926
0900101-197,523,282,228,518,331,184,486,272,209,786,497,276,589,394,182,618,335,256
0900101-054,2531,1418,1059,2498,1591,882,2457,1421,1023,3389,2014,1336,1912,852,992,3035,1742,1174
0900707-027,2023,1087,840,1992,1257,705,1965,1095,846,2515,1513,968,2276,1537,682,2308,1269,920
0900707-030,1048,909,115,1047,944,89,1031,875,124,1153,1011,127,1213,1054,96,1303,1118,118
0901515-022,777,270,455,770,343,417,759,276,467,970,406,537,880,460,396,909,310,518
0901111-004,1922,838,932,1893,1075,792,1883,871,994,2482,1363,1064,2060,1162,840,2130,966,1012
0900101-063,2594,1270,1271,2565,1520,1018,2521,1325,1180,3328,2035,1251,2906,1708,1156,2940,1609,1215
0900505-046,2923,804,1989,2880,1066,1778,2866,874,1977,3630,1353,2234,3396,1538,1790,3492,1114,2253
0900303-039,1054,494,487,1029,633,379,1000,514,471,1382,828,532,1335,885,412,1390,725,599
0900303-104,609,420,171,597,456,135,560,407,141,927,654,265,818,659,128,908,707,181
0900303-107,1045,697,305,1002,749,245,927,651,267,1533,1053,461,1288,1019,232,1390,1000,343
0900303-012,2131,1582,416,2104,1739,342,2069,1587,464,2601,2218,363,2123,1785,313,2183,1811,314
0900303-017,1417,600,724,1389,769,601,1372,629,722,1951,1014,902,1665,1067,560,1705,806,817
0900303-010,2166,1719,338,2150,1835,303,2122,1741,365,2598,2241,329,2433,2046,332,2440,2002,360
0900505-001,2002,726,1138,1975,901,1046,1956,785,1148,2442,1154,1228,2173,1103,1007,2200,905,1157
0900303-081,795,703,80,757,681,66,705,620,79,1143,943,189,1228,1082,126,1399,1232,129
0900101-042,421,179,232,253,223,11,411,197,211,567,279,281,475,267,200,516,215,271
0900101-057,1614,651,942,1607,831,763,1563,738,820,2111,1284,789,1818,841,954,1818,983,733
0901313-009,4351,3307,860,4339,3585,672,4262,3311,883,2347,1912,393,6155,4689,1234,6487,4874,1205
0900101-081,357,191,163,356,228,126,348,205,140,459,307,143,402,243,155,397,243,133
0900303-053,2166,941,1046,2150,1224,910,2114,1028,1065,2818,1713,1041,2394,1383,972,2382,1296,963
0900909-178,506,327,159,485,346,131,476,320,148,746,503,236,616,473,123,685,473,187
0900909-153,2627,1092,1421,2578,1394,1144,2512,1142,1341,3429,1790,1590,2962,1928,980,3044,1434,1462
0900101-144,1031,717,299,1029,763,248,995,710,281,1343,1008,322,1200,881,305,1240,897,306
0900909-066,1603,706,825,1582,865,706,1557,723,817,2038,1064,951,1732,1040,674,1778,865,855
0900909-090,528,470,54,517,476,38,501,455,43,732,598,130,710,667,34,743,682,48
0900303-014,2625,1064,1426,2588,1358,1197,2552,1121,1395,3615,1935,1633,3067,1920,1093,3155,1512,1500
0900505-052,523,197,313,521,231,286,522,199,321,673,299,366,587,283,296,603,235,349
0900303-164,2168,1027,980,2109,1259,835,2062,1097,964,2769,1620,1115,2414,1555,804,2479,1330,1038
0900303-079,1080,866,181,1020,871,142,1001,837,157,1623,1251,358,1465,1259,189,1586,1319,239
0900505-014,785,286,451,779,370,395,771,318,441,981,486,475,854,475,357,869,376,446
0900101-078,1204,496,697,1209,656,548,1171,511,658,1519,995,495,1322,672,642,1303,798,441
0900303-061,1314,1146,112,1262,1163,87,1229,1086,121,1848,1650,180,1930,1770,115,2062,1850,157
0900101-080,2100,1118,958,2129,1377,744,2060,1184,867,2670,1848,782,2281,1329,920,2197,1462,645
0900101-047,237,174,60,235,189,44,227,169,57,322,219,101,334,235,89,367,258,96
0900101-072,1777,1001,760,1776,1151,611,1736,1022,701,2913,2066,821,2096,1284,754,2128,1339,707
0900101-039,756,395,349,750,458,282,724,399,321,1078,619,445,944,575,343,989,520,433
0900101-103,1586,680,841,1570,832,721,1543,718,810,2069,1125,899,1804,960,810,1845,839,916
0900101-108,2052,1413,615,2034,1533,481,2008,1450,538,2968,2122,820,2481,1904,516,2615,1834,697
0900101-104,341,138,182,340,186,151,336,158,174,474,274,191,396,215,177,398,201,187
0901111-027,842,358,424,819,456,350,817,361,442,1099,555,514,939,579,337,973,430,484
0900909-195,771,409,340,768,476,286,757,434,315,954,602,343,843,537,284,851,480,332
0900303-060,1347,1275,56,1296,1249,38,1232,1170,54,1790,1695,88,1829,1776,34,1962,1890,53
0900303-166,1292,1058,194,1276,1119,145,1251,1049,189,1620,1403,202,1515,1357,132,1545,1319,183
0900101-025,604,513,82,594,530,60,580,490,85,958,792,158,806,715,79,892,749,131
0900101-024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0901111-030,982,409,512,968,512,437,963,411,535,1244,662,555,1154,682,441,1194,512,607
0900909-120,583,542,37,574,536,34,546,503,40,640,602,33,606,569,27,625,587,21
0900909-061,1837,808,932,1816,1053,737,1786,866,907,2232,1261,940,2009,1299,671,2063,1067,896
0900101-141,45,31,13,44,33,10,44,33,11,68,49,18,54,40,12,57,41,13
0900101-140,237,167,68,229,176,52,234,173,60,354,256,95,278,210,63,300,215,65
0900909-117,475,448,20,463,450,11,429,410,16,642,604,32,629,605,12,659,641,10
0900909-118,114,110,4,111,110,1,103,101,2,156,148,8,150,148,1,160,158,1
0900909-129,574,511,62,560,514,40,509,466,42,749,651,88,706,665,29,754,694,47
0900909-102,1927,1695,204,1908,1754,138,1877,1661,187,2400,2148,227,2118,1902,160,2155,1932,146
0900909-002,826,374,428,816,479,327,799,404,387,1141,649,481,960,644,297,1000,499,452
0900909-096,166,137,24,159,138,20,159,134,22,198,171,25,245,228,13,270,238,28
0900101-158,1364,750,594,1360,868,484,1352,820,525,1691,1127,542,1495,925,535,1488,930,499
0900909-087,22,9,12,19,10,9,20,9,11,31,16,15,27,16,10,29,12,15
0900909-086,421,171,226,408,210,183,406,182,214,609,311,289,528,304,202,552,235,289
0900909-095,545,437,94,532,458,70,517,423,91,747,578,164,731,634,88,772,655,104
0900303-058,418,145,256,417,190,223,413,167,244,517,250,248,460,205,240,456,196,228
0900303-071,181,152,21,175,156,15,164,138,20,250,219,26,235,203,25,244,211,21
0900303-072,202,168,24,193,173,15,181,152,22,275,243,28,261,225,28,268,233,24
0900303-047,1377,614,654,1350,808,530,1315,662,634,1800,1057,704,1568,959,570,1580,848,649
0900303-119,1607,741,758,1585,928,641,1535,801,727,2080,1169,880,1783,1152,596,1838,948,814
0900707-022,1426,711,626,1406,857,538,1395,727,651,1921,1160,725,1495,970,501,1535,816,641
0900303-009,1969,1183,614,1953,1398,528,1940,1281,637,2329,1775,528,2105,1461,594,2117,1439,583
0900101-005,362,135,219,359,150,200,354,138,214,468,223,234,403,190,210,399,166,210
0900101-006,31,12,19,32,14,18,31,12,19,41,20,21,36,17,19,36,15,19
0901111-032,605,237,324,594,308,273,593,228,352,842,415,415,732,423,282,745,309,397
0900909-175,72,31,41,70,33,36,66,31,35,105,58,45,90,48,41,94,45,46
0900909-176,6,3,3,6,3,3,6,3,3,9,5,4,8,4,4,8,4,4
0900909-104,1071,820,235,1029,847,175,981,767,208,1310,981,323,911,776,124,995,776,197
0900909-048,207,94,106,205,118,85,204,108,93,318,175,137,327,204,118,335,167,153
0900303-122,1027,414,525,1024,554,465,983,463,508,1344,723,605,1170,700,444,1194,563,570
0900101-053,314,203,100,306,226,75,300,205,92,493,330,155,292,205,78,332,221,100
0900101-073,396,208,185,390,247,142,389,216,171,469,280,186,426,252,172,423,250,168
0900101-190,738,488,231,705,516,180,684,480,199,1059,749,296,853,659,179,906,606,273
0900707-023,1100,646,401,1083,744,326,1070,664,387,1443,991,428,1228,921,277,1272,803,403
0900909-127,1018,918,83,983,915,55,963,883,74,1292,1144,137,1193,1101,65,1260,1138,88
0900909-006,1161,395,719,1121,527,581,1100,416,670,1443,665,762,1318,783,512,1356,536,764
0900909-182,1723,935,710,1679,1097,568,1650,971,662,1947,1109,810,1975,1434,493,2044,1152,817
0900909-106,798,653,134,785,676,102,705,581,112,1261,1005,246,965,858,92,1033,872,140
0900909-012,1542,894,592,1520,1042,463,1508,928,562,1799,1245,522,1577,1133,417,1600,973,558
0900303-007,1690,549,1029,1670,728,928,1616,585,1012,2138,895,1209,1829,921,871,1901,717,1106
0900101-046,1026,558,446,1007,632,363,991,564,423,1255,773,463,1072,570,451,1181,641,491
0900909-082,334,87,243,326,129,195,324,98,221,449,183,260,399,195,193,415,112,277
0900303-142,1371,539,756,1355,684,660,1316,567,723,1792,878,879,1553,878,646,1573,693,815
0900909-058,618,428,160,611,493,108,592,440,144,867,618,235,758,609,122,825,616,178
0900909-114,414,365,39,398,363,30,377,334,34,539,488,45,488,442,32,510,466,25
0900909-078,291,115,166,285,126,156,284,109,172,380,162,207,357,200,152,373,160,194
0900303-042,461,197,236,451,246,199,441,206,231,689,358,320,625,369,236,649,276,339
0900101-154,962,515,436,953,577,373,946,563,379,1244,766,461,1039,646,372,1062,633,401
0900101-155,89,47,40,87,52,34,87,51,35,114,70,42,95,59,34,96,57,36
0900101-122,534,246,274,533,290,239,522,254,266,704,435,259,627,303,312,624,314,270
0900303-102,109,73,28,98,74,23,82,54,27,150,111,38,135,109,23,149,108,40
0900909-055,630,431,178,608,464,133,601,418,173,913,602,300,763,597,136,861,624,200
0900303-148,1404,482,855,1387,629,739,1316,500,802,1831,855,945,1598,880,697,1614,670,883
0900303-052,720,342,323,714,413,295,707,366,339,907,567,326,809,476,322,814,457,318
0900101-018,145,111,34,144,113,31,141,109,32,209,161,48,183,150,27,197,156,36
0900909-044,5,5,0,5,5,0,5,5,0,178,151,27,173,156,14,182,150,26
0900505-053,75,31,41,75,36,37,74,33,41,100,49,50,90,52,35,94,44,47
0900505-043,319,132,173,311,151,154,307,137,169,416,205,208,372,215,146,390,183,197
0900505-042,2,1,1,2,1,1,2,1,1,4,2,2,3,2,1,2,1,1
0900101-037,119,76,39,117,80,34,117,75,41,183,122,59,237,172,58,246,149,87
0900101-195,198,135,58,193,146,41,186,135,48,253,181,70,223,171,44,230,151,71
0900707-018,297,210,76,289,224,60,284,210,74,472,350,115,396,324,60,421,322,80
0900909-103,320,248,63,303,256,43,308,253,52,402,294,105,373,324,40,407,330,69
0900505-036,296,110,168,290,140,143,294,122,166,396,178,208,325,182,135,333,136,174
0900303-059,73,65,8,69,60,7,62,52,9,109,93,12,64,62,2,69,64,1
0900303-103,150,131,17,142,131,10,99,90,9,158,118,40,162,154,8,178,163,15
