GEOID20,Tot_2018_gov,D_2018_gov,R_2018_gov,Tot_2018_sen,D_2018_sen,R_2018_sen,Tot_2018_ag,D_2018_ag,R_2018_ag,Tot_2020_pres,D_2020_pres,R_2020_pres,Tot_2016_sen,D_2016_sen,R_2016_sen,Tot_2016_pres,D_2016_pres,R_2016_pres
0900303-076,1168,928,193,1111,941,158,1038,835,190,1860,1534,314,1696,1505,166,1801,1509,243
0901313-024,2559,1034,1316,2535,1353,1154,2510,1142,1340,3116,1695,1354,2821,1648,1113,2829,1335,1328
0901313-002,2750,1108,1395,2717,1363,1322,2666,1170,1461,3288,1727,1482,2958,1616,1274,3002,1385,1436
0900505-018,1940,629,1175,1903,803,1075,1899,679,1202,2344,1008,1291,2050,935,1083,2098,788,1214
0900505-033,3609,1100,2290,3561,1485,2022,3533,1203,2282,4514,1900,2538,4080,2015,1990,4142,1488,2491
0900101-111,3016,1701,1273,3004,2008,974,2961,1769,1178,3895,2826,999,3335,2112,1179,3383,2214,1006
0900101-066,2497,1402,1036,2483,1590,868,2448,1422,1001,3317,2142,1131,2772,1794,931,2833,1647,1067
0900303-097,1456,945,424,1423,1050,359,1370,950,399,2015,1424,561,1750,1328,363,1841,1255,495
0900303-027,2020,1282,637,1957,1424,508,1913,1282,605,2879,2078,778,2468,1913,498,2579,1777,702
0900303-168,2123,1782,265,2100,1860,220,2067,1772,271,2638,2323,291,2438,2188,207,2508,2194,245
0900303-085,1438,1354,59,1386,1340,38,1340,1268,67,2105,1941,149,1970,1909,38,2117,2031,63
0900303-066,6,6,0,5,5,0,5,5,0,9,8,1,8,8,0,8,8,0
0900303-074,807,671,120,761,666,86,696,589,90,1170,934,232,1093,976,93,1246,1104,114
0900101-033,746,679,56,718,678,36,697,655,37,1183,1009,167,952,883,52,1051,958,75
0900101-096,1607,590,1007,1604,802,790,1592,695,893,2031,1160,823,1773,802,937,1771,949,719
0900101-065,3032,1786,1177,3020,2055,940,2974,1863,1087,3804,2652,1097,3346,2216,1079,3371,2132,1078
0900101-101,4660,2087,2350,4610,2585,1983,4558,2231,2284,6012,3327,2604,5239,2955,2179,5352,2585,2499
0900101-099,4267,1987,2106,4248,2417,1790,4175,2043,2085,5353,3044,2211,4744,2584,2065,4866,2393,2232
0900303-084,332,313,16,310,301,8,300,287,11,486,426,59,416,397,15,490,475,10
