GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_tot,Wh_2018_tot,His_2018_tot,BlC_2018_tot,NatC_2018_tot,AsnC_2018_tot,PacC_2018_tot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_tot,Wh_2019_tot,His_2019_tot,BlC_2019_tot,NatC_2019_tot,AsnC_2019_tot,PacC_2019_tot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap
0900101-036,2439,740,1246,294,33,117,9,1905,625,912,232,23,85,6,1915,425,957,222,52,250,17,843,367,233,105,7,125,18,2374,605,1259,340,81,223,14,1103,527,315,145,7,108,14
0900101-040,4478,2466,1101,540,80,295,15,3704,2080,867,461,58,229,14,4898,2454,1338,392,20,604,0,3217,1993,579,208,3,437,0,4728,2163,1308,562,30,613,0,3210,1885,564,286,3,479,0
0900101-039,4059,2507,755,409,47,344,13,3275,2084,561,322,35,262,10,4173,1750,947,714,41,837,0,2522,1598,286,429,24,177,0,4133,1915,1007,661,32,595,0,2691,1688,352,433,34,188,0
0900101-041,3004,2086,361,237,17,313,6,2358,1713,238,158,15,233,4,2916,2050,351,242,9,58,16,2165,1826,183,106,5,26,0,3180,2191,530,218,9,93,18,2260,1911,264,18,5,47,0
0900303-108,4285,2518,1128,579,38,148,9,3535,2304,733,426,26,112,8,3715,2286,498,637,32,254,11,3171,2134,370,546,9,96,10,3620,2251,511,564,18,255,0,3068,2104,365,485,3,102,0
0900303-107,5050,2263,1941,882,52,123,13,3872,2043,1208,581,36,101,8,5205,1517,2480,1222,4,135,26,3564,1160,1634,691,1,77,0,5520,1485,3045,1136,2,67,13,3643,1193,1863,556,1,29,0
0900303-106,5043,1657,2547,921,63,130,3,3696,1521,1588,586,37,96,3,4833,1139,3094,592,118,82,10,3030,926,1778,259,13,37,0,4413,1146,2591,690,70,98,14,2834,915,1595,270,9,34,0
0900303-123,5455,4854,269,181,26,142,4,4423,4016,163,126,21,104,4,6541,5402,801,173,8,180,0,4823,4199,449,96,4,76,0,5964,4864,728,217,0,183,0,4480,3878,405,111,0,80,0
0900303-117,2803,2186,195,120,10,317,2,2340,1903,126,79,10,225,2,2887,2134,169,290,38,186,0,2258,1800,126,178,24,135,0,2917,2022,254,298,10,295,0,2333,1704,219,196,9,206,0
0900303-096,6404,5952,181,121,28,146,5,4745,4476,105,83,19,74,2,6394,6022,219,90,11,72,19,4965,4730,105,74,10,55,0,6368,5852,366,100,11,58,17,4950,4670,140,84,10,40,0
0900303-128,6682,5317,490,477,54,400,3,5599,4586,331,380,42,286,3,7198,5036,302,688,41,1179,0,5355,3960,305,428,0,673,0,7050,5074,342,574,35,1029,31,5255,4075,297,346,1,511,30
