GEOID10,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_gov,Dem_2016_gov,Rep_2016_gov,Tot_2016_ltg,Dem_2016_ltg,Rep_2016_ltg,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
100031-2,97.0,93.9,1.8,82.6,79.7,1.7,81.6,69.7,11.9,31,27,2
100033-2,222.6,215.4,4.0,189.5,182.9,3.9,187.3,159.9,27.4,256,254,1
1000311-3,278.9,269.9,5.1,237.4,229.1,4.8,234.7,200.3,34.3,352,348,3
1000314-2,41.2,39.9,0.7,35.1,33.9,0.7,34.7,29.6,5.1,55,55,0
1000310-3,763.5,716.3,28.8,662.7,616.1,28.6,653.8,545.9,107.9,748,730,17
100031-3,728.7,657.5,51.2,644.1,567.3,48.6,607.0,514.0,93.0,777,747,27
1000315-4,41.9,38.5,2.5,36.6,32.8,2.2,34.4,29.3,5.0,57,49,6
100039-4,571.1,424.8,108.3,551.8,421.6,112.0,527.7,413.3,114.4,649,514,125
100031-4,946.3,646.4,253.9,936.1,696.5,221.7,901.7,655.4,246.4,1040,696,330
100036-4,1152.7,805.8,276.3,1135.4,839.8,268.2,1095.3,800.2,295.1,1129,829,281
100033-17,994.3,658.5,289.6,951.8,698.1,227.9,927.1,658.4,268.7,904,684,210
100032-15,1404.7,1050.5,308.3,1305.9,1034.6,242.4,1292.9,991.7,301.3,1235,1014,211
100038-5,679.9,463.5,181.2,643.3,459.2,160.5,638.7,428.4,210.3,657,523,130
100038-15,1592.4,1098.0,434.5,1511.8,1081.3,403.0,1481.4,1043.0,438.4,1498,1103,378
1000310-6,1091.2,691.3,353.0,1031.8,689.5,306.8,1011.7,682.7,328.9,1195,867,316
100031-6,771.9,433.0,295.6,739.2,444.7,266.3,717.4,444.3,273.1,810,497,301
100038-6,1345.6,765.6,491.8,1311.3,796.6,477.1,1279.4,787.6,491.8,1499,984,481
1000313-11,664.2,364.6,258.0,637.6,380.1,234.2,613.7,378.4,235.3,748,492,241
100032-11,497.8,285.9,189.3,478.5,298.3,165.9,466.9,297.3,169.5,604,386,204
100032-9,1931.8,776.6,1048.3,1882.4,924.1,928.9,1886.0,997.3,888.6,1810,979,806
100031-8,1211.7,433.3,708.7,1180.3,545.2,615.7,1182.7,603.6,579.1,1148,560,569
100032-8,3029.8,1648.4,1247.4,2909.4,1764.9,1073.4,2918.3,1846.4,1071.9,2287,1451,808
100031-10,1423.0,753.0,606.0,1370.0,797.0,537.0,1332.0,763.0,569.0,1178,703,453
100037-10,1292.9,742.0,478.9,1290.2,802.4,458.5,1260.9,793.5,467.4,1352,797,535
100031-7,672.5,349.5,285.8,660.5,359.3,285.6,646.4,356.2,290.2,680,410,263
100032-10,1059.0,600.0,391.0,1036.0,622.0,377.0,1010.0,644.0,366.0,1076,664,399
100033-24,904.8,535.0,314.8,856.1,533.9,283.2,839.3,559.7,279.6,685,549,125
100037-18,724.0,416.0,272.0,694.0,437.0,229.0,691.0,444.0,247.0,764,519,235
100032-18,457.0,263.7,169.5,439.7,281.5,140.9,429.3,286.0,143.3,380,261,110
100033-18,1157.5,777.3,320.4,1081.6,774.9,272.8,1061.4,772.5,289.0,1031,824,193
100031-18,777.7,456.0,276.1,743.2,480.9,236.4,724.8,485.6,239.2,887,598,276
100036-26,846.0,477.0,333.0,812.0,489.0,295.0,798.0,513.0,285.0,859,577,267
