GEOID10,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_gov,Dem_2016_gov,Rep_2016_gov,Tot_2016_ltg,Dem_2016_ltg,Rep_2016_ltg,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
1000310-13,724.4,470.2,210.2,686.7,504.3,155.2,660.7,488.1,172.6,831,664,156
100039-26,1214.5,960.0,201.3,1137.1,917.5,186.3,1124.7,882.6,242.1,1093,904,177
100039-6,216.2,134.1,70.7,213.1,142.8,65.2,209.5,140.4,69.1,228,117,106
1000311-11,682.1,423.0,223.0,672.1,450.4,205.6,660.8,443.0,217.8,719,449,263
100039-7,340.0,185.5,134.0,336.9,199.2,128.7,327.6,193.1,134.6,378,236,137
1000312-11,593.9,341.3,225.7,570.9,356.1,197.8,557.2,355.0,202.2,539,365,167
100039-9,326.6,110.5,201.9,316.2,137.8,173.1,315.2,156.9,158.3,930,479,435
100039-10,958.0,512.0,401.0,920.0,539.0,357.0,898.0,524.0,374.0,1032,630,382
100038-20,996.0,544.0,402.0,979.0,571.0,384.0,962.0,545.0,417.0,950,525,416
100039-13,1076.0,682.0,348.0,1029.0,707.0,288.0,1014.0,698.0,316.0,1096,801,274
100034-20,926.9,520.0,369.9,913.5,558.3,341.7,894.3,530.8,363.5,815,479,332
100037-20,954.0,530.8,383.8,938.2,561.9,362.1,920.3,535.8,384.5,1102,674,413
1000310-1,940.7,740.3,159.8,897.5,719.0,151.1,880.1,674.1,206.0,670,584,83
1000312-2,597.0,582.0,7.0,529.0,513.0,8.0,522.0,456.0,66.0,538,535,2
100036-12,1497.5,805.5,605.7,1486.2,845.6,608.7,1438.3,794.7,643.6,1458,799,655
1000310-19,275.2,144.2,114.5,274.4,158.6,109.2,265.7,149.7,116.0,298,201,93
100033-11,1061.9,611.2,387.6,1048.4,626.8,391.8,1029.2,620.3,408.9,1106,662,427
1000310-10,694.0,522.0,136.0,634.0,494.0,117.0,623.0,492.0,131.0,770,613,147
1000310-20,785.9,412.2,321.4,758.0,427.0,306.1,736.2,435.6,300.6,771,476,276
1000311-20,670.2,369.2,272.3,657.4,383.8,263.2,646.4,367.4,279.0,640,365,267
100033-25,907.0,539.0,295.0,876.0,556.0,273.0,861.0,565.0,296.0,1016,733,270
1000310-27,903.9,474.1,388.9,881.7,492.2,372.5,869.4,506.2,363.2,901,530,362
1000319-4,95.5,55.0,34.1,94.8,54.5,37.3,92.6,51.2,41.4,34,32,1
1000314-4,160.2,92.2,57.2,159.1,91.5,62.6,155.4,85.9,69.5,225,134,88
1000314-7,64.1,39.2,21.9,64.0,39.5,23.2,62.2,38.8,23.4,69,47,22
1000313-7,961.9,587.8,329.1,961.0,593.5,347.8,933.8,582.2,351.6,993,566,408
1000311-12,1066.9,488.6,527.3,1065.9,534.8,510.3,1029.1,466.9,562.2,1097,510,581
100036-18,891.8,560.6,279.5,825.5,573.7,230.3,805.5,552.9,252.6,1006,787,207
1000103-31,2197.0,1247.0,834.0,2168.0,1276.0,846.0,2137.0,1303.0,834.0,2132,1272,844
100038-26,778.6,593.0,155.0,741.5,584.9,133.4,730.7,565.5,165.2,622,528,84
1000312-17,794.0,534.0,224.0,720.0,525.0,171.0,711.0,519.0,192.0,784,594,181
100033-20,718.0,382.0,290.0,682.0,430.0,228.0,662.0,420.0,242.0,784,527,246
100039-20,1078.0,497.0,513.0,1074.0,550.0,498.0,1052.0,529.0,523.0,1145,586,539
1000312-4,163.3,112.7,42.8,156.6,116.9,37.4,152.4,113.3,39.2,182,132,47
100031-11,456.6,249.1,180.0,452.4,267.6,172.9,440.0,259.3,180.8,500,286,207
1000311-6,809.0,555.9,217.5,758.0,555.3,183.1,737.1,541.2,196.0,750,569,162
1000102-32,1254.1,697.2,484.2,1229.8,694.6,499.2,1199.1,728.9,470.2,1245,711,511
1000107-31,756.9,508.4,210.2,737.5,505.1,211.9,720.2,490.5,229.7,768,629,131
1000101-32,1798.4,1129.1,565.3,1711.0,1105.4,559.6,1669.7,1082.3,587.4,1653,1131,506
1000102-33,2484.4,1093.4,1259.5,2450.6,1121.4,1284.4,2405.6,1195.6,1210.0,1866,985,860
1000103-34,2298.2,934.3,1237.1,2248.8,1002.6,1206.7,2188.1,1048.8,1139.4,1812,982,808
1000104-34,3185.0,1422.7,1573.9,3092.7,1510.9,1506.3,3015.2,1590.7,1424.5,2996,1610,1354
1000103-33,1453.0,517.0,849.0,1436.0,556.0,857.0,1381.0,638.0,743.0,1274,608,660
1000105-28,3498.9,1805.3,1541.3,3380.8,1988.1,1307.9,3299.8,1995.1,1304.7,2414,1443,949
1000110-08,751.4,377.5,320.1,720.5,424.6,273.0,710.9,463.6,247.3,678,430,232
1000109-08,662.9,220.9,400.1,647.9,287.7,341.0,635.4,332.6,302.8,609,315,282
1000103-28,281.5,133.3,130.6,271.2,154.1,109.2,267.2,167.3,99.9,151,113,37
1000112-08,262.2,145.6,104.9,250.5,157.4,87.6,246.8,156.1,90.7,131,78,52
1000111-08,14.9,7.5,6.3,14.3,8.4,5.4,14.1,9.2,4.9,10,5,5
1000101-29,4653.5,2014.1,2405.2,4507.8,2356.1,2046.8,4410.8,2455.0,1955.8,3216,1785,1393
1000101-30,2453.6,857.9,1470.6,2398.4,982.1,1364.9,2334.2,1081.2,1253.1,2211,1065,1119
1000110-34,708.4,160.1,496.8,687.6,206.8,465.6,666.7,278.1,388.6,749,294,447
1000106-29,1380.4,315.6,988.1,1358.4,408.9,919.4,1320.4,504.0,816.4,1257,456,773
1000110-28,156.0,103.1,38.9,150.4,95.2,46.7,148.1,100.8,47.3,116,98,18
1000104-31,995.0,602.0,324.1,953.6,569.8,358.3,937.9,587.2,350.7,1138,728,405
1000112-28,276.5,174.7,87.4,265.9,172.1,85.2,260.0,169.6,90.4,270,186,84
1000101-33,386.0,184.0,182.0,381.0,187.0,188.0,376.0,205.0,171.0,316,164,147
1000105-34,823.0,288.0,474.0,832.0,302.0,510.0,805.0,388.0,417.0,918,360,548
1000101-34,198.9,91.6,93.1,194.8,92.2,97.4,192.4,105.5,86.9,126,57,69
1000102-28,1836.1,876.5,865.3,1787.9,1023.0,703.4,1756.8,1081.1,675.7,1971,1193,755
1000104-28,56.0,22.0,31.8,54.1,28.0,25.5,51.6,27.5,24.2,12,6,6
1000102-30,273.5,103.0,156.1,268.7,120.8,143.0,257.6,114.1,143.5,327,152,174
100038-10,755.8,415.7,300.4,772.2,450.6,308.1,738.3,407.0,331.4,771,427,338
1000102-29,3820.7,2082.0,1576.6,3688.8,2155.4,1467.8,3612.1,2173.6,1438.5,2862,1769,1063
1000103-29,1443.5,535.6,846.5,1409.0,608.6,773.9,1381.8,674.2,707.6,1290,578,687
1000104-32,433.0,293.0,120.0,414.0,276.0,135.0,399.0,263.0,136.0,491,336,152
1000103-32,1404.9,763.2,566.0,1363.1,758.7,581.7,1341.6,782.3,559.2,1445,805,626
100031-20,857.0,384.0,419.0,843.0,429.0,382.0,824.0,442.0,382.0,854,454,386
1000106-28,284.3,125.0,148.5,278.6,149.3,124.5,271.7,154.2,117.6,244,117,125
1000114-28,1293.9,734.1,483.9,1263.9,759.2,469.4,1221.8,751.0,470.8,1277,820,440
1000107-28,301.2,158.1,129.0,289.5,168.9,116.5,280.3,169.6,110.7,161,91,70
1000109-28,67.8,33.9,31.6,64.8,35.2,28.7,63.3,35.8,27.5,49,29,19
1000103-30,1679.8,336.4,1269.0,1646.1,475.3,1130.2,1599.5,612.3,987.2,1566,598,954
1000102-31,1588.7,942.3,559.4,1566.6,970.5,560.6,1545.6,961.9,583.7,1785,1125,645
1000105-32,517.2,257.8,229.0,506.5,260.5,233.8,495.8,281.3,214.6,625,357,263
1000104-33,2450.5,885.7,1423.0,2413.2,983.6,1381.4,2358.3,1128.8,1229.5,2090,1046,1025
1000106-33,1618.8,598.0,958.6,1590.1,660.1,907.2,1547.0,726.9,820.1,1490,655,818
1000107-32,125.2,39.8,79.5,121.2,42.4,75.5,119.3,50.4,68.9,94,51,41
1000113-28,183.6,63.8,104.9,182.0,78.2,97.0,176.0,88.2,87.8,203,117,83
1000108-32,19.2,6.1,12.2,18.6,6.5,11.6,18.3,7.7,10.6,26,11,15
1000105-33,1127.4,350.0,736.1,1104.7,391.6,693.1,1073.2,465.0,608.2,1133,535,589
1000106-34,2077.9,955.7,1011.0,2032.6,982.9,997.1,1982.2,1020.2,962.1,1987,1014,959
1000105-29,1143.9,276.9,806.9,1114.9,385.5,702.3,1086.4,457.6,628.8,1125,425,676
1000101-28,748.5,485.6,219.2,704.0,507.5,175.6,696.1,504.0,192.2,677,526,143
1000106-31,1341.1,942.9,322.7,1302.0,956.7,309.1,1277.8,885.6,392.2,1263,911,341
1000104-30,720.2,170.4,521.3,700.4,233.5,449.3,677.8,268.4,409.4,618,262,351
1000107-29,1264.9,460.1,739.7,1254.1,523.0,707.1,1223.3,565.7,657.6,1233,542,687
1000102-34,199.8,49.4,137.8,197.9,65.6,127.3,192.9,79.0,113.9,165,60,101
1000111-28,702.0,506.0,169.0,672.0,480.0,169.0,655.0,446.0,209.0,854,652,196
1000106-30,1489.0,437.0,980.0,1456.0,521.0,905.0,1426.0,612.0,814.0,1316,595,707
1000105-30,1768.8,620.6,1050.8,1714.6,717.5,949.7,1673.2,809.6,863.6,1676,789,867
1000105-31,1180.3,722.6,373.7,1165.3,745.6,395.7,1128.3,747.6,380.8,1317,857,445
1000106-32,169.0,143.0,19.0,162.0,134.0,24.0,159.0,114.0,45.0,192,177,15
1000109-32,1091.5,532.8,476.7,1061.6,551.2,483.3,1044.2,577.6,466.6,1033,584,441
1000107-34,1771.5,862.2,810.3,1720.4,859.8,821.7,1689.8,921.4,768.4,1431,734,688
1000108-28,820.4,342.6,446.6,789.4,405.1,372.1,764.3,432.9,331.4,908,493,409
1000104-29,342.5,127.3,202.0,336.1,141.7,188.3,329.3,157.8,171.5,372,229,140
1000101-31,235.9,87.7,139.1,231.5,97.6,129.7,226.8,108.7,118.1,289,126,161
1000108-33,515.5,255.4,231.1,502.8,271.4,220.9,490.5,276.4,214.0,522,270,245
1000107-33,758.1,375.6,339.8,739.4,399.1,324.9,721.3,406.5,314.8,707,472,231
1000503-35,529.5,126.0,384.5,514.0,178.0,321.9,501.1,183.0,318.1,424,155,262
1000501-39,658.4,156.7,478.1,639.0,221.3,400.2,623.0,227.5,395.5,579,169,401
1000502-35,3576.4,1206.4,2247.6,3446.5,1455.2,1929.1,3373.3,1449.6,1923.7,3098,1382,1678
1000503-39,1161.0,392.0,716.0,1125.0,462.0,642.0,1087.0,433.0,654.0,1132,469,655
1000507-14,3537.5,1533.4,1876.5,3457.4,1751.3,1642.3,3387.9,1759.3,1628.6,2607,1227,1368
1000501-14,4042.3,1921.5,1993.3,3959.0,2113.5,1782.7,3873.6,2097.6,1776.0,2657,1372,1269
1000503-14,1387.3,783.4,556.8,1366.0,828.5,510.0,1338.8,800.1,538.8,1430,796,613
1000504-38,1662.9,740.4,870.9,1644.5,810.1,814.3,1611.1,798.5,812.6,1609,709,886
1000503-36,1353.6,556.5,735.6,1317.0,637.0,659.4,1293.7,641.1,652.6,1275,620,644
1000506-36,2240.4,1008.0,1121.2,2170.9,1124.4,975.8,2123.8,1122.7,1001.1,1638,934,691
1000508-36,896.6,341.7,521.6,867.9,400.3,449.9,846.9,399.4,447.5,918,455,457
1000501-35,2140.3,526.2,1542.5,2079.4,694.3,1344.9,2026.5,753.0,1273.4,1930,675,1235
1000508-30,271.2,66.8,195.3,263.6,88.0,170.4,256.8,95.6,161.2,310,102,205
1000501-38,2338.8,669.0,1585.9,2278.6,851.4,1386.5,2246.8,930.0,1316.7,1982,702,1264
1000501-40,1409.1,453.9,899.8,1350.4,597.0,717.8,1318.1,596.7,721.4,1366,556,791
1000502-40,1964.5,379.7,1511.0,1910.4,625.3,1244.8,1873.0,656.0,1217.0,1856,603,1227
1000501-41,1507.5,265.5,1181.4,1464.8,508.6,933.3,1437.3,557.1,880.2,1363,431,921
1000506-40,1403.0,260.8,1075.6,1350.8,422.2,892.9,1338.7,429.9,908.8,1181,344,819
1000507-36,3348.1,1306.8,1923.6,3266.3,1498.9,1700.2,3210.8,1518.5,1692.3,2527,1123,1382
1000506-37,2064.2,856.1,1131.8,2017.8,1021.8,961.7,1969.5,1047.7,921.7,1811,899,894
1000505-36,559.1,206.6,325.7,544.9,236.8,291.5,537.0,243.6,293.4,472,213,255
1000502-38,2350.0,810.0,1487.0,2265.0,937.0,1302.0,2232.0,984.0,1248.0,1631,695,919
1000503-38,2784.2,1045.1,1639.4,2741.0,1203.8,1495.1,2705.5,1255.5,1450.0,2613,1130,1459
1000502-36,2462.0,837.5,1527.1,2395.3,998.5,1356.5,2341.9,1067.9,1274.0,2274,965,1288
1000501-36,1365.2,548.0,735.8,1328.8,598.8,690.8,1310.6,640.9,669.7,1402,655,732
1000504-35,1756.1,792.3,903.6,1691.4,905.7,758.4,1636.6,891.3,745.3,1589,863,712
1000507-37,770.8,211.7,520.6,760.8,319.0,427.1,753.7,360.4,393.3,861,341,505
1000503-37,2785.7,1029.6,1644.2,2713.2,1197.5,1457.5,2655.0,1225.9,1429.1,1602,764,825
1000502-37,3338.1,1507.2,1689.2,3260.6,1639.1,1555.1,3193.4,1686.1,1507.3,2292,1155,1121
1000505-37,1428.6,456.4,917.8,1406.2,593.7,791.8,1373.5,636.4,737.2,1038,353,680
1000504-37,443.7,139.3,285.0,432.4,167.3,253.3,415.3,168.0,247.3,385,169,208
1000504-41,1094.8,374.3,670.3,1064.5,498.3,548.9,1051.9,559.6,492.3,1083,449,627
1000503-41,964.0,385.4,551.1,922.5,482.9,416.8,914.4,521.9,392.5,852,460,388
1000507-38,3023.2,921.6,1993.2,2931.2,1094.5,1782.4,2880.1,1208.3,1671.8,2004,840,1145
1000508-38,1133.3,392.9,696.4,1091.1,482.1,582.0,1073.4,502.3,571.1,980,401,572
1000504-14,2653.6,1381.9,1205.5,2593.5,1491.2,1059.1,2546.2,1511.1,1035.2,2197,1128,1048
1000505-14,2342.3,1061.1,1208.2,2280.1,1175.9,1056.5,2242.2,1226.7,1015.5,1903,960,929
1000502-14,2306.4,1278.9,949.8,2263.8,1344.6,871.7,2227.3,1343.7,883.7,1748,1044,694
1000508-41,1865.4,728.8,1084.9,1783.5,836.3,911.6,1749.0,857.8,891.2,1861,872,972
1000507-41,2515.2,992.4,1450.8,2411.1,1128.1,1245.9,2362.4,1132.8,1229.7,1857,992,851
1000506-41,975.6,344.2,596.8,940.8,412.3,514.8,927.6,421.1,506.6,800,448,343
1000107-30,1444.0,305.0,1079.0,1430.0,423.0,981.0,1383.0,466.0,917.0,1298,468,814
1000108-34,619.0,276.3,312.6,609.9,282.1,315.4,598.1,307.8,290.4,419,188,229
1000509-33,1027.0,263.8,719.1,1018.7,339.6,657.1,1001.5,388.5,613.0,1048,408,625
1000510-33,464.0,119.2,324.9,460.3,153.4,296.9,452.5,175.5,277.0,346,123,219
1000110-32,104.0,36.5,58.7,103.4,45.3,54.1,99.8,50.9,48.9,89,29,57
1000109-34,253.8,108.6,134.1,251.0,109.7,137.0,245.5,120.5,125.0,237,93,140
1000502-39,1703.0,749.0,872.0,1636.0,811.0,774.0,1588.0,803.0,785.0,1520,696,806
1000504-39,1153.0,543.0,557.0,1086.0,599.0,455.0,1054.0,571.0,483.0,1208,647,549
1000504-40,1459.0,311.0,1098.0,1419.0,521.0,876.0,1394.0,499.0,895.0,1336,501,824
1000502-41,1959.0,669.3,1230.8,1912.1,848.2,1024.0,1887.1,884.1,1003.0,1210,492,708
1000505-41,1841.0,767.2,1008.8,1777.9,938.8,805.7,1737.4,945.6,791.8,1564,791,756
1000506-14,1849.4,658.2,1132.6,1801.4,751.6,1012.1,1772.1,791.5,980.6,1895,873,999
1000505-38,1230.5,413.1,792.3,1186.8,470.2,708.5,1168.9,475.6,693.3,1138,453,681
1000506-38,2761.1,788.0,1904.8,2634.2,949.5,1655.3,2591.6,951.3,1640.3,1928,718,1191
1000505-40,856.0,235.0,583.0,829.0,364.0,443.0,811.0,344.0,467.0,816,337,475
1000508-37,252.7,96.2,146.8,245.3,122.2,118.5,240.4,125.5,114.9,334,204,128
1000501-37,1895.9,1027.9,771.5,1882.2,1098.4,747.7,1836.4,1119.5,716.9,1824,1064,750
1000506-35,930.0,259.3,639.8,903.8,329.5,558.4,888.4,346.6,541.8,819,315,492
1000507-35,580.4,185.6,368.8,566.9,221.0,333.4,557.6,234.5,323.1,475,232,236
1000504-36,1967.9,767.3,1110.0,1905.1,863.0,1001.0,1866.5,885.6,980.9,1615,768,829
1000509-41,977.8,337.5,614.4,938.8,383.2,534.3,923.9,403.5,520.4,429,197,229
1000506-39,1259.0,404.7,803.1,1213.4,498.3,685.5,1182.2,501.5,680.7,1300,566,721
1000503-40,872.0,462.0,383.0,840.0,501.0,319.0,823.0,475.0,348.0,992,625,361
1000505-35,489.0,110.0,366.0,463.0,171.0,286.0,472.0,173.0,299.0,494,179,305
1000505-39,1187.0,284.0,854.0,1165.0,411.0,729.0,1142.0,426.0,716.0,1142,392,740
1000507-39,1028.9,363.4,630.1,988.2,461.7,500.7,968.6,445.8,522.9,949,470,474
1000507-40,1609.0,476.0,1058.0,1554.0,637.0,866.0,1522.0,604.0,918.0,1551,628,906
1000315-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
