GEOID20,Tot_2020_pres,D_2020_pres,R_2020_pres,Tot_2020_sen,D_2020_sen,R_2020_sen,Tot_2018_ag,D_2018_ag,R_2018_ag,Tot_2018_ltg,D_2018_ltg,R_2018_ltg,Tot_2018_gov,D_2018_gov,R_2018_gov,Tot_2016_pres,D_2016_pres,R_2016_pres,Tot_2016_sen,D_2016_sen,R_2016_sen
16069696015,823,198,618,810,159,600,368,115,253,373,135,241,378,120,251,497,120,341,496,113,372
16055553029,803,209,558,793,212,521,556,160,394,559,172,387,564,172,387,716,177,470,716,178,486
16069696023,241,75,163,247,70,169,111,15,92,111,20,88,111,11,91,120,18,90,122,18,99
16069696006,821,301,495,811,281,492,631,263,360,634,291,347,635,263,357,714,244,407,716,250,441
16053532508,458,177,265,457,167,263,284,105,181,282,119,162,286,110,167,393,104,243,395,99,281
16007073213,287,18,261,282,20,244,202,15,185,202,17,180,206,14,179,289,15,234,284,22,243
16019193258,1083,136,926,1078,123,923,738,135,600,490,144,342,494,116,366,895,106,662,891,91,728
16005052901,441,166,266,451,191,245,420,192,226,420,206,213,426,202,214,429,139,228,422,142,248
16005052903,466,135,310,476,157,306,527,237,285,529,257,272,530,247,280,569,199,286,564,197,350
16005052927,631,408,189,579,345,214,417,259,157,429,303,125,431,293,129,511,258,181,491,217,261
16001011918,2125,1534,547,2118,1478,599,1751,1066,680,1804,1332,468,1824,1203,609,1840,1208,459,1762,1087,636
16001011415,1626,428,1164,1635,370,1224,1234,265,972,1260,343,918,1272,290,971,1302,276,871,1237,245,943
16005052920,553,227,297,558,259,269,489,249,235,490,287,201,494,283,205,478,169,216,485,169,273
16005052913,559,200,340,560,232,296,413,191,223,416,202,210,416,198,202,513,153,284,503,167,286
16001012201,2106,686,1333,2084,684,1311,1267,423,837,1292,515,776,1317,509,790,1437,371,851,1380,366,914
16001011710,739,510,200,721,486,194,688,460,224,728,548,178,788,579,179,920,487,277,779,424,322
16001011816,1030,639,370,1025,592,411,816,389,427,831,512,317,844,453,376,870,437,327,841,360,456
16017171029,1173,179,969,1148,165,925,709,136,574,725,137,582,724,137,571,827,118,653,823,124,648
16013132615,1146,749,371,1140,684,436,770,417,353,790,498,291,789,493,293,748,417,247,753,377,367
16001011511,1095,542,501,1091,553,491,798,394,404,813,455,360,834,445,369,906,340,452,865,340,463
16001011806,1402,917,446,1391,838,515,1175,642,535,1196,807,390,1207,682,508,1225,736,382,1197,652,518
16001011906,1779,1119,608,1781,1125,595,1403,808,596,1419,960,461,1447,938,491,1413,774,461,1349,755,547
16001012209,1267,352,867,1249,384,802,830,268,559,837,325,512,849,329,499,1039,216,665,999,222,686
16001011705,1332,850,420,1332,872,409,994,636,358,1024,724,305,1049,717,300,1072,526,350,1053,561,439
16001011504,2585,1177,1308,2570,1167,1317,1848,755,1094,1897,913,977,1944,879,1026,2041,727,1003,1981,687,1191
16057575012,614,273,309,653,315,303,584,282,306,599,328,268,596,318,267,681,268,268,694,285,381
16035357005,521,143,371,505,129,361,371,120,255,371,130,237,378,126,246,465,113,321,465,123,327
16001011813,1473,984,450,1457,927,485,1100,640,458,1127,804,324,1144,747,387,1199,702,354,1169,635,501
16083832511,1088,195,869,1055,199,809,617,112,505,631,171,455,633,157,455,740,89,526,740,128,560
16083832416,654,181,431,660,227,389,405,148,257,407,189,219,413,173,226,534,134,344,532,145,345
16055554045,1366,459,871,1338,433,844,887,358,528,895,388,504,901,360,524,1058,331,628,1043,293,709
16055552013,640,141,489,638,126,487,369,76,294,369,92,284,378,82,293,460,81,331,460,73,369
16041413201,533,72,451,541,67,449,286,37,253,286,54,234,289,43,236,438,37,308,438,44,368
16049497011,415,46,362,423,53,355,269,54,212,269,71,207,277,55,211,365,55,269,358,72,277
16041413203,466,38,410,451,31,390,260,26,236,256,29,228,256,19,220,361,18,264,358,17,314
16011113113,1155,225,900,1131,210,862,575,112,463,580,160,422,580,138,428,896,138,590,904,159,665
16041413202,532,65,451,523,61,435,288,38,250,296,53,242,299,30,244,461,37,329,463,38,387
16083832423,715,181,520,726,182,520,570,128,443,574,177,397,581,147,427,699,159,450,673,116,505
16005052854,1000,222,742,987,226,713,609,156,449,609,177,431,612,162,434,737,113,480,745,130,573
16069696018,631,143,469,626,129,474,409,113,293,412,125,283,420,124,289,557,122,387,556,110,427
16005052905,581,249,319,573,269,274,458,238,220,460,250,211,462,253,193,602,235,300,625,284,295
16019193046,1666,443,1181,1574,400,1092,780,196,584,804,253,551,805,229,547,1099,186,694,1064,197,789
16055554038,1301,467,793,1291,444,806,975,351,620,994,413,582,995,380,601,1190,360,708,1169,348,774
16055552005,1871,411,1420,1845,358,1409,1293,346,942,1306,372,935,1310,349,928,1489,309,1058,1486,288,1115
16055554060,527,253,258,516,243,253,412,233,179,420,248,168,424,244,175,488,231,201,483,236,231
16055554037,1740,397,1300,1716,358,1290,1038,261,784,1044,282,763,1059,280,768,1260,260,895,1247,228,963
16019193315,1013,354,639,1025,372,608,772,267,508,795,340,448,799,302,482,988,284,532,966,284,610
16019193028,1079,166,871,1098,180,879,620,123,497,630,164,472,646,156,476,861,119,565,846,131,630
16055552015,1704,426,1238,1682,394,1217,1064,256,805,1081,306,767,1087,276,790,1248,300,854,1255,275,925
16049497007,249,34,208,237,19,216,180,24,149,181,36,144,184,22,156,249,22,191,238,14,214
16041413217,292,31,257,292,19,262,182,31,152,182,36,147,184,28,155,236,25,163,239,23,204
16011113119,455,85,360,455,87,344,308,73,229,308,82,225,308,66,232,352,50,237,360,65,257
16001011908,1117,851,239,1113,820,264,908,616,291,930,735,195,944,714,224,880,626,166,832,571,231
16001011502,1820,809,954,1829,750,1023,1479,545,935,1509,692,815,1526,648,848,1561,559,789,1540,546,918
16005052835,631,276,342,621,264,336,443,190,252,449,206,242,445,193,244,473,142,260,474,129,326
16017171016,278,47,224,278,49,222,166,25,138,168,25,139,169,25,135,155,25,119,155,25,118
16017171007,504,108,390,495,106,377,348,85,265,362,94,268,362,90,263,423,64,322,415,69,322
16001011814,1656,957,647,1658,949,658,1283,660,620,1300,810,491,1343,793,531,1390,663,568,1347,606,685
16001012010,1937,771,1110,1911,761,1091,1259,444,811,1279,557,719,1288,536,737,1416,418,784,1374,412,861
16001011614,1350,726,564,1341,718,555,1038,543,496,1056,623,438,1076,588,460,1161,513,470,1102,515,541
16001012107,2141,714,1359,2131,705,1365,1312,397,912,1336,517,816,1353,478,844,1383,389,808,1317,349,888
16001011907,1886,1161,680,1878,1104,734,1518,793,724,1542,978,563,1557,897,649,1526,821,566,1467,771,649
16031312707,362,43,318,359,44,302,263,28,228,263,37,218,263,35,213,310,24,251,318,23,252
16027271014,1391,498,847,1368,499,812,1083,422,670,1098,476,612,1104,476,611,1310,394,772,1299,369,825
16049497026,240,42,194,232,34,181,149,16,130,152,21,130,152,19,124,171,8,139,167,6,120
16051513505,751,75,652,733,70,612,427,66,365,431,83,353,449,73,367,593,48,470,585,56,469
16057575005,636,342,253,645,359,265,597,326,271,603,383,219,610,366,247,623,306,213,634,276,330
16007073201,459,49,402,458,55,388,314,48,269,314,56,257,317,52,260,447,45,325,445,52,350
16007073209,188,45,142,190,45,138,125,28,94,123,37,86,129,34,86,136,20,86,137,25,94
16005052836,715,223,467,699,223,447,577,213,362,579,242,335,582,237,333,653,202,321,659,206,407
16001012108,1147,451,652,1154,450,652,1019,347,677,1057,478,576,1072,426,628,1156,327,657,1100,323,703
16005052919,539,230,267,543,254,256,361,183,180,369,196,176,372,187,172,424,139,201,438,167,243
16001011903,688,287,383,690,293,372,499,206,292,511,240,269,515,238,268,585,208,312,565,206,328
16001011708,1694,1171,454,1680,1162,470,1432,875,554,1460,1044,414,1488,1020,438,1460,774,468,1352,751,552
16001012204,1921,704,1134,1905,723,1101,1156,415,738,1174,499,676,1195,509,666,1440,377,844,1325,382,814
16001011613,1478,868,550,1489,873,569,1214,644,569,1234,787,445,1255,726,498,1218,565,480,1175,579,540
16001011603,2369,1564,747,2354,1537,743,1785,1072,713,1815,1254,565,1847,1218,602,1876,1004,611,1789,990,719
16057575022,296,40,238,294,59,230,172,32,138,172,37,132,174,35,134,213,23,176,216,34,163
16079797002,375,129,237,369,139,204,259,125,132,258,138,123,265,131,134,324,117,170,321,134,169
16083832505,778,223,523,754,241,463,497,165,330,497,192,299,498,183,299,632,183,380,633,181,416
16065653410,1155,297,797,1024,171,754,251,58,193,256,81,176,259,67,172,699,62,340,668,68,557
16065653408,2459,425,1866,2464,371,1891,932,177,764,957,266,687,960,230,697,2036,172,987,2000,226,1629
16057575020,71,23,44,67,21,46,31,2,29,31,3,27,31,3,27,34,2,32,35,4,31
16019193316,824,265,522,834,274,527,742,250,490,777,330,445,778,260,503,880,217,512,877,226,599
16045458004,836,196,612,850,248,546,493,147,345,498,167,331,500,150,336,562,112,399,562,117,401
16019193048,1081,274,763,1020,233,738,653,150,503,674,213,466,675,176,476,932,161,554,925,176,685
16055553036,805,147,641,780,140,610,459,83,373,463,102,363,463,88,372,525,95,385,526,89,428
16019193052,1314,223,1063,1262,187,1024,747,129,616,754,170,584,768,145,602,984,104,634,971,130,770
16055552017,936,278,628,926,254,623,705,196,508,718,223,491,723,211,504,840,210,556,833,195,603
16041413211,286,17,254,282,17,243,164,9,145,166,19,140,167,9,132,233,9,146,228,17,190
16001012110,1229,406,784,1221,389,794,676,198,478,685,254,427,693,241,437,633,165,395,605,140,440
16031312722,36,2,32,36,3,32,31,1,30,31,1,30,34,5,30,45,1,31,40,1,34
16065653413,434,96,309,403,67,306,106,20,87,109,33,76,110,25,77,450,42,212,429,45,355
16065653412,475,94,350,464,84,345,132,26,105,134,39,95,130,32,92,539,48,265,513,50,431
16065653414,545,134,373,513,109,360,142,39,104,142,45,97,145,42,95,707,74,356,672,68,563
16065653409,597,121,435,586,101,440,230,45,184,235,72,165,233,57,170,591,38,262,574,60,466
16039392313,495,111,365,496,135,340,505,148,350,505,189,316,514,175,330,598,146,388,592,122,436
16055553027,1511,379,1090,1474,343,1051,917,251,664,925,277,649,926,264,644,553,101,390,553,97,440
16007073202,396,50,336,399,42,335,245,40,203,247,47,201,247,44,193,357,29,257,358,29,302
16005052858,546,159,367,547,191,341,353,134,220,353,136,215,356,151,201,432,106,253,436,121,279
16001011917,1059,814,207,1051,790,222,876,645,229,897,750,151,908,694,199,891,604,163,866,596,252
16001011408,1584,692,864,1586,634,899,1204,429,776,1227,572,655,1243,520,713,1367,476,724,1309,428,819
16001011604,1467,934,480,1452,916,488,1195,723,474,1215,845,369,1231,811,403,1271,699,424,1200,685,478
16001012104,1793,698,1033,1778,708,1005,1360,478,880,1389,610,782,1402,576,797,1485,448,820,1388,415,898
16041413204,470,76,376,461,74,364,245,38,206,246,38,207,249,37,200,361,49,248,360,49,291
16069696013,1070,297,745,1068,303,708,412,132,278,424,157,266,425,153,270,528,134,349,536,130,397
16019193047,1136,238,837,1103,239,803,636,153,483,670,180,490,688,184,475,967,147,593,954,184,696
16019193057,790,173,597,799,183,588,503,120,384,37,7,22,37,7,22,663,113,455,659,120,495
16045458003,768,152,607,778,200,548,551,122,432,563,166,394,572,151,405,614,122,445,614,144,430
16055552002,1671,208,1439,1652,199,1401,1011,165,840,1023,173,842,1026,167,827,1228,131,1026,1222,135,1018
16027271375,1406,422,938,1389,411,894,1107,299,805,1110,391,723,1133,395,724,1239,288,799,1225,282,863
16049497021,400,38,355,411,71,319,276,65,205,283,71,209,288,72,202,329,43,259,322,49,252
16055552022,1471,420,1016,1450,385,1040,837,211,623,854,280,577,854,243,601,1013,258,686,1017,233,756
16031312712,664,95,552,668,91,538,419,63,354,422,76,342,422,67,343,485,40,372,485,51,395
16083832405,805,211,548,812,247,511,631,161,468,640,228,415,644,206,422,777,168,505,773,177,534
16083832410,692,181,499,684,182,466,515,144,367,522,187,334,523,165,337,584,157,357,584,155,372
16083832417,867,336,499,811,292,454,459,149,310,462,186,279,469,180,279,668,167,391,668,177,444
16057575008,1754,1361,326,1561,1135,354,787,569,217,825,665,160,842,687,144,1202,744,285,1130,659,439
16069696019,826,174,624,838,177,627,639,187,450,644,217,428,656,202,446,747,169,504,762,168,576
16055553064,719,149,546,704,144,541,434,88,348,440,100,339,444,87,352,526,79,409,517,74,424
16011113126,20,8,11,19,2,14,17,5,13,17,5,13,17,5,8,24,0,17,24,0,22
16057575003,625,251,330,630,278,328,368,338,29,632,368,263,637,372,256,718,289,278,740,299,418
16069696016,578,166,398,580,162,392,494,151,347,494,176,321,503,176,311,568,162,350,554,135,403
16069696017,779,162,610,773,140,606,600,149,449,603,199,404,617,170,437,796,188,518,803,187,598
16069696020,799,146,634,805,155,610,605,151,456,607,174,432,606,169,428,742,167,507,744,166,562
16005052852,672,163,470,669,169,442,458,135,322,464,168,298,465,155,305,502,123,299,511,163,317
16005052853,1225,442,716,1216,465,679,720,311,410,735,365,369,758,378,351,877,217,464,874,253,551
16083832418,1018,307,644,1014,347,592,603,184,418,603,217,383,623,231,382,739,169,457,741,182,505
16055553024,824,232,565,816,236,544,554,189,365,553,189,363,559,186,359,751,184,503,745,172,534
16069696022,886,234,638,881,259,610,569,160,413,573,195,380,586,191,387,743,170,487,753,170,561
16045458010,647,82,556,652,83,548,531,99,433,541,120,421,547,108,434,571,74,434,556,67,433
16005052912,728,252,444,730,268,421,556,246,313,555,247,309,566,245,306,626,154,382,632,182,409
16001012113,1606,619,935,1599,625,904,1108,385,722,1127,481,645,1157,469,666,1293,407,737,1247,385,781
16019193308,947,276,628,948,264,637,666,199,466,686,259,424,695,214,456,812,206,456,797,186,560
16001011909,1576,1207,339,1570,1163,370,1294,861,434,1327,1043,284,1344,940,392,1393,952,291,1344,913,411
16083832524,605,138,439,576,116,432,469,98,372,482,149,338,495,137,351,526,99,368,537,99,404
16079797007,107,36,70,105,37,62,60,34,26,62,36,26,66,40,26,77,29,42,80,31,46
16011113123,446,49,386,452,62,369,347,64,281,348,70,275,350,81,264,378,51,288,388,59,290
16065653411,377,103,246,345,78,235,120,34,86,120,40,80,121,37,78,446,55,202,418,49,341
16055552016,1744,466,1240,1723,419,1250,1157,308,851,1171,355,813,1177,317,851,1281,287,897,1284,239,1023
16057575004,457,205,227,471,230,230,565,282,285,567,325,239,565,294,255,605,265,230,640,262,357
16011113128,5,0,5,5,0,5,2,0,2,2,0,2,2,0,2,3,0,3,2,0,2
16069696021,1096,257,815,1101,266,806,726,191,535,726,234,497,746,216,531,884,191,619,884,179,683
16057575002,944,592,302,944,605,284,766,497,270,793,572,218,811,566,229,934,502,267,940,504,402
16019193306,889,240,623,883,229,614,615,176,442,645,236,406,657,221,419,818,197,463,801,188,564
16001011815,1775,953,749,1773,949,760,1365,652,712,1395,820,574,1415,793,596,1470,620,640,1400,592,736
16031312705,609,123,465,614,122,448,367,77,295,367,92,276,371,85,278,532,77,370,532,81,420
16057575018,1079,832,198,1027,787,198,517,393,123,525,427,99,540,437,99,765,456,169,757,485,243
16035357007,84,25,53,86,32,52,40,14,25,40,14,25,42,14,28,48,15,31,47,20,28
16083832408,982,259,707,952,253,656,580,174,407,583,220,365,595,204,386,702,163,456,702,167,490
