GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen
2400101-000,422,90,327,500.0,63.0,420.0,466.0,84.0,367.0
2400102-000,484,136,343,564.0,78.0,457.0,536.0,117.0,400.0
2400103-000,449,128,312,536.0,81.0,444.0,510.0,106.0,389.0
2400104-002,422,228,187,355.0,126.0,200.0,343.0,158.0,151.0
2400104-003,666,315,341,615.0,209.0,366.0,589.0,273.0,282.0
2400104-004,938,394,528,854.0,247.0,559.0,807.0,327.0,445.0
2400104-005,453,216,223,491.0,153.0,309.0,469.0,192.0,243.0
2400104-008,802,331,447,768.0,221.0,490.0,739.0,311.0,388.0
2400105-004,749,358,375,678.0,215.0,409.0,638.0,261.0,336.0
2400105-006,353,123,226,360.0,67.0,278.0,345.0,114.0,211.0
2400106-001,855,423,411,724.0,341.0,339.0,673.0,329.0,311.0
2400106-003,445,219,216,361.0,137.0,187.0,337.0,166.0,153.0
2400106-005,733,329,393,658.4,246.8,375.2,629.2,270.7,343.2
2400106-006,880,321,540,932.6,197.2,695.8,911.8,300.3,576.8
2400107-001,1017,351,642,1080.0,289.0,745.0,1045.0,346.0,654.0
2400107-002,1146,303,824,1180.0,247.0,886.0,1146.0,339.0,776.0
2400108-000,1441,423,998,1629.0,290.0,1277.0,1539.0,410.0,1058.0
2400109-000,580,133,442,649.0,86.0,539.0,604.0,134.0,445.0
2400110-000,864,209,643,972.0,134.0,810.0,876.0,184.0,663.0
2400111-000,623,279,329,699.0,314.0,343.0,658.0,311.0,318.0
2400112-000,1460,612,809,1459.0,498.0,853.0,1363.0,551.0,740.0
2400113-000,945,321,598,1108.0,197.0,879.0,1068.0,291.0,733.0
2400114-000,339,173,157,291.0,153.0,111.0,267.0,158.0,92.0
2400116-000,1006,292,685,1070.0,207.0,829.0,1017.0,275.0,700.0
2400118-000,876,214,647,1092.0,137.0,923.0,1017.0,217.0,749.0
2400120-000,904,245,641,1000.0,163.0,808.0,958.0,253.0,669.0
2400121-000,546,147,389,634.0,122.0,488.0,599.0,144.0,437.0
2400122-000,1030,420,589,913.0,280.0,589.0,882.0,348.0,482.0
2400123-000,1214,542,639,1146.0,338.0,743.0,1098.0,433.0,609.0
2400124-000,837,270,556,897.0,191.0,679.0,861.0,240.0,592.0
2400126-000,1160,516,628,1312.0,559.0,648.0,1213.0,503.0,622.0
2400129-001,1285,399,867,1305.0,318.0,924.0,1246.0,404.0,806.0
2400129-002,1189,411,761,1216.0,378.0,762.0,1164.0,431.0,686.0
2400129-003,875,311,551,866.0,249.0,581.0,843.0,319.0,508.0
2400131-000,712,202,499,749.0,122.0,597.0,719.0,160.0,531.0
2400134-000,965,309,642,990.0,221.0,727.0,942.0,301.0,606.0
2400301-001,1313,481,807,1494.0,514.0,891.0,1464.0,530.0,902.0
2400301-002,983,329,634,1297.6,436.3,743.6,1270.5,470.8,775.4
2400301-003,1453,568,855,1385.9,448.6,864.3,1370.9,544.6,786.4
2400301-004,1209,756,437,1389.0,795.0,540.0,1368.0,842.0,500.0
2400301-005,1079,602,466,1173.3,676.4,420.7,1148.2,669.4,434.7
2400301-006,1392,852,525,1531.0,1013.0,426.0,1504.0,1017.0,453.0
2400301-007,1052,362,670,1279.0,369.0,808.0,1278.0,451.0,792.0
2400301-008,1499,518,942,1598.0,483.0,1038.0,1592.0,609.0,928.0
2400301-009,1337,462,855,1386.0,412.0,886.0,1355.0,474.0,834.0
2400301-010,1055,373,658,1205.1,436.1,678.0,1182.4,461.0,678.8
2400301-011,959,300,646,1101.3,347.6,690.4,1083.1,376.2,687.9
2400301-012,1668,1204,440,1790.0,1279.0,400.0,1753.0,1268.0,408.0
2400301-013,694,344,337,771.0,388.0,341.0,765.0,428.0,284.0
2400301-014,1234,519,687,1269.1,448.4,761.7,1250.1,512.4,694.6
2400301-015,1189,479,690,1392.2,553.0,780.9,1372.1,618.1,713.7
2400301-016,1111,476,606,1378.8,668.0,648.1,1353.9,685.9,617.3
2400301-017,828,394,410,903.0,395.0,463.0,907.0,468.0,404.0
2400301-018,1854,1119,710,1771.0,1033.0,681.0,1723.0,1085.0,588.0
2400301-019,1629,1128,482,1353.0,906.0,349.0,1330.0,884.0,401.0
2400301-020,1808,1138,651,1393.7,875.6,412.3,1364.8,860.6,452.3
2400301-021,1311,1057,246,1403.0,1135.0,186.0,1374.0,1076.0,245.0
2400301-022,2552,1413,1107,3750.0,2306.0,1173.0,3649.0,2211.0,1292.0
2400301-023,108,46,59,385.0,282.0,89.0,371.0,263.0,99.0
2400301-024,954,648,290,995.0,645.0,270.0,975.0,630.0,299.0
2400302-001,1258,558,687,1098.0,457.0,550.0,1087.0,486.0,558.0
2400302-002,962,444,499,1032.3,549.0,427.9,1025.9,569.9,422.3
2400302-003,1261,576,649,1441.7,625.0,713.6,1410.7,632.1,716.5
2400302-004,1665,851,799,1531.0,787.0,661.0,1498.0,764.0,686.0
2400302-005,1314,711,571,1441.0,730.0,622.0,1430.0,779.0,583.0
2400302-006,1104,440,645,1170.6,454.2,643.3,1148.6,521.2,577.3
2400302-007,1527,734,759,1922.0,912.0,881.0,1890.0,995.0,822.0
2400302-008,1475,534,908,1530.9,522.1,894.8,1507.7,618.2,836.1
2400302-009,1530,909,595,1607.7,986.6,525.3,1589.8,1018.6,516.3
2400302-010,1494,628,833,1706.1,565.9,1044.2,1698.3,673.8,955.9
2400302-011,879,392,469,961.0,346.0,547.0,963.0,428.0,494.0
2400302-012,1020,431,566,963.0,339.0,548.0,959.0,389.0,507.0
2400302-013,921,404,502,1106.0,440.0,571.0,1091.0,469.0,581.0
2400302-014,1870,1377,471,1964.7,1506.0,360.8,1940.7,1492.0,373.7
2400302-015,1611,993,591,1615.3,922.5,567.1,1580.3,926.4,569.0
2400302-016,930,373,540,890.4,331.8,514.7,869.4,347.8,493.7
2400302-017,1605,1095,491,1537.0,1069.0,396.0,1501.0,1047.0,398.0
2400302-018,1109,656,436,1291.7,740.5,445.0,1271.7,757.6,464.0
2400302-019,1373,879,472,1491.4,954.4,438.4,1446.6,938.5,440.4
2400302-020,1528,687,822,1714.0,818.0,770.4,1685.5,820.2,803.0
2400302-021,1911,647,1241,2153.6,768.3,1242.2,2121.6,769.4,1300.2
2400302-022,1602,641,934,1869.0,643.0,1126.0,1846.0,777.0,986.0
2400302-023,1427,681,732,1826.2,842.4,808.5,1762.5,863.3,827.5
2400302-024,1311,598,689,1421.0,671.0,656.0,1399.0,656.0,685.0
2400303-001,1376,485,868,1627.0,467.0,1056.0,1598.0,530.0,1040.0
2400303-002,1049,358,664,1029.0,298.0,667.0,1026.0,375.0,624.0
2400303-003,1926,720,1174,2297.0,715.0,1488.0,2253.0,783.0,1390.0
2400303-004,1775,668,1070,2056.0,698.0,1206.0,2021.0,759.0,1172.0
2400303-005,1349,508,821,1765.0,607.0,1033.0,1751.0,649.0,1037.0
2400303-006,1796,720,1057,3845.9,1722.1,1906.0,3743.9,1700.9,1921.6
2400303-007,1490,640,818,1717.0,583.0,1012.0,1688.0,644.0,993.0
2400303-008,1698,895,767,2087.6,1023.5,941.7,2062.5,1073.6,915.1
2400303-009,724,234,482,862.5,266.5,543.1,853.5,266.5,567.0
2400303-010,1594,431,1134,1824.0,416.0,1301.0,1820.0,484.0,1298.0
2400303-011,1882,531,1313,2167.8,545.9,1511.4,2121.4,567.9,1503.4
2400303-012,1655,473,1153,1843.0,432.0,1310.0,1803.0,490.0,1267.0
2400303-013,1588,444,1103,1792.0,396.0,1310.0,1758.0,410.0,1315.0
2400303-014,1179,393,757,1251.0,327.0,848.0,1251.0,403.0,811.0
2400303-015,1205,339,850,1299.0,320.0,912.0,1295.0,373.0,898.0
2400303-016,1425,537,863,1651.0,526.0,1016.0,1615.0,574.0,990.0
2400303-017,1481,445,1011,1594.0,342.0,1162.0,1566.0,415.0,1104.0
2400303-018,1531,464,1043,1672.6,434.6,1165.2,1629.4,453.5,1136.4
2400303-019,1388,384,985,1592.0,372.0,1143.0,1566.0,383.0,1141.0
2400303-020,1210,346,837,1403.0,334.0,990.0,1392.0,433.0,924.0
2400303-021,1686,723,938,1892.6,686.5,1077.5,1875.2,734.7,1076.2
2400303-022,1287,567,703,1396.0,494.0,795.0,1394.0,510.0,837.0
2400303-023,1284,465,793,1386.0,481.0,821.0,1371.0,499.0,822.0
2400303-024,1569,579,957,1923.0,607.0,1197.0,1884.0,666.0,1151.0
2400303-025,1203,767,422,1264.0,720.0,479.0,1264.0,756.0,457.0
2400304-001,1379,996,380,1537.4,1122.6,347.9,1493.4,1080.6,342.9
2400304-002,1388,694,676,1775.8,988.6,640.5,1734.5,961.7,692.5
2400304-003,1340,582,739,1509.0,686.8,684.2,1472.2,662.5,764.5
2400304-004,1467,517,922,1699.0,630.0,901.0,1675.0,639.0,990.0
2400304-005,957,531,411,1011.6,601.8,340.8,985.3,545.4,406.6
2400304-006,1880,1591,269,2078.2,1807.6,164.2,2036.7,1755.0,229.2
2400304-007,1716,1248,451,1569.1,1116.3,335.8,1505.1,1052.4,375.8
2400304-008,1296,574,706,1441.0,624.0,713.0,1400.0,622.0,721.0
2400304-009,1913,1451,438,2211.0,1777.0,311.0,2172.0,1741.0,351.0
2400304-010,2022,985,1014,1572.8,819.7,632.6,1535.7,801.9,684.0
2400304-011,1114,637,459,1075.0,617.2,369.8,1061.8,651.5,364.5
2400304-012,1059,519,524,965.5,449.6,416.6,948.5,492.1,415.7
2400304-013,1313,432,858,1204.0,419.0,703.0,1170.0,438.0,692.0
2400304-014,1514,634,848,1380.0,536.0,728.0,1360.0,536.0,764.0
2400304-015,1967,873,1056,2145.0,874.0,1106.0,2102.0,827.0,1213.0
2400304-016,1648,930,692,1415.0,847.0,457.0,1382.0,805.0,529.0
2400304-017,1481,990,469,1775.4,1236.8,441.0,1777.9,1276.4,433.9
2400304-018,1437,1267,161,1826.2,1541.3,200.0,1768.3,1499.7,209.8
2400304-019,1612,1366,231,1299.0,1072.0,131.0,1270.0,1043.0,188.0
2400304-020,1359,696,645,1301.0,739.0,453.0,1272.0,710.0,525.0
2400304-021,2066,1000,1033,2176.0,1166.0,861.0,2119.0,1111.0,959.0
2400304-022,1371,816,533,1559.0,947.0,485.0,1529.0,955.0,514.0
2400304-023,1418,649,750,1871.6,1014.5,718.6,1834.9,953.7,829.4
2400304-024,1908,1380,504,2517.3,1875.7,446.6,2447.1,1816.9,523.7
2400305-001,1820,875,931,1826.7,820.1,874.1,1799.4,734.6,1020.2
2400305-002,1673,824,836,1858.0,940.0,790.0,1811.0,904.0,840.0
2400305-003,1288,585,685,1393.0,630.0,635.0,1345.0,565.0,748.0
2400305-004,1563,620,918,1736.0,716.0,881.0,1716.0,744.0,910.0
2400305-005,1473,731,718,1393.0,739.0,560.0,1368.0,654.0,684.0
2400305-006,1234,542,675,1212.0,560.0,548.0,1192.0,508.0,665.0
2400305-007,1309,493,793,1134.0,510.0,517.0,1109.0,443.0,646.0
2400305-008,1475,590,858,1468.0,697.0,623.0,1431.0,614.0,777.0
2400305-009,1008,398,594,947.0,437.0,421.0,936.0,410.0,504.0
2400305-010,815,272,524,653.0,254.0,342.0,630.0,249.0,373.0
2400305-011,1547,685,824,1357.0,583.0,648.0,1332.0,556.0,716.0
2400305-012,1071,423,632,1172.0,538.0,507.0,1144.0,498.0,624.0
2400305-013,1444,601,820,1489.0,593.0,754.0,1470.0,563.0,876.0
2400305-014,1456,563,873,1185.0,472.0,592.0,1163.0,443.0,676.0
2400305-015,1227,485,729,1192.2,482.6,588.6,1175.1,474.1,676.9
2400305-016,1076,479,581,900.0,416.0,413.0,877.0,387.0,468.0
2400305-017,1652,747,865,1950.0,908.0,878.0,1910.0,918.0,930.0
2400305-018,1954,917,1006,2217.9,1102.8,959.3,2163.6,1036.8,1055.7
2400305-019,1274,490,770,1127.3,431.7,601.6,1111.3,379.8,697.6
2400305-020,1337,593,728,1134.3,543.9,480.9,1115.6,504.4,584.8
2400305-021,1921,879,1001,2132.0,947.0,962.0,2092.0,934.0,1069.0
2400305-022,1673,765,882,1830.0,851.0,807.0,1791.0,867.0,882.0
2400305-023,1063,517,532,877.0,472.0,323.0,862.0,433.0,404.0
2400305-024,1275,457,806,1241.0,549.0,589.0,1216.0,455.0,732.0
2400305-025,1447,530,894,1193.7,457.3,629.4,1165.7,452.2,668.4
2400305-026,1541,778,743,1645.9,820.3,661.1,1615.7,783.6,765.9
2400305-027,1200,514,664,1087.6,497.9,481.4,1059.1,470.3,565.1
2400305-028,1361,677,660,1357.7,668.0,544.2,1325.6,632.3,638.2
2400305-029,636,207,415,683.0,214.0,420.0,673.0,231.0,421.0
2400305-030,663,264,392,713.5,313.5,346.9,701.5,278.5,408.0
2400305-031,453,197,253,351.0,165.0,168.0,348.0,147.0,198.0
2400305-032,334,238,94,464.0,276.0,161.0,448.0,255.0,183.0
2400305-033,896,301,580,983.8,334.4,543.4,971.9,332.9,615.1
2400305-034,921,401,508,895.0,393.0,404.0,870.0,345.0,493.0
2400306-001,1560,979,570,1511.8,909.4,467.9,1477.7,851.9,581.9
2400306-002,1197,611,568,1297.5,712.5,453.1,1262.0,677.9,533.2
2400306-003,1159,1020,135,959.0,816.7,101.2,921.9,755.5,132.3
2400306-004,925,659,257,856.0,620.2,170.6,839.6,611.8,197.4
2400306-005,1103,579,512,933.0,522.0,341.0,923.0,482.0,415.0
2400306-006,904,764,135,957.0,773.0,136.0,942.0,775.0,142.0
2400306-007,1106,736,357,1123.1,764.7,270.0,1108.7,736.0,333.6
2400306-008,1128,723,393,950.4,606.2,278.5,940.7,577.9,333.0
2400306-009,1360,698,637,1260.4,649.4,511.9,1238.4,620.3,580.0
2400306-010,1011,455,540,1206.1,582.2,528.7,1174.2,545.1,596.0
2400306-011,1027,642,375,751.0,492.0,189.0,736.0,445.0,261.0
2400306-012,1393,927,436,1394.7,953.2,335.1,1345.5,857.6,452.4
2400306-013,897,693,194,645.7,435.5,170.9,626.9,421.9,191.9
2400306-014,1420,1181,236,1522.0,1288.3,170.8,1448.1,1168.5,246.7
2400306-015,924,633,276,957.9,632.1,258.6,935.6,645.0,251.0
2400306-016,621,507,110,771.3,639.2,88.8,742.7,578.0,137.1
2400306-017,1470,924,520,1261.0,764.1,403.9,1226.5,719.6,471.3
2400306-018,1489,850,612,1468.0,869.0,478.0,1426.0,788.0,588.0
2400306-019,1440,594,822,1030.3,459.6,483.3,1007.2,423.5,556.9
2400306-020,1105,492,598,816.0,407.0,377.0,802.0,392.0,394.0
2400306-021,2201,1066,1106,2048.2,934.7,923.9,2014.3,904.8,1057.2
2400306-022,1674,884,767,1511.0,800.0,575.0,1480.0,754.0,653.0
2400306-023,1266,673,567,1293.7,727.9,451.4,1275.8,693.1,529.0
2400306-024,1249,802,433,1214.7,790.7,336.6,1183.3,728.0,414.8
2400306-025,1300,610,676,1368.0,689.0,574.0,1355.0,648.0,682.0
2400306-026,1304,575,719,1090.4,467.5,521.2,1066.4,438.6,610.8
2400306-027,752,270,472,855.0,331.0,461.0,828.0,292.0,515.0
2400306-028,1216,506,697,1123.0,478.0,571.0,1120.0,466.0,624.0
2400306-029,825,368,444,919.0,434.0,391.0,901.0,403.0,476.0
2400306-030,1282,718,548,1335.7,773.0,469.7,1307.6,718.2,556.3
2400306-031,1039,422,606,1039.0,469.0,498.0,1013.0,407.0,592.0
2400307-001,1938,814,1093,2076.6,719.5,1238.2,2062.6,808.5,1189.2
2400307-002,1915,860,1025,2074.0,817.0,1139.0,2054.0,868.0,1108.0
2400307-003,1292,731,538,1330.0,659.0,592.0,1311.0,725.0,549.0
2400307-004,1458,670,768,1155.0,417.0,657.0,1132.0,442.0,661.0
2400307-005,1685,708,936,1429.8,541.0,786.8,1398.5,566.1,774.8
2400307-006,1984,771,1180,1922.7,659.4,1125.8,1880.7,654.0,1152.6
2400307-007,1802,702,1080,1711.0,674.0,908.0,1659.0,619.0,989.0
2400307-008,1604,744,831,1441.0,604.0,748.0,1403.0,621.0,741.0
2400307-009,1581,824,737,1509.0,618.0,815.0,1493.0,721.0,712.0
2400307-010,1626,640,961,1675.3,587.6,978.2,1636.3,582.0,992.4
2400307-011,1651,661,974,1273.7,455.0,712.0,1249.0,445.5,768.9
2400307-012,1766,699,1034,1561.2,608.0,829.0,1522.6,596.7,874.3
2400307-013,1658,637,1003,1713.0,715.0,874.0,1674.0,657.0,971.0
2400307-014,1208,602,590,1345.0,672.0,528.0,1322.0,662.0,612.0
2400307-015,1374,620,724,1431.9,686.1,625.5,1391.8,650.4,698.6
