GEOID10,Tot_2018_gov,Dem_2018_gov,Rep_2018_gov,Tot_2018_sen,Dem_2018_sen,Rep_2018_sen,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
0401759,774.0,78.1,679.7,774.2,107.6,643.7,762.5,100.1,661.5,847.0,78.9,702.6,805.5,119.7,583.2,694,190,476
0400112,634.0,71.0,555.0,637.0,85.0,531.0,612.0,74.0,537.0,673.0,57.0,582.0,658.0,77.0,527.0,616,100,509
0400161,844.0,159.0,660.0,852.0,213.0,608.0,830.0,197.0,629.0,1023.0,195.0,761.0,988.0,241.0,635.0,1014,251,749
0400113,488.0,351.0,105.0,488.0,390.0,71.0,484.0,392.0,90.0,505.0,430.0,40.0,521.0,458.0,60.0,512,442,65
0400154,626.7,517.0,85.5,624.7,543.1,66.5,620.7,545.2,75.5,652.1,560.7,38.2,662.2,584.9,69.3,606,500,103
0400125,130.0,33.0,94.0,127.0,41.0,84.0,127.0,35.0,92.0,122.0,34.0,87.0,120.0,38.0,76.0,125,25,100
0400117,612.2,63.4,538.6,610.2,110.1,490.9,599.2,86.8,512.4,673.9,84.6,564.9,660.6,107.7,488.3,665,113,541
0400170,650.8,120.5,516.3,649.8,184.3,446.6,641.8,151.4,487.4,700.6,144.4,519.3,689.7,165.4,470.4,709,195,508
0400122,346.0,273.0,59.0,348.0,293.0,40.0,348.0,301.0,46.0,385.0,316.0,33.0,394.0,338.0,46.0,379,311,66
0400174,604.0,503.0,80.0,606.0,539.0,45.0,604.0,550.0,53.0,709.0,630.0,38.0,724.0,664.0,48.0,698,623,68
0400129,563.1,464.0,77.0,564.0,482.0,57.0,552.0,493.0,59.0,608.0,520.0,42.0,631.1,559.0,61.0,528,457,65
0400123,526.2,415.9,89.2,521.2,431.0,67.1,521.2,450.0,70.2,613.3,486.1,55.1,617.3,524.2,69.1,419,345,71
0400110,362.8,291.1,66.8,368.8,313.0,45.8,360.8,307.0,53.8,411.7,347.9,32.9,416.7,373.8,36.9,341,294,44
0400127,534.0,352.0,154.0,536.0,408.0,98.0,520.0,401.0,117.0,588.0,407.0,102.0,595.0,463.0,106.0,533,381,144
0400135,316.0,238.0,65.0,313.0,244.0,55.0,309.0,245.0,63.0,335.0,261.0,50.0,345.0,269.0,61.0,334,250,78
0400186,375.7,280.5,75.0,380.7,323.9,36.6,376.5,326.8,46.8,410.2,339.0,37.5,419.4,370.6,39.6,350,297,51
0400131,417.7,314.2,86.5,421.6,344.1,54.7,413.7,344.1,68.6,473.3,357.0,53.7,492.2,416.6,63.7,421,318,99
0400165,1043.0,817.0,176.0,1041.0,850.0,141.0,1035.0,868.0,164.0,1097.0,854.0,124.0,1113.0,879.0,185.0,849,647,192
0400133,758.0,628.0,89.0,760.0,668.0,55.0,749.0,670.0,77.0,839.0,710.0,47.0,864.0,760.0,78.0,714,616,84
0400158,444.0,377.0,49.0,445.0,390.0,43.0,443.0,395.0,47.0,471.0,407.0,25.0,482.0,435.0,39.0,411,360,46
0400148,718.4,418.8,273.4,715.5,466.3,195.8,709.6,496.4,208.4,763.9,463.4,216.2,769.7,539.0,178.4,698,463,227
0400137,72.0,51.0,19.0,74.0,58.0,12.0,73.0,63.0,10.0,86.0,66.0,11.0,87.0,71.0,12.0,60,49,11
0400916,256.0,185.0,57.0,258.0,211.0,32.0,254.0,215.0,39.0,408.0,349.0,40.0,412.0,290.0,75.0,353,249,101
0400141,67.0,53.0,9.0,69.0,57.0,7.0,66.0,56.0,9.0,106.0,87.0,5.0,107.0,84.0,22.0,109,84,24
0400151,98.0,75.0,20.0,100.0,75.0,19.0,99.0,78.0,21.0,125.0,98.0,10.0,125.0,96.0,23.0,135,105,27
0400176,307.0,245.0,49.0,305.0,243.0,53.0,305.0,243.0,60.0,335.0,228.0,61.0,339.0,243.0,88.0,368,247,111
0400146,245.8,185.3,51.5,248.7,212.1,31.7,239.8,202.1,36.7,270.5,216.0,23.8,281.4,246.8,22.8,279,223,52
0400152,326.0,231.0,71.0,332.0,238.0,75.0,320.0,234.0,86.0,394.0,259.0,81.0,401.0,259.0,120.0,396,274,117
0400156,378.3,310.0,49.5,383.2,318.9,49.5,378.3,330.8,47.5,421.9,377.4,24.7,434.8,399.1,29.7,354,306,45
0400178,246.0,183.0,49.0,248.0,207.0,33.0,241.0,207.0,34.0,285.0,245.0,22.0,295.0,261.0,32.0,254,222,31
0400159,505.2,52.5,438.7,502.2,88.7,399.4,485.2,73.6,410.6,564.3,66.5,471.7,543.3,83.6,399.6,560,115,438
0400119,1584.0,1128.0,377.0,1595.0,1251.0,275.0,1574.0,1253.0,318.0,1735.1,1306.0,251.0,1767.0,1403.0,282.0,1433,1036,385
0400188,841.0,617.0,184.0,840.0,672.0,125.0,832.0,673.0,155.0,966.0,705.0,144.0,981.0,764.0,178.0,769,567,195
0400180,328.0,264.0,53.0,328.0,261.0,52.0,317.0,257.0,59.0,402.0,303.0,61.0,410.0,300.0,98.0,375,281,89
0400301,828.2,210.5,583.7,823.4,269.6,527.9,810.4,281.0,529.5,834.0,246.2,510.1,817.8,289.0,466.4,816,282,526
0400303,754.9,196.5,534.1,756.2,256.6,471.3,742.3,275.0,466.3,794.0,242.7,477.4,773.0,263.2,449.4,859,336,506
0400302,1300.0,268.0,996.0,1298.0,363.0,892.0,1273.0,356.0,915.0,1425.0,320.0,992.0,1380.0,338.0,895.0,1136,344,766
04019221,1515.0,397.0,1083.0,1521.0,453.0,1031.0,1486.0,498.0,986.0,1655.0,446.0,1099.0,1603.0,501.0,959.0,1478,488,967
0400304,667.5,167.2,481.9,670.4,220.1,426.0,657.8,236.5,420.2,717.3,210.7,440.6,696.9,224.8,416.3,637,215,400
0400332,1216.3,210.7,983.2,1221.0,281.6,919.8,1201.4,283.5,917.0,1361.7,270.4,972.9,1326.3,317.0,891.9,1309,326,974
0400320,703.6,401.1,284.2,707.5,450.4,234.3,692.7,476.0,216.7,814.4,557.8,198.7,799.3,490.6,283.8,740,434,300
