GEOID10,Tot_2010_tot,Wh_2010_tot,Bl_2010_tot,Hisp_2010_tot,Nat_2010_tot,Oth_2010_tot,Asn_2010_tot,Pac_2010_tot,Bl+_2010_tot,Nat+_2010_tot,Asn+_2010_tot,Pac+_2010_tot,Tot_2010_vap,Wh_2010_vap,Bl_2010_vap,Hisp_2010_vap,Nat_2010_vap,Oth_2010_vap,Asn_2010_vap,Pac_2010_vap,Bl+_2010_vap,Nat+_2010_vap,Asn+_2010_vap,Pac+_2010_vap,Tot_2018_tot,Wh_2018_tot,Bl_2018_tot,Hisp_2018_tot,Nat_2018_tot,Oth_2018_tot,Asn_2018_tot,Pac_2018_tot,Bl+_2018_tot,Nat+_2018_tot,Asn+_2018_tot,Pac+_2018_tot
5405336,839,824,0,1,0,12,2,0,0,8,5,1,626,618,0,1,0,6,1,0,0,3,3,1,927.9,908.2,0.0,0.0,0.0,19.7,0.0,0.0,0.0,19.7,0.0,0.0
5405337,627,622,0,0,2,3,0,0,0,5,0,0,486,481,0,0,2,3,0,0,0,5,0,0,613.1,613.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5405338,1551,1529,1,9,0,11,1,0,2,5,4,0,1187,1173,1,6,0,6,1,0,1,4,1,0,1899.3,1741.1,0.0,0.0,0.0,158.2,0.0,0.0,0.0,0.0,0.0,158.2
540551,914,836,42,8,2,22,3,1,61,6,5,2,700,653,29,6,1,7,3,1,34,4,4,1,958.4,872.9,73.4,0.0,0.0,12.1,0.0,0.0,76.9,8.7,0.0,0.0
540552,1079,1036,16,5,1,14,7,0,29,1,8,0,840,814,15,2,1,2,6,0,16,1,7,0,896.9,872.0,13.6,0.0,0.0,0.0,11.2,0.0,13.6,0.0,11.2,0.0
540553,1556,1487,32,5,2,30,0,0,46,17,1,1,1239,1197,18,4,2,18,0,0,21,16,1,1,1342.7,1335.2,3.8,0.0,0.0,3.8,0.0,0.0,7.5,0.0,0.0,0.0
540554,985,925,41,10,0,8,1,0,47,2,1,1,779,736,31,8,0,3,1,0,32,1,1,1,947.0,663.0,261.1,0.0,0.0,20.0,2.9,0.0,274.2,6.9,2.9,0.0
540555,1065,1033,11,4,0,14,3,0,15,4,7,0,868,848,6,4,0,7,3,0,7,4,5,0,805.6,765.0,35.7,0.0,0.0,4.9,0.0,0.0,40.6,0.0,0.0,0.0
5405514,730,165,528,3,11,22,1,0,552,16,1,0,587,134,431,3,8,10,1,0,443,13,1,0,667.9,380.2,273.1,0.0,0.0,14.6,0.0,0.0,285.0,2.7,0.0,0.0
5405515,1436,916,446,13,3,57,1,0,501,11,3,0,1051,716,302,10,2,20,1,0,321,8,2,0,1254.6,804.3,346.8,59.6,0.5,43.4,0.0,0.0,365.2,25.4,0.0,0.0
5405520,1062,568,433,21,1,36,3,0,470,15,3,1,803,458,316,13,1,12,3,0,324,12,3,1,842.8,459.0,356.5,3.5,0.0,23.7,0.0,0.0,380.3,0.0,0.0,0.0
5405527,435,410,15,0,0,2,8,0,15,0,9,0,360,341,11,0,0,2,6,0,11,0,7,0,497.2,276.8,169.2,7.8,0.0,43.3,0.0,0.0,216.9,3.5,0.0,0.0
5405528,1145,938,171,8,0,28,0,0,196,3,0,3,918,787,120,3,0,8,0,0,123,3,0,3,1300.6,849.9,356.9,13.5,0.0,78.8,1.5,0.0,439.2,9.6,1.5,0.0
5405530,411,327,68,2,0,10,4,0,76,1,4,0,324,274,42,2,0,2,4,0,43,1,4,0,458.6,369.4,74.7,1.0,0.0,12.3,1.2,0.0,83.2,4.1,1.6,0.4
5405531,756,664,73,2,3,11,3,0,80,5,7,0,646,584,51,2,2,4,3,0,51,4,7,0,922.7,733.9,153.3,1.3,0.0,31.6,2.6,0.0,177.3,5.9,5.1,2.6
5405532,508,444,46,0,6,8,4,0,50,6,5,0,416,375,33,0,3,1,4,0,33,3,5,0,567.3,459.1,77.6,0.0,6.5,22.7,1.3,0.0,97.2,6.5,4.5,3.1
5405533,467,353,89,8,0,16,1,0,106,1,1,0,368,291,70,5,0,1,1,0,71,1,1,0,437.5,324.4,82.9,14.3,5.3,10.3,0.4,0.0,89.8,7.7,1.3,0.9
5405534,946,574,328,22,1,18,3,0,359,9,4,0,707,454,231,11,1,7,3,0,240,5,4,0,703.1,434.4,221.9,18.4,0.0,28.3,0.0,0.0,252.2,0.8,0.0,0.0
5405536,994,886,80,9,1,6,12,0,83,4,12,0,797,724,52,6,1,6,8,0,55,4,8,0,981.4,906.2,45.4,0.2,0.0,29.7,0.0,0.0,46.7,28.5,0.0,0.0
5405537,637,585,41,2,1,2,6,0,41,2,7,0,524,488,28,2,1,1,4,0,28,2,4,0,605.2,559.7,17.3,0.4,25.7,2.1,0.0,0.0,19.6,25.9,0.0,0.0
5405538,902,823,52,6,0,18,3,0,63,4,6,0,764,713,36,4,0,8,3,0,39,4,5,0,800.5,765.4,12.4,0.0,0.0,22.7,0.0,0.0,14.4,20.7,0.0,0.0
5405542,929,908,7,4,4,4,2,0,8,7,2,0,747,731,7,1,4,3,1,0,7,7,1,0,689.4,678.3,0.0,0.3,0.1,10.0,0.8,0.0,2.3,0.1,0.8,0.0
5405544,1267,1227,12,6,1,18,3,0,17,12,5,0,1009,982,5,4,1,14,3,0,7,11,5,0,1149.5,1136.7,7.3,0.0,0.0,5.6,0.0,0.0,7.3,5.6,0.0,5.6
5405546,109,107,1,0,0,1,0,0,1,0,1,0,87,85,1,0,0,1,0,0,1,0,1,0,80.8,79.6,0.0,0.0,0.0,1.1,0.1,0.0,0.2,0.0,0.1,0.0
5405547,811,798,1,5,1,5,1,0,1,4,3,0,675,665,1,4,1,3,1,0,1,4,1,0,916.0,914.1,1.1,0.0,0.0,0.8,0.0,0.0,1.1,0.8,0.0,0.8
5405548,191,138,50,2,0,1,0,0,51,2,0,0,146,107,39,0,0,0,0,0,39,0,0,0,109.4,104.9,2.5,0.0,0.0,1.9,0.0,0.0,2.5,1.9,0.0,1.9
5405549,298,298,0,0,0,0,0,0,0,0,0,0,236,236,0,0,0,0,0,0,0,0,0,0,232.9,232.0,0.0,0.0,0.0,0.8,0.1,0.0,0.2,0.0,0.1,0.0
5405552,458,449,0,0,1,7,1,0,0,3,6,0,357,352,0,0,1,4,0,0,0,3,2,0,388.6,388.5,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0
5405553,1423,1384,9,12,3,14,1,0,10,13,2,0,1115,1090,2,10,3,9,1,0,2,11,2,0,1427.1,1414.6,11.9,0.0,0.0,0.7,0.0,0.0,12.6,0.0,0.0,0.0
5405554,1337,1321,1,9,0,6,0,0,6,1,0,0,999,994,1,3,0,1,0,0,1,1,0,0,1113.1,1113.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5405555,652,641,2,8,0,1,0,0,2,1,0,0,520,513,1,5,0,1,0,0,1,1,0,0,661.5,553.6,0.0,72.7,25.0,10.2,0.0,0.0,0.0,35.2,0.0,0.0
5405556,1107,1052,19,7,12,13,4,0,28,16,6,0,880,840,14,7,8,7,4,0,17,12,6,0,1290.7,1224.8,7.6,24.0,0.0,34.2,0.0,0.0,31.3,0.0,0.0,10.6
5405557,1737,1592,75,19,1,19,31,0,89,6,37,2,1534,1407,64,19,1,18,25,0,77,6,31,2,1395.7,1192.5,112.8,61.6,4.8,19.2,4.8,0.0,112.8,4.8,4.8,0.0
5405558,801,789,4,6,0,2,0,0,4,2,0,0,596,591,1,2,0,2,0,0,1,2,0,0,964.9,963.7,0.0,0.0,0.0,1.2,0.0,0.0,1.2,0.0,0.0,0.0
5405559,524,511,4,4,0,5,0,0,8,1,0,1,430,420,4,4,0,2,0,0,5,1,0,1,533.5,517.1,6.9,4.9,0.2,4.1,0.2,0.0,8.9,0.6,0.2,0.9
5405560,477,451,13,6,2,5,0,0,15,7,1,0,379,357,11,5,2,4,0,0,13,6,1,0,377.7,376.5,0.0,0.0,0.0,1.1,0.1,0.0,0.3,0.0,0.1,0.0
5405561,224,217,5,1,0,1,0,0,5,0,0,0,185,179,5,1,0,0,0,0,5,0,0,0,173.0,166.3,5.4,0.0,0.0,1.1,0.3,0.0,6.4,0.0,0.3,0.0
5405562,1873,1846,3,9,2,11,2,0,5,3,9,0,1425,1410,1,5,2,5,2,0,1,3,5,0,1734.3,1690.7,24.7,12.5,1.0,4.5,1.0,0.0,24.7,1.6,1.0,0.0
5405564,921,905,1,7,2,6,0,0,4,5,0,0,727,718,0,4,2,3,0,0,0,5,0,0,935.8,935.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5405565,2350,2271,26,19,1,26,7,0,36,12,10,0,1850,1800,22,10,1,13,4,0,24,9,5,0,2459.1,2338.4,19.0,40.0,0.0,61.7,0.0,0.0,58.4,4.7,0.0,22.2
5405566,1190,1140,25,7,1,17,0,0,36,7,0,0,956,929,17,4,0,6,0,0,17,6,0,0,1022.3,993.4,17.6,0.0,0.0,2.1,9.2,0.0,19.7,0.0,9.2,0.0
