GEOID10,Tot_2010_tot,Wh_2010_tot,Bl_2010_tot,Hisp_2010_tot,Nat_2010_tot,Oth_2010_tot,Asn_2010_tot,Pac_2010_tot,Bl+_2010_tot,Nat+_2010_tot,Asn+_2010_tot,Pac+_2010_tot,Tot_2010_vap,Wh_2010_vap,Bl_2010_vap,Hisp_2010_vap,Nat_2010_vap,Oth_2010_vap,Asn_2010_vap,Pac_2010_vap,Bl+_2010_vap,Nat+_2010_vap,Asn+_2010_vap,Pac+_2010_vap,Tot_2018_tot,Wh_2018_tot,Bl_2018_tot,Hisp_2018_tot,Nat_2018_tot,Oth_2018_tot,Asn_2018_tot,Pac_2018_tot,Bl+_2018_tot,Nat+_2018_tot,Asn+_2018_tot,Pac+_2018_tot
3503916,598,79,1,513,1,4,0,0,5,12,0,3,480,78,1,397,1,3,0,0,2,9,0,0,624.9,35.1,0.0,589.0,0.0,0.4,0.4,0.0,0.0,1.6,0.4,0.0
3503917,276,87,0,183,1,5,0,0,1,8,6,1,211,72,0,133,1,5,0,0,1,8,4,1,224.2,21.0,0.0,202.7,0.0,0.4,0.0,0.0,0.0,1.3,0.0,0.0
3503918,788,171,2,605,6,2,2,0,13,12,2,1,662,157,2,495,4,2,2,0,10,10,2,1,738.5,201.7,0.0,523.9,9.7,3.0,0.3,0.0,0.0,12.1,0.3,0.0
3503919,400,150,0,233,6,10,1,0,1,14,2,0,330,135,0,181,4,9,1,0,1,12,2,0,372.1,99.5,0.0,258.6,12.4,1.6,0.0,0.0,0.0,14.5,0.0,0.0
3503920,1242,419,4,771,26,18,4,0,19,82,8,1,1009,384,3,584,21,13,4,0,11,59,7,1,1301.2,182.5,2.6,994.2,106.8,15.0,0.0,0.0,39.4,180.8,0.0,0.0
3503921,221,45,1,128,36,11,0,0,3,58,1,0,158,39,1,89,26,3,0,0,3,33,1,0,217.0,26.2,0.4,148.1,39.6,2.7,0.0,0.0,6.2,53.8,0.0,0.0
3503922,109,27,0,81,1,0,0,0,0,2,0,2,93,19,0,73,1,0,0,0,0,2,0,2,115.1,40.6,0.0,68.6,0.3,0.0,5.6,0.0,0.0,1.6,5.6,0.0
3503923,351,41,2,296,5,1,6,0,2,6,7,0,275,35,2,227,4,1,6,0,2,5,6,0,340.4,120.0,0.0,202.9,1.0,0.0,16.6,0.0,0.0,4.8,16.6,0.0
3503924,3264,127,14,353,2725,42,3,0,36,2983,6,1,2159,114,9,220,1791,22,3,0,21,1945,4,1,3307.8,134.4,13.0,478.0,2625.8,56.6,0.0,0.0,66.4,2946.6,8.0,0.0
3503925,258,199,0,51,7,0,1,0,0,7,1,0,215,170,0,37,7,0,1,0,0,7,1,0,268.3,92.9,0.0,157.2,5.3,0.1,12.8,0.0,0.0,8.8,12.8,0.0
3503926,446,61,0,367,8,10,0,0,1,26,0,0,355,51,0,292,7,5,0,0,0,21,0,0,373.2,73.9,0.0,270.0,22.1,0.0,7.2,0.0,0.0,25.1,7.2,0.0
3503927,151,11,0,139,1,0,0,0,7,4,0,0,126,11,0,114,1,0,0,0,6,1,0,0,122.7,11.3,0.0,99.3,12.2,0.0,0.0,0.0,0.0,12.2,0.0,0.0
3503928,143,36,0,98,2,5,2,0,0,7,6,0,122,35,0,83,2,0,2,0,0,5,2,0,171.3,8.4,0.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3503929,217,37,0,26,147,3,4,0,0,153,4,0,158,22,0,17,113,2,4,0,0,118,4,0,311.6,25.4,0.0,41.1,241.2,3.9,0.0,0.0,0.0,268.2,0.0,0.0
3503930,455,49,0,397,1,7,1,0,0,7,2,0,342,39,0,299,0,4,0,0,0,3,1,0,374.0,84.3,0.0,261.7,18.6,0.0,9.4,0.0,0.0,20.8,9.4,0.0
3503931,904,128,2,746,1,27,0,0,10,16,8,3,713,123,2,565,1,22,0,0,6,13,5,1,829.3,70.7,0.0,758.4,0.2,0.0,0.0,0.0,0.0,25.2,0.0,0.0
3503932,559,84,0,465,0,10,0,0,9,11,4,0,408,77,0,322,0,9,0,0,4,8,4,0,306.9,26.6,0.0,280.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3503933,114,28,0,86,0,0,0,0,3,0,0,0,97,28,0,69,0,0,0,0,2,0,0,0,136.2,6.7,0.0,129.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3503934,42,6,0,35,0,1,0,0,0,0,0,0,34,6,0,27,0,1,0,0,0,0,0,0,47.7,2.3,0.0,45.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3503935,788,251,1,495,10,27,4,0,4,53,4,1,643,239,1,369,8,22,4,0,2,33,4,1,417.8,106.8,0.0,310.2,0.7,0.0,0.2,0.0,0.0,71.0,0.2,0.0
3503936,3182,245,1,2869,32,31,4,0,16,92,14,3,2339,211,1,2077,24,24,2,0,9,57,6,1,2769.2,290.3,9.2,2457.1,3.2,9.0,0.2,0.0,22.2,12.9,9.2,9.0
3503937,398,19,0,372,3,4,0,0,1,9,0,6,317,19,0,294,1,3,0,0,1,6,0,6,388.6,24.2,3.9,330.2,28.1,0.0,2.0,0.2,3.9,33.8,2.0,0.2
3503938,1953,259,3,1636,30,20,5,0,5,56,6,3,1466,230,1,1195,20,16,4,0,2,41,5,2,1707.9,284.7,28.1,1392.5,0.0,0.3,0.0,2.2,28.1,1.0,0.0,2.2
3503939,2119,407,8,1590,28,80,6,0,18,107,13,4,1542,372,7,1077,21,60,5,0,12,73,8,2,1846.1,340.1,0.0,1473.9,32.1,0.0,0.0,0.0,0.0,43.5,0.0,0.0
