GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_acstot,Wh_2018_acstot,His_2018_acstot,BlC_2018_acstot,NatC_2018_acstot,AsnC_2018_acstot,PacC_2018_acstot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_acstot,Wh_2019_acstot,His_2019_acstot,BlC_2019_acstot,NatC_2019_acstot,AsnC_2019_acstot,PacC_2019_acstot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap,Tot_2020_acstot,Wh_2020_acstot,His_2020_acstot,BlC_2020_acstot,NatC_2020_acstot,AsnC_2020_acstot,PacC_2020_acstot,Tot_2020_cvap,Wh_2020_cvap,His_2020_cvap,BlC_2020_cvap,NatC_2020_cvap,AsnC_2020_cvap,PacC_2020_cvap,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap,Tot_2020_adjtot,Wh_2020_adjtot,His_2020_adjtot,BlC_2020_adjtot,NatC_2020_adjtot,AsnC_2020_adjtot,PacC_2020_adjtot,Tot_2020_nhvap,Wh_2020_nhvap,His_2020_nhvap,Bl_2020_nhvap,Asn_2020_nhvap,Nat_2020_nhvap,Pac_2020_nhvap,OthAl_2020_nhvap,Mix_2020_nhvap
30039000009,588,574,7,0,10,0,0,474,465,4,0,5,0,0,667,642,10,3,13,0,0,533,522,1,1,5,0,0,644,608,10,7,18,0,0,506,497,4,1,4,0,0,586,555,0,3,16,0,0,483,473,0,2,9,0,0,598,555,14,7,20,5,2,487,457,7,6,17,5,1,599,556,14,7,20,5,2,487,457,7,0,2,3,0,3,15
30039000002,942,903,16,2,17,5,0,806,776,11,2,16,4,0,1011,963,29,1,19,1,1,869,854,4,0,7,0,0,1053,987,31,1,36,1,1,888,873,5,0,7,0,0,944,877,34,2,29,3,0,836,833,10,0,9,0,0,933,884,21,6,22,5,3,805,765,17,2,20,4,3,933,884,21,6,22,5,3,805,765,17,0,1,6,0,0,16
30039000010,859,829,11,2,14,1,1,690,669,7,2,9,1,1,941,908,12,5,14,2,0,742,727,4,3,8,0,0,909,860,13,13,21,2,0,701,692,5,3,7,0,0,944,905,4,18,24,4,0,731,708,0,2,21,0,0,952,871,26,10,44,5,3,769,710,16,9,37,3,1,952,871,26,10,44,5,3,769,710,16,0,0,2,0,6,35
30039000001,690,662,10,1,10,5,0,585,563,8,0,10,4,0,650,617,23,0,9,0,0,536,532,3,0,6,0,0,705,666,21,0,18,0,0,585,573,4,0,6,0,0,851,792,38,1,22,4,0,661,639,8,0,20,0,0,826,756,24,6,37,6,2,645,586,16,5,34,5,1,828,758,24,5,37,6,2,645,586,16,0,0,13,0,1,29
30069000001,494,486,5,3,1,0,0,381,378,2,1,0,0,0,432,424,0,0,0,8,0,345,340,0,0,0,10,0,453,428,0,0,0,25,0,360,335,0,0,0,25,0,464,449,0,0,0,15,0,391,377,0,0,0,15,0,496,466,5,5,12,6,10,413,390,4,2,9,6,10,496,466,5,5,12,6,10,413,390,4,0,0,0,0,0,19
30085000002,364,339,4,1,23,1,1,273,260,4,0,20,0,1,479,418,29,0,36,0,0,341,309,7,0,31,0,0,498,413,47,0,46,0,0,361,323,20,0,26,0,0,566,407,41,0,110,0,0,359,315,0,0,30,0,0,547,468,5,4,66,2,0,377,325,0,3,45,0,0,547,468,5,4,66,2,0,377,325,0,0,0,23,0,1,28
30085000010,347,292,2,1,52,0,0,263,224,2,0,30,0,0,445,358,26,0,58,0,0,318,268,3,0,44,0,0,460,351,38,0,68,0,0,333,276,10,0,43,0,0,365,255,23,0,91,0,0,260,226,22,0,22,0,0,356,287,14,3,46,6,1,267,223,11,0,29,2,0,356,287,14,3,46,6,1,267,223,11,0,1,14,0,1,17
30085000012,904,802,14,2,84,3,0,697,632,10,0,51,2,0,944,789,9,5,140,0,0,679,621,4,4,44,0,0,892,760,14,5,111,0,0,666,609,4,4,42,0,0,860,717,17,4,127,0,0,654,596,14,2,43,0,0,1071,893,30,19,109,12,1,801,691,18,10,68,4,1,1071,893,30,19,109,12,1,801,691,18,4,0,37,0,9,42
30105000033,3212,2946,54,16,184,16,1,2531,2362,30,5,124,9,1,3419,3016,141,33,243,14,11,2641,2340,142,13,135,2,0,3365,3044,106,50,185,9,11,2582,2362,105,12,92,4,0,3310,2967,40,59,240,39,5,2595,2364,44,5,110,30,0,3171,2811,80,24,236,18,5,2515,2265,57,16,157,16,3,3173,2812,80,24,237,18,5,2515,2265,57,6,8,79,0,11,89
30105000031,1484,1105,8,5,348,19,4,1128,892,5,1,207,13,1,1253,926,21,4,302,8,3,964,767,13,3,175,0,0,1304,947,39,3,314,5,10,992,760,20,1,208,3,0,1394,1017,19,1,358,3,9,988,682,0,0,321,2,0,1611,1068,37,12,499,13,6,1194,857,12,6,316,2,3,1611,1068,37,12,499,13,6,1194,857,12,4,0,288,0,2,31
30105000034,2673,2313,29,12,306,18,4,2003,1799,18,9,182,9,2,2860,2424,37,5,330,55,81,2220,1953,29,7,200,12,0,2802,2322,58,6,357,65,75,2221,1928,29,5,211,32,0,2720,2300,11,5,352,46,29,2156,1986,4,1,119,27,0,2796,2474,57,21,219,23,9,2112,1920,39,12,121,17,3,2796,2474,57,21,219,23,9,2112,1920,39,3,10,58,0,7,75
30053000011,1079,1025,12,2,23,8,5,869,832,6,0,18,4,2,1234,1133,16,0,64,18,19,998,912,15,3,48,0,1,1033,952,14,0,62,0,1,848,777,13,3,55,0,1,739,689,21,0,26,0,0,710,645,18,0,26,0,4,1111,1012,25,4,37,8,10,911,847,12,1,27,5,6,1111,1012,25,4,37,8,10,911,847,12,0,2,6,2,7,35
30053000003,3457,3241,108,20,84,18,1,2738,2601,67,4,59,8,1,3360,3059,180,6,119,5,0,2496,2391,60,3,50,0,0,3631,3385,162,3,102,4,0,2714,2598,60,3,62,0,0,3821,3602,158,0,50,12,0,2930,2835,48,0,24,8,0,3751,3415,119,31,130,30,10,3024,2763,94,19,103,20,8,3755,3419,119,31,128,30,10,3024,2763,94,2,11,41,0,18,95
30053000010,1308,1255,30,6,11,9,1,1094,1057,18,1,8,7,1,1524,1425,62,0,3,20,15,1216,1123,63,0,4,20,15,1506,1446,9,0,4,22,23,1210,1151,8,0,4,20,22,1133,1082,15,0,4,15,18,1029,993,12,0,3,20,0,1279,1187,31,9,44,5,2,1113,1040,24,7,32,4,2,1280,1188,31,9,42,5,2,1113,1040,24,3,0,8,1,4,33
30053000012,2669,2517,49,11,72,23,4,2123,2016,34,8,59,11,4,2179,2051,20,1,84,44,3,1816,1714,19,1,75,3,0,2173,2047,32,1,62,54,0,1842,1753,29,1,61,3,0,2501,2330,46,1,102,52,1,2199,2077,34,0,70,3,0,2402,2197,43,17,105,27,2,1969,1812,29,13,81,17,1,2403,2198,43,17,103,27,2,1969,1812,29,2,10,21,1,2,92
30053000005,246,232,2,0,9,2,0,206,199,1,0,6,1,0,277,253,3,0,16,2,11,238,225,3,0,6,2,0,309,275,11,1,15,2,10,256,245,0,0,6,2,0,299,244,8,0,17,2,0,253,232,4,0,16,1,0,355,317,5,2,10,9,1,283,257,2,1,9,6,1,355,317,5,2,10,9,1,283,257,2,0,2,4,0,4,14
