GEOID20,Tot_2020_sen,D_2020_sen,R_2020_sen,Tot_2020_gov,D_2020_gov,R_2020_gov,Tot_2020_ltg,D_2020_ltg,R_2020_ltg,Tot_2020_pres,D_2020_pres,R_2020_pres,Tot_2018_sen,D_2018_sen,R_2018_sen,Tot_2018_ag,D_2018_ag,R_2018_ag,Tot_2016_gov,D_2016_gov,R_2016_gov,Tot_2016_ltg,D_2016_ltg,R_2016_ltg,Tot_2016_pres,D_2016_pres,R_2016_pres
10003007-18,806,554,233,808,546,246,795,537,258,834,553,269,542,351,177,532,367,165,694,437,229,691,444,247,724,416,272
10003006-09,1429,725,658,1432,740,669,1411,761,650,1463,731,706,928,478,427,919,483,436,1063,531,498,1057,597,460,1094,451,565
10003004-09,1152,608,522,1154,602,534,1147,613,534,1173,608,548,760,406,340,758,397,361,754,372,369,746,384,362,765,330,393
10003007-23,1069,683,357,1073,686,371,1063,669,394,1092,682,387,855,567,269,838,561,277,951,580,343,938,589,349,988,565,377
10003004-26,1225,892,302,1219,892,302,1194,849,345,1256,884,355,924,676,228,914,648,266,1158,836,293,1137,778,359,1207,800,351
10003002-09,1317,852,431,1325,844,458,1311,834,477,1348,851,479,831,555,252,816,539,277,1132,677,436,1115,663,452,1166,635,467
10003003-11,1365,411,915,1355,412,918,1346,475,871,1393,395,978,923,310,593,903,306,597,1167,423,716,1157,539,618,1220,289,863
10003001-24,1350,835,454,1348,839,474,1322,844,478,1387,849,510,893,583,278,875,586,289,1228,754,432,1222,765,457,1294,724,491
10003004-18,1333,1003,294,1336,1014,297,1304,983,321,1374,1046,316,1039,808,217,1025,770,255,1268,954,285,1243,894,349,1316,934,333
10003005-17,913,604,289,919,609,293,890,606,284,955,614,329,687,461,206,678,465,213,852,556,274,823,548,275,878,489,331
10003006-10,1321,790,507,1323,793,505,1297,754,543,1339,772,542,1088,645,424,1077,672,405,1230,655,546,1205,665,540,1252,645,540
10003005-27,1390,914,450,1393,896,468,1360,882,478,1414,913,484,1074,712,341,1056,711,345,1282,783,464,1258,787,471,1322,745,511
10003007-10,1570,1082,452,1571,1083,465,1541,1024,517,1592,1037,528,1280,857,401,1260,860,400,1452,903,516,1419,893,526,1455,835,539
10003008-01,158,116,37,160,122,34,157,117,40,164,123,38,141,107,29,138,104,34,152,108,37,152,111,41,155,107,38
10003012-01,409,316,83,411,315,86,403,312,91,423,330,87,287,226,53,280,211,69,384,280,92,373,258,115,389,276,97
10003010-01,1028,970,26,1036,975,33,1001,936,65,1104,1071,25,780,740,15,763,683,80,962,927,21,954,797,157,1091,1057,18
10003007-15,1277,851,401,1277,855,400,1256,842,414,1307,843,455,961,632,309,951,611,340,1124,693,404,1086,668,418,1143,671,436
10003010-02,995,865,96,1007,878,104,972,807,165,1054,933,110,574,503,52,567,470,97,708,589,75,695,544,151,772,656,74
10003011-13,655,510,129,654,505,136,636,503,133,675,524,145,342,261,72,332,265,67,466,354,100,444,342,102,477,333,126
10005002-41,2756,1104,1529,2761,1119,1604,2718,1141,1577,2805,1154,1625,1859,756,1088,1823,814,1009,1914,849,1025,1889,885,1004,1961,670,1232
10005004-14,2875,1697,1121,2879,1695,1149,2838,1689,1149,2914,1701,1192,2219,1235,934,2179,1319,860,2272,1309,922,2222,1327,895,2344,1220,1069
10005006-14,2115,1314,770,2122,1302,799,2090,1277,813,2135,1304,814,1630,990,619,1599,1005,594,1638,939,675,1617,951,666,1656,863,748
10005001-41,1882,425,1416,1893,430,1438,1859,482,1377,1914,406,1487,1308,308,978,1274,366,908,1544,537,983,1515,589,926,1589,279,1246
10005008-38,1794,574,1196,1799,588,1195,1758,576,1182,1849,560,1271,1194,363,816,1178,399,779,1093,371,706,1074,395,679,1132,293,794
10005007-41,1151,459,661,1164,478,663,1132,483,649,1207,476,713,875,339,522,858,382,476,1072,499,544,1055,518,537,1115,409,663
10001003-32,1469,888,534,1471,887,541,1453,840,613,1487,916,541,1165,677,451,1142,684,458,1364,758,582,1344,784,560,1405,763,567
10005001-39,1485,450,995,1486,465,999,1460,466,994,1526,448,1054,1118,342,757,1083,368,715,1354,469,848,1320,482,838,1395,332,1013
10005001-40,1091,384,680,1092,383,684,1067,385,682,1117,374,729,770,281,481,747,318,429,920,413,482,898,414,484,962,306,618
10001006-30,1680,538,1102,1691,532,1133,1664,535,1129,1711,550,1138,1173,403,753,1149,421,728,1456,521,905,1426,612,814,1489,437,980
10001010-08,852,491,339,851,490,341,842,480,362,871,496,356,564,339,204,554,335,219,730,429,276,715,466,249,758,380,322
10001011-08,14,8,6,14,8,6,14,8,6,14,8,6,9,6,3,10,6,4,12,7,5,11,7,4,12,6,5
10001012-08,326,202,114,326,202,118,322,200,122,335,204,125,226,148,72,221,142,79,241,151,84,236,149,87,251,139,100
10001008-28,726,324,382,731,330,388,719,323,396,743,328,405,535,250,277,527,261,266,646,316,319,628,343,285,669,267,376
10001006-31,1646,1235,352,1658,1268,348,1630,1174,456,1694,1297,372,1096,866,201,1084,842,242,1276,938,303,1253,867,386,1314,924,316
10005002-37,1327,465,833,1336,452,873,1311,478,833,1349,470,862,1027,372,645,1002,398,604,1189,488,694,1154,532,622,1193,368,793
10005003-41,1149,538,589,1165,550,597,1140,568,572,1182,543,629,807,382,407,769,410,359,991,533,434,984,581,403,1037,423,587
10005004-41,1122,433,668,1130,425,695,1121,478,643,1143,440,691,851,326,512,834,371,463,974,449,510,962,506,456,1000,335,617
10005009-36,109,27,79,112,26,82,107,29,78,112,29,81,78,23,55,75,22,53,95,36,59,94,35,59,97,30,66
10003004-25,988,618,346,992,622,350,976,624,352,1017,630,368,765,454,285,745,451,294,927,539,356,919,574,345,947,486,404
10003001-25,755,608,116,753,613,118,741,604,137,773,629,124,683,550,97,682,556,126,778,572,171,769,580,189,804,590,158
10003008-27,1638,1001,610,1638,1006,608,1623,1008,615,1674,1004,655,1247,780,443,1230,766,464,1446,823,593,1462,873,589,1519,781,671
10003007-26,1428,1037,344,1422,1035,351,1402,1000,402,1472,1056,392,1107,820,258,1095,825,270,1356,957,365,1323,962,361,1408,932,401
10003006-02,621,560,46,619,568,45,604,535,69,652,595,50,445,397,30,441,365,76,563,476,66,561,455,106,602,515,59
10003004-17,1058,736,297,1059,740,290,1039,728,311,1074,734,325,824,561,246,797,544,253,925,609,283,907,590,317,940,553,337
10003001-17,771,523,218,774,528,218,758,531,227,816,545,254,478,335,133,465,334,131,689,476,176,678,482,196,724,461,222
10003004-21,1218,864,304,1219,849,329,1198,834,364,1241,882,339,905,639,237,897,633,264,1060,674,340,1024,686,338,1088,703,313
10003005-04,179,150,20,184,157,19,178,152,26,186,160,24,96,83,10,97,85,12,166,130,24,165,133,32,186,157,19
10003011-22,1599,1028,540,1603,1020,561,1574,996,578,1619,1005,588,1249,804,422,1228,811,417,1430,874,535,1400,831,569,1451,814,579
10003006-26,1226,850,346,1223,851,351,1213,838,375,1243,849,372,962,678,266,947,653,294,1174,760,377,1159,781,378,1202,732,396
10003001-03,599,527,42,608,537,49,583,505,78,650,596,53,481,430,26,477,409,68,602,539,36,565,482,83,688,632,41
10003004-23,1508,1075,385,1520,1084,400,1490,1060,430,1532,1099,403,1313,916,330,1290,938,352,1424,940,445,1402,962,440,1446,927,432
10003011-17,1229,839,360,1231,840,360,1193,835,358,1270,854,401,830,599,211,813,583,230,1072,745,299,1046,718,328,1158,728,363
10003004-05,965,824,115,973,836,120,949,804,145,1009,876,124,742,647,73,696,587,109,918,766,120,912,756,156,990,825,134
10003005-06,1252,989,230,1258,993,238,1229,963,266,1307,1039,259,933,751,167,918,727,191,1105,835,247,1088,804,284,1132,824,255
10003003-15,1732,1237,456,1728,1234,468,1703,1185,518,1767,1225,520,1199,901,282,1180,850,330,1344,917,398,1316,891,425,1394,930,413
10003001-02,1072,1001,42,1078,1008,48,1055,965,90,1171,1107,53,742,695,28,736,595,141,1031,995,21,1019,870,149,1211,1172,22
10003013-04,213,151,53,216,154,51,207,148,59,223,158,61,153,112,30,149,116,33,189,140,44,176,131,45,191,130,50
10003004-06,1001,712,258,1002,708,274,982,696,286,1027,733,276,834,587,219,826,590,236,917,603,285,900,615,285,926,593,279
10003009-09,1039,404,602,1032,390,624,1023,398,625,1053,367,669,712,278,408,700,297,403,941,410,515,938,467,471,972,329,601
10003004-11,851,347,486,859,348,492,850,390,460,880,335,532,600,290,303,587,302,285,738,369,354,733,401,332,769,299,428
10003011-02,933,875,30,933,882,23,896,816,80,1008,971,34,702,671,17,676,578,98,892,855,29,883,743,140,1009,980,19
10003014-12,831,557,263,828,540,278,810,501,309,829,519,299,722,460,248,712,479,233,797,465,318,762,420,342,780,429,310
10003007-24,1234,941,248,1235,951,255,1211,920,291,1269,966,288,879,687,175,870,673,197,1070,788,250,1040,791,249,1128,818,255
10003012-09,1596,915,650,1600,919,670,1577,917,660,1626,909,703,940,549,380,923,523,400,951,537,400,952,556,396,986,506,433
10003005-10,1273,845,402,1272,844,415,1244,785,459,1277,818,442,1075,685,362,1060,687,373,1179,674,477,1151,632,519,1201,637,492
10003009-07,1084,704,352,1082,704,354,1073,713,360,1109,717,376,843,551,268,833,569,264,1042,650,361,1017,648,369,1084,623,412
10005005-39,1239,383,824,1243,381,832,1223,398,825,1278,373,883,949,302,626,935,334,601,1165,411,729,1142,426,716,1187,284,854
10003010-27,1720,1077,604,1722,1062,632,1703,1067,636,1752,1055,667,1312,802,488,1291,797,494,1510,843,638,1489,867,622,1548,812,666
10003010-24,984,672,275,986,648,296,962,657,305,1022,695,312,649,425,201,638,449,189,876,556,273,861,565,296,907,539,295
10005002-14,2903,1651,1201,2913,1667,1214,2872,1652,1220,2950,1642,1287,2077,1136,914,2034,1200,834,2201,1243,924,2155,1221,934,2243,1082,1085
10003005-18,1010,644,332,1011,649,329,986,624,362,1049,659,376,739,494,216,736,505,231,885,564,290,866,561,305,958,547,359
10003011-12,1215,707,488,1213,670,531,1184,617,567,1223,668,544,1019,543,457,1011,538,473,1130,567,541,1091,495,596,1131,518,559
10003002-26,875,661,183,879,674,185,857,657,200,916,696,205,619,493,111,616,499,117,775,588,166,773,574,199,823,605,189
10003004-01,1064,976,52,1080,997,54,1032,932,100,1158,1082,63,819,768,31,803,703,100,975,914,42,962,844,118,1081,1011,45
10003007-01,456,414,29,463,422,30,443,398,45,496,456,31,326,292,26,317,265,52,398,362,31,410,338,72,455,416,31
10003007-02,531,460,62,533,460,65,524,450,74,571,491,76,365,329,26,357,318,39,473,395,56,454,383,71,516,429,67
10003001-06,926,618,280,923,610,293,902,592,310,950,625,310,681,454,212,673,449,224,791,485,273,781,488,293,830,487,308
10003002-15,1723,1090,595,1725,1103,590,1694,1060,634,1772,1090,657,1276,812,439,1254,792,462,1585,938,617,1547,957,590,1631,923,653
10005002-40,2009,473,1492,2018,488,1505,1988,511,1477,2043,467,1561,1485,375,1098,1458,446,1012,1941,635,1265,1903,666,1237,1996,386,1535
10003013-09,1974,1251,659,1977,1280,665,1947,1229,718,2000,1259,706,1137,738,375,1123,711,412,949,537,397,946,553,393,984,504,438
10003009-21,698,449,236,693,446,237,681,424,257,703,439,254,527,338,182,515,326,189,645,385,250,630,367,263,665,367,263
10003002-01,1174,1089,54,1178,1103,49,1139,1015,124,1245,1179,59,1001,938,36,996,836,160,1138,1060,54,1101,930,171,1246,1177,45
10003004-07,1884,1396,439,1884,1404,436,1839,1346,493,1943,1430,484,1349,987,323,1326,982,344,1539,1065,416,1512,1068,444,1620,1064,476
10005008-40,827,280,513,836,271,535,817,301,516,850,278,558,598,218,369,580,237,343,717,299,404,711,340,371,726,196,493
10005008-41,750,312,419,756,310,436,747,327,420,772,305,462,531,210,309,523,232,291,642,284,346,632,304,328,655,205,421
10005003-35,1201,552,619,1209,555,628,1182,537,645,1245,562,664,825,385,429,806,394,412,1022,540,464,1002,520,482,1063,468,565
10001002-30,316,147,164,324,150,167,317,140,177,325,147,176,213,100,111,215,106,109,268,122,143,260,115,145,272,102,157
10001010-34,822,240,556,820,252,554,809,249,560,846,239,585,588,179,395,570,194,376,677,201,460,658,274,384,700,157,492
10001009-32,1188,714,438,1191,713,449,1181,664,517,1217,729,463,807,469,323,801,469,332,1048,546,477,1032,571,461,1081,528,471
10001007-34,1952,1120,780,1955,1116,811,1930,1048,882,1999,1138,822,1396,774,590,1363,780,583,1734,865,828,1702,928,774,1782,867,816
10001005-32,571,314,237,576,322,240,575,314,261,599,335,251,408,230,168,402,240,162,512,263,236,499,283,216,521,260,230
10005004-36,1020,481,505,1023,470,536,1003,458,545,1045,500,532,736,342,368,720,358,362,893,409,462,878,421,457,927,377,503
10001006-29,1474,424,1009,1482,436,1017,1464,440,1024,1513,406,1083,1046,323,700,1039,354,685,1353,405,918,1319,502,817,1379,314,989
10001002-34,214,66,141,214,68,142,210,69,141,219,67,148,153,50,100,153,54,99,193,64,125,190,78,112,194,48,133
10001004-28,86,40,44,86,42,44,86,43,43,88,40,48,55,23,32,56,24,32,61,32,29,59,31,28,62,25,36
10005007-35,1093,388,676,1099,382,699,1085,388,697,1122,391,712,887,342,530,861,358,503,1064,417,621,1046,447,599,1089,352,684
10003012-19,762,546,190,762,545,193,751,547,204,786,565,206,546,417,112,539,406,133,704,536,145,693,515,178,755,542,181
10003001-16,1146,770,346,1147,776,337,1119,767,352,1215,809,397,832,610,202,815,587,228,1046,739,269,1016,696,320,1111,688,368
10003011-09,1995,1049,902,1996,1044,915,1975,1055,920,2037,1042,964,1497,792,672,1440,795,645,1588,809,743,1577,856,721,1626,721,816
10003006-17,175,82,85,176,86,88,171,88,83,182,84,96,105,43,60,102,48,54,143,79,56,139,82,57,150,64,80
10003002-24,1371,946,383,1374,935,397,1337,901,436,1407,961,423,906,625,251,885,626,259,1116,744,321,1081,752,329,1172,749,363
10003004-24,611,471,123,607,471,121,585,448,137,644,492,141,435,327,95,426,325,101,554,412,129,545,402,143,597,428,138
10003006-18,1139,867,239,1144,876,240,1118,842,276,1199,914,272,896,725,159,880,706,174,1049,800,214,1033,786,247,1112,816,239
10003004-16,580,423,138,588,422,142,558,414,144,627,451,164,411,321,83,400,315,85,521,393,111,509,388,121,565,389,158
10003003-21,1307,768,500,1308,757,518,1287,749,538,1325,751,548,1103,620,454,1078,645,433,1310,717,553,1268,718,550,1348,664,607
10003007-19,784,479,286,795,481,295,771,481,290,801,479,304,581,368,194,573,388,185,727,454,253,706,471,235,756,403,312
10003009-13,1123,787,302,1137,802,309,1095,783,312,1169,813,339,823,583,211,809,588,221,1029,707,288,1014,698,316,1076,682,348
10003009-01,903,816,69,908,821,77,890,767,123,943,864,71,750,677,58,745,607,138,799,706,81,788,620,168,853,743,83
10003012-12,1185,689,469,1190,663,508,1175,646,529,1202,667,520,933,516,395,913,517,396,1074,550,498,1052,529,523,1078,497,513
10005006-39,1662,614,1003,1675,611,1027,1627,597,1030,1722,626,1067,1174,445,709,1134,463,671,1517,623,857,1478,627,851,1574,506,1004
10005003-39,1253,492,723,1260,496,743,1241,495,746,1289,495,779,937,371,553,918,386,532,1125,462,642,1087,433,654,1161,392,716
10005004-20,3319,1579,1668,3350,1618,1681,3286,1576,1710,3383,1587,1763,2264,1082,1159,2219,1135,1084,2407,1137,1225,2365,1147,1218,2461,980,1400
10005008-20,424,134,282,431,146,278,422,144,278,445,141,299,329,112,211,321,129,192,413,155,246,394,153,241,423,127,278
10001001-33,462,230,223,465,229,228,459,228,231,469,228,235,328,171,152,321,177,144,381,187,188,376,205,171,386,184,182
10003005-16,1149,1051,76,1153,1053,76,1119,1020,99,1216,1119,89,877,821,44,852,710,142,1078,1004,55,1062,923,139,1164,1064,71
10003003-18,631,458,154,636,468,151,624,450,174,660,483,167,471,367,90,461,355,106,614,438,153,610,408,202,649,442,173
10003005-21,1537,948,552,1534,929,574,1495,896,599,1542,883,624,1255,749,484,1227,772,455,1394,779,579,1358,780,578,1431,735,621
10003013-12,898,589,290,901,586,308,882,530,352,915,584,327,785,490,287,776,458,318,869,477,378,840,444,396,884,502,336
10003010-03,255,186,60,260,195,60,243,175,68,267,200,64,196,148,41,194,148,46,260,194,62,253,188,65,271,187,71
10003012-04,1350,847,475,1356,823,522,1337,800,537,1374,804,551,1138,695,418,1126,732,394,1292,747,514,1251,705,546,1296,679,539
10003002-13,798,513,252,805,513,262,794,505,289,816,513,279,590,387,180,580,400,180,785,504,246,766,517,249,826,460,317
10003003-08,1123,761,339,1116,752,342,1107,747,360,1144,776,351,804,556,231,791,537,254,1008,642,347,1016,687,329,1048,611,387
10003002-08,1526,1012,478,1525,1010,482,1514,1014,500,1547,1003,524,1124,732,375,1109,712,397,1396,878,482,1400,905,495,1463,834,568
10003001-11,1445,792,622,1450,803,621,1416,831,585,1478,805,648,934,532,380,920,513,407,1111,596,480,1110,640,470,1149,497,580
10003005-24,1278,857,379,1277,861,366,1247,843,404,1334,890,416,911,590,281,895,610,285,1237,775,405,1212,813,399,1312,783,450
10003010-19,733,484,222,735,477,231,725,484,241,750,475,253,539,346,172,532,341,191,682,430,228,662,420,242,718,382,290
10003001-01,763,684,53,759,681,62,742,624,118,792,727,51,644,582,51,640,515,125,732,649,65,720,528,192,767,679,68
10003001-04,1539,1191,315,1543,1175,344,1502,1101,401,1561,1157,382,1220,929,261,1216,952,264,1364,1015,323,1314,955,359,1379,942,370
10003001-05,1456,1145,281,1453,1150,282,1419,1107,312,1511,1183,314,1038,831,187,1031,792,239,1309,1037,243,1296,994,302,1408,1053,309
10003008-15,727,429,279,725,432,276,705,420,285,745,429,302,473,257,200,466,268,198,662,357,277,651,380,271,707,336,319
10003010-12,1439,847,557,1441,837,588,1411,812,599,1446,831,598,1121,670,422,1109,683,426,1347,720,595,1314,702,612,1353,703,568
10003003-19,1100,662,412,1103,660,427,1070,631,439,1125,630,478,876,516,333,859,539,320,1071,634,400,1041,631,410,1100,540,499
10003003-01,767,713,30,783,732,34,745,670,75,815,780,33,574,542,20,561,478,83,719,681,24,728,588,140,787,763,19
10003006-15,1189,927,227,1188,926,237,1167,892,275,1210,936,250,873,682,168,865,669,196,1079,809,238,1062,771,291,1119,809,246
10003006-01,386,357,15,394,362,22,374,340,34,428,410,13,315,295,12,309,268,41,386,361,18,371,317,54,425,398,15
10003006-03,516,464,29,536,485,33,503,458,45,578,532,43,328,306,12,322,278,44,545,507,24,514,450,64,629,592,27
10003001-26,1192,777,382,1198,771,397,1180,782,398,1218,790,405,853,559,269,842,569,273,1049,655,356,1039,668,371,1076,617,396
10003008-23,1082,735,320,1084,729,337,1075,720,355,1106,724,361,935,613,291,917,613,304,1046,613,401,1028,643,385,1063,602,386
10001001-28,835,562,240,841,566,244,817,558,259,857,580,263,549,405,128,544,402,142,721,520,179,714,517,197,769,499,225
10001009-28,84,47,36,84,48,36,84,45,39,87,48,39,53,30,23,53,30,23,54,30,24,55,32,23,56,30,26
10003002-19,873,531,308,866,535,310,838,529,309,903,543,345,618,399,200,607,403,204,815,526,267,796,514,282,839,469,326
10003001-18,1473,1092,341,1479,1093,343,1439,1055,384,1535,1121,388,999,757,218,982,753,229,1340,960,338,1315,957,358,1434,963,397
10003006-07,839,584,237,842,591,242,824,565,259,848,584,253,677,482,180,666,496,170,761,513,225,739,504,235,788,482,261
10003010-07,1368,1006,316,1370,1013,315,1338,982,356,1415,1056,348,1031,766,246,1010,758,252,1234,904,298,1200,881,319,1317,905,354
10003010-10,710,554,138,715,556,145,705,545,160,770,607,156,554,445,96,544,443,101,634,494,117,623,492,131,694,522,136
10005006-38,2805,1054,1713,2817,1105,1690,2759,1060,1699,2874,1065,1786,2174,759,1387,2133,847,1286,2118,766,1329,2084,759,1325,2226,638,1538
10005005-35,545,158,374,550,162,378,547,173,374,566,152,408,386,107,276,378,130,248,463,171,286,472,173,299,489,110,366
10003005-22,1816,1050,732,1817,1022,771,1786,987,799,1833,1019,793,1508,848,631,1484,843,641,1706,877,797,1666,878,788,1737,829,807
10003010-17,858,602,228,861,598,231,839,590,249,908,638,261,579,414,148,559,401,158,720,525,171,711,519,192,794,534,224
10003008-26,348,237,98,347,236,103,340,235,105,362,250,109,266,183,77,262,168,94,303,203,92,300,198,102,320,196,109
10003005-05,963,836,103,970,849,109,955,828,127,1009,880,123,753,657,76,742,623,119,876,756,98,875,720,155,949,807,109
10003008-16,1249,1028,186,1268,1039,202,1227,994,233,1335,1098,218,989,827,142,979,779,200,1198,999,179,1189,937,252,1290,1029,209
10003003-26,811,558,228,811,561,231,792,540,252,831,572,250,647,463,165,634,452,182,784,540,224,778,543,235,816,529,241
10003007-08,1534,752,743,1536,766,745,1520,786,734,1567,715,821,1067,541,502,1047,534,513,1363,682,661,1362,733,629,1396,553,766
10003008-17,556,426,118,560,426,127,546,408,138,592,461,126,434,348,74,427,329,98,540,426,104,522,404,118,572,434,125
10003005-02,586,517,54,601,529,59,572,485,87,631,557,67,484,426,44,481,400,81,621,549,58,619,503,116,678,587,70
10003001-13,1186,755,389,1191,772,387,1164,749,415,1210,761,429,877,577,273,861,593,268,1126,671,418,1093,683,410,1170,637,467
10003003-12,1007,676,300,1010,661,330,996,636,360,1017,670,330,771,519,235,759,525,234,890,555,307,861,543,318,902,512,328
10003006-19,239,166,60,241,170,61,231,165,66,251,187,60,150,111,34,143,107,36,196,134,55,190,137,53,206,143,48
10003003-22,1249,796,419,1256,779,457,1243,748,495,1264,769,479,981,560,401,948,564,384,1167,628,515,1133,629,504,1177,598,522
10001004-32,478,350,118,480,346,131,480,310,170,493,352,133,308,220,80,303,205,98,414,276,135,399,263,136,433,293,120
10001011-28,727,543,153,732,565,152,717,514,203,755,570,170,530,407,109,527,402,125,672,480,169,655,446,209,702,506,169
10005008-36,213,74,129,218,69,142,212,69,143,226,74,147,159,45,110,156,54,102,203,72,126,198,69,129,211,51,155
10003010-08,1262,868,365,1259,850,386,1246,856,390,1285,854,417,862,606,240,854,567,287,1060,692,351,1065,718,347,1102,682,374
10003009-02,622,410,192,623,407,198,609,397,212,638,413,215,444,307,123,433,313,120,582,384,173,565,385,180,618,363,221
10003003-07,1214,805,377,1213,808,382,1196,786,410,1229,806,403,1001,668,313,984,662,322,1109,689,383,1080,657,423,1139,670,414
10003008-12,1325,816,476,1325,792,514,1305,751,554,1341,792,533,1081,637,417,1065,634,431,1261,660,565,1232,646,586,1263,674,530
10003009-23,489,286,185,488,286,191,475,271,204,492,285,194,386,207,170,383,217,166,447,239,197,437,218,219,441,207,200
10003006-05,1003,838,141,1007,837,150,989,821,168,1042,885,150,829,713,104,815,674,141,985,832,132,972,796,176,1038,869,140
10003008-22,910,542,337,908,528,350,886,516,370,932,542,367,731,425,289,714,427,287,896,482,387,876,499,377,927,446,416
10003012-06,1401,915,455,1397,912,463,1364,846,518,1423,891,504,1166,731,393,1138,763,375,1297,776,484,1274,769,505,1314,759,477
10003003-05,801,661,126,795,659,122,784,641,143,830,693,135,630,521,95,623,502,121,783,645,123,774,613,161,824,655,141
10003010-18,570,444,113,569,441,110,566,433,133,600,463,130,414,333,73,414,326,88,527,379,135,518,369,149,553,373,145
10003009-24,602,361,223,605,365,225,593,367,226,622,380,231,446,249,177,435,261,174,556,318,212,558,334,224,575,302,222
10003002-05,691,482,188,694,473,198,676,473,203,717,486,219,524,392,119,521,390,131,688,498,163,673,481,192,735,495,205
10003002-06,1384,910,443,1385,913,449,1356,845,511,1406,870,520,1111,687,392,1087,692,395,1267,720,525,1224,701,523,1283,701,521
10003010-22,1150,727,394,1154,716,418,1135,704,431,1160,704,444,913,553,343,905,580,325,1079,630,432,1061,603,458,1100,606,447
10003013-01,743,641,82,748,642,91,727,622,105,761,659,91,597,512,66,590,491,99,688,566,101,676,533,143,728,589,107
10003001-08,1058,422,602,1055,419,620,1051,480,571,1067,423,630,783,339,435,778,329,449,947,408,522,951,464,487,974,318,598
10003005-23,979,744,199,984,750,199,959,739,220,1027,779,223,725,563,133,714,560,154,939,657,225,927,687,240,959,688,191
10003003-03,473,416,40,483,422,46,454,385,69,508,463,37,351,319,25,340,280,60,388,340,36,380,316,64,435,398,24
10003003-27,967,721,229,963,713,232,958,708,250,987,730,245,702,531,159,694,517,177,871,596,243,875,604,271,916,594,271
10003002-02,416,393,11,422,402,9,407,387,20,461,448,13,320,305,8,318,275,43,408,393,11,394,338,56,460,441,14
10003002-10,1185,759,404,1187,766,408,1178,754,424,1206,761,429,880,575,286,865,584,281,1036,622,377,1010,644,366,1059,600,391
10003002-27,964,619,304,958,622,308,940,640,300,989,655,307,759,510,228,741,523,218,906,577,295,896,589,307,936,542,347
10003006-12,623,380,227,626,361,259,610,337,273,631,353,268,504,283,204,500,287,213,567,295,260,547,269,278,573,279,268
10003008-10,893,687,168,905,708,168,865,680,185,949,739,201,664,535,113,653,528,125,858,675,146,843,669,174,929,696,184
10001010-32,122,46,70,118,47,70,117,45,72,123,48,73,79,32,43,78,39,39,107,48,55,102,52,50,104,39,58
10003005-03,84,80,3,83,79,3,81,76,5,90,86,3,55,49,3,54,49,5,66,61,3,69,56,13,77,71,3
10003007-21,176,83,86,180,77,98,176,75,101,179,68,102,139,51,81,133,57,76,161,57,101,157,54,103,164,56,96
10005003-36,2099,953,1091,2112,981,1098,2077,960,1117,2130,957,1149,1599,729,847,1567,753,814,1807,788,991,1755,815,940,1850,666,1099
10003001-21,665,434,222,664,429,225,654,418,236,674,419,247,528,353,170,515,337,178,622,358,248,603,352,251,623,333,257
10003015-04,511,336,165,507,319,183,497,296,201,512,325,181,382,241,137,383,239,144,463,264,194,456,248,208,466,248,202
10003006-21,1424,964,418,1420,956,442,1397,925,472,1438,952,461,1068,714,317,1037,720,317,1275,792,431,1233,768,465,1306,766,466
10003014-04,245,194,41,249,198,46,241,188,53,259,205,52,189,149,29,189,156,33,210,158,50,207,152,55,214,143,65
10003008-24,1158,688,426,1162,678,454,1131,679,452,1201,706,465,811,487,286,790,497,293,1045,635,366,1018,633,385,1102,575,448
10003006-27,929,724,177,926,714,188,913,706,207,960,751,193,664,523,123,659,516,143,834,615,201,832,609,223,884,617,231
10003008-03,946,724,193,943,726,200,920,694,226,984,739,231,699,539,133,684,543,141,926,719,185,903,673,230,990,696,256
10003004-12,1030,635,375,1032,635,386,1009,580,429,1036,622,402,853,496,342,834,514,320,906,454,442,886,411,475,912,459,415
10003008-18,963,743,203,964,751,198,950,724,226,994,775,206,718,564,143,707,540,167,919,688,208,905,665,240,956,687,215
10003004-19,1201,744,425,1211,733,446,1160,722,438,1248,767,455,855,526,315,830,528,302,1102,656,412,1072,657,415,1163,629,468
10003006-23,1391,889,463,1403,876,499,1378,870,508,1424,887,516,1138,684,423,1124,716,408,1328,767,532,1304,775,529,1339,749,513
10003010-05,948,820,99,938,819,99,920,797,123,982,862,108,689,621,59,679,596,83,848,758,78,833,710,123,911,788,98
10003003-10,1103,701,373,1098,684,397,1085,668,417,1117,693,409,879,558,305,860,555,305,1026,575,422,1003,573,430,1070,566,461
10003004-08,1047,820,203,1045,823,203,1038,813,225,1090,863,213,804,655,126,793,636,157,946,752,169,955,768,187,1008,773,190
10003006-22,608,362,232,608,360,239,601,344,257,623,359,253,484,283,194,480,287,193,561,312,239,554,299,255,571,269,271
10003007-13,351,240,104,353,236,109,346,237,109,362,246,110,259,175,75,256,177,79,320,204,103,312,212,100,330,192,118
10003008-07,1349,867,454,1348,860,468,1321,816,505,1371,859,496,1079,688,371,1058,684,374,1230,736,456,1176,704,472,1260,710,490
10003007-12,1073,670,374,1074,661,388,1052,638,414,1092,663,409,836,526,285,823,529,294,949,522,409,937,528,409,957,492,417
10003010-04,212,161,44,216,168,43,210,156,54,222,167,51,160,130,24,153,129,24,179,125,46,165,116,49,187,117,56
10003012-22,971,536,415,969,521,437,947,514,433,987,525,440,731,405,312,720,402,318,843,429,382,824,442,382,857,384,419
