GEOID20,Tot_2020_sen,D_2020_sen,R_2020_sen,Tot_2020_gov,D_2020_gov,R_2020_gov,Tot_2020_ltg,D_2020_ltg,R_2020_ltg,Tot_2020_pres,D_2020_pres,R_2020_pres,Tot_2018_sen,D_2018_sen,R_2018_sen,Tot_2018_ag,D_2018_ag,R_2018_ag,Tot_2016_gov,D_2016_gov,R_2016_gov,Tot_2016_ltg,D_2016_ltg,R_2016_ltg,Tot_2016_pres,D_2016_pres,R_2016_pres
10003006-24,1023,633,348,1025,642,361,1001,624,377,1045,625,390,754,473,264,743,491,252,937,558,341,924,581,343,956,511,380
10003010-15,1516,1215,251,1524,1231,267,1496,1192,304,1562,1272,274,1147,929,187,1131,915,216,1378,1087,248,1358,1051,307,1447,1102,288
10003005-15,2287,1721,520,2290,1720,532,2259,1644,615,2346,1751,570,1528,1142,349,1511,1095,416,1657,1148,473,1651,1148,503,1733,1173,493
10003011-21,1526,935,542,1526,930,550,1481,892,589,1570,919,616,1155,726,388,1129,739,390,1363,807,501,1301,799,502,1418,757,570
10003009-27,1509,821,650,1506,834,644,1478,823,655,1520,811,694,1143,665,464,1123,654,469,1373,776,569,1356,740,616,1419,707,634
10003002-17,1713,1494,181,1709,1491,190,1670,1452,218,1778,1553,210,1349,1208,115,1335,1140,195,1521,1325,166,1508,1198,310,1640,1406,202
10003003-25,951,696,218,955,710,220,936,690,246,984,721,229,861,609,201,846,624,222,987,645,290,967,665,302,1013,649,273
10003002-04,1375,949,395,1376,933,425,1347,855,492,1375,896,466,1109,720,378,1090,723,367,1200,748,434,1178,670,508,1203,686,456
10003005-12,1498,948,512,1497,934,543,1470,891,579,1509,925,565,1281,804,460,1256,811,445,1373,814,538,1345,738,607,1358,744,545
10003009-17,856,560,275,855,549,285,828,550,278,881,545,322,614,398,210,606,412,194,759,482,264,742,478,264,775,427,314
10003009-03,886,773,80,907,806,82,862,755,107,962,856,97,665,598,47,654,551,103,909,804,89,904,736,168,1022,910,83
10003001-15,1656,898,699,1656,902,710,1618,899,719,1708,881,783,1184,715,432,1161,706,455,1475,877,543,1443,936,507,1527,762,681
10003001-09,1313,624,654,1311,590,690,1296,618,678,1350,608,721,969,490,458,948,491,457,1133,557,559,1130,614,516,1188,471,655
10003008-06,1700,1111,535,1688,1111,544,1668,1086,582,1719,1113,562,1360,910,401,1341,916,425,1604,974,584,1565,963,602,1646,936,602
10003002-11,1775,1112,603,1769,1115,624,1757,1124,633,1805,1118,662,1187,796,366,1170,787,383,1309,837,441,1290,860,430,1334,772,491
10003006-08,1528,860,612,1525,862,627,1518,910,608,1549,849,656,1106,649,433,1097,626,471,1346,763,555,1342,840,502,1378,655,644
10003005-07,686,561,114,684,557,115,673,548,125,691,559,126,588,471,90,583,490,93,646,491,123,619,502,117,647,488,113
10003007-16,844,706,125,848,714,127,829,691,138,876,739,131,665,566,82,652,542,110,778,658,100,762,619,143,829,680,124
10003008-05,1724,1257,423,1721,1249,441,1703,1258,445,1759,1286,451,1330,998,306,1303,953,350,1538,1100,410,1507,1061,446,1620,1117,442
10003008-21,1517,967,508,1523,964,516,1479,942,537,1549,982,541,1117,764,323,1103,769,334,1388,847,490,1349,862,487,1435,774,571
10003010-13,484,300,167,485,298,170,471,296,175,500,305,184,328,203,112,324,206,118,452,283,157,421,276,145,469,261,183
10003002-03,1158,905,219,1167,933,212,1121,867,254,1208,931,265,964,767,166,952,761,191,1151,909,215,1117,881,236,1215,879,282
10003010-06,1256,836,400,1261,833,406,1234,810,424,1276,830,424,1071,676,360,1063,694,369,1204,712,460,1171,690,481,1215,663,479
