GEOID20,Tot_2016_gov,D_2016_gov,R_2016_gov,Tot_2016_ltg,D_2016_ltg,R_2016_ltg,Tot_2016_pres,D_2016_pres,R_2016_pres,Tot_2016_ag,D_2016_ag,R_2016_ag,Tot_2016_sen,D_2016_sen,R_2016_sen,Tot_2020_pres,D_2020_pres,R_2020_pres,Tot_2020_ag,D_2020_ag,R_2020_ag,Tot_2020_gov,D_2020_gov,R_2020_gov,Tot_2020_ltg,D_2020_ltg,R_2020_ltg,Tot_2018_ag,D_2018_ag,R_2018_ag,Tot_2018_gov,D_2018_gov,R_2018_gov,Tot_2018_sen,D_2018_sen,R_2018_sen,Tot_2018_ltg,D_2018_ltg,R_2018_ltg
50007500721,2538,1302,1173,2466,1463,964,2524,1694,515,2419,1855,501,2527,1763,660,2941,2287,572,2776,2203,470,2918,895,1979,2871,1791,988,2278,1799,424,2332,1103,1177,2319,0,495,2302,0,748
50005500516,739,183,534,726,242,465,736,292,341,713,336,362,735,310,392,831,421,387,776,413,331,818,142,635,802,288,479,571,290,269,589,150,424,585,0,272,580,0,332
50005050501,959,367,553,935,436,471,960,485,355,925,499,394,953,534,367,1095,624,437,1046,617,381,1078,254,769,1057,507,500,790,473,297,804,303,473,799,0,279,796,0,352
50007500726,2973,1443,1482,2891,1570,1282,2995,2064,652,2855,2242,580,2974,2091,806,3692,2884,706,3473,2816,578,3657,824,2775,3548,2094,1357,2709,2208,461,2773,1102,1612,2739,0,645,2725,0,967
50007500728,2321,1157,1106,2249,1287,920,2328,1473,551,2233,1718,462,2307,1504,659,2788,2093,617,2652,2069,481,2744,871,1803,2697,1561,991,1979,1568,369,2022,876,1077,2010,0,447,2011,0,674
50005500503,1332,411,897,1290,526,740,1309,645,494,1290,709,541,1325,713,575,1469,855,559,1380,857,469,1466,279,1135,1433,596,803,1104,669,412,1137,351,752,1117,0,416,1125,0,559
50005050050,2051,572,1410,1999,753,1192,2062,827,883,1962,962,928,2046,986,927,2440,1207,1136,2309,1284,906,2405,422,1865,2372,882,1404,1657,866,754,1690,439,1172,1677,0,721,1680,0,933
50005500510,560,169,376,546,216,295,537,252,239,542,293,241,557,275,242,648,329,298,618,325,268,638,109,492,641,295,322,424,246,169,431,109,311,435,0,166,431,0,225
50005500512,3015,1034,1869,2950,1312,1537,3010,1469,1110,2930,1511,1323,2985,1623,1174,3377,2034,1218,3204,1985,1070,3350,837,2312,3294,1514,1617,2424,1442,911,2456,885,1486,2436,0,831,2444,0,1164
50005500504,490,123,345,471,136,293,483,159,234,458,217,224,483,199,257,549,248,272,520,269,227,537,97,411,538,216,300,395,197,184,409,96,289,406,0,176,404,0,239
50021502113,762,285,447,738,335,384,764,337,325,717,383,290,758,384,316,848,452,375,797,423,324,834,206,584,821,327,449,639,362,254,652,209,378,654,0,249,648,0,310
50021502101,509,166,329,495,204,281,508,216,232,481,265,189,506,248,224,583,258,305,547,258,268,579,99,414,562,178,351,410,214,178,420,105,276,412,0,178,414,0,251
50021502107,1142,361,741,1121,456,627,1149,478,529,1098,619,437,1143,574,506,1308,624,647,1260,668,533,1298,243,948,1291,449,781,929,529,349,963,201,568,951,0,373,950,0,495
50021502103,1768,543,1147,1720,692,973,1791,795,808,1678,901,707,1755,893,759,2161,1056,1042,2033,1064,888,2129,411,1584,2106,788,1228,1520,856,618,1547,396,993,1545,0,634,1543,0,800
50023502312,1122,582,515,1105,683,390,1111,719,228,1051,805,203,1115,780,283,1243,977,231,1164,900,215,1243,397,819,1219,758,424,960,756,173,991,468,488,988,0,190,988,0,318
50023502304,4253,909,3282,4172,1408,2691,4168,1760,1862,4112,2528,1517,4240,1875,2225,4766,2512,2093,4562,2764,1662,4757,590,3997,4709,1540,3028,3514,2086,1358,3577,690,2767,3581,0,1461,3570,0,2204
50023502323,532,204,305,525,283,228,527,271,169,512,358,136,532,276,175,588,372,196,562,364,172,588,159,396,576,274,274,452,302,136,463,186,266,464,0,148,466,0,206
50007500719,3309,1548,1702,3226,1767,1421,3325,2017,890,3172,2247,857,3294,2115,1062,3662,2657,905,3487,2578,799,3635,903,2663,3572,1984,1466,2821,2065,683,2888,1180,1632,2885,0,781,2857,0,1104
