GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres
1322323,1596,434,1149,1519.6,316.9,1125.1,1569.0,366.5,1147.9
1322324,1785,628,1141,1887.2,611.4,1177.3,1995.2,692.5,1239.8
1322325,2029,689,1313,2114.6,456.1,1544.4,2223.9,503.9,1655.5
1322326,2582,609,1949,2800.3,667.7,1987.1,2923.8,797.1,2026.0
1322327,2701,1012,1656,2746.5,726.0,1898.6,2869.3,795.1,1986.7
1322328,2092,698,1378,2296.2,885.9,1304.2,2416.4,1020.8,1328.4
13225B1,1674,406,1258,1610.0,392.0,1163.0,1696.0,443.0,1216.0
13225B2,2554,767,1775,2726.0,839.0,1776.0,2849.0,947.0,1834.0
13225C1,650,139,501,528.0,80.0,429.0,555.0,102.0,442.0
13225F1,1656,1079,567,1446.0,757.0,648.0,1532.0,889.0,610.0
13225F2,1442,1071,361,1341.0,823.0,486.0,1412.0,950.0,442.0
13225F3,2317,2230,85,1703.0,1396.0,273.0,1804.0,1575.0,204.0
13225P1,868,235,626,842.0,167.0,644.0,876.0,194.0,665.0
132271,1668,346,1308,2058.0,292.0,1677.0,2126.0,365.0,1725.0
132272,895,176,713,1073.0,128.0,867.0,1113.0,158.0,913.0
132273,691,101,586,443.0,45.0,376.0,467.0,47.0,404.0
132274,907,145,750,590.0,64.0,499.0,617.0,67.0,538.0
132275,520,116,398,364.0,27.0,315.0,377.0,24.0,343.0
132276,983,170,790,847.0,108.0,694.0,893.0,118.0,750.0
132277,1245,196,1024,1003.0,100.0,852.0,1056.0,104.0,933.0
132278,1107,294,799,1253.0,200.0,984.0,1314.0,246.0,1024.0
132279,1278,287,966,1496.0,156.0,1269.0,1574.0,174.0,1358.0
1322710,1477,310,1146,1765.0,307.0,1382.0,1820.0,340.0,1434.0
1322711,824,178,642,1130.0,150.0,928.0,1170.0,167.0,970.0
1322712,1181,276,882,1391.0,162.0,1158.0,1457.0,169.0,1259.0
132290001,1553,465,1072,1724.0,297.0,1381.0,1891.0,375.0,1491.0
132290002,1289,202,1082,1645.0,178.0,1406.0,1774.0,188.0,1556.0
132293A,752,110,642,933.0,63.0,845.0,990.0,77.0,905.0
132293B,1040,113,922,777.0,61.0,695.0,840.0,71.0,754.0
132294A,931,234,691,691.0,88.0,589.0,747.0,115.0,623.0
132294B,411,35,376,277.0,21.0,246.0,301.0,26.0,273.0
132294C,454,75,378,523.0,39.0,480.0,561.0,47.0,511.0
132294D,356,19,337,181.0,4.0,175.0,194.0,4.0,189.0
132311,1015,266,743,844.0,153.0,665.0,886.0,183.0,690.0
132312,1115,139,969,1071.0,89.0,943.0,1118.0,97.0,1001.0
132313,896,183,703,830.0,76.0,731.0,866.0,90.0,766.0
132314,1105,279,812,931.0,168.0,716.0,970.0,176.0,770.0
132315,1307,202,1094,1632.0,164.0,1401.0,1689.0,178.0,1483.0
132316,756,110,634,713.0,79.0,613.0,738.0,88.0,635.0
132317,995,132,849,1012.0,114.0,861.0,1054.0,118.0,917.0
132318,1010,264,743,1294.0,258.0,983.0,1360.0,310.0,1016.0
1323301,992,192,786,784.2,126.8,624.0,829.4,130.5,682.6
1323302,1528,338,1174,1085.2,173.6,871.6,1146.6,175.1,949.8
1323303,679,144,528,605.4,113.3,469.1,638.2,121.8,503.0
1323304,531,87,435,286.8,61.4,214.0,307.1,71.0,230.3
1323305,1894,961,919,2122.4,583.6,1457.0,2259.1,688.9,1517.2
1323306,465,132,331,301.6,50.9,239.2,317.2,52.9,257.8
1323307,2098,578,1494,1935.8,306.0,1565.8,2050.7,305.2,1710.2
1323308,1030,228,776,913.0,146.7,731.1,963.9,148.9,793.7
1323309,1663,350,1275,1610.9,306.6,1242.0,1705.0,330.2,1336.3
1323310,2202,806,1361,2754.9,589.7,2055.0,2949.1,681.5,2212.1
1323311,1021,236,771,950.7,154.4,750.2,1003.6,161.0,821.1
13235EAST,916,286,622,895.0,231.0,640.6,954.7,292.9,646.5
13235NORTH,1376,633,737,1413.3,364.9,1011.6,1507.6,462.5,1020.8
13235SOUTH,1661,458,1194,1065.6,275.1,762.7,1136.7,348.7,769.7
132371A,884,459,420,1124.0,460.7,633.5,1198.7,546.8,631.6
132371B,523,411,110,516.4,212.7,289.6,550.4,253.3,288.1
132372A,579,245,329,727.4,311.9,390.4,771.2,381.8,380.2
132372B,877,743,134,827.0,354.8,443.7,876.7,434.3,432.1
132373A,1231,222,995,1147.9,253.6,862.3,1193.6,304.3,869.1
132373B,1331,287,1039,1513.4,226.9,1245.4,1560.5,271.5,1261.3
132373C,985,203,773,833.9,143.4,656.0,878.8,156.9,704.6
132374A,1446,301,1135,1219.5,191.5,990.7,1264.0,211.7,1023.3
132374B,1271,231,1031,1136.5,178.5,923.3,1178.0,197.3,953.7
13239G,997,546,446,835.0,353.0,457.0,958.0,426.0,525.0
13239M,117,51,63,77.0,29.0,44.0,86.0,35.0,50.0
132410436,890,296,585,711.7,118.2,562.5,748.1,135.9,591.7
132410452,322,99,219,267.9,44.5,211.7,281.6,51.1,222.7
132410509,468,44,424,426.2,70.8,336.8,448.0,81.4,354.3
132410550,933,241,683,811.2,134.7,641.1,852.7,154.9,674.4
132410556,1430,399,1000,1684.8,279.8,1331.5,1771.0,321.7,1400.6
132410587,1925,488,1420,2162.9,359.2,1709.3,2273.5,413.0,1798.0
132410636,414,133,277,294.3,48.9,232.6,309.4,56.2,244.7
132411014,135,15,120,96.0,15.9,75.8,100.9,18.3,79.8
132411275,1067,286,759,1107.9,184.0,875.6,1164.6,211.5,921.0
13243131,264,124,136,146.0,53.0,91.0,154.0,62.0,89.0
13243334,732,488,244,449.0,254.0,188.0,491.0,314.0,175.0
13243566,272,122,150,234.0,66.0,166.0,257.0,84.0,171.0
13243934,327,31,296,227.0,25.0,196.0,243.0,30.0,206.0
13243947,150,31,119,71.0,10.0,61.0,82.0,12.0,70.0
13243954,198,136,62,151.0,91.0,58.0,167.0,112.0,55.0
13243998,113,13,100,80.0,10.0,70.0,86.0,12.0,74.0
13243718A,858,593,259,1031.0,571.0,439.0,1172.0,734.0,426.0
13243718B,301,295,4,220.0,195.0,24.0,245.0,238.0,5.0
13245101,935,433,496,800.0,308.0,453.0,820.0,362.0,418.0
13245102,829,599,230,504.2,319.2,156.9,554.2,394.2,143.3
13245103,1151,1133,15,675.0,610.0,54.0,756.0,735.0,16.0
13245104,2116,2039,73,1384.0,1202.0,152.0,1556.0,1444.0,93.0
13245105,494,483,8,144.8,128.1,13.9,163.1,156.6,4.9
13245106,649,510,135,395.0,279.0,106.0,456.0,332.0,118.0
13245107,1267,621,642,1092.0,437.0,611.0,1127.0,534.0,561.0
13245108,328,273,53,294.0,245.0,42.0,319.0,282.0,28.0
13245109,257,188,66,170.2,117.0,43.9,178.9,136.8,32.5
13245110,277,234,41,160.8,101.8,50.1,176.8,125.8,45.7
13245111,1197,1019,175,351.2,259.9,76.1,377.3,301.6,61.9
13245112,548,328,216,418.0,207.0,185.0,465.0,268.0,176.0
13245113,522,457,62,379.8,261.0,98.1,399.1,305.2,72.5
13245201,1131,1105,24,679.0,601.0,65.0,747.0,721.0,22.0
13245202,2394,1787,605,1979.4,1327.3,590.9,2165.9,1567.2,559.2
13245203,990,986,2,472.0,432.0,31.0,562.0,551.0,10.0
13245204,627,273,352,475.1,197.5,244.3,503.4,235.1,246.5
13245205,1138,1111,23,574.0,455.1,99.0,627.6,539.7,71.2
13245206,513,273,238,397.9,165.5,204.7,421.6,196.9,206.5
13245207,1285,1269,13,681.0,625.0,45.0,775.0,755.0,16.0
13245208,846,720,122,609.9,468.9,118.8,671.7,547.6,110.6
13245209,733,553,174,509.0,353.0,146.0,566.0,426.0,135.0
13245301,1897,711,1171,1752.4,434.9,1271.0,1768.3,547.8,1146.2
13245302,670,551,117,499.0,339.0,151.0,542.0,400.0,130.0
13245303,931,230,691,1045.6,202.1,810.0,1051.7,278.2,735.8
13245304,18,11,6,560.7,469.8,72.3,615.3,544.5,57.8
13245305,310,55,253,349.0,50.0,298.0,341.0,64.0,267.0
13245306,1694,921,757,2058.0,1107.0,871.0,2205.0,1275.0,861.0
13245307,1306,477,819,1028.0,297.0,693.0,1078.0,392.0,655.0
13245308,564,378,186,444.0,269.0,153.0,479.0,318.0,136.0
13245309,470,322,148,375.1,242.4,120.2,407.7,277.3,121.4
13245310,2040,1358,678,3986.0,2986.0,890.0,4209.0,3317.0,792.0
13245401,2010,1870,136,2280.0,2043.0,193.0,2425.0,2279.0,115.0
13245402,1492,1420,70,472.2,395.7,60.9,518.2,458.6,48.7
13245403,1257,1133,120,1195.0,973.0,201.0,1285.0,1091.0,175.0
13245404,2030,1772,255,1983.2,1647.4,295.5,2142.5,1897.8,206.8
13245405,1436,1350,86,1834.8,1592.6,203.5,1966.5,1790.2,145.2
13245406,1159,1056,101,1429.8,1235.0,165.5,1520.9,1360.9,134.6
13245407,315,247,68,393.2,329.5,50.7,431.5,381.9,40.5
13245408,318,284,34,376.2,324.9,43.5,400.1,358.1,35.4
13245501,937,809,128,802.8,666.1,120.4,867.2,753.2,103.8
13245502,170,131,37,231.9,199.8,27.5,252.2,230.0,18.6
13245503,1819,1536,274,2046.0,1608.0,396.0,2227.0,1856.0,340.0
13245504,916,790,122,880.0,693.0,156.0,945.0,819.0,111.0
13245505,887,836,49,821.0,707.3,97.2,892.8,814.1,65.7
13245506,2032,1868,157,2014.3,1705.8,267.9,2183.8,1947.7,207.0
13245507,784,606,172,653.1,502.1,127.2,719.3,586.4,118.4
13245508,394,214,177,332.2,214.6,106.4,361.0,245.6,107.5
13245509,256,186,68,247.7,160.0,79.4,269.2,183.1,80.1
13245601,1997,1444,553,1658.0,1113.0,491.0,1777.0,1259.0,478.0
13245602,1522,637,881,1376.7,675.0,654.7,1454.9,784.7,637.4
13245603,1509,761,733,1065.0,427.8,601.5,1105.2,493.1,586.4
13245604,966,628,336,905.0,562.0,310.0,952.0,643.0,282.0
13245605,1208,833,368,851.0,511.5,320.9,908.2,574.2,319.2
13245606,1525,842,679,1248.0,741.5,475.1,1331.8,829.8,473.8
13245701,1754,591,1156,1638.0,464.0,1114.0,1678.0,566.0,1049.0
13245702,1772,755,1007,1209.0,357.0,793.0,1258.0,406.0,798.0
13245703,2750,1382,1349,2480.0,1183.0,1176.0,2596.0,1321.0,1160.0
13245704,275,155,118,321.0,147.0,158.0,344.0,181.0,153.0
13245705,1186,435,744,1527.0,539.0,949.0,1583.0,624.0,909.0
13245706,1878,643,1216,2337.0,658.0,1569.0,2425.0,786.0,1552.0
13245707,1526,731,785,1441.0,695.0,687.0,1509.0,794.0,659.0
13245801,399,140,259,268.0,80.0,184.0,296.0,94.0,198.0
13245802,990,394,590,806.0,245.3,536.8,863.6,266.6,580.4
13245803,68,57,11,22.8,14.6,7.2,23.9,15.6,8.2
13245804,1266,645,615,1235.0,606.0,580.0,1316.0,677.0,596.0
13245805,652,324,328,585.0,319.0,247.0,617.0,372.0,234.0
13245806,1859,591,1252,1483.0,439.0,984.0,1582.0,524.0,1022.0
13245807,877,658,217,694.2,472.4,199.8,760.1,543.4,196.8
13245808,1553,571,978,1323.0,518.0,779.0,1398.0,586.0,784.0
13245809,1020,319,697,745.0,226.7,496.2,798.4,246.4,536.6
13245801B,441,151,290,276.0,60.0,204.0,291.0,75.0,214.0
13245804H,1939,897,1035,1601.0,679.0,883.0,1725.0,769.0,931.0
13247BA,3113,1260,1834,3066.0,1517.0,1459.0,3150.0,1659.0,1396.0
13247BT,1181,219,957,929.0,241.0,646.0,963.0,278.0,668.0
13247CO,1814,1270,539,1658.0,1136.0,464.0,1748.0,1269.0,439.0
13247FI,2298,1824,466,2359.0,1859.0,437.0,2468.0,2022.0,390.0
13247FS,2180,1464,700,2324.0,1546.0,717.0,2425.0,1739.0,641.0
13247HC,1607,511,1070,1508.0,549.0,884.0,1557.0,625.0,883.0
13247HI,1995,949,1033,1938.0,1107.0,773.0,2017.0,1176.0,799.0
13247LA,1371,905,458,1008.0,627.0,342.0,1039.0,670.0,326.0
13247LO,2754,1138,1592,2562.0,1241.0,1244.0,2654.0,1354.0,1239.0
13247MA,2475,778,1681,1823.0,708.0,1049.0,1869.0,776.0,1038.0
13247MI,2550,1790,752,2025.0,1426.0,547.0,2105.0,1530.0,526.0
13247OT,2677,2121,543,2872.0,2220.0,564.0,3006.0,2424.0,513.0
13247RO,2249,1425,816,2521.0,1544.0,918.0,2633.0,1713.0,867.0
13247SA,2093,1236,844,2159.0,1404.0,682.0,2252.0,1521.0,674.0
13247SH,2101,700,1383,1340.0,439.0,849.0,1405.0,483.0,874.0
13247SM,2056,1284,756,2623.0,1643.0,906.0,2709.0,1834.0,821.0
13247SP,1336,861,475,1056.3,748.5,276.4,1091.8,811.2,259.0
13247ST,1830,793,1021,2494.7,1267.5,1135.6,2564.2,1370.8,1125.0
