GEOID10,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
45077111,902.0,228.0,606.0,878.0,161.0,695.0,0,0,0
45077110,594.5,218.4,332.9,580.4,180.6,382.3,0,0,0
45077107,615.5,277.6,279.1,617.6,224.4,372.7,0,0,0
45077105,632.0,321.0,248.0,621.0,243.0,338.0,0,0,0
45077102,448.1,187.9,203.8,445.1,142.4,279.9,0,0,0
45077101,822.3,407.0,323.5,811.8,338.0,448.8,0,0,0
45077104,602.0,330.0,206.0,580.0,282.0,277.0,0,0,0
45077103,790.0,350.0,345.0,782.0,254.0,499.0,0,0,0
45077106,917.3,405.4,433.5,898.4,303.0,574.9,0,0,0
45077108,1174.3,496.3,548.4,1139.6,412.9,682.2,0,0,0
45077109,974.3,311.1,587.0,943.1,259.1,652.0,0,0,0
45077112,979.8,151.7,789.9,954.4,142.3,781.6,0,0,0
45077131,1170.1,156.1,963.7,1136.5,144.1,951.3,0,0,0
45077129,1020.7,118.6,858.0,1001.9,119.7,852.3,0,0,0
45077132,952.4,135.6,772.4,935.9,121.2,790.7,0,0,0
45077133,1105.1,188.8,863.3,1079.8,174.3,874.8,0,0,0
45077138,1540.2,330.4,1124.2,1506.9,273.3,1191.6,0,0,0
45077142,1279.8,243.6,980.0,1261.0,168.5,1066.8,0,0,0
45077141,885.9,205.1,648.9,872.7,165.6,689.2,0,0,0
45077114,1096.6,164.7,872.9,1069.0,137.3,897.2,0,0,0
45077115,469.7,30.3,422.0,460.6,33.3,412.1,0,0,0
45077128,829.0,108.6,691.7,809.0,104.8,679.0,0,0,0
45077130,1144.0,182.2,918.2,1117.4,176.7,899.4,0,0,0
45077127,1095.0,126.8,929.1,1079.4,120.6,928.2,0,0,0
45077137,1044.5,293.2,697.1,1030.0,264.9,736.8,0,0,0
45077136,496.7,188.2,285.1,482.7,174.2,296.4,0,0,0
45077135,633.4,239.7,366.2,611.1,226.1,369.6,0,0,0
45077134,688.0,96.0,566.0,678.0,97.0,559.0,0,0,0
45077124,682.0,57.6,597.6,665.0,54.4,591.1,0,0,0
