GEOID10,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag,Tot_2018_gov,Dem_2018_gov,Rep_2018_gov,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
45003001,793.0,218.0,507.0,776.0,177.0,579.0,735.0,233.0,486.0,736.0,261.0,474.0,823,242,576
45003002,714.0,535.0,157.0,694.0,504.0,172.0,514.0,383.0,110.0,511.0,397.0,114.0,697,529,160
45003003,908.0,745.0,136.0,884.0,714.0,143.0,644.0,539.0,91.0,639.0,553.0,86.0,897,736,149
45003004,397.0,339.0,46.0,386.0,321.0,61.0,300.0,252.0,40.0,298.0,261.0,37.0,451,415,31
45003005,678.0,365.0,276.0,664.0,329.0,320.0,594.0,354.0,229.0,593.0,377.0,215.0,777,441,324
45003006,867.0,259.0,555.0,843.0,191.0,628.0,715.0,239.0,460.0,728.0,289.0,439.0,893,274,606
45003007,589.0,261.0,311.0,560.0,268.0,278.0,400.0,185.0,208.0,396.0,190.0,205.0,600,314,274
45003008,1170.0,611.0,532.0,1134.0,585.0,514.0,828.0,442.0,364.0,830.0,459.0,371.0,1076,623,442
45003009,1159.0,525.0,575.0,1130.0,530.0,554.0,757.0,367.0,370.0,759.0,390.0,368.0,909,423,483
45003010,765.0,516.0,217.0,747.0,490.0,234.0,577.2,393.8,171.5,574.2,404.7,168.5,725,505,208
45003011,904.0,619.0,270.0,880.0,603.0,256.0,679.0,464.0,204.0,680.0,477.0,203.0,1036,743,279
45003012,424.0,196.0,222.0,415.0,186.0,223.0,315.0,144.0,163.0,313.0,140.0,173.0,508,250,256
45003013,1155.0,317.0,759.0,1122.0,291.0,796.0,899.0,252.0,623.0,905.0,290.0,614.0,1163,351,800
45003025,903.0,351.0,503.0,888.0,321.0,539.0,755.0,288.0,455.0,759.0,308.0,447.0,936,337,586
45003029,851.0,251.0,543.0,830.0,225.0,575.0,748.0,257.0,478.0,742.0,273.0,468.0,722,224,482
45003055,783.0,189.0,535.0,775.0,181.0,572.0,584.0,159.0,410.0,590.0,183.0,407.0,750,180,557
45003067,902.0,188.0,657.0,900.0,160.0,715.0,807.0,198.0,597.0,806.0,225.0,580.0,831,154,670
45003028,872.0,196.0,624.0,862.0,156.0,679.0,715.0,169.0,541.0,717.0,183.0,533.0,915,161,747
45003026,1299.0,447.0,791.0,1275.0,422.0,806.0,997.0,373.0,613.0,998.0,399.0,595.0,1220,422,779
45003027,1157.0,176.0,926.0,1141.0,130.0,985.0,976.0,145.0,823.0,979.0,173.0,805.0,1248,161,1068
45003068,1502.0,306.0,1112.0,1501.0,295.0,1156.0,1289.6,303.0,967.7,1289.6,331.9,956.7,987,186,794
45003062,790.0,415.0,350.0,769.0,388.0,365.0,620.0,312.0,302.0,620.0,317.0,302.0,787,429,353
45003049,885.0,180.0,678.0,854.0,198.0,628.0,668.6,147.5,509.1,663.6,167.4,496.2,901,229,664
45003044,1012.0,342.0,621.0,977.0,329.0,606.0,707.4,274.5,420.9,711.4,296.6,413.8,936,362,567
45003074,440.0,132.0,296.0,437.0,130.0,287.0,346.0,115.0,228.0,345.0,120.0,225.0,496,177,317
45003073,1099.0,210.0,837.0,1075.0,170.0,882.0,855.0,164.0,681.0,847.0,178.0,669.0,1043,189,843
45003058,1061.0,238.0,784.0,1042.0,215.0,811.0,836.0,236.0,596.0,828.0,242.0,585.0,862,220,635
45003045,1210.0,414.0,752.0,1180.0,397.0,754.0,962.5,363.8,586.7,966.5,386.8,577.7,1084,427,649
45003063,1530.0,423.0,1038.0,1502.0,389.0,1077.0,1206.0,366.0,818.0,1213.0,410.0,802.0,1246,377,862
45003071,1328.0,346.0,941.0,1289.0,341.0,911.0,1002.0,290.0,697.0,1006.0,319.0,687.0,1111,316,788
45003019,640.0,157.0,462.0,617.0,160.0,439.0,474.0,116.0,356.0,475.0,121.0,354.0,627,176,444
45003017,1097.0,210.0,865.0,1066.0,224.0,816.0,885.0,174.0,695.0,879.0,195.0,683.0,1144,256,865
45003061,1164.0,631.0,503.0,1136.0,599.0,504.0,947.0,516.0,416.0,947.0,537.0,409.0,1129,743,374
45003042,575.0,257.0,309.0,557.0,255.0,285.0,434.0,217.0,215.0,433.0,225.0,208.0,548,315,225
45003032,520.0,293.0,215.0,500.0,274.0,217.0,399.0,217.0,176.0,401.0,224.0,176.0,537,319,210
45003031,656.0,194.0,433.0,630.0,196.0,413.0,468.0,145.0,317.0,465.0,168.0,297.0,573,210,358
45003039,1387.0,595.0,757.0,1312.0,548.0,723.0,1057.0,456.0,581.0,1054.0,473.0,579.0,1370,678,672
45003036,504.0,227.0,258.0,486.0,212.0,261.0,382.0,175.0,198.0,389.0,192.0,197.0,404,217,182
45003024,576.0,118.0,435.0,562.0,105.0,439.0,447.0,104.0,335.0,445.0,117.0,328.0,558,148,403
45003030,710.0,146.0,534.0,695.0,161.0,514.0,519.0,111.0,398.0,517.0,121.0,395.0,573,154,411
45003021,852.0,406.0,424.0,830.0,377.0,427.0,637.0,281.0,348.0,634.0,294.0,340.0,851,438,407
45003043,1511.0,512.0,937.0,1463.0,520.0,871.0,1025.0,361.0,647.0,1027.0,400.0,626.0,1300,554,730
45003033,494.0,117.0,348.0,481.0,118.0,346.0,401.0,113.0,279.0,402.0,136.0,266.0,487,172,307
45003034,1220.0,302.0,877.0,1189.0,283.0,869.0,988.0,264.0,712.0,990.0,295.0,695.0,1220,389,806
45003040,1038.0,396.0,607.0,1005.0,364.0,604.0,761.0,319.0,427.0,760.0,332.0,428.0,1017,438,567
45003014,1039.0,231.0,761.0,1014.0,251.0,731.0,700.7,161.3,527.4,702.7,188.3,514.3,1002,341,655
45003038,1047.0,353.0,643.0,1028.0,341.0,669.0,874.0,317.0,524.0,877.0,359.0,516.0,474,153,313
45003050,1629.0,519.0,1038.0,1595.0,495.0,1053.0,1260.0,462.0,783.0,1265.0,485.0,779.0,1114,326,780
45003016,745.0,278.0,441.0,729.0,255.0,443.0,512.0,174.0,326.0,510.0,180.0,329.0,508,212,289
45003051,1387.0,392.0,944.0,1356.0,358.0,966.0,1220.0,400.0,806.0,1214.0,414.0,799.0,713,208,499
45003018,813.0,190.0,588.0,781.0,190.0,553.0,583.0,138.0,426.0,586.0,161.0,425.0,857,221,623
45003015,741.0,148.0,558.0,730.0,153.0,548.0,545.0,129.0,402.0,547.0,148.0,399.0,747,193,549
45003041,1186.0,254.0,890.0,1140.0,266.0,834.0,885.0,220.0,646.0,892.0,259.0,631.0,1074,245,816
45003066,727.0,218.0,482.0,726.0,170.0,542.0,619.0,198.0,411.0,622.0,220.0,401.0,748,209,529
45003047,723.0,242.0,426.0,721.0,203.0,496.0,639.0,241.0,385.0,646.0,284.0,361.0,808,268,526
45003020,1132.0,323.0,737.0,1121.0,282.0,806.0,991.0,315.0,657.0,997.0,353.0,644.0,1286,401,867
45003052,1286.0,532.0,671.0,1260.0,483.0,727.0,1025.0,436.0,570.0,1027.0,478.0,546.0,1264,509,733
45003072,671.0,250.0,363.0,661.0,232.0,409.0,515.0,211.0,298.0,523.0,238.0,284.0,629,260,363
45003057,775.0,234.0,499.0,745.0,221.0,491.0,581.0,189.0,385.0,584.0,194.0,389.0,679,222,451
45003056,867.0,297.0,540.0,848.0,295.0,505.0,674.0,225.0,433.0,673.0,247.0,426.0,974,377,586
45003022,1797.0,592.0,1122.0,1766.0,567.0,1147.0,1474.9,487.2,960.4,1477.0,524.8,951.1,1460,489,950
45003075,1187.0,349.0,777.0,1169.0,299.0,838.0,934.0,280.0,641.0,935.0,309.0,626.0,1086,335,745
45003064,860.0,196.0,629.0,848.0,157.0,682.0,874.1,201.8,662.6,875.0,221.2,653.9,1016,313,697
45003037,1110.0,404.0,674.0,1089.0,375.0,677.0,908.7,335.0,559.7,905.7,363.9,540.8,939,426,506
45003023,1120.0,524.0,563.0,1107.0,499.0,562.0,863.3,431.0,421.3,859.3,436.1,422.2,1152,588,548
45003059,1271.0,246.0,976.0,1237.0,238.0,957.0,947.0,208.0,726.0,952.0,226.0,725.0,839,181,649
45003065,1399.0,290.0,1034.0,1379.0,225.0,1115.0,1163.0,250.0,904.0,1162.0,284.0,878.0,1388,378,989
45003069,1032.0,254.0,724.0,1025.0,175.0,841.0,1123.0,283.0,832.0,1128.0,311.0,817.0,813,184,623
45003076,1354.0,338.0,907.0,1347.0,255.0,1067.0,1197.0,315.0,863.0,1206.0,358.0,847.0,1124,297,816
45003053,796.0,213.0,543.0,786.0,157.0,610.0,759.0,191.0,560.0,757.0,210.0,547.0,897,237,651
45003046,727.0,652.0,62.0,699.0,620.0,72.0,550.0,469.0,70.0,547.0,477.0,69.0,800,732,57
45003035,829.0,314.0,469.0,806.0,283.0,496.0,703.0,278.0,416.0,700.0,304.0,396.0,1179,450,715
45003054,787.0,414.0,337.0,774.0,397.0,355.0,579.8,307.2,258.5,584.8,322.3,261.5,742,393,342
45003060,1891.0,431.0,1327.0,1867.0,347.0,1478.0,1689.0,422.0,1241.0,1691.0,499.0,1189.0,1984,490,1460
45003070,1399.0,449.0,846.0,1375.0,414.0,916.0,1168.0,416.0,735.0,1176.0,458.0,717.0,1255,410,823
45003048,1433.0,457.0,939.0,1380.0,446.0,898.0,1130.0,380.0,737.0,1125.0,409.0,716.0,1251,449,789
45079101,770.0,490.0,218.0,750.0,398.0,325.0,616.0,425.0,174.0,627.0,476.0,150.0,1156,721,408
45079102,487.0,392.0,81.0,463.0,344.0,113.0,319.0,266.0,46.0,320.0,276.0,43.0,383,316,62
45079103,1190.0,800.0,288.0,1165.0,672.0,456.0,892.0,638.0,227.0,899.0,713.0,185.0,1027,706,298
45079104,1056.0,708.0,251.0,1044.0,608.0,398.0,907.0,645.0,225.0,907.0,710.0,190.0,982,678,295
45079105,679.0,380.0,246.0,668.0,318.0,326.0,481.0,305.0,155.0,488.0,340.0,142.0,564,366,187
45079107,727.0,709.0,7.0,714.0,682.0,26.0,494.0,470.0,7.0,490.0,483.0,7.0,853,840,8
45079108,631.0,610.0,10.0,626.0,597.0,21.0,300.0,285.0,7.0,302.0,294.0,8.0,1782,1772,5
45079109,646.0,610.0,20.0,624.0,564.0,50.0,439.0,412.0,16.0,431.0,415.0,15.0,817,798,6
45079110,1094.0,688.0,331.0,1057.0,488.0,549.0,965.0,616.0,323.0,983.0,751.0,230.0,1142,706,422
45079111,932.0,635.0,220.0,903.0,560.0,308.0,726.0,526.0,170.0,726.0,582.0,144.0,910,684,219
45079112,1134.0,712.0,333.0,1098.0,505.0,557.0,922.0,594.0,287.0,938.0,697.0,240.0,1018,573,432
45079113,1612.0,1038.0,460.0,1572.0,815.0,724.0,1357.0,914.0,399.0,1375.0,1042.0,331.0,1459,822,611
45079114,1286.0,786.0,408.0,1256.0,564.0,651.0,1111.0,679.0,404.0,1123.0,778.0,344.0,1238,712,511
45079115,867.0,440.0,347.0,844.0,306.0,520.0,676.0,328.0,322.0,686.0,405.0,281.0,785,344,436
45079116,1049.0,459.0,537.0,1025.0,225.0,789.0,945.0,371.0,547.0,965.0,481.0,482.0,952,336,610
45079117,1235.0,592.0,560.0,1216.0,403.0,777.0,1117.0,531.0,554.0,1142.0,632.0,508.0,1170,485,674
45079118,907.0,774.0,107.0,890.0,727.0,150.0,619.0,528.0,75.0,617.0,546.0,71.0,910,771,132
45079119,861.0,839.0,10.0,853.0,807.0,31.0,567.0,543.0,12.0,565.0,548.0,17.0,914,895,8
45079120,1339.0,1055.0,203.0,1310.0,939.0,338.0,999.0,786.0,178.0,1004.0,846.0,158.0,1210,954,249
45079121,1097.0,1047.0,29.0,1077.0,1000.0,67.0,761.0,720.0,21.0,755.0,732.0,23.0,1184,1146,35
45079122,1088.0,1031.0,34.0,1063.0,973.0,71.0,812.0,770.0,26.0,810.0,776.0,34.0,1120,1069,44
45079123,806.0,522.0,226.0,786.0,423.0,342.0,616.0,395.0,202.0,620.0,438.0,182.0,741,464,267
45079124,827.0,337.0,423.0,805.0,196.0,591.0,664.0,247.0,406.0,666.0,316.0,349.0,739,216,514
45079125,1325.0,431.0,807.0,1323.0,245.0,1055.0,1122.0,359.0,734.0,1151.0,483.0,668.0,1170,344,815
45079129,922.0,845.0,44.0,908.0,790.0,95.0,651.0,609.0,26.0,651.0,624.0,26.0,1007,916,85
45079130,646.0,419.0,176.0,624.0,326.0,274.0,479.0,315.0,152.0,482.0,353.0,129.0,410,261,143
45079131,636.0,607.0,16.0,621.0,579.0,36.0,429.0,399.0,17.0,425.0,404.0,21.0,668,625,36
45079132,652.0,632.0,9.0,624.0,577.0,40.0,329.0,317.0,7.0,328.0,317.0,11.0,574,555,13
45079133,705.0,541.0,114.0,672.0,465.0,182.0,484.0,386.0,81.0,491.0,421.0,70.0,695,583,101
45079134,821.0,473.0,297.0,811.0,391.0,385.0,692.0,398.0,266.0,697.0,457.0,240.0,799,443,350
45079301,1048.0,582.0,391.0,1025.0,454.0,554.0,946.0,531.0,394.0,948.0,582.0,366.0,1142,582,545
45079302,330.0,314.0,10.0,328.0,304.0,19.0,295.0,277.0,10.0,293.0,285.0,8.0,317,308,6
45079305,1313.0,1253.0,41.0,1291.0,1206.0,76.0,1085.0,1028.0,36.0,1077.0,1042.0,35.0,1638,1592,38
45079310,1142.0,830.0,277.0,1112.0,729.0,361.0,1057.0,779.0,253.0,1052.0,808.0,242.0,1309,896,408
45079311,1004.0,956.0,27.0,985.0,905.0,67.0,725.0,679.0,28.0,714.0,688.0,26.0,1280,1221,56
45079312,855.0,360.0,441.0,835.0,212.0,614.0,785.0,348.0,420.0,797.0,396.0,400.0,949,362,581
45079314,1250.0,1145.0,87.0,1210.0,1065.0,124.0,1008.0,905.0,71.0,994.0,916.0,78.0,1612,1475,120
45079316,1681.0,1357.0,275.0,1641.0,1289.0,332.0,1364.0,1108.0,223.0,1362.0,1134.0,227.0,2024,1692,318
45079317,1147.0,1111.0,20.0,1114.0,1048.0,58.0,775.0,716.0,36.0,767.0,734.0,33.0,1321,1270,40
45079320,566.0,553.0,11.0,559.0,530.0,27.0,456.0,427.0,11.0,453.0,442.0,11.0,684,666,8
45079321,864.0,303.0,493.0,853.0,187.0,658.0,808.0,265.0,524.0,819.0,345.0,474.0,831,269,553
45079323,1148.0,496.0,591.0,1141.0,347.0,774.0,1026.0,447.0,556.0,1040.0,533.0,507.0,1055,409,635
45079328,611.0,371.0,221.0,597.0,374.0,215.0,499.0,341.0,150.0,499.0,351.0,148.0,719,510,202
45079329,1162.0,1134.0,10.0,1128.0,1082.0,34.0,972.0,942.0,12.0,973.0,956.0,17.0,1361,1344,11
45079330,1287.0,759.0,473.0,1264.0,650.0,591.0,1023.0,583.0,411.0,1034.0,647.0,387.0,1134,586,532
45079331,1207.0,763.0,340.0,1191.0,678.0,469.0,882.0,605.0,249.0,893.0,670.0,218.0,1334,795,510
45079334,1456.5,795.6,614.0,1409.6,714.8,659.9,1149.0,671.9,453.2,1149.0,686.8,457.2,1645,903,729
45079335,342.5,151.4,185.0,334.4,128.2,199.1,282.0,163.1,113.8,286.0,171.2,114.8,412,192,220
45079337,1157.0,788.0,306.0,1142.0,699.0,418.0,1049.0,712.0,308.0,1055.0,777.0,277.0,1263,833,428
45079342,1561.9,1038.5,466.1,1521.9,921.4,561.2,1336.4,941.5,363.3,1346.7,994.3,351.6,1688,1004,665
45079343,542.0,298.0,224.0,532.0,278.0,248.0,464.0,288.0,165.0,466.0,303.0,163.0,638,329,307
45079344,1156.7,518.5,564.6,1138.0,418.3,702.1,1065.4,491.9,544.0,1065.4,562.6,497.8,1367,563,790
45079378,1653.5,659.4,876.2,1618.1,398.3,1184.5,1516.9,607.3,876.2,1551.2,763.4,786.8,1772,558,1205
45079308,2571.6,1919.7,508.4,2497.3,1714.9,710.1,1935.9,1544.9,347.8,1932.0,1604.5,325.4,2183,1647,518
45079347,1304.0,930.5,331.9,1258.1,829.6,395.8,1107.6,804.5,255.7,1104.3,847.7,255.4,1271,840,416
45079351,725.0,329.0,333.0,711.0,259.0,430.0,621.0,328.0,289.0,619.0,358.0,261.0,722,361,345
45079352,1257.0,845.0,323.0,1234.0,795.0,405.0,799.0,598.0,184.0,802.0,629.0,173.0,1275,925,331
45079355,1541.0,1361.0,130.0,1511.0,1286.0,194.0,1362.0,1216.0,96.0,1360.0,1259.0,99.0,1720,1579,138
45079356,1078.0,878.0,153.0,1049.0,814.0,221.0,972.0,831.0,123.0,969.0,843.0,126.0,1047,856,188
45079360,503.0,480.0,14.0,495.0,466.0,23.0,374.0,351.0,9.0,374.0,364.0,10.0,563,542,15
45079364,1097.0,417.0,607.0,1085.0,301.0,755.0,1000.0,425.0,550.0,1010.0,488.0,522.0,1075,390,675
45079366,904.6,629.0,228.3,880.9,550.8,311.3,732.9,501.0,210.3,742.6,553.0,188.5,1022,689,325
45079370,828.0,340.0,447.0,805.0,244.0,546.0,660.0,279.0,365.0,659.0,315.0,342.0,700,237,456
45079391,1070.5,199.9,826.6,1048.8,158.6,867.7,925.1,180.2,730.8,929.1,223.5,703.6,976,253,715
45079368,3199.2,676.8,2311.7,3150.1,476.0,2601.3,2831.0,683.0,2099.2,2874.5,859.3,2011.5,2498,472,2001
45079315,2690.9,719.7,1787.9,2657.0,564.9,2038.3,2350.5,776.3,1518.6,2376.0,937.5,1435.3,1590,388,1186
45079369,852.0,633.0,188.0,844.0,573.0,248.0,633.0,471.0,146.0,633.0,492.0,140.0,838,591,238
45079362,809.1,592.9,157.2,803.0,549.6,229.4,540.2,409.9,114.0,541.1,428.1,113.0,819,573,229
45079374,1105.9,885.9,166.2,1088.1,810.4,256.7,746.9,600.6,100.6,740.9,635.4,104.6,1327,980,330
45079365,789.9,529.1,198.6,781.9,501.0,257.8,540.0,391.5,136.4,541.0,422.5,117.4,728,448,270
45079303,2451.4,711.9,1587.0,2408.2,543.7,1788.5,2061.2,697.6,1318.7,2081.0,805.7,1274.1,2079,565,1505
45079380,2414.0,874.8,1376.1,2369.5,672.2,1616.3,2009.9,863.4,1106.3,2028.0,991.2,1034.1,2403,822,1540
45079384,2461.0,1094.0,1196.0,2433.0,960.0,1402.0,2012.0,1035.0,936.0,2028.0,1132.0,892.0,2323,1119,1178
45079361,2635.7,1101.6,1393.9,2601.5,896.0,1653.9,2287.4,1058.5,1190.8,2299.5,1168.3,1130.2,2805,1124,1657
45079324,1622.9,843.8,677.3,1598.6,793.7,751.9,1279.5,753.1,483.4,1278.1,796.6,480.9,1461,781,662
