GEOID20,Tot_2016_pres,D_2016_pres,R_2016_pres,Tot_2020_pres,D_2020_pres,R_2020_pres,Tot_2020_sen,D_2020_sen,R_2020_sen,Tot_2018_sen,D_2018_sen,R_2018_sen,Tot_2018_gov,D_2018_gov,R_2018_gov,Tot_2018_ltg,D_2018_ltg,R_2018_ltg,Tot_2018_ag,D_2018_ag,R_2018_ag
44009443205,1774,1150,446,2019,1490,481,1952,1513,435,1604,1165,438,1588,1009,405,1500,1052,289,1441,1250,0
44009443204,1487,974,353,1727,1282,393,1666,1288,375,1301,974,324,1283,829,290,1251,898,225,1191,983,0
44009443602,1848,956,771,2168,1254,889,2042,1357,682,1431,895,535,1438,831,487,1393,840,443,1286,984,0
44009441403,688,293,336,742,364,360,710,390,320,540,292,248,541,252,206,529,268,200,481,354,0
44003443802,768,367,342,919,502,399,881,570,310,571,338,233,572,251,231,556,321,174,529,376,0
44007442866,839,723,62,966,873,76,925,853,71,761,701,56,763,641,51,735,623,40,724,665,0
44007441301,1742,623,1002,2105,891,1165,2018,980,1033,1447,623,823,1450,490,806,1429,529,538,1271,858,0
44007441601,1040,447,555,1159,532,613,1106,624,482,784,417,366,783,296,407,767,424,268,712,540,0
44007441008,1492,969,415,1794,1205,556,1688,1255,429,1201,915,281,1215,799,280,1165,835,213,1115,915,0
44007442807,4,3,1,4,4,0,4,3,1,1,1,0,1,1,0,1,1,0,1,1,0
44007441702,851,446,356,1025,584,416,992,643,348,723,432,291,713,380,266,711,471,179,665,551,0
44007442858,331,268,47,345,270,71,321,266,55,232,203,28,235,173,39,230,191,24,221,199,0
44007440723,1776,1302,345,1971,1518,414,1894,1544,349,1489,1195,289,1483,997,356,1449,1080,222,1398,1207,0
44007442619,895,483,364,973,615,343,902,641,259,676,443,230,674,365,224,665,444,168,625,498,0
44007442863,691,577,81,663,524,126,610,516,93,465,417,46,466,366,54,447,382,31,436,384,0
44007443103,1715,701,911,1846,914,901,1781,1069,710,1441,704,734,1438,552,724,1390,726,483,1309,990,0
44007442859,126,98,12,294,241,39,279,235,41,191,170,21,186,154,17,185,152,16,178,164,0
44007443910,1594,699,770,1738,846,858,1593,956,634,1227,663,561,1231,563,532,1200,717,391,1120,824,0
44007442864,344,309,23,373,307,54,338,304,33,241,228,13,244,204,17,227,193,13,223,206,0
44007442801,171,137,28,138,98,38,116,92,23,131,109,21,139,113,17,117,94,16,115,98,0
44007442504,1277,572,617,1440,747,663,1380,811,568,1031,541,488,1026,465,440,1007,598,343,935,730,0
44007441710,589,308,250,655,387,256,636,439,197,463,284,179,461,240,164,453,303,121,427,344,0
44007441014,1529,806,598,1714,1053,624,1638,1132,501,1246,834,408,1248,716,361,1211,830,286,1163,943,0
44007440724,1455,1047,300,1642,1322,290,1583,1310,271,1308,1024,281,1309,912,309,1256,927,203,1217,1085,0
44007443911,1256,690,471,1382,773,589,1274,803,468,886,559,326,891,520,298,867,560,244,821,628,0
44007442621,474,241,206,527,313,206,487,336,151,371,232,139,369,187,122,363,230,99,340,270,0
44007441010,1543,1005,434,1995,1336,635,1920,1427,491,1305,941,359,1311,836,348,1250,919,259,1191,1044,0
44007442817,2020,1699,200,2283,2013,217,2179,1968,206,1888,1649,233,1882,1585,204,1811,1487,156,1810,1667,0
44005441902,1530,878,552,1678,1078,566,1591,1119,470,1230,794,433,1237,738,392,1194,707,381,1114,893,0
44005442101,1086,722,286,1205,882,300,1162,886,274,895,666,228,888,610,192,852,615,177,824,705,0
44005442105,1375,888,380,1530,1125,375,1452,1136,314,1138,808,328,1129,780,247,1095,762,243,1022,869,0
44009443206,1220,705,400,1456,950,461,1419,977,438,1056,666,383,1052,577,357,1008,610,275,920,757,0
44009441101,1044,481,467,1199,623,545,1162,700,462,865,468,393,865,400,363,842,447,302,766,585,0
44009443207,2016,1256,578,2193,1521,602,2121,1576,536,1726,1184,534,1699,1040,495,1648,1116,371,1535,1323,0
44003443703,727,227,444,820,304,508,794,349,444,598,241,357,598,200,334,592,253,303,518,355,0
44007441708,1663,811,762,1757,939,789,1702,1068,630,1365,748,614,1364,622,619,1338,799,425,1251,992,0
44007442845,624,379,201,640,446,182,610,466,142,528,363,164,531,335,160,515,371,91,505,442,0
44007442844,1038,691,277,1013,721,261,959,738,214,777,563,210,779,498,204,755,547,141,731,625,0
44007440806,1614,868,658,1735,1010,693,1654,1085,569,1241,744,497,1239,667,432,1221,784,308,1120,911,0
44007441613,1151,396,703,1250,512,722,1189,621,567,925,364,560,922,300,522,902,449,372,817,625,0
44007442875,1136,923,164,1171,835,324,1098,909,187,787,669,117,801,581,141,780,638,84,748,653,0
44007441012,806,448,303,937,591,316,907,640,266,673,434,237,669,375,208,656,417,175,615,480,0
44007440408,619,490,100,638,477,148,561,457,104,405,324,78,411,296,67,400,317,52,383,326,0
44007443105,1877,850,907,1944,955,954,1888,1152,733,1537,802,732,1536,658,693,1497,840,498,1392,1111,0
44001440204,1399,798,514,1562,932,597,1497,1021,471,1212,763,446,1211,680,395,1156,729,319,1101,889,0
44001443403,2078,1180,745,2360,1474,826,2255,1589,662,1658,1087,569,1644,948,518,1590,1006,406,1528,1229,0
44009443601,794,345,385,922,485,421,888,517,370,647,358,289,647,343,258,626,351,233,565,420,0
44003440605,1088,402,605,1200,499,664,1154,571,580,882,414,465,884,301,485,870,394,391,804,547,0
44003443529,1292,621,585,1389,775,591,1359,883,476,1094,622,471,1091,496,443,1063,619,355,972,778,0
44003440612,1067,471,523,1203,580,594,1156,652,504,800,423,372,794,323,376,776,428,277,734,521,0
44003440618,509,186,280,574,254,312,557,279,278,414,198,214,416,179,206,407,196,185,379,273,0
44001443401,1218,664,449,1525,964,535,1454,1025,424,922,601,318,922,539,280,891,562,219,856,660,0
44007441018,606,317,249,657,392,245,622,426,195,525,341,182,522,290,188,501,344,118,478,395,0
44007442802,248,203,29,239,204,28,229,207,21,213,177,36,215,188,21,206,170,22,204,187,0
44007442837,532,396,93,607,497,89,581,476,101,444,363,79,445,336,80,431,340,59,423,376,0
44007442407,1263,594,608,1330,685,634,1256,778,475,1007,553,451,1006,411,489,991,609,295,935,752,0
44007441705,1265,579,591,1406,771,609,1357,844,512,1020,572,446,1018,451,415,1009,596,313,959,745,0
44007442867,85,71,6,99,74,23,91,75,14,68,59,8,69,57,5,67,56,6,66,56,0
44007442808,1273,1055,126,1329,1165,137,1269,1142,124,1095,956,138,1094,918,112,1074,893,88,1052,971,0
44007441002,1150,713,367,1329,883,430,1256,916,340,933,662,269,934,590,239,903,630,198,844,688,0
44007442816,2116,1745,266,2222,1944,243,2125,1893,228,1876,1655,217,1875,1559,217,1820,1461,160,1786,1618,0
44007440720,457,211,226,498,267,227,485,290,195,432,222,210,430,157,255,419,230,146,379,302,0
44005442104,498,347,114,562,447,107,544,449,95,433,332,100,432,318,83,414,303,85,395,337,0
44003443517,625,260,314,664,333,315,643,391,252,485,264,221,484,200,225,479,263,172,448,327,0
44003443526,459,248,182,587,347,231,578,379,198,412,243,169,408,211,153,397,235,137,380,306,0
44003440601,996,379,548,1161,515,613,1118,603,513,803,384,415,795,296,386,786,393,325,735,517,0
44007442865,269,251,14,193,158,35,170,145,25,168,161,6,168,151,4,162,146,3,154,141,0
44007441011,1580,911,585,1842,1163,639,1744,1228,511,1360,897,459,1362,783,437,1318,894,306,1237,1023,0
44007440703,915,405,465,1087,542,525,1037,635,402,765,423,335,772,281,453,744,415,257,706,534,0
44007442615,406,291,86,445,359,81,410,351,54,299,247,52,300,213,55,296,228,40,289,244,0
44007441603,1252,563,616,1369,692,660,1313,808,504,928,529,399,926,417,415,905,536,286,842,656,0
44007442823,1313,1169,100,1198,934,251,1081,911,167,900,823,77,915,746,94,865,771,50,840,762,0
44007442402,1111,606,439,1199,718,457,1130,758,368,822,506,314,820,394,349,802,513,200,768,619,0
44007440705,330,181,132,392,238,146,375,250,125,281,180,99,283,115,148,276,166,85,260,208,0
44007441608,1448,590,776,1543,752,764,1457,888,566,1051,554,494,1054,426,526,1026,562,367,945,705,0
44007441709,654,299,315,692,357,317,667,408,258,510,271,238,510,230,222,505,300,168,471,364,0
44007440731,1688,708,890,1904,933,947,1820,1067,752,1398,703,694,1401,435,893,1351,693,545,1235,968,0
44003443516,538,239,256,576,291,278,551,327,223,423,225,197,419,168,195,410,219,157,388,267,0
44003443808,1689,733,845,1895,929,936,1819,1087,732,1363,697,665,1357,547,645,1331,707,500,1253,928,0
44001440201,1087,517,487,1211,633,561,1173,711,459,892,479,407,887,420,354,860,477,295,810,624,0
44007442822,250,216,18,293,253,37,265,233,32,171,157,13,171,147,15,168,145,11,169,152,0
44007442879,786,721,46,737,592,136,666,581,80,494,470,24,505,436,33,486,428,28,466,441,0
44007442827,1307,1189,78,1159,944,200,1044,920,117,897,853,43,927,764,84,867,775,39,843,774,0
44007440406,468,307,140,510,329,173,438,337,100,293,231,61,301,209,57,292,235,40,281,235,0
44007442606,592,510,59,632,502,124,542,462,77,379,339,38,390,319,38,370,316,29,360,327,0
44007442861,1173,913,175,1353,1106,210,1279,1100,175,974,840,131,969,745,136,936,772,85,917,801,0
44007440727,791,515,233,867,630,226,853,662,191,719,534,183,718,441,214,701,480,151,671,574,0
44009443201,648,326,275,741,442,274,725,469,252,557,315,242,550,288,219,531,308,171,492,404,0
44007440402,360,283,64,357,237,114,303,237,66,226,192,32,226,168,34,224,186,27,215,187,0
44007442821,1041,809,183,1007,801,186,940,794,144,720,592,127,723,520,132,697,561,84,669,597,0
44001440208,1151,643,411,1248,727,480,1184,799,384,918,576,342,909,483,297,883,538,249,840,654,0
44003440611,1006,430,518,1137,546,577,1104,600,499,821,405,415,813,343,385,801,430,322,743,560,0
44007442617,281,201,60,297,221,72,277,222,55,198,162,36,199,140,38,194,156,28,191,163,0
44007442410,895,438,413,972,539,423,919,625,293,704,433,270,704,323,298,691,456,172,652,547,0
44007442401,794,392,357,864,496,343,817,552,261,661,399,260,661,309,276,647,419,176,621,505,0
44007442602,698,593,82,741,596,142,679,583,93,447,405,42,454,367,46,435,382,32,428,392,0
44007442804,597,540,18,264,237,17,250,231,17,392,370,21,381,345,21,376,331,16,367,349,0
44007442601,351,237,96,378,277,88,339,271,66,230,178,52,231,146,50,228,164,38,226,173,0
44007442841,343,282,33,380,320,52,356,321,34,195,176,18,196,151,18,188,165,14,186,161,0
44005442706,713,350,310,795,461,313,772,474,298,612,332,279,608,329,212,597,311,224,541,426,0
44007442876,699,562,109,675,488,180,625,515,107,473,412,57,486,378,73,464,391,46,441,390,0
44009440502,1273,631,542,1414,771,614,1357,823,533,1050,606,440,1048,530,390,1008,581,341,940,708,0
44007441706,387,188,176,413,214,191,402,249,153,320,167,153,318,148,144,312,188,102,291,223,0
44007441707,386,180,191,438,229,206,417,255,161,335,179,154,338,167,146,331,195,110,308,236,0
44007442623,390,243,128,455,295,149,429,302,126,287,203,84,289,172,77,284,213,52,276,237,0
44007442818,1219,1036,103,1377,1199,149,1283,1163,117,942,862,72,953,809,70,931,772,51,910,816,0
44007442806,128,108,11,141,128,12,136,122,13,114,97,17,115,99,11,111,90,10,110,100,0
44007442853,247,191,42,255,191,60,245,190,54,182,145,37,183,133,34,173,132,31,167,140,0
44007442829,955,831,81,984,786,177,924,797,125,715,641,72,725,561,100,698,610,47,675,605,0
44007442872,61,47,12,81,71,9,81,74,7,72,60,12,72,55,12,70,55,7,69,59,0
44007441606,245,98,132,310,149,156,298,186,111,169,95,72,172,75,84,166,90,62,162,115,0
44007442626,169,151,14,151,113,37,148,121,25,79,72,7,80,68,9,78,68,6,74,67,0
44007440403,812,682,94,807,569,219,676,555,119,454,398,56,466,372,49,445,399,30,434,396,0
44007442860,154,133,20,157,124,32,148,120,27,102,86,16,105,83,13,101,83,12,97,85,0
44007442836,10,9,1,12,11,1,12,11,1,12,12,0,11,10,0,11,11,0,11,11,0
44007440813,594,266,286,719,339,367,685,386,297,450,249,201,452,219,184,448,269,136,409,302,0
44007442610,162,137,19,137,112,21,120,107,13,95,84,11,92,77,9,86,75,7,84,77,0
44007442878,57,45,9,45,34,10,44,32,12,41,32,8,40,27,10,40,32,7,37,33,0
44007442409,538,287,224,616,377,232,573,400,172,431,278,153,432,221,147,424,276,105,399,319,0
44007440717,586,349,205,639,444,183,607,448,159,473,320,153,480,242,202,460,295,132,437,366,0
44007442631,617,497,98,645,513,122,570,487,83,397,323,74,401,300,68,389,306,58,367,314,0
44007442869,146,128,11,132,103,28,120,102,18,84,80,4,84,74,4,82,71,3,81,75,0
44007442414,648,316,303,705,392,299,670,443,226,484,281,202,479,217,204,475,287,147,446,358,0
44007443901,256,142,85,263,162,91,239,162,76,149,109,40,146,91,35,146,97,35,140,107,0
44005442702,286,140,118,329,203,118,312,201,109,250,144,104,249,134,89,242,141,84,225,177,0
44007441007,167,101,57,179,107,69,160,111,49,116,75,41,118,75,31,108,73,27,101,81,0
44001440209,261,134,103,276,170,95,256,180,76,192,131,61,197,108,72,182,126,41,176,148,0
44007442856,74,60,13,69,50,18,64,54,10,42,34,8,42,31,11,41,33,5,40,33,0
44007440407,192,155,32,194,138,56,157,131,25,112,93,19,114,83,15,109,92,13,108,98,0
44007442873,109,93,12,131,100,27,116,98,17,77,68,9,77,60,12,75,62,5,75,65,0
44007442852,282,220,46,287,222,60,271,219,51,204,173,29,198,149,27,194,165,19,186,164,0
44007442830,74,64,6,71,59,10,59,53,6,43,39,4,44,38,2,41,40,1,37,37,0
44007442838,296,232,55,348,283,60,320,266,53,256,216,40,258,201,36,244,196,36,229,204,0
