GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_tot,Wh_2018_tot,His_2018_tot,BlC_2018_tot,NatC_2018_tot,AsnC_2018_tot,PacC_2018_tot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_tot,Wh_2019_tot,His_2019_tot,BlC_2019_tot,NatC_2019_tot,AsnC_2019_tot,PacC_2019_tot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap
0217012-220,3971,3478,125,39,298,47,20,2931,2613,77,26,188,32,11,4759,4028,230,35,330,157,5,3578,3063,170,29,225,92,0,4878,4049,205,33,452,175,10,3578,3048,155,12,250,97,4
0202012-225,2426,2017,90,37,233,76,2,1817,1556,54,22,157,38,1,2679,2220,141,53,200,47,23,1940,1675,45,4,204,10,0,2799,2406,181,60,116,12,29,2005,1820,69,4,109,0,0
0217007-110,2859,2375,125,49,257,72,14,1924,1645,76,25,139,43,7,3530,2657,320,12,500,61,20,2580,2068,169,8,276,45,0,3540,2781,231,11,465,71,18,2573,2125,119,6,262,49,0
0217010-055,1333,1103,65,21,123,30,5,926,792,41,10,69,17,5,1453,1045,98,101,239,30,11,961,752,44,56,114,2,0,1519,1140,78,78,220,44,9,999,807,36,27,109,10,0
0217009-628,3366,2922,98,51,239,67,13,2372,2113,59,25,139,39,5,4427,3713,134,105,433,119,5,3131,2729,72,25,235,62,0,4394,3517,129,213,453,143,0,3342,2828,73,116,252,68,0
0217012-210,2811,2307,124,62,271,94,27,1899,1628,59,25,147,48,8,3746,3013,98,61,482,105,0,2509,2115,71,54,227,36,0,3652,2903,141,71,393,173,0,2389,1972,121,69,174,56,0
0217008-145,2740,2217,119,61,301,80,23,1867,1559,59,35,172,44,12,3197,2667,128,15,309,64,26,2307,1953,114,16,188,25,0,3147,2518,136,12,435,31,36,2397,1957,119,12,272,16,0
0202017-420,4907,2974,421,325,649,595,118,3863,2532,287,213,441,408,64,5162,2824,284,112,1096,928,141,3785,2300,170,95,660,525,60,4671,2569,326,208,818,856,125,3610,2255,170,165,545,445,64
0202020-535,3915,1808,333,675,540,427,305,2978,1597,216,392,357,318,155,3595,1544,404,625,546,464,232,2581,1477,118,366,278,203,115,3508,1706,351,504,508,516,135,2523,1602,101,248,267,229,40
0202013-260,282,112,9,16,118,28,4,263,109,7,14,111,24,2,408,98,63,23,63,29,174,283,99,26,20,41,20,61,358,101,31,10,37,45,143,266,102,26,6,26,33,75
0202019-510,3496,1119,476,516,661,740,255,2264,928,273,288,379,350,157,3806,871,417,790,527,1156,321,2424,700,349,433,315,354,159,4103,953,448,662,637,1318,332,2474,705,333,353,405,406,162
0202021-600,2043,1734,81,28,101,74,30,1596,1393,55,14,67,53,19,2068,1622,219,26,95,107,0,1596,1348,140,1,47,59,0,2109,1578,233,43,172,151,0,1608,1321,150,1,45,49,0
0202018-435,990,838,44,21,57,40,3,778,678,28,7,39,23,1,1059,863,5,36,103,57,0,824,702,4,14,47,56,0,983,818,4,54,34,77,0,767,659,4,19,19,61,0
0202018-460,2400,1494,209,137,366,224,41,1986,1313,142,95,254,183,22,2172,1283,85,118,247,403,55,1777,1163,84,43,197,237,56,2194,1415,53,190,272,216,38,1770,1268,54,77,187,150,38
0217010-010,2566,2142,105,45,235,70,11,1712,1466,60,25,123,43,6,3197,2450,221,37,404,126,2,2334,1917,108,29,220,33,0,3093,2302,270,29,422,127,2,2315,1845,123,21,273,33,0
0202020-555,2596,1508,201,249,507,185,80,2233,1400,147,176,369,143,52,2415,1385,205,117,476,192,39,2000,1186,131,84,425,141,36,2213,1107,174,98,595,197,43,1884,973,102,82,543,141,41
0205038-852,590,26,6,2,555,2,0,335,22,2,1,309,1,0,542,7,0,5,536,0,0,346,7,1,1,336,0,1,559,5,2,4,549,0,0,357,5,1,1,345,0,1
0201337-744,1033,151,61,29,457,360,9,861,130,48,24,334,333,5,1452,239,99,23,770,390,25,951,230,52,5,508,135,0,1377,200,77,26,874,239,35,967,185,48,5,643,64,0
0201337-712,143,85,5,3,47,3,0,112,70,2,2,35,3,0,109,20,23,15,22,29,1,57,14,7,5,16,11,1,102,17,18,14,29,29,0,57,11,6,5,21,11,0
0205038-802,346,18,1,1,328,1,0,216,16,1,0,200,0,0,338,9,1,1,328,1,0,200,9,1,1,194,1,0,311,10,1,1,301,0,1,191,9,1,1,181,1,0
0229040-326,209,2,0,0,207,0,0,146,2,0,0,144,0,0,248,18,6,0,228,5,0,159,11,1,0,144,1,0,242,24,11,0,213,5,0,151,11,1,0,136,1,0
0229037-300,85,3,0,0,82,0,0,55,2,0,0,53,0,0,84,3,3,0,80,1,0,58,3,1,0,53,0,0,91,4,4,0,84,1,1,62,3,2,0,57,0,1
0229039-942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0201337-720,938,95,105,17,384,354,2,787,84,97,11,258,346,2,1085,104,61,24,598,306,0,699,85,33,13,467,100,0,1165,117,71,31,746,228,0,803,100,37,13,552,95,0
