GEOID20,Tot_2020_pres,D_2020_pres,R_2020_pres,Tot_2020_sen,D_2020_sen,R_2020_sen,Tot_2018_gov,D_2018_gov,R_2018_gov,Tot_2016_pres,D_2016_pres,R_2016_pres,Tot_2016_sen,D_2016_sen,R_2016_sen
0229006-095,54,34,16,51,37,11,78,58,16,101,87,7,96,22,44
0229039-322,115,87,25,113,63,41,104,87,11,102,60,17,102,10,71
0229006-070,41,41,0,33,18,11,25,16,0,27,19,0,33,0,17
0215839-918,134,91,34,133,70,45,167,110,30,116,75,20,116,10,75
0218039-902,125,81,26,127,47,49,120,73,35,131,76,22,127,6,79
0217008-150,1910,383,1464,1887,391,1397,1446,295,1106,1523,235,1158,1477,81,580
0223033-540,815,582,187,809,584,187,588,374,179,690,357,199,678,174,261
0224006-060,148,80,64,138,62,67,123,70,47,111,57,46,113,8,75
0206606-060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0206606-020,145,20,117,142,26,104,115,21,88,135,20,102,128,5,50
0202023-760,886,390,467,875,375,465,665,302,331,750,339,348,736,92,323
0202022-660,1726,851,827,1723,783,898,1401,664,694,1526,662,724,1502,147,763
0207037-702,93,23,66,96,29,55,107,71,29,80,31,38,84,9,49
0205037-746,53,46,5,52,25,15,49,32,11,60,41,10,57,5,29
0213036-640,696,211,460,689,186,464,530,157,353,595,139,398,570,38,298
0224006-030,149,38,106,150,38,102,126,39,78,143,47,82,135,16,48
0229006-030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0209005-590,331,68,239,325,61,229,248,43,197,288,52,209,278,18,111
0209003-175,932,258,613,924,217,636,655,164,459,867,169,568,849,69,379
0209005-582,3624,1815,1661,3610,1771,1731,2954,1562,1275,3216,1402,1413,3169,363,1449
0209003-135,1706,350,1274,1690,346,1230,1212,237,922,1550,222,1134,1514,62,730
0224006-027,88,7,81,89,9,75,62,14,48,75,12,58,70,0,32
0224006-090,785,164,597,763,158,564,611,151,432,662,144,447,648,63,276
0206606-090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0202025-850,1678,939,699,1666,856,786,1384,757,593,1466,694,628,1438,142,684
0202014-950,1483,499,938,1482,468,959,1221,433,748,1371,355,854,1346,100,666
0202027-915,804,405,372,798,389,376,653,289,347,756,290,372,741,135,325
0202018-465,594,389,182,586,400,156,481,293,166,580,318,204,564,134,203
0202014-955,761,288,441,757,288,439,606,198,386,721,213,411,707,70,323
0218039-948,351,211,122,338,136,179,309,196,93,323,163,102,316,16,214
0218039-946,75,43,27,72,35,24,52,27,18,77,37,18,76,7,46
0202025-865,1029,477,523,1031,468,531,814,357,426,932,369,457,914,114,418
0217011-065,729,219,492,721,213,463,563,144,403,708,149,483,696,37,313
0217011-085,1169,346,785,1168,317,826,931,223,672,1065,210,741,1053,65,461
0217010-040,432,95,323,426,88,312,329,60,258,352,66,245,339,24,141
0217010-025,917,151,725,905,172,696,656,137,501,745,111,548,730,32,255
0217007-100,1220,327,841,1204,287,841,987,202,754,1055,193,714,1036,62,441
0202024-730,2196,978,1152,2198,898,1267,1783,804,921,1932,764,963,1921,198,1002
0202024-715,1477,694,757,1476,612,842,1210,552,619,1282,569,597,1268,127,663
0202014-940,1573,601,888,1564,564,913,1181,411,716,1397,400,827,1372,119,652
0202020-570,795,507,267,782,486,249,668,420,219,790,423,270,766,184,288
0219535-755,1957,741,1150,1960,883,1003,1537,751,710,1741,599,919,1708,208,929
0210535-755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0219835-755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0202016-345,942,465,430,937,466,435,751,377,346,897,367,449,875,118,395
0202023-750,1235,597,565,1237,566,606,952,448,461,1120,421,539,1092,162,440
0202025-840,439,222,203,436,212,195,307,143,150,373,155,168,360,56,154
0202025-860,1289,620,615,1282,597,612,963,473,459,1083,427,519,1062,146,487
0202014-970,1814,715,1024,1811,620,1134,1352,500,816,1617,501,912,1581,155,773
0202013-250,1775,596,1080,1716,581,1023,1211,406,764,1555,396,962,1484,140,657
0202017-425,1092,607,440,1084,594,419,848,506,301,1027,523,346,987,200,400
0202020-540,620,387,207,624,369,234,474,319,146,568,298,204,560,85,240
0218039-952,87,66,17,86,44,33,73,50,15,76,38,19,77,9,47
0202018-450,716,426,263,713,395,272,570,299,248,685,294,312,668,115,263
0224009-600,1850,284,1505,1823,286,1442,1320,211,1064,1569,215,1211,1523,96,648
0224009-608,505,78,408,499,78,398,386,62,309,493,56,385,489,35,212
0209005-592,605,330,253,606,319,247,534,306,210,603,218,297,593,96,238
0209001-480,1377,636,688,1354,564,734,1080,541,507,1234,447,613,1202,117,622
0209001-475,455,246,192,446,217,200,347,179,149,429,147,220,414,49,203
0209002-355,1167,499,614,1099,490,560,901,432,421,1040,394,498,968,140,433
0207037-754,232,100,118,227,100,100,249,182,56,221,114,70,215,6,151
0202018-445,753,406,305,749,397,316,642,353,268,722,339,280,711,118,276
0207037-710,0,0,0,0,0,0,27,24,0,18,12,4,19,0,13
0216437-730,28,20,8,24,20,4,23,21,0,49,20,9,44,5,26
0209004-230,770,512,222,771,502,240,649,437,182,711,400,209,700,122,244
0209006-150,380,81,276,373,79,243,292,72,210,327,74,209,314,25,89
0217010-045,1496,343,1132,1486,330,1068,1186,310,841,1251,253,893,1230,90,429
0217009-622,2129,452,1597,2106,451,1554,1557,427,1094,1606,317,1101,1569,109,650
0217009-640,258,79,166,254,74,168,195,69,126,219,57,140,211,14,81
0217007-120,1839,430,1332,1814,423,1293,1429,382,999,1711,335,1212,1667,141,681
0217007-115,931,197,673,919,200,656,687,182,484,827,143,596,816,37,331
0217010-005,944,180,719,934,182,693,709,186,507,827,169,562,807,62,321
0217011-075,1258,434,761,1253,455,724,1007,339,630,1183,285,739,1168,92,468
0217011-070,1536,510,956,1529,514,939,1268,467,743,1428,395,836,1393,122,597
0217012-220,2497,644,1776,2461,631,1739,1951,512,1379,2111,420,1473,2079,134,853
0217012-205,1211,298,869,1201,299,852,802,209,569,931,178,671,914,50,363
0202012-225,1482,554,880,1474,494,929,1139,381,724,1282,360,770,1265,133,550
0217010-015,1769,359,1318,1745,372,1280,1325,323,971,1476,227,1099,1455,77,554
0217007-130,1025,190,797,1016,209,751,721,129,571,768,114,573,746,62,262
0217007-125,2279,516,1694,2249,532,1582,1667,375,1259,1845,314,1344,1793,110,727
0217009-628,2781,717,1966,2775,742,1949,1998,566,1375,2053,439,1420,1998,170,757
0217012-210,1851,303,1478,1829,307,1436,1384,315,1039,1562,224,1198,1527,118,588
0217010-035,820,579,206,813,564,208,626,348,251,639,335,217,628,128,214
0202017-420,1946,1053,815,1922,990,861,1472,774,655,1793,773,812,1748,277,766
0202020-535,1611,1042,511,1592,1024,517,1280,764,463,1466,847,448,1409,314,534
0202019-505,839,468,335,821,472,284,578,340,208,725,420,237,693,175,274
0202019-510,997,534,420,993,520,421,769,422,325,902,460,365,874,208,321
0202021-600,1550,1063,452,1549,1011,523,1399,916,436,1460,916,426,1450,157,655
0217010-010,1596,304,1249,1573,310,1185,1120,241,852,1217,194,902,1188,71,480
0202020-555,1056,723,304,1045,666,345,876,579,264,997,579,281,974,207,410
0205038-852,215,162,46,217,159,41,269,194,57,246,135,31,244,34,116
0229040-328,54,22,29,54,25,29,43,22,21,49,22,22,45,9,13
0201337-744,240,77,153,238,77,140,220,113,87,215,63,123,210,18,160
0201337-712,52,23,29,51,22,25,36,20,16,50,4,36,47,7,18
0209003-183,1759,335,1361,1744,303,1356,1235,232,961,1564,209,1150,1536,72,651
0209006-180,825,234,562,804,234,529,627,217,384,704,172,459,684,55,237
0205038-802,127,64,43,125,76,22,134,96,28,114,52,19,114,19,36
0229040-326,77,63,14,75,40,26,82,74,4,79,64,9,85,10,60
0229037-300,37,21,12,37,16,19,37,24,9,46,25,8,45,6,23
0229039-942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0201337-720,157,49,103,157,35,111,135,64,64,144,35,94,144,6,114
0229006-056,404,141,234,396,121,244,305,96,196,361,93,205,359,30,189
0213036-650,1269,387,834,1257,398,811,1030,353,649,1158,282,753,1133,88,570
0218540-006,79,28,37,77,22,41,55,32,13,75,36,18,71,4,39
0218540-004,118,67,42,118,61,37,94,60,26,168,94,33,159,22,71
0218540-016,101,31,65,104,32,53,102,60,30,90,32,33,87,9,52
0212229-100,1203,509,654,1195,508,625,949,415,486,1034,381,519,1019,147,406
0212230-200,1490,332,1112,1457,291,1087,1119,283,780,1262,217,952,1239,49,454
0212231-380,1816,493,1266,1796,501,1207,1496,537,884,1570,407,1032,1537,114,483
0209001-495,483,216,237,473,213,241,332,142,174,424,135,237,400,33,183
0222035-765,2361,1325,963,2340,1329,888,1912,1076,733,2218,993,968,2170,365,1014
0209001-490,848,400,408,836,398,362,650,328,275,838,390,360,806,146,319
0209005-587,232,71,151,231,75,144,166,47,113,213,43,143,205,15,98
0227536-690,1283,429,809,1272,415,782,1035,313,651,1168,293,769,1145,94,676
0218039-926,958,501,408,942,410,466,791,509,247,809,356,327,793,87,425
0202013-240,1651,554,1017,1609,440,1111,1230,369,813,1426,352,905,1380,96,639
0202027-905,1084,550,498,1078,546,489,862,363,467,902,338,456,887,127,379
0205038-824,185,109,68,184,127,34,174,115,39,164,84,31,158,27,66
0215839-904,211,123,80,212,108,85,285,217,48,232,150,44,218,25,134
0229037-310,34,26,8,34,9,17,31,27,4,18,16,2,19,2,13
0229039-314,225,112,90,216,94,111,201,133,49,229,111,77,216,22,149
0212231-310,996,567,405,991,545,413,783,464,293,760,392,284,738,97,231
0212229-140,272,123,141,270,120,141,224,123,91,219,99,88,214,26,75
0212230-230,928,254,649,924,244,633,683,199,450,806,181,528,789,67,300
0210535-750,103,58,43,99,53,37,86,35,40,109,33,65,107,12,61
0212231-300,1493,416,1020,1472,421,990,1147,286,811,1222,249,845,1192,101,380
0212231-350,2015,1064,879,2009,1046,887,1666,874,718,1769,724,814,1733,191,649
0218840-038,85,68,15,84,41,34,80,53,25,90,69,10,88,13,58
0201637-706,989,478,489,970,431,487,716,390,288,932,509,332,894,177,481
0206806-024,127,45,82,119,42,77,83,30,53,112,32,73,107,18,44
0229006-024,21,7,14,19,7,12,13,5,8,18,6,11,17,3,7
0213036-600,1260,637,556,1236,617,524,920,447,420,1071,449,451,1030,134,489
0206606-035,184,56,119,180,63,108,148,67,74,165,39,100,159,11,76
0209001-465,550,281,239,541,252,236,440,203,207,532,213,245,510,84,203
0209005-588,393,153,218,391,147,225,302,124,161,370,118,201,360,39,171
0209005-586,1275,678,545,1273,665,563,984,561,387,1150,518,463,1135,149,529
0217010-020,970,192,754,956,180,695,703,138,536,795,131,592,772,46,294
0217008-135,1825,300,1459,1810,306,1415,1320,245,1038,1383,209,1068,1348,80,469
0217011-090,801,189,574,793,196,549,647,171,461,726,132,516,717,35,269
0217010-050,478,118,345,471,120,330,329,70,243,343,51,243,329,24,119
0217007-105,919,198,690,910,205,672,734,180,536,812,148,610,789,51,326
0217008-155,1890,398,1450,1876,410,1379,1538,286,1199,1720,260,1322,1677,85,600
0217012-200,1032,203,809,1025,206,786,753,160,586,808,120,609,796,38,336
0217008-145,1626,271,1289,1601,292,1199,1180,252,889,1219,191,906,1178,103,426
0217007-110,1388,355,982,1369,327,941,1091,281,774,1261,263,872,1231,102,487
0217009-645,779,228,521,775,224,504,666,208,433,640,151,421,626,57,233
0229037-312,17,5,11,18,6,10,19,7,10,18,4,9,19,0,10
0229039-316,125,98,15,118,81,29,120,94,15,117,77,15,112,10,55
0205038-820,92,64,24,92,38,42,134,91,32,100,52,18,97,8,60
0215839-930,122,84,22,125,59,44,137,96,34,163,104,17,166,14,100
0209001-485,773,402,337,763,399,323,559,280,257,653,241,321,624,105,293
0209002-365,1768,687,989,1698,616,1001,1245,529,667,1578,484,881,1485,171,720
0213036-610,1494,668,761,1470,655,739,1188,532,609,1351,525,617,1319,164,720
