GEOID20,Tot_2020_pres,D_2020_pres,R_2020_pres,Tot_2020_sen,D_2020_sen,R_2020_sen,Tot_2018_gov,D_2018_gov,R_2018_gov,Tot_2016_pres,D_2016_pres,R_2016_pres,Tot_2016_sen,D_2016_sen,R_2016_sen
0215838-804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0205038-814,29,13,12,29,13,13,29,16,11,38,13,10,37,5,22
0205038-812,155,111,22,153,98,30,211,142,46,177,72,13,172,16,93
0209005-596,1791,894,831,1785,856,873,1460,720,681,1614,659,751,1588,203,745
0207037-724,69,34,34,66,31,33,75,50,22,68,23,34,69,6,45
0202021-635,1438,888,501,1435,833,559,1170,699,430,1255,667,443,1234,187,527
0202028-110,2160,921,1185,2156,799,1315,1826,792,1003,1936,744,982,1924,152,908
0202024-725,1473,652,776,1479,585,859,1309,581,688,1428,546,734,1416,119,763
0202017-405,648,404,222,647,406,217,565,369,176,650,349,217,623,131,239
0209001-455,324,147,167,314,142,154,243,108,122,310,108,165,303,35,127
0217011-055,1611,367,1183,1603,353,1164,1274,287,955,1442,242,1010,1422,82,584
0217011-099,906,289,598,891,279,570,725,230,478,804,218,517,798,58,284
0202026-835,687,381,280,685,377,292,467,237,211,541,203,236,529,81,226
0202026-825,1188,574,583,1175,534,582,861,404,431,1043,384,531,1020,166,432
0209004-250,872,531,296,877,545,297,746,472,246,811,440,271,806,125,258
0224006-085,51,38,13,47,24,15,56,47,9,51,39,7,50,5,32
0202015-310,1009,533,445,966,488,423,732,386,315,865,390,379,828,159,321
0202027-930,1853,948,828,1850,880,906,1559,837,672,1769,824,764,1741,228,758
0229006-010,49,31,8,44,30,10,41,23,10,44,30,7,40,4,19
0205038-846,115,41,67,116,46,48,116,77,29,107,57,22,109,15,59
0215032-800,94,36,52,92,40,46,79,45,32,97,30,52,94,9,44
0212231-390,1037,352,670,1029,365,611,802,275,492,857,213,574,837,68,293
0201637-750,18,10,6,20,8,10,20,13,5,27,17,10,25,3,14
0211033-525,1236,775,425,1219,764,387,1041,466,517,1162,526,479,1127,200,525
0206606-053,60,39,12,56,35,11,60,47,13,51,27,15,51,7,22
0224006-053,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0
0201337-700,60,29,26,63,21,36,90,45,36,126,79,29,124,33,67
0202020-565,551,361,178,546,336,203,494,346,139,561,369,145,550,71,220
0202023-745,782,388,356,776,389,336,552,278,260,620,265,268,603,91,244
0218039-936,88,40,46,89,31,47,108,68,37,99,54,30,96,10,59
0202028-125,1038,537,483,1041,489,532,827,381,421,907,425,389,890,107,390
0211034-430,1553,801,669,1545,793,671,1233,671,517,1322,611,534,1298,247,570
0211034-440,1644,901,680,1641,867,699,1420,649,695,1514,598,670,1497,234,702
0206037-722,225,77,142,225,73,144,173,63,97,201,39,147,196,19,129
0218840-022,52,30,13,51,21,19,38,19,14,49,18,6,50,4,21
0206309-655,525,208,283,515,209,270,382,149,198,456,111,268,452,41,217
0218840-036,114,54,55,116,36,66,156,88,57,151,89,42,147,12,73
0202027-900,1646,827,769,1637,761,822,1450,709,692,1546,656,736,1531,245,587
0202024-700,1266,603,624,1262,586,633,1002,421,544,1099,372,605,1084,130,479
0202028-105,1259,611,617,1258,567,668,1078,476,547,1231,477,613,1228,91,656
0202026-805,1291,608,640,1295,561,717,1123,491,600,1149,439,597,1141,101,583
0202015-315,788,370,383,754,352,374,621,312,282,725,304,330,697,127,288
0229006-007,75,69,6,73,60,9,75,54,9,81,67,3,77,19,24
0205038-832,78,43,24,79,38,26,77,48,22,89,45,6,85,8,53
0202020-530,846,543,265,833,514,277,681,411,236,803,423,280,781,125,323
0207037-736,206,159,32,203,147,39,183,164,15,195,134,22,194,20,129
0202024-710,1585,735,807,1585,683,886,1347,562,746,1450,563,730,1436,141,749
0202027-920,1375,765,563,1371,733,594,1089,609,445,1248,586,520,1227,196,560
0202028-115,1340,496,800,1348,475,848,1150,453,659,1260,389,709,1251,81,713
0202024-720,1271,552,672,1274,515,707,1022,465,526,1146,409,602,1138,116,527
0202017-415,830,458,332,818,446,327,638,324,281,734,307,335,711,82,312
0202018-470,468,300,155,465,312,143,366,233,122,428,199,165,419,73,135
0202018-480,1118,659,427,1105,632,462,1027,681,321,1127,671,355,1109,155,428
0202020-560,879,616,241,876,578,286,821,595,197,824,535,218,819,108,306
0202017-400,1100,687,377,1090,646,415,968,595,346,1071,579,375,1040,136,463
