GEOID10,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
250250065,1057.1,727.0,283.1,1018,665,339
250250055,1336.9,844.0,422.9,843,476,351
250250060,1005.0,582.0,364.0,908,505,394
250250010,744.0,562.0,142.0,507,355,147
250250025,856.0,652.0,153.0,563,372,175
250250085,1221.7,905.1,218.1,1120,773,334
250250095,1254.0,875.0,280.0,1140,734,400
250250090,1075.6,815.4,185.7,904,632,265
250250100,1936.0,1308.3,473.5,1299,809,475
250250120,1359.0,916.0,329.0,1001,717,259
250250135,2881.0,2121.0,536.0,2104,1512,570
250250125,1407.0,931.0,361.0,1078,710,348
250250140,2815.0,2451.0,223.0,2280,2002,258
250250155,2142.0,1688.5,316.0,1802,1423,358
250250160,1070.0,900.5,81.0,917,801,105
250250150,1493.0,1283.0,121.0,1407,1186,210
250250170,1218.7,1008.3,128.5,1013,803,191
250250165,1506.4,1329.9,93.3,1384,1214,156
250250175,725.4,594.8,78.5,891,726,146
250250190,812.0,732.5,26.1,497,463,31
250250185,974.0,795.0,113.0,818,664,134
250250180,953.9,819.8,76.0,987,819,143
250250215,1675.0,1371.0,174.0,1511,1217,274
250250210,1380.0,1077.0,191.0,1308,988,304
250250200,2999.0,2512.0,301.0,2287,1900,361
250250385,1235.9,1077.7,88.5,1348,1192,141
250250380,1305.0,1158.0,97.0,1067,981,75
250250205,1648.0,1389.0,153.0,1460,1205,225
250250245,1317.3,1049.8,178.8,1299,1041,242
250250260,1386.0,950.0,330.0,944,589,339
250250270,1280.0,805.0,360.0,988,552,427
250250265,1360.0,880.0,358.0,1039,645,370
250250275,1152.0,683.0,367.0,985,503,467
250250255,1035.6,747.8,213.5,752,488,254
250250285,1163.0,693.0,370.0,997,512,468
250250300,1336.0,799.0,429.0,1129,548,561
250250320,830.8,609.9,177.0,841,607,222
250250325,708.0,580.0,98.0,588,461,117
250250315,1187.2,835.1,256.0,767,497,260
250250365,819.0,760.0,35.0,839,813,23
250250355,775.0,724.0,26.0,710,682,24
250250360,423.0,404.0,9.0,403,390,8
250250395,1220.3,1128.2,54.6,1072,1024,41
250250510,604.1,557.6,16.8,621,603,14
250250500,1179.9,1090.4,38.2,1007,991,13
250250400,1409.8,1334.4,34.2,1202,1180,13
250250410,657.0,557.0,55.0,654,573,66
250250405,676.0,616.0,37.0,550,475,65
250250390,2016.6,1888.3,68.1,1613,1525,75
250250370,310.0,271.0,27.0,291,265,21
250250335,926.9,665.6,198.4,674,495,171
250250340,914.0,835.0,48.0,744,689,47
250250375,581.0,541.0,27.0,524,503,16
250250430,970.3,862.6,45.9,718,653,51
250250440,1212.4,1068.8,69.8,1012,904,94
250250415,652.0,553.0,58.0,636,546,79
250250450,616.0,560.0,19.0,559,536,14
250250435,990.8,933.0,29.3,1005,944,48
250250540,671.6,628.2,20.2,608,605,3
250250460,827.0,781.7,27.7,747,730,15
250250470,1077.0,986.3,47.3,917,871,37
250250475,951.0,845.0,43.0,775,699,56
250250480,1220.0,1113.0,49.0,1068,978,64
250250465,1366.0,1247.0,49.0,1020,950,53
250250525,580.0,544.0,22.0,514,505,8
250250515,715.0,658.0,29.0,622,609,11
250250520,488.0,470.0,10.0,544,536,6
250250560,705.0,656.9,27.8,571,547,22
250250545,884.0,829.1,31.2,797,773,21
250250570,923.4,805.7,75.4,810,674,127
250250680,1201.6,1064.3,89.6,987,865,113
250250575,953.1,710.4,170.6,713,510,197
250250580,870.0,681.0,143.0,710,488,210
250250550,350.0,329.0,12.0,306,293,11
