GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen
0201337-700,177,77,93,102.0,64.0,25.0,103.0,29.0,55.0
0201337-712,43,12,29,34.0,1.0,28.0,33.0,4.0,12.0
0201337-720,199,48,144,183.0,43.0,125.0,175.0,7.0,143.0
0201337-732,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0201337-734,252,66,179,214.0,60.0,125.0,206.0,19.0,155.0
0201637-704,39,29,9,36.8,20.4,12.6,37.8,8.7,25.2
0201637-706,1104,537,538,997.2,532.6,354.4,966.2,199.3,501.8
0201637-738,50,25,25,25.0,17.0,8.0,23.0,3.0,15.0
0201637-740,179,59,114,160.0,120.0,20.0,158.0,9.0,114.0
0202016-145,1304,379,900,1254.0,350.0,754.0,1242.0,130.0,539.0
0202016-160,1839,458,1350,1871.5,409.4,1242.8,1841.3,108.2,852.9
0202016-165,1661,459,1162,1708.4,374.1,1149.0,1648.4,122.3,671.8
0202017-200,1107,334,752,1228.0,310.0,772.0,1166.0,90.0,536.0
0202017-205,1764,471,1270,1624.9,417.2,995.4,1539.8,155.3,694.5
0202017-210,1345,326,981,1504.1,424.8,893.6,1479.2,130.7,698.5
0202017-215,790,227,557,711.0,212.0,407.0,697.0,69.0,319.0
0202017-220,1875,578,1271,1812.0,537.0,1007.0,1785.0,175.0,906.0
0202017-225,1035,304,715,1054.0,286.0,613.0,1032.0,105.0,468.0
0202017-230,1498,405,1075,1522.0,399.0,944.0,1494.0,115.0,743.0
0202018-235,2773,809,1938,906.0,208.0,558.0,855.0,132.0,441.0
0202018-240,1622,379,1224,1654.1,398.5,1055.2,1554.3,114.5,717.3
0202018-245,864,302,550,951.0,246.0,554.0,912.0,160.0,448.0
0202018-250,688,359,313,658.7,348.7,229.4,635.9,104.1,261.3
0202018-255,435,197,227,328.1,125.1,156.6,312.4,55.4,128.7
0202019-300,881,334,521,745.1,315.4,355.3,739.8,116.7,284.2
0202019-305,1239,525,702,1338.0,496.0,702.0,1275.0,200.0,565.0
0202019-310,962,412,538,888.6,389.0,396.4,844.3,163.2,335.5
0202019-315,787,368,405,856.0,352.0,397.0,817.0,152.0,345.0
0202019-320,1344,528,788,1368.0,553.0,671.0,1349.0,247.0,546.0
0202019-325,858,330,521,784.0,295.0,400.0,778.0,107.0,332.0
0202019-330,1258,598,631,1091.1,512.0,425.7,1070.2,198.8,436.6
0202020-335,1403,635,738,1564.7,620.9,712.7,1510.3,260.8,614.7
0202020-340,848,463,364,686.0,398.0,217.0,664.0,177.0,211.0
0202020-345,820,417,387,680.7,393.8,224.9,653.7,164.9,259.9
0202020-350,993,481,497,833.9,424.4,340.1,816.3,194.6,297.4
