GEOID10,Tot_2010_tot,Wh_2010_tot,Bl_2010_tot,Hisp_2010_tot,Nat_2010_tot,Oth_2010_tot,Asn_2010_tot,Pac_2010_tot,Bl+_2010_tot,Nat+_2010_tot,Asn+_2010_tot,Pac+_2010_tot,Tot_2010_vap,Wh_2010_vap,Bl_2010_vap,Hisp_2010_vap,Nat_2010_vap,Oth_2010_vap,Asn_2010_vap,Pac_2010_vap,Bl+_2010_vap,Nat+_2010_vap,Asn+_2010_vap,Pac+_2010_vap,Tot_2018_tot,Wh_2018_tot,Bl_2018_tot,Hisp_2018_tot,Nat_2018_tot,Oth_2018_tot,Asn_2018_tot,Pac_2018_tot,Bl+_2018_tot,Nat+_2018_tot,Asn+_2018_tot,Pac+_2018_tot
0202023-530,456,316,14,31,40,31,19,5,25,64,22,5,371,279,14,17,23,20,15,3,17,36,18,3,484.5,357.2,10.8,3.6,63.6,34.8,14.4,0.0,35.4,68.4,23.4,0.0
0202023-535,2982,1109,479,295,254,270,322,253,617,446,382,294,2200,987,305,188,197,139,253,131,355,293,285,146,2806.7,1067.8,346.2,346.0,271.3,313.3,283.3,178.7,553.4,462.9,360.0,208.0
0202023-540,2579,1933,115,105,155,150,96,25,158,259,125,30,2151,1685,86,79,111,94,78,18,103,175,95,21,2498.8,1869.1,96.0,118.2,57.2,161.3,166.0,31.0,101.7,205.3,199.3,44.4
0202024-545,1030,481,69,121,120,87,138,14,125,193,173,22,734,375,47,75,82,39,108,8,60,114,122,14,1021.8,425.0,40.4,288.4,46.4,114.7,106.8,0.0,173.1,147.2,106.8,100.8
0202024-550,4520,2116,213,493,587,417,638,56,324,904,780,121,3471,1849,175,306,435,232,432,42,217,621,507,69,3770.8,1665.1,73.3,332.0,293.9,136.4,1108.7,161.5,74.8,362.4,1157.9,193.3
0202024-555,2352,1101,142,244,259,169,372,65,206,400,442,105,1855,961,114,162,207,96,274,41,140,271,314,62,2074.2,967.8,66.8,188.1,114.2,144.0,563.1,30.1,94.6,250.7,633.9,48.6
0202024-560,1916,1402,103,84,113,95,104,15,139,170,132,22,1475,1116,74,61,82,54,78,10,92,115,91,15,2376.0,1345.0,109.0,169.0,56.0,340.0,215.0,142.0,122.0,348.0,282.0,142.0
0202024-565,1887,1221,96,116,115,134,124,81,138,199,170,98,1498,1035,76,77,88,78,94,50,96,144,115,58,1615.0,956.0,19.0,119.0,121.0,138.0,131.0,131.0,52.0,219.0,131.0,138.0
0202024-570,2743,1678,149,195,221,236,182,82,244,377,251,112,2051,1397,101,117,146,113,134,43,129,229,170,54,2919.9,1320.2,24.6,248.0,190.7,336.5,620.8,179.2,74.5,474.5,720.4,233.4
0202024-575,4907,2974,222,421,414,349,462,65,325,649,595,118,3863,2532,169,287,305,185,341,44,213,441,408,64,5162.0,2824.0,45.0,284.0,783.0,238.0,887.0,101.0,112.0,1096.0,928.0,141.0
