GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
0900101-085,1865,1007,856
0900101-073,183,110,73
0900101-074,1767,881,879
0900101-082,173,100,72
0900101-003,3040,1608,1390
0900101-001,1207,734,465
0900101-004,2272,1299,944
0900101-094,2377,1094,1256
0900101-057,3335,1858,1459
0900101-192,3077,1631,1431
0900101-092,3075,1517,1529
0900101-128,3614,1546,2023
0900101-077,827,454,368
0900101-086,675,356,315
0900101-127,5672,2603,3006
0900101-125,3161,1606,1499
0900101-126,2414,1336,1054
0900101-042,1739,1106,622
0900101-002,2683,1328,1320
0900101-005,464,210,251
0900101-101,4916,2447,2435
0900101-120,1854,1049,789
0900101-032,5852,2765,3046
0900101-102,5264,2702,2504
0900101-103,3193,1698,1467
0900101-119,3760,2196,1530
0900101-043,1166,670,488
0900101-045,1591,1032,537
0900101-036,1772,1177,589
0900101-035,4764,2615,2111
0900101-031,3321,1575,1707
0900101-044,129,87,41
0900101-123,3937,2126,1798
0900101-037,2442,1540,901
0900101-046,942,689,241
0900101-039,290,193,91
0900101-034,1955,1138,801
0900101-099,6383,2869,3446
0900101-038,178,143,34
0900101-095,2662,1165,1476
0900101-104,1798,917,864
0900101-056,4523,2238,2259
0900101-182,5012,3122,1867
0900101-190,4639,2495,2120
0900101-121,4981,2549,2407
0900101-122,5415,2805,2581
0900101-047,441,247,183
0900101-049,3532,2126,1381
0900101-048,242,150,90
0900101-040,3736,1978,1720
0900101-167,2783,1680,1059
0900101-161,1584,1040,531
0900101-169,1655,973,660
0900101-165,2596,2232,344
0900101-160,711,564,145
0900101-006,2180,1862,307
0900101-168,2089,1071,991
0900101-171,2182,1162,1000
0900101-008,2490,2392,96
0900101-007,1412,1261,148
0900101-009,938,818,117
0900101-011,963,825,131
0900101-012,1389,1073,307
0900101-180,2046,1111,915
0900101-158,1151,561,583
0900101-157,1819,907,896
0900101-170,3040,1598,1414
0900101-020,2300,2097,200
0900101-030,1108,1008,97
0900101-029,451,413,36
0900101-021,2219,2024,191
0900101-016,1800,1561,231
0900101-010,73,64,9
0900101-013,1092,967,120
0900101-028,1677,1488,179
0900101-026,1694,1542,150
0900101-022,1017,878,132
0900101-019,372,309,62
0900101-018,3888,2848,1014
0900101-015,1462,1128,323
0900101-024,1184,1047,131
0900101-025,2409,1636,749
0900101-027,695,624,69
0900101-023,2482,1856,603
0900101-156,996,599,382
0900101-166,2146,1096,1022
0900101-014,2214,2078,134
0900101-181,697,368,324
0900101-177,2613,1341,1248
0900101-173,2855,1347,1482
0900101-067,1876,1189,680
0900101-068,2796,1631,1145
0900101-017,3173,2177,971
0900101-175,2603,1252,1332
0900101-178,2428,1185,1231
0900101-176,207,99,107
0900101-172,3155,1435,1695
0900101-129,3750,1722,1986
0900101-124,1740,875,836
0900101-159,2338,1143,1172
0900101-064,1019,598,408
0900101-066,1272,751,506
0900101-061,1922,1100,802
0900101-059,3427,1799,1609
0900101-179,217,114,103
0900101-062,639,306,329
0900101-060,3305,1616,1673
0900101-174,3020,1505,1490
0900101-063,1469,910,543
0900101-069,3303,1851,1419
0900101-058,3097,1909,1163
0900101-070,3077,1718,1335
0900101-041,2060,1137,902
0900101-100,1137,508,618
0900101-130,2164,1110,1026
09001ZZZZZZ,0,0,0
0900101-105,3478,2273,1176
0900101-185,3388,2184,1193
0900101-051,1802,784,1012
0900101-112,2495,1509,980
0900101-110,4102,3325,756
0900101-106,2192,1697,480
0900101-108,1347,879,461
0900101-117,2097,1243,837
0900101-189,1720,1090,626
0900101-186,3511,2308,1188
