GEOID10,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
2211124,379.5,116.9,257.6,186.0,67.5,118.5,413,158,253
2211125,81.5,25.1,55.4,40.0,14.5,25.5,103,43,59
2211323,561.0,61.0,482.0,331.0,43.0,288.0,605,76,514
2211316,138.0,8.0,129.0,103.0,3.0,100.0,134,26,107
2211122,586.1,64.1,511.1,287.3,44.0,243.3,641,67,566
2211314,519.9,51.7,455.5,243.7,47.6,196.1,583,106,461
2211315,506.1,50.3,443.5,237.3,46.4,190.9,488,152,318
2211118,519.1,44.2,464.5,154.2,8.5,145.8,457,57,392
2211121,32.9,2.8,29.5,9.8,0.5,9.2,21,1,19
2211123,482.0,27.0,447.0,213.0,18.0,195.0,453,39,409
2211320B-1,374.0,37.7,324.5,159.3,16.3,143.0,364,50,309
2211320A-2,127.0,27.0,97.0,42.0,10.0,32.0,125,32,91
2211120,436.0,22.0,406.0,175.0,6.0,169.0,396,22,365
221138,314.4,21.8,284.1,135.9,12.8,123.1,299,23,274
2211312,402.7,213.5,176.3,138.0,77.8,60.2,412,255,152
2211320A-1,213.7,72.0,135.2,85.3,31.4,54.0,212,67,134
2207352,1607.0,154.0,1409.0,557.0,72.0,485.0,1363,154,1186
2207349,555.0,31.0,516.0,241.0,16.0,225.0,504,26,475
22079N27,1101.0,62.0,1014.0,442.0,35.0,407.0,1061,93,958
221137B,624.0,47.0,556.0,306.0,34.0,272.0,515,90,419
2211310A,548.0,91.0,444.0,235.0,44.0,191.0,572,138,419
220011-9,605.0,42.0,549.0,298.0,29.0,269.0,584,89,488
2207354,1328.0,158.0,1125.0,448.0,58.0,390.0,1153,170,969
2207351,1372.8,68.9,1271.5,493.2,24.0,469.1,1364,106,1244
220216-1,202.2,13.4,178.9,74.3,15.2,59.0,210,35,171
220217-3,214.8,11.6,202.1,85.7,9.8,76.0,216,28,182
220592-1,675.0,52.0,613.0,200.0,14.0,186.0,609,73,526
220594-3,93.0,7.0,82.0,49.0,3.0,46.0,95,3,88
220598-5,78.0,0.0,77.0,47.0,0.0,47.0,83,1,81
220437-4,127.0,14.0,111.0,59.0,6.0,53.0,117,14,98
22079N17,468.0,28.0,427.0,164.0,18.0,146.0,427,42,376
22079N22,391.0,18.0,364.0,141.0,5.0,136.0,399,26,370
