GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2018_gov,Dem_2018_gov,Rep_2018_gov,Tot_2018_ag,Dem_2018_ag,Rep_2018_ag
19019019010,0,0,0,537.7,217.9,282.3,534.1,172.2,339.1,469.3,220.1,238.0,414.7,324.8,0
19019019014,0,0,0,245.4,94.3,130.4,242.2,76.6,153.4,219.0,102.3,110.7,191.3,151.1,0
19065065019,0,0,0,293.3,80.2,193.6,292.0,65.2,216.2,249.4,80.8,161.7,213.7,166.1,0
19065065011,0,0,0,163.1,44.6,107.7,162.4,36.2,120.2,138.7,45.0,89.9,118.8,92.3,0
19065065012,0,0,0,11.6,3.2,7.7,11.6,2.6,8.6,9.9,3.2,6.4,8.5,6.6,0
19065065013,0,0,0,173.0,42.0,118.0,175.0,30.0,133.0,124.0,35.0,85.0,102.0,75.0,0
19065065022,0,0,0,212.0,99.0,104.0,212.0,89.0,114.0,164.0,84.0,75.0,153.0,130.0,0
19065065008,0,0,0,149.6,44.5,97.7,148.7,36.4,105.2,121.6,37.6,80.3,100.8,82.1,0
19065065016,0,0,0,331.4,98.5,216.3,329.3,80.6,232.9,269.4,83.4,177.7,223.2,181.9,0
19065065018,0,0,0,418.0,149.0,249.0,421.0,132.0,266.0,348.0,145.0,199.0,300.0,253.0,0
19065065021,0,0,0,290.0,116.0,158.0,290.0,96.0,185.0,258.0,123.0,126.0,226.0,183.0,0
19065065020,0,0,0,242.0,76.0,148.0,242.0,60.0,164.0,207.0,88.0,113.0,178.0,142.0,0
19065065024,0,0,0,130.5,33.6,89.0,130.5,26.7,100.8,110.7,29.7,79.1,80.1,67.2,0
19065065025,0,0,0,1.5,0.4,1.0,1.5,0.3,1.2,1.3,0.3,0.9,0.9,0.8,0
19065065017,0,0,0,132.0,39.0,87.0,135.0,27.0,104.0,116.0,31.0,83.0,100.0,71.0,0
19065065023,0,0,0,2726.0,1341.0,1170.0,2707.0,1140.0,1405.0,2170.0,1173.0,927.0,2002.0,1650.0,0
19113113078,0,0,0,1178.0,680.0,400.0,1172.0,540.0,579.0,1025.7,657.2,348.6,952.8,754.1,0
