GEOID10,Tot_2010_tot,Wh_2010_tot,Bl_2010_tot,Hisp_2010_tot,Nat_2010_tot,Oth_2010_tot,Asn_2010_tot,Pac_2010_tot,Bl+_2010_tot,Nat+_2010_tot,Asn+_2010_tot,Pac+_2010_tot,Tot_2010_vap,Wh_2010_vap,Bl_2010_vap,Hisp_2010_vap,Nat_2010_vap,Oth_2010_vap,Asn_2010_vap,Pac_2010_vap,Bl+_2010_vap,Nat+_2010_vap,Asn+_2010_vap,Pac+_2010_vap,Tot_2018_tot,Wh_2018_tot,Bl_2018_tot,Hisp_2018_tot,Nat_2018_tot,Oth_2018_tot,Asn_2018_tot,Pac_2018_tot,Bl+_2018_tot,Nat+_2018_tot,Asn+_2018_tot,Pac+_2018_tot
120110467,1556,1324,32,145,2,18,35,0,38,9,40,2,1412,1217,25,125,2,14,29,0,29,8,32,2,1880.2,1271.3,67.3,372.9,0.0,8.9,159.9,0.0,76.2,0.0,159.9,0.0
120110468,1729,1328,132,208,3,32,26,0,146,10,42,2,1457,1151,105,157,3,23,18,0,114,9,27,0,1937.9,1324.3,93.1,404.2,0.0,31.6,78.4,6.3,117.0,15.1,78.4,6.3
120110469,1935,1406,120,346,1,33,29,0,149,14,37,1,1596,1193,94,260,1,25,23,0,117,10,25,1,2180.7,1537.6,152.7,337.7,0.0,134.7,18.0,0.0,314.3,0.0,18.0,0.0
120110470,290,216,26,38,1,5,3,1,26,1,4,2,266,194,26,36,1,5,3,1,26,1,4,2,297.2,208.3,19.2,66.5,0.0,3.2,0.0,0.0,22.4,0.0,0.0,3.2
120110471,1224,1052,16,127,2,16,11,0,24,8,18,2,1065,925,15,101,2,13,9,0,20,6,15,2,1319.3,1011.8,1.4,257.2,13.0,20.0,16.0,0.0,1.4,33.0,16.0,0.0
120110472,1888,1600,46,193,0,18,28,3,62,3,41,3,1609,1386,36,152,0,10,24,1,41,3,31,1,2021.9,1547.0,30.6,379.1,0.0,17.0,44.5,3.7,47.6,8.9,44.5,3.7
120110473,846,59,6,775,0,5,1,0,19,4,2,2,560,46,6,505,0,2,1,0,18,2,1,2,922.6,171.4,95.6,648.4,0.0,0.0,7.2,0.0,95.6,98.5,7.2,0.0
120110474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120110475,1318,1228,9,62,0,4,15,0,9,1,18,0,1315,1226,9,62,0,4,14,0,9,1,17,0,1228.4,1067.1,6.2,155.1,0.0,0.0,0.0,0.0,6.2,0.0,0.0,0.0
120110476,2086,1824,32,170,2,30,27,1,38,7,38,5,1798,1586,31,137,2,18,23,1,33,7,30,4,2062.0,1524.6,45.7,289.6,0.0,24.7,177.5,0.0,67.4,16.0,177.5,0.0
120110477,187,175,0,10,0,0,2,0,0,0,2,0,150,140,0,8,0,0,2,0,0,0,2,0,216.4,123.3,9.7,71.4,0.0,0.4,11.6,0.0,10.1,0.0,11.6,0.0
120110478,916,752,16,120,5,9,14,0,17,9,20,1,796,661,15,92,5,9,14,0,16,9,19,1,743.6,645.9,3.8,93.9,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0
