GEOID10,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
120110424,0,0,0,0,0,0,196,128,67
120110425,0,0,0,0,0,0,1111,668,440
120110426,0,0,0,0,0,0,1583,955,620
120110427,0,0,0,0,0,0,1987,1199,779
120110428,0,0,0,0,0,0,1092,699,387
120110429,0,0,0,0,0,0,727,464,261
120110430,0,0,0,0,0,0,1366,760,594
120110431,0,0,0,0,0,0,1003,654,343
120110432,0,0,0,0,0,0,943,560,382
120110433,0,0,0,0,0,0,1443,794,644
120110434,0,0,0,0,0,0,849,506,339
120110435,0,0,0,0,0,0,1487,729,753
120110436,0,0,0,0,0,0,1881,972,905
120110437,0,0,0,0,0,0,1441,778,656
120110438,0,0,0,0,0,0,1691,943,743
120110439,0,0,0,0,0,0,1927,1164,754
120110440,0,0,0,0,0,0,699,403,293
120110441,0,0,0,0,0,0,1462,816,637
120110442,0,0,0,0,0,0,934,511,416
120110443,0,0,0,0,0,0,1663,944,709
120110444,0,0,0,0,0,0,859,645,213
120110445,0,0,0,0,0,0,974,729,239
120110446,0,0,0,0,0,0,1076,833,239
120110447,0,0,0,0,0,0,1332,1295,36
120110448,0,0,0,0,0,0,1435,1417,17
120110449,0,0,0,0,0,0,910,376,528
120110450,0,0,0,0,0,0,0,0,0
120110451,0,0,0,0,0,0,176,65,111
120110452,0,0,0,0,0,0,1240,534,701
120110453,0,0,0,0,0,0,34,13,21
120110454,0,0,0,0,0,0,139,53,86
120110455,0,0,0,0,0,0,0,0,0
120110456,0,0,0,0,0,0,284,108,174
120110457,0,0,0,0,0,0,1035,394,633
120110458,0,0,0,0,0,0,1568,683,873
120110459,0,0,0,0,0,0,1096,538,545
120110460,0,0,0,0,0,0,63,27,35
120110461,0,0,0,0,0,0,0,0,0
120110462,0,0,0,0,0,0,962,429,527
120110463,0,0,0,0,0,0,1689,804,872
