GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_acstot,Wh_2018_acstot,His_2018_acstot,BlC_2018_acstot,NatC_2018_acstot,AsnC_2018_acstot,PacC_2018_acstot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_acstot,Wh_2019_acstot,His_2019_acstot,BlC_2019_acstot,NatC_2019_acstot,AsnC_2019_acstot,PacC_2019_acstot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap,Tot_2020_acstot,Wh_2020_acstot,His_2020_acstot,BlC_2020_acstot,NatC_2020_acstot,AsnC_2020_acstot,PacC_2020_acstot,Tot_2020_cvap,Wh_2020_cvap,His_2020_cvap,BlC_2020_cvap,NatC_2020_cvap,AsnC_2020_cvap,PacC_2020_cvap,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap,Tot_2020_adjtot,Wh_2020_adjtot,His_2020_adjtot,BlC_2020_adjtot,NatC_2020_adjtot,AsnC_2020_adjtot,PacC_2020_adjtot,Tot_2020_nhvap,Wh_2020_nhvap,His_2020_nhvap,Bl_2020_nhvap,Asn_2020_nhvap,Nat_2020_nhvap,Pac_2020_nhvap,OthAl_2020_nhvap,Mix_2020_nhvap
2400107-002,2164,2047,23,37,6,47,0,1653,1584,15,20,6,26,0,2357,2261,1,58,0,36,0,1724,1686,1,28,0,11,0,2173,2050,5,64,0,53,0,1643,1582,1,28,0,34,0,1899,1768,4,16,4,112,0,1489,1417,3,9,0,62,0,2147,1968,15,55,30,63,0,1701,1589,8,29,22,45,0,2148,1969,15,59,31,64,0,1701,1589,8,17,37,0,0,4,46
2400105-004,1897,1720,19,138,13,7,7,1491,1387,10,80,9,3,2,1766,1636,54,49,13,24,0,1308,1219,44,32,1,12,0,1572,1487,38,32,14,22,0,1123,1061,26,14,1,12,0,1667,1593,20,30,13,18,0,1218,1187,7,9,4,6,0,1735,1496,39,144,32,15,1,1377,1214,22,104,21,12,1,1739,1497,39,149,32,15,1,1377,1214,22,81,7,0,0,9,44
2400124-000,1906,1857,9,20,1,17,2,1572,1544,7,9,1,11,2,1904,1827,31,14,0,40,0,1540,1489,29,6,0,16,0,1674,1602,31,15,0,29,0,1376,1330,30,8,0,12,0,1621,1561,20,9,0,35,0,1412,1413,23,4,0,8,0,1764,1681,16,24,22,21,1,1493,1437,12,20,14,14,1,1766,1683,16,24,22,21,1,1493,1437,12,11,9,1,0,0,23
2400120-000,2118,2064,17,23,16,5,0,1679,1648,11,11,10,4,0,2043,1983,20,37,9,0,0,1710,1672,4,28,8,0,0,2144,2050,9,88,0,0,0,1844,1791,9,48,0,0,0,2158,2087,3,60,0,9,0,1801,1773,0,18,0,8,0,1896,1803,25,20,31,12,1,1557,1493,15,10,24,10,1,1897,1804,25,20,31,12,1,1557,1493,15,7,4,0,0,4,34
2400107-001,3719,2430,24,1226,20,15,1,3275,2017,19,1215,13,10,1,3695,2629,80,958,56,18,0,3057,2074,31,902,55,4,0,3771,2620,125,997,51,22,0,3191,2158,47,935,49,15,0,5383,3053,179,2108,54,21,0,4934,2236,63,2562,45,8,0,5068,2500,133,2322,70,32,2,4669,2153,117,2305,57,27,1,2711,2037,73,511,59,25,1,4669,2153,117,2292,23,19,0,4,61
2402102-016,3817,2035,454,1041,24,317,11,2912,1692,291,708,19,217,9,4031,1809,599,1187,19,451,80,2675,1528,242,685,0,174,20,4089,1900,673,1080,23,418,102,2795,1602,287,668,0,188,25,4047,2260,662,1089,26,259,10,2760,1734,271,586,0,115,0,4125,1694,818,1232,106,334,12,3143,1412,571,855,77,254,11,4144,1703,818,1233,96,333,12,3143,1412,571,778,224,21,5,21,111
2402102-006,3966,2734,367,604,41,256,9,2944,2149,218,379,29,179,7,4025,2960,290,304,31,423,9,2839,2319,178,170,30,126,2,4167,2971,282,438,70,383,4,2990,2350,183,238,73,143,2,3281,2495,263,103,47,356,0,2538,2130,176,62,35,138,0,3901,2284,612,659,74,342,3,3054,1936,420,434,55,242,3,3905,2286,612,662,73,344,3,3054,1936,420,362,212,6,1,23,94
2400902-004,4171,2916,102,1046,43,81,2,3147,2276,65,736,28,50,2,5001,3434,277,1173,92,95,0,3871,2693,148,947,0,80,0,4592,3231,242,1066,62,79,0,3647,2549,141,883,25,64,0,4657,3349,365,854,27,126,0,3670,2528,220,846,23,76,0,4866,3306,169,1117,137,133,15,3720,2627,99,799,88,90,9,4880,3313,169,1127,137,126,14,3720,2627,99,748,63,11,3,11,158
2400903-007,3980,3406,65,344,49,140,3,2998,2601,41,240,36,90,3,3829,3268,104,371,32,36,0,3032,2581,86,303,31,34,0,4046,3503,115,349,35,29,0,3204,2766,95,287,33,30,0,4294,3631,100,486,35,21,0,3025,2674,79,213,43,26,0,4154,3287,214,356,96,171,16,3141,2543,127,272,68,115,4,4157,3290,214,356,96,170,16,3141,2543,127,246,88,7,1,10,119
2400903-006,3209,2683,85,282,32,124,11,2367,2018,42,206,22,77,2,3178,2609,103,247,20,220,9,2475,2040,55,195,15,160,0,3159,2445,136,295,26,293,8,2460,1930,95,215,20,190,0,3076,2140,235,453,111,249,8,2370,1741,145,260,66,161,0,3234,2538,153,310,82,143,16,2482,2003,105,211,60,94,10,3234,2538,153,310,82,143,16,2482,2003,105,187,61,6,0,12,108
