GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_acstot,Wh_2018_acstot,His_2018_acstot,BlC_2018_acstot,NatC_2018_acstot,AsnC_2018_acstot,PacC_2018_acstot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_acstot,Wh_2019_acstot,His_2019_acstot,BlC_2019_acstot,NatC_2019_acstot,AsnC_2019_acstot,PacC_2019_acstot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap,Tot_2020_acstot,Wh_2020_acstot,His_2020_acstot,BlC_2020_acstot,NatC_2020_acstot,AsnC_2020_acstot,PacC_2020_acstot,Tot_2020_cvap,Wh_2020_cvap,His_2020_cvap,BlC_2020_cvap,NatC_2020_cvap,AsnC_2020_cvap,PacC_2020_cvap,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap,Tot_2020_adjtot,Wh_2020_adjtot,His_2020_adjtot,BlC_2020_adjtot,NatC_2020_adjtot,AsnC_2020_adjtot,PacC_2020_adjtot,Tot_2020_nhvap,Wh_2020_nhvap,His_2020_nhvap,Bl_2020_nhvap,Asn_2020_nhvap,Nat_2020_nhvap,Pac_2020_nhvap,OthAl_2020_nhvap,Mix_2020_nhvap
32001000016,1012,431,90,10,524,14,7,748,356,59,5,351,9,5,1017,334,53,23,631,14,0,742,284,22,9,416,14,0,1006,379,83,24,572,7,0,735,329,33,4,352,9,0,1008,385,62,12,569,24,0,747,304,25,0,409,20,0,1161,431,119,14,606,36,15,866,349,59,9,438,28,8,1164,431,119,14,609,36,15,866,349,59,1,6,385,1,3,62
32001000009,833,618,71,6,140,11,4,628,487,42,3,94,8,3,946,823,22,33,77,13,4,810,726,13,18,44,6,0,873,666,55,41,84,12,43,662,561,20,22,46,6,4,878,651,60,45,98,10,39,653,496,14,40,101,0,7,852,621,83,18,112,21,15,674,499,64,7,89,11,7,852,621,83,18,112,21,15,674,499,64,3,0,68,1,1,38
32001000014,906,776,86,12,27,14,0,713,640,44,4,12,10,0,922,854,45,0,26,0,0,808,738,46,0,26,0,0,945,910,0,0,35,0,0,820,784,0,0,34,0,0,824,775,0,15,34,0,0,672,630,0,12,38,0,0,975,771,120,14,54,18,0,792,649,79,5,44,14,0,975,771,120,14,54,18,0,792,649,79,1,7,13,0,3,40
32019000005,288,198,59,17,13,3,1,204,165,27,3,7,1,1,287,84,76,5,131,3,8,183,76,37,1,59,3,3,349,112,88,6,157,3,9,221,100,47,1,67,2,4,224,68,53,3,106,1,6,95,21,46,0,24,0,0,185,38,88,26,42,10,4,99,30,46,8,18,3,3,185,38,88,26,42,10,4,99,30,46,4,0,12,0,0,7
32001000010,1317,1143,99,13,40,24,7,1009,897,64,4,23,18,5,1344,930,341,4,51,43,0,860,717,104,0,28,13,0,1497,1012,419,0,82,18,0,945,762,128,0,43,15,0,1678,1057,433,46,86,148,0,1002,811,63,0,41,75,0,1537,1141,208,15,84,75,3,1149,888,127,7,57,53,2,1538,1142,208,15,84,75,3,1149,888,127,4,31,5,1,8,85
32001000017,1920,1599,212,15,71,34,6,1501,1284,137,7,51,28,5,1253,949,118,16,67,103,0,969,849,50,15,20,30,0,1176,925,130,13,77,31,0,948,849,45,15,35,10,0,1154,948,63,0,106,37,0,1031,916,64,0,40,10,0,2059,1494,326,29,147,60,11,1654,1253,222,12,110,40,4,2061,1496,326,29,147,60,11,1654,1253,222,6,24,42,2,16,89
32019000006,2651,1714,623,22,284,24,8,2034,1475,367,10,174,16,4,2410,1372,651,19,495,9,22,1629,1164,257,4,176,11,11,2550,1301,786,38,563,14,24,1651,1105,304,4,195,11,15,2758,1618,617,24,527,21,27,2002,1364,313,4,269,21,20,3011,1874,790,36,300,31,14,2410,1584,553,28,219,25,11,3015,1875,791,36,302,31,14,2410,1584,553,20,15,139,5,7,87
32019000001,1394,970,361,16,50,13,5,1035,788,211,6,28,8,1,1494,1049,401,33,16,7,0,1021,805,169,34,14,0,0,1538,1062,423,39,11,8,5,1052,828,175,34,11,0,0,1654,1279,316,30,29,0,5,1335,1053,187,26,23,0,0,1427,950,393,10,64,21,5,1107,784,262,5,40,13,4,1428,951,393,10,64,21,5,1107,784,262,5,9,17,1,2,27
32019000008,473,391,68,0,21,0,0,393,332,49,0,18,0,0,459,417,35,0,7,0,0,390,351,34,0,4,0,0,401,352,0,0,49,0,0,326,296,0,0,30,0,0,415,317,78,1,16,1,0,291,313,3,0,8,0,0,494,421,54,0,17,6,2,416,359,44,0,13,3,2,494,421,54,0,17,6,2,416,359,44,0,0,6,0,1,6
32019000014,2068,1641,310,24,54,53,15,1506,1244,183,11,34,38,5,2526,1916,420,12,86,44,11,1846,1485,197,12,80,60,11,2443,1883,390,14,76,41,13,1855,1518,191,14,76,43,13,2666,1796,589,0,145,13,44,1908,1369,264,0,111,57,60,2737,1981,472,29,134,73,24,2164,1635,323,14,108,44,13,2738,1981,473,29,134,73,24,2164,1635,323,5,26,18,4,18,135
32019000013,2204,1730,355,27,64,40,19,1610,1314,215,16,40,20,14,2524,1920,357,12,105,34,3,1851,1490,144,12,92,112,3,2347,1866,299,13,75,30,4,1800,1498,133,14,80,77,4,2625,2186,344,13,43,28,5,2028,1749,165,16,70,49,0,2592,1931,397,43,130,58,21,2019,1568,266,23,88,34,16,2593,1932,397,43,130,58,21,2019,1568,266,7,24,20,6,15,113
