GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_tot,Wh_2018_tot,His_2018_tot,BlC_2018_tot,NatC_2018_tot,AsnC_2018_tot,PacC_2018_tot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_tot,Wh_2019_tot,His_2019_tot,BlC_2019_tot,NatC_2019_tot,AsnC_2019_tot,PacC_2019_tot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap
1100102-074,6761,1036,655,5002,108,121,14,5582,1006,474,4030,89,110,13,8136,2022,856,5174,219,182,2,6194,1785,485,3688,180,94,0,8547,2415,920,5096,180,226,3,6548,2140,507,3649,137,114,0
1100102-072,6277,194,302,5806,68,35,5,4834,186,209,4432,51,26,5,6997,605,301,6046,37,141,11,5382,492,200,4577,39,78,0,6815,550,438,5642,96,264,14,5325,505,139,4497,59,130,0
1100102-073,2530,654,220,1616,49,58,0,2079,582,172,1290,43,46,0,2899,1180,277,1351,17,156,8,2361,976,151,1117,12,108,0,3184,1322,269,1487,14,179,8,2587,1090,115,1249,17,126,0
1100102-127,5854,1693,248,3699,124,225,9,4919,1651,207,2874,94,191,8,6757,2941,390,3175,90,325,0,5720,2680,295,2489,90,225,0,6933,2938,491,3420,73,125,11,5990,2705,440,2735,70,79,0
1100102-131,2794,1569,155,900,24,174,6,2658,1518,151,827,22,165,6,5807,3704,337,1419,0,425,0,5230,3455,320,1160,0,295,0,6827,4426,409,1564,0,514,0,6190,4130,395,1265,0,400,0
1100102-111,3416,56,67,3295,36,19,0,2729,55,47,2622,26,13,0,4605,113,177,4370,111,7,10,3463,80,62,3271,37,8,0,4337,122,154,4093,149,11,11,3221,99,45,3002,58,11,0
1100102-078,4519,92,138,4282,39,26,1,3477,84,100,3279,27,18,1,5491,714,308,4200,54,245,17,3941,631,129,3053,28,87,0,5282,716,370,4067,76,107,17,3955,619,192,3052,46,40,0
1100102-001,6886,1764,285,4058,71,820,9,5738,1729,255,3036,59,743,9,8935,3259,557,4172,137,946,31,7237,3058,407,3140,63,543,0,9480,3650,652,4058,134,1120,33,7532,3421,449,2960,83,655,0
1100102-143,4055,2405,281,858,32,515,8,3913,2369,265,791,29,493,8,3984,2243,350,687,11,695,0,3457,2069,266,643,6,471,0,4171,2296,424,728,11,708,0,3604,2106,311,688,6,489,0
1100102-089,4812,4055,228,271,47,244,6,4276,3657,182,234,41,185,5,5170,4204,313,359,6,345,8,4287,3597,220,308,0,154,0,5238,4012,554,349,14,390,5,4128,3336,301,300,0,185,0
1100102-066,5803,290,321,5175,39,80,5,4829,271,234,4292,36,68,5,6449,459,872,5061,177,69,0,4929,393,474,3907,90,21,0,6842,565,649,5531,164,90,0,5203,479,214,4351,74,34,0
1100102-065,3302,82,304,2933,30,23,10,2711,67,209,2444,24,20,5,4539,327,696,3617,81,43,0,3285,165,135,2924,40,14,0,4862,380,740,3775,61,48,0,3515,210,190,3055,30,24,0
1100102-014,6237,4411,483,717,54,607,11,6066,4311,468,694,50,577,11,5329,3828,650,441,29,421,8,4529,3432,409,389,7,281,7,5562,4019,606,449,4,497,13,4621,3452,391,403,0,382,11
1100102-038,4627,772,1491,2301,54,141,12,3739,751,1128,1790,38,127,11,5447,1446,1090,2638,24,349,0,4166,1324,544,2071,10,214,0,4768,1371,1052,2091,27,270,0,3775,1264,622,1619,16,253,0
1100102-123,5985,1439,378,4070,81,171,31,4319,1066,245,2931,59,95,16,7829,2184,736,4821,83,204,0,5219,1603,301,3199,15,92,0,8210,2196,918,5066,90,208,2,5129,1591,379,3012,15,105,0
1100102-124,3712,47,42,3629,38,25,4,2771,42,33,2696,25,17,2,4678,84,22,4571,20,5,0,3592,35,11,3526,17,0,0,4567,115,51,4404,35,5,0,3454,72,19,3347,24,0,0
1100102-126,6900,296,188,6403,58,67,14,5152,222,117,4791,46,47,8,8090,495,202,7410,47,109,23,5774,382,121,5220,13,18,0,7937,507,313,7122,83,108,21,5569,385,110,5010,36,20,0
1100102-004,5385,4066,397,231,39,668,15,5268,3991,383,219,37,649,13,6013,4457,532,282,39,742,29,4833,3884,287,218,35,384,22,5555,4050,639,226,43,629,39,4679,3683,450,184,35,295,39
1100102-040,6772,3111,1616,1663,113,473,19,6014,2881,1297,1489,94,402,18,7849,3523,2455,1593,248,467,0,5135,3048,866,971,49,196,0,7405,3282,2285,1662,159,406,0,4957,2607,1088,1057,49,178,0
1100102-003,6086,4309,370,585,55,852,7,5966,4245,358,565,55,823,7,5728,3529,898,436,48,842,0,4304,3046,493,361,20,393,0,6000,3743,832,413,35,988,0,4566,3276,507,305,15,471,0
1100102-061,2905,168,543,2177,37,51,11,2343,142,390,1796,30,42,8,3520,229,832,2418,6,46,0,1924,178,266,1452,4,7,0,3823,260,1133,2494,6,39,0,2073,192,428,1415,4,10,0
1100102-030,3067,2402,229,158,27,267,6,2461,1949,167,117,19,212,6,2723,2105,186,55,0,378,0,1837,1606,18,48,0,160,0,2831,2166,201,68,0,396,0,1896,1615,31,68,0,183,0
1100102-070,2005,242,153,1590,27,48,1,1625,213,109,1289,25,35,1,2087,358,140,1616,26,39,0,1575,286,82,1189,17,15,0,2126,411,123,1610,36,57,0,1537,322,55,1115,21,23,0
1100102-083,4812,2013,213,2390,70,204,6,4167,1857,178,1948,61,184,5,8714,5316,396,2303,6,720,0,7659,4750,380,1955,4,553,0,9944,5709,489,3016,7,728,0,8692,5126,438,2511,4,579,0
1100102-100,3280,20,40,3224,35,6,0,2287,15,25,2247,25,5,0,3705,18,140,3638,42,11,0,2545,20,0,2505,10,0,0,3793,77,224,3662,130,13,0,2650,75,95,2455,15,0,0
