GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_tot,Wh_2018_tot,His_2018_tot,BlC_2018_tot,NatC_2018_tot,AsnC_2018_tot,PacC_2018_tot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_tot,Wh_2019_tot,His_2019_tot,BlC_2019_tot,NatC_2019_tot,AsnC_2019_tot,PacC_2019_tot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap
1100102-005,4890,4202,296,122,21,248,4,4305,3711,257,104,20,214,4,5160,3928,754,50,0,428,0,3470,2865,375,50,0,190,0,4897,3745,684,33,0,388,0,3660,3040,400,35,0,184,0,4823,3765,456,158,57,373,15,4217,3342,371,127,33,311,10
1100102-125,7417,25,70,7333,53,43,5,5045,22,47,4970,39,25,4,8260,64,145,8056,0,114,8,5679,54,54,5489,0,0,0,8026,68,157,7773,14,114,10,5386,54,64,5181,14,10,0,7562,54,155,7374,110,25,8,5230,50,107,5081,87,17,7
1100102-097,2295,15,48,2230,31,18,2,1524,14,31,1473,16,11,2,2420,13,28,2399,2,47,7,1774,14,30,1689,0,1,0,2591,23,35,2563,0,50,8,1850,23,35,1750,0,1,0,2341,43,79,2218,34,17,2,1757,39,52,1665,24,14,2
1100102-076,2550,637,226,1633,35,84,11,2094,618,182,1232,34,78,11,3465,704,364,2294,26,102,31,2573,645,199,1651,17,47,10,3966,788,510,2548,52,99,38,3006,757,299,1858,28,60,10,4578,1312,536,2459,99,272,27,4035,1287,471,2015,84,252,26
1100102-140,2489,38,39,2420,14,19,2,1929,38,31,1863,12,16,2,2865,246,141,2535,33,5,0,2239,212,67,1928,34,6,0,2996,255,67,2670,29,7,0,2365,209,43,2090,29,6,0,2613,124,68,2404,36,36,3,2023,106,53,1852,31,22,1
1100102-136,1735,1371,118,99,16,144,1,1631,1314,104,87,14,124,1,1213,946,173,68,0,26,0,995,840,70,70,0,15,0,1166,746,178,177,0,65,0,985,690,60,175,0,55,0,1660,1127,195,159,30,172,0,1479,1029,151,148,21,143,0
1100102-099,2029,15,82,1925,28,15,4,1556,15,59,1473,24,10,4,2788,88,122,2531,27,13,0,2075,70,120,1845,25,0,0,2673,94,55,2503,9,13,0,2040,70,55,1900,10,0,0,2890,77,169,2637,40,24,7,2226,73,121,2025,28,20,7
1100102-022,5310,3133,563,1236,59,380,8,4969,3050,488,1081,52,354,8,6241,3705,648,1322,43,550,0,5180,3281,351,1110,44,380,0,6312,3874,619,1192,44,614,10,5039,3208,315,1009,44,449,0,7146,4399,707,1247,94,755,20,6703,4223,631,1103,80,700,18
1100102-068,4798,2410,284,1938,71,205,10,4393,2339,256,1633,52,187,7,5753,2229,763,2499,322,322,16,4633,2012,428,1966,12,227,3,5933,2451,828,2326,375,384,11,4659,2090,482,1837,15,231,3,4774,1699,924,1864,71,287,29,4277,1505,854,1668,66,241,25
1100102-027,3950,3249,289,165,32,239,10,3303,2754,237,121,24,186,9,4316,3034,668,415,49,335,0,3384,2516,325,281,0,267,0,4375,3060,635,372,62,375,0,3447,2536,352,269,0,282,0,4263,3201,348,288,53,346,2,3524,2705,266,221,48,262,0
1100102-106,4024,49,72,3910,34,3,1,3019,45,46,2927,28,2,0,4801,60,80,4733,24,0,0,3470,30,73,3360,23,0,0,4739,68,72,4664,20,0,0,3444,32,64,3347,20,0,0,4167,66,160,3949,79,26,1,3206,60,114,3033,58,24,0
1100102-063,4991,1256,642,2950,101,184,12,4175,1112,459,2483,78,147,10,6392,1659,1608,3067,73,200,18,4553,1371,757,2283,22,88,0,6572,2051,1335,3155,44,142,11,4767,1585,713,2354,9,65,0,6290,1744,1206,3091,125,271,27,5039,1461,846,2556,102,208,20
