GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
010010010,326,138,188
010010020,2268,343,1907
010010030,431,49,381
010010050,475,139,336
010010060,691,112,571
010010070,2435,315,2104
010010080,518,273,244
010010090,670,178,489
010010100,4607,861,3717
010010110,424,291,131
010010130,965,645,316
010010140,855,500,354
010010150,1173,236,931
010010160,3051,699,2340
010010170,1599,467,1123
010010180,793,424,368
010010220,2336,423,1903
010030010,162,55,106
010030020,155,125,30
010030030,405,254,150
010030040,544,157,386
010030050,534,501,31
010030060,623,219,400
01003007A,2477,570,1886
010030080,458,211,244
010030090,1041,162,867
010030110,148,19,126
010030120,437,40,397
010030130,506,62,440
010030140,597,110,480
010030150,3756,877,2852
010030160,916,206,698
010030170,811,135,675
010030180,914,115,795
010030190,207,28,176
010030210,123,8,115
010030220,1202,160,1033
010030230,915,138,771
010030240,1940,333,1587
010030250,2566,504,2045
010030260,856,109,736
010030270,530,87,440
010030280,3049,776,2236
010030290,575,129,443
010030300,1792,416,1362
010030310,1563,249,1301
010030320,1505,287,1194
010030330,1778,332,1434
010030340,489,91,394
010030360,2603,761,1829
010030370,1070,214,841
010030380,4464,1415,3026
010030390,4689,1010,3633
010030400,407,93,309
010030410,3914,646,3238
01003042A,11843,2946,8812
01003042B,904,324,573
010030440,1719,272,1431
010030450,3163,524,2608
010030460,1770,263,1499
010030480,2511,635,1852
010030490,8666,2818,5790
010050010,786,371,410
010050020,261,102,159
010050030,641,309,331
010050040,559,214,343
010050050,6230,2860,3341
010050060,946,639,302
010050070,298,213,84
010050080,394,254,139
010050090,781,408,368
010050100,412,102,301
010051100,313,225,88
010071,1254,133,1107
010072,394,113,276
010073,226,26,199
010074,132,90,42
010075,921,225,690
010076,454,105,346
010077,364,68,294
010078,89,17,72
010079,1276,295,974
0100710,208,60,146
0100711,1111,319,778
0100712,441,51,387
0100713,939,637,298
0100714,220,54,164
0100710.01,343,79,261
0100711.01,258,27,228
010091,1596,166,1410
010092,1226,153,1052
010093,299,43,251
010094,2390,296,2067
010095,475,51,423
010096,1052,151,886
010097,1629,305,1309
010098,379,105,266
010099,400,60,337
0100910,413,79,327
0100911,1078,174,883
0100912,896,140,746
0100913,622,75,542
0100914,1566,128,1431
0100915,323,23,296
0100916,1212,218,971
0100917,1446,188,1242
0100918,1335,190,1134
0100919,1051,111,922
0100920,422,51,367
0100921,516,47,464
0100922,2620,583,2007
0100923,762,113,639
0100924,495,72,417
010113,2532,2085,441
010115,144,97,47
010117,109,35,74
010119,266,206,60
0101110,294,74,220
010111-1,677,646,30
010111-2,92,76,16
010112-1,83,80,3
010112-2,125,102,22
010114-1,196,127,69
010114-2,198,171,27
010116-1,169,82,87
010116-2,56,16,40
010118-1,341,134,205
010118-2,130,80,50
010130010,471,134,335
010130020,142,14,128
010130050,179,32,145
010130060,270,88,181
010130070,241,41,197
010130080,217,65,152
010130090,259,140,117
010131000,70,51,19
010131100,164,49,115
010131202,1493,789,702
010131203,1388,412,971
010131300,294,105,189
010131401,183,48,132
010131405,1019,646,372
010131500,160,7,153
010131600,348,69,278
010131700,145,96,49
010131800,553,130,420
010131900,419,133,282
010132000,125,45,80
0101312-4A,512,265,246
0101312-4B,1054,829,222
010151,5310,2237,3003
010152,2257,447,1791
010153,434,91,336
010154,6300,1245,4989
010155,2985,669,2281
010156,842,135,691
010157,740,115,613
010158,1035,163,857
010159,2312,576,1713
0101510,506,80,418
0101511,842,134,703
0101512,1920,394,1508
0101513,1363,377,973
0101514,516,76,436
0101515,7522,5737,1750
0101516,283,55,225
0101517,1453,310,1130
0101518,690,83,599
0101519,4275,1147,3089
0101520,1450,239,1189
0101521,687,133,541
0101522,5453,1891,3513
010171,419,140,275
010172,155,80,74
010173,228,69,158
010174,204,29,173
010175,718,375,337
010176,345,105,235
010177,3864,2048,1803
010178,1542,1057,484
010179,330,157,171
0101710,424,271,148
0101711,379,205,173
0101712,299,104,193
0101713,6034,2159,3843
010190011,257,61,192
010190021,248,45,201
010190031,147,26,118
010190041,270,40,230
010190051,302,44,255
010190061,157,37,119
010190071,146,43,101
010190081,1033,285,738
010190091,310,96,212
010190101,737,150,573
010190111,869,227,626
010190121,2416,540,1848
010190131,439,200,233
010190141,177,59,117
010190151,417,138,274
010190161,159,29,129
010190171,452,87,361
010190181,403,67,329
010190191,305,47,255
010190201,483,85,387
0102120,725,318,404
0102130,743,101,637
0102150,676,116,556
0102170,949,168,772
0102190,1074,214,853
01021110,621,73,544
01021120,664,86,572
01021140,1076,156,902
01021160,1701,458,1238
01021170,1195,205,976
01021180,760,129,622
01021200,1239,212,1020
01021210,383,64,317
01021220,600,127,472
01021240,1324,661,659
01021250,1136,134,993
01021260,1857,274,1563
01021270,1040,178,860
010231,564,391,173
010232,316,247,68
010233,440,394,44
010234,562,506,55
010235,2016,729,1277
010236,353,34,315
010237,944,353,591
010238,547,40,504
010239,693,542,150
0102310,668,218,448
0102311,550,49,498
0102314,233,133,100
010250010,818,695,123
010250020,158,99,58
010250030,1335,922,411
010250040,377,220,157
010250050,129,90,39
010250060,160,137,23
010250070,2183,424,1746
010250080,202,96,106
010250090,277,201,74
010251000,1799,474,1316
010251100,360,250,110
010251200,604,419,183
010251300,622,239,382
010251400,962,590,368
010251500,141,3,137
010251600,135,2,132
010251800,187,153,33
010251900,115,23,91
010252000,2111,659,1442
010252100,202,58,143
010252200,553,160,392
010270101,196,14,181
010270201,243,34,207
010270301,574,94,471
010270401,443,85,357
010270601,246,32,212
010270602,264,23,234
010270701,101,11,90
010270801,216,24,192
010270802,132,14,117
010270901,164,12,152
010271001,290,76,214
010271101,90,12,78
010271102,283,22,260
010271201,211,17,189
010271301,342,78,261
010271401,404,37,362
010271601,863,192,659
010271701,286,42,242
010271801,117,9,107
010272101,653,507,143
010272201,335,236,95
010272301,186,106,80
010272401,164,83,81
010290010,110,18,91
010290020,327,59,264
010290030,179,45,131
010290040,447,55,376
010290050,167,31,134
010290060,1694,431,1245
010290070,292,58,230
010290080,390,44,340
010290090,525,53,459
010290100,172,41,129
010290110,253,29,222
010290120,918,185,721
010290140,731,70,652
010290150,277,49,222
