GEOID20,Tot_2016_sen,D_2016_sen,R_2016_sen,Tot_2016_pres,D_2016_pres,R_2016_pres,Tot_2018_ag,D_2018_ag,R_2018_ag,Tot_2018_gov,D_2018_gov,R_2018_gov
460670VTD-6,438,54,345,438,53,343,358,91,275,418,128,263
460670VTD-7,200,7,175,200,5,175,201,38,172,206,53,152
460710VTD-1,37,0,36,37,0,36,33,0,33,33,0,33
460710VTD-2,114,15,96,114,11,98,95,15,69,98,21,73
460710VTD-5,84,13,69,97,1,85,69,6,56,70,19,46
460710VTD-6,116,28,90,115,31,69,103,36,67,107,41,63
460710VTD-7,243,158,79,249,190,47,255,218,36,259,211,44
460710VTD-8,68,18,39,66,18,32,83,45,27,83,44,27
460730VTD-2,141,24,116,141,24,114,135,68,87,141,64,88
460730VTD-3,145,36,112,146,24,111,121,49,78,126,52,82
460730VTD-4,96,23,62,95,12,62,83,23,49,84,48,48
460730VTD-5,105,15,91,100,15,79,99,36,68,116,40,67
46073VTD1-1,485,137,345,473,152,284,425,209,217,446,224,217
460750VTD-5,183,26,146,183,8,147,151,29,126,158,34,127
46079004301,451,116,341,451,134,305,425,164,260,444,205,251
46079004302,514,125,372,514,121,344,412,171,264,420,209,236
46079004303,163,26,142,165,26,135,165,44,135,196,83,105
46079004305,416,104,319,413,121,271,410,190,237,448,224,215
46079004306,323,64,270,323,68,224,297,96,194,316,139,174
46079004307,478,124,352,467,161,299,465,192,273,477,222,254
46079004309,738,212,518,722,258,384,626,315,290,654,400,236
46079004310,640,219,421,638,237,347,568,286,279,597,326,256
46079004304,243,53,171,229,67,153,214,69,137,242,120,122
46079004308,2719,947,1771,2820,1080,1571,1364,694,673,1429,766,639
46081VTD-DW,546,211,325,553,230,279,508,289,230,510,291,210
46081VTD-LD,1361,449,907,1349,449,762,1137,527,613,1167,575,541
46081VTD-NM,349,106,244,347,97,226,277,104,174,285,106,167
46081VTD-R2,2350,489,1853,2368,504,1707,2188,725,1465,2277,804,1439
46081VTD-S1,1461,465,994,1459,499,783,1298,651,651,1361,710,625
46081VTD-S2,1702,504,1194,1690,493,1017,1439,597,847,1502,644,831
46081VTD-S3,1936,531,1392,1952,617,1165,1771,735,1024,1834,816,981
46081VTD-SO,259,56,201,262,45,194,234,64,167,238,98,138
46083VTD-02,252,68,192,252,50,192,224,72,143,230,102,135
46083VTD-06,456,91,367,459,118,320,404,139,268,421,155,265
46083VTD-08,200,46,165,200,49,144,195,91,127,196,94,127
46083VTD-14,404,89,321,402,110,268,372,135,238,391,165,224
46083VTD-L3,316,75,245,313,91,197,282,114,171,302,139,164
46083VTD-21,220,53,161,223,55,148,211,84,125,218,102,116
46083VTD111,1396,317,1077,1401,453,902,1365,538,831,1418,565,844
46083VTD115,892,280,611,890,360,459,733,413,320,775,465,306
46083VTD-11,219,49,158,219,58,140,190,80,120,215,87,122
46083VTD-12,390,78,312,390,79,279,342,103,235,359,119,229
46083VTD-13,268,54,206,268,55,191,264,89,174,271,101,170
46083VTD-15,1107,219,873,1092,270,748,961,330,624,997,394,607
46083VTD-16,983,180,792,987,225,694,828,266,557,863,293,548
46083VTD-23,529,125,392,528,125,342,476,178,293,494,220,269
46083VTD114,857,217,642,853,281,500,710,341,367,748,396,346
46083VTD-H2,1087,263,830,1085,303,670,971,435,534,1027,498,516
46083VTD112,1167,298,870,1165,424,647,1127,566,557,1194,616,567
