GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2018_gov,Dem_2018_gov,Rep_2018_gov,Tot_2018_sen,Dem_2018_sen,Rep_2018_sen
23011240572,4096,2401,1589,3921.6,1928.9,1680.3,3232.8,1683.5,1359.6,3232.9,289.2,1108.1
23011240581,3423,1882,1479,3475.3,1400.5,1823.4,3003.4,1306.3,1504.5,2936.4,237.3,1252.1
23011240763,693,377,304,665.4,277.9,328.4,545.9,243.7,261.3,554.7,40.9,215.4
23011240781,2349,1189,1117,2590.0,947.0,1414.0,2243.0,851.0,1269.0,2230.0,120.0,1057.0
23011240783,2631,1432,1155,2815.6,1176.1,1389.6,2310.1,1031.3,1105.7,2347.3,173.1,911.6
23011250293,1685,869,784,1655.0,525.0,1014.0,1329.0,528.0,716.0,1331.0,79.0,624.0
23011250543,4329,2490,1766,4525.0,1931.5,2243.1,3805.0,1751.9,1842.9,3810.5,301.2,1581.4
23011250553,2517,1211,1266,2411.0,790.5,1421.9,1986.0,719.1,1137.1,1982.5,135.8,990.6
23011250763,3488,2424,1006,3391.9,1973.2,1139.5,2775.0,1749.0,863.7,2824.7,484.2,737.0
23011250773,3823,2656,1103,3838.1,2232.8,1289.5,3140.0,1979.0,977.3,3196.3,547.8,834.0
23013200492,720,315,396,744.0,273.0,426.0,636.0,270.0,338.0,643.0,47.0,303.0
23013200523,1038,414,597,924.0,326.0,508.0,777.0,325.0,402.0,791.0,68.0,355.0
23013220363,1028,745,271,1055.0,643.0,317.0,942.0,628.0,263.0,961.0,122.0,199.0
23013220443,1767,1021,714,1881.0,938.0,816.0,1694.0,926.0,672.0,1686.0,197.0,570.0
23013220461,2174,1377,766,2290.0,1393.0,741.0,2061.0,1291.0,676.0,2104.0,220.0,543.0
23013220463,3331,2377,910,3405.0,2451.0,804.0,3211.0,2354.0,747.0,3268.0,356.0,584.0
23013220471,4566,2797,1681,4068.1,2313.0,1446.0,3482.5,2153.4,1157.8,3472.1,510.6,935.4
23013220481,914,521,363,2102.9,1166.0,819.0,1159.5,621.6,483.2,1134.9,133.4,363.6
23013220482,3202,1943,1180,2370.0,1241.0,966.0,2761.0,1558.0,1052.0,2791.0,287.0,841.0
23013220483,58,36,22,52.0,34.0,18.0,45.0,28.0,11.0,46.0,5.0,9.0
23013220492,2734,1404,1279,2980.0,1147.0,1624.0,2424.0,1022.0,1274.0,2434.0,191.0,1050.0
23013220493,1397,735,631,1344.0,587.0,666.0,1230.0,538.0,619.0,1209.0,108.0,518.0
23013280363,51,43,6,63.0,38.0,15.0,60.0,48.0,8.0,63.0,14.0,7.0
23015190533,1014,522,461,1054.0,451.0,514.0,936.0,426.0,459.0,943.0,65.0,383.0
23015200502,4877,2625,2159,4951.4,2177.1,2437.1,4252.1,2019.1,2003.0,4272.4,353.0,1654.6
23015200511,796,409,347,810.0,426.0,322.0,707.0,379.0,297.0,712.0,59.0,229.0
23015200512,2587,1509,1044,2509.0,1319.0,1004.0,2323.0,1278.0,918.0,2333.0,193.0,751.0
23015200513,2500,1573,903,2558.0,1567.0,836.0,2342.0,1501.0,731.0,2362.0,266.0,600.0
23015200523,2516,1283,1178,2746.6,1067.9,1448.8,2349.9,1032.0,1196.0,2365.6,183.0,1009.4
23015200531,2213,1161,1002,2183.0,871.0,1166.0,1832.0,801.0,905.0,1860.0,143.0,749.0
23015200533,477,279,190,469.0,264.0,176.0,465.0,273.0,167.0,469.0,67.0,129.0
23015200611,4604,2525,2003,4333.0,2186.0,1841.0,3888.0,2029.0,1657.0,3925.0,281.0,1318.0
23015ZZZZZZ,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23017130943,2689,1460,1158,2668.0,1043.0,1375.0,2045.0,766.0,949.0,2087.0,147.0,851.0
23017130951,2685,1583,1044,2592.0,1065.0,1316.0,2183.0,958.0,1012.0,2204.0,177.0,848.0
23017130971,4268,2468,1711,4244.0,1773.0,2105.0,3527.0,1632.0,1658.0,3530.0,430.0,1306.0
23017130991,700,354,333,732.0,287.0,383.0,636.0,283.0,318.0,639.0,34.0,266.0
