GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_acstot,Wh_2018_acstot,His_2018_acstot,BlC_2018_acstot,NatC_2018_acstot,AsnC_2018_acstot,PacC_2018_acstot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_acstot,Wh_2019_acstot,His_2019_acstot,BlC_2019_acstot,NatC_2019_acstot,AsnC_2019_acstot,PacC_2019_acstot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap,Tot_2020_acstot,Wh_2020_acstot,His_2020_acstot,BlC_2020_acstot,NatC_2020_acstot,AsnC_2020_acstot,PacC_2020_acstot,Tot_2020_cvap,Wh_2020_cvap,His_2020_cvap,BlC_2020_cvap,NatC_2020_cvap,AsnC_2020_cvap,PacC_2020_cvap,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap,Tot_2020_nhvap,Wh_2020_nhvap,His_2020_nhvap,Bl_2020_nhvap,Asn_2020_nhvap,Nat_2020_nhvap,Pac_2020_nhvap,OthAl_2020_nhvap,Mix_2020_nhvap
39095048AHU,1941,1285,177,486,28,14,2,1416,1012,95,297,18,11,1,2049,892,323,712,76,199,0,1515,806,194,481,21,0,0,2121,1026,215,889,34,13,13,1543,840,147,531,12,0,0,2026,1062,144,812,42,9,9,1421,959,79,368,28,0,0,1897,968,189,693,64,17,3,1355,791,88,418,48,13,1,1355,791,88,379,6,2,1,3,85
39095048AKE,1312,800,60,428,15,22,3,1047,681,39,311,10,12,2,1124,532,60,547,0,26,0,920,493,40,365,0,5,0,1267,575,74,623,0,26,0,1042,548,50,425,0,8,0,1252,603,77,577,0,26,0,1060,575,52,423,0,6,0,1310,631,88,557,20,28,1,1047,554,59,400,17,17,1,1047,554,59,377,14,2,1,4,36
39095048AVZ,2077,1411,137,486,48,19,5,1519,1125,79,284,30,10,4,2320,1081,381,634,90,374,0,1594,910,261,416,0,0,0,2184,1198,409,577,94,0,0,1516,985,173,358,0,0,0,1632,823,265,545,56,0,0,1100,650,114,313,0,0,0,2059,1003,212,816,52,12,0,1489,840,127,485,41,7,0,1489,840,127,440,3,6,0,13,60
39095048ATS,1301,1091,33,61,3,111,0,1141,973,19,48,3,95,0,1573,1409,29,103,14,60,0,1144,1010,14,89,0,14,0,1619,1461,30,101,0,57,0,1117,988,14,103,0,11,0,1684,1448,32,169,0,65,0,1252,1042,21,148,0,19,0,1572,1300,56,114,21,85,0,1341,1131,39,85,15,68,0,1341,1131,39,75,61,0,0,6,29
39005003ABO,1769,1725,20,10,5,8,0,1352,1328,8,8,5,5,0,1630,1563,8,22,15,12,0,1320,1273,7,23,15,6,0,1741,1631,54,17,24,8,0,1375,1293,36,15,23,6,0,1897,1793,39,17,36,10,0,1441,1363,32,14,32,10,0,1888,1776,31,14,41,7,4,1489,1413,20,9,28,5,3,1489,1413,20,4,3,5,0,5,39
39005003AAZ,1516,1419,30,43,25,10,5,1110,1049,17,22,18,4,1,1179,1156,1,11,7,0,0,855,840,0,6,8,0,0,1202,1159,1,15,24,0,0,849,818,0,6,26,0,0,1123,1101,2,3,16,0,0,723,702,0,0,19,0,0,1390,1267,33,32,41,9,6,1068,987,14,18,32,4,6,1068,987,14,12,3,1,6,1,44
39005003AAG,1546,1479,25,21,9,10,4,1147,1108,15,8,7,6,3,1681,1586,21,49,5,20,4,1233,1181,15,31,4,1,0,1572,1500,23,43,6,7,0,1181,1141,20,19,4,0,0,1937,1836,39,38,15,6,0,1331,1313,10,13,7,0,0,1453,1325,26,40,34,21,0,1124,1042,14,24,25,10,0,1124,1042,14,18,4,1,0,3,42
39139070ACN,1487,1333,17,105,3,32,0,1163,1056,10,69,1,26,0,1609,1403,0,92,10,87,0,1246,1104,0,76,10,55,0,1676,1479,0,101,0,75,0,1268,1155,0,70,0,41,0,1685,1475,11,63,0,95,0,1326,1167,0,26,0,93,0,1568,1289,69,98,35,63,0,1252,1045,51,71,25,51,0,1252,1045,51,51,45,1,0,6,53
39095048ALB,997,31,13,957,4,2,0,729,21,8,700,2,2,0,886,61,47,762,8,48,39,682,60,12,592,8,8,0,840,39,46,736,11,49,40,654,40,15,577,12,10,0,764,43,40,660,19,39,38,633,35,18,575,25,0,0,653,25,21,605,17,6,1,501,10,14,476,14,4,0,501,10,14,452,1,0,0,1,23
39095048ALA,1168,37,23,1114,6,1,3,863,24,14,828,6,1,2,799,74,41,642,2,60,9,640,72,5,540,2,14,0,740,39,23,633,3,55,11,607,40,5,542,3,19,0,766,47,20,622,7,88,15,598,54,2,540,0,0,0,765,33,24,706,29,2,0,587,29,9,541,18,1,0,587,29,9,518,1,1,0,2,27
