GEOID20,Tot_2016_pres,D_2016_pres,R_2016_pres,Tot_2020_sen,D_2020_sen,R_2020_sen,Tot_2020_pres,D_2020_pres,R_2020_pres
47135006954,295,46,240,334,46,283,353,56,293
47135006952,328,59,257,305,47,251,323,57,261
47071003705,1327,293,1004,1417,262,1131,1480,299,1166
47157008171,1082,1043,15,932,860,29,966,910,37
47157008195,2193,2005,153,2246,1985,186,2317,2091,202
47099005174,274,24,245,305,27,273,326,30,294
47099005164,695,151,531,718,119,581,782,153,623
47017000819,145,28,115,154,28,124,163,31,129
47017000803,595,142,438,664,114,533,689,127,550
47043002267,1146,411,693,1421,471,884,1493,531,922
47101005251,546,97,437,595,91,493,626,96,517
47083004304,464,112,334,492,87,392,518,99,408
47079004112,1334,260,1049,1579,270,1270,1670,335,1318
47079004110,793,358,408,862,349,475,932,405,499
47157008190,1767,1541,179,1774,1519,189,1825,1597,199
47157008170,1273,1239,18,1217,1118,46,1264,1212,40
47071003702,372,57,300,513,77,427,541,85,448
47071003707,507,72,422,487,73,401,509,79,418
47071003716,155,51,96,231,29,202,237,31,206
47071003712,401,38,355,487,46,433,497,48,443
47071003718,379,86,277,402,77,309,423,91,326
47157008079,2599,1301,1209,2941,1671,1199,2990,1778,1169
47157008237,1693,1020,598,2003,1327,619,2053,1376,632
47157008110,2012,1857,102,2171,1876,172,2251,2041,172
47157008231,2800,2126,610,3019,2301,611,3101,2430,608
47157008064,1895,1239,607,2240,1507,682,2288,1572,671
47157008250,2695,2477,167,2881,2573,227,2955,2692,219
47157008070,2733,511,2075,2942,673,2224,3017,765,2195
47157008168,2365,2225,111,2388,2139,165,2477,2265,167
47157008131,1667,1610,35,1426,1297,60,1481,1389,61
47157008233,1961,1514,367,2213,1736,408,2291,1836,409
47157008182,831,665,149,866,652,175,903,706,186
47157008184,1423,1286,115,1313,1097,147,1357,1165,160
47085004406,969,242,684,1162,222,897,1214,257,942
47085004407,1135,237,859,1210,236,932,1258,255,984
47085004401,1024,314,684,1121,295,780,1171,323,833
47085004403,873,341,492,887,276,566,949,320,620
47085004404,841,198,615,955,196,727,1005,232,766
47049002559,279,42,232,296,50,240,313,57,255
47049002557,664,97,547,647,59,575,694,64,620
47049002551,395,47,344,449,67,380,472,73,397
47049002562,821,108,692,981,104,863,1036,114,914
47049002552,673,91,550,755,98,637,799,109,683
47083004302,471,133,315,559,112,428,592,121,452
47083004303,420,133,266,389,117,249,410,127,267
47083004306,464,132,318,500,122,357,520,129,376
47099005163,950,117,806,1061,129,912,1133,139,984
47099005160,776,133,606,962,141,800,1016,157,843
47099005173,447,78,359,575,84,472,612,99,504
47099005151,931,207,701,1018,220,769,1103,261,828
47099005159,432,67,353,494,89,396,547,100,444
47079004101,1084,220,830,1122,188,898,1218,229,967
47101005252,544,74,450,618,105,497,636,120,511
47079004105,1334,291,1004,1533,312,1186,1653,384,1240
47079004103,1552,274,1231,1661,259,1365,1776,306,1445
47079004109,1372,403,912,1457,422,986,1590,513,1052
47079004102,712,167,535,750,126,598,806,161,637
47079004108,1202,231,944,1339,228,1066,1426,258,1134
47051002661,118,19,98,155,17,137,162,18,144
47051002663,726,145,555,787,139,636,828,144,679
47051002668,1243,257,944,1266,249,993,1363,284,1058
47157008122,1753,1333,306,1912,1486,391,1956,1580,341
47157008091,1710,481,1137,1979,562,1389,2007,693,1287
47157008071,2964,670,2167,3462,832,2586,3515,1009,2457
47157008055,3102,1120,1867,3609,1435,2103,3692,1535,2092
47157008101,2919,2057,706,3363,2321,964,3428,2494,878
47077004002,648,178,458,692,167,512,723,200,515
47045002361,697,555,127,649,485,133,703,565,129
47045002352,642,99,532,692,84,589,744,93,645
47045002362,1027,305,683,1057,314,714,1111,353,747
47045002358,1008,105,891,1152,85,1049,1208,103,1089
47109006151,1141,174,920,1289,170,1073,1334,198,1112
47109006155,658,125,508,714,97,596,740,104,618
47085004405,962,278,652,1090,256,804,1153,285,855
47169008801,281,114,159,322,107,209,360,135,221
47169008807,239,120,112,251,91,155,285,119,161
47157008057,2229,686,1420,2463,881,1512,2514,977,1493
47157008089,3538,1094,2248,3997,1362,2582,4059,1616,2395
47157008176,2382,1230,979,2827,1630,1109,2890,1749,1073
47157008174,2306,911,1210,2678,1144,1504,2691,1313,1327
47045002359,671,108,552,737,107,614,776,126,644
47101005254,597,193,357,758,249,490,790,262,516
47157008136,1717,1190,440,1693,1156,490,1739,1277,437
47157008103,1196,1116,54,1203,1055,90,1282,1162,98
47079004104,968,438,501,992,391,557,1077,450,604
47053002771,476,78,396,506,44,448,528,64,458
47053002761,435,68,358,451,67,373,491,78,409
47085004402,1105,293,773,1161,252,869,1227,284,924
47085004408,244,64,171,243,52,177,259,61,196
47017000809,1054,208,807,1212,227,963,1266,258,994
47099005170,451,98,339,492,87,396,529,106,418
47099005156,484,97,371,534,97,429,572,99,470
47151007754,961,141,797,1133,105,1008,1242,127,1109
47151007751,460,61,389,546,58,475,603,73,526
47137007055,173,33,135,196,43,150,209,50,158
47055002860,725,146,566,800,136,649,845,154,686
47055002854,971,203,751,1066,211,838,1163,259,894
47055002862,589,414,164,578,334,219,632,392,235
47055002857,1024,177,826,1221,192,1006,1265,221,1030
47055002856,839,150,666,968,155,792,1012,176,830
47055002853,1049,168,854,1211,171,1013,1292,207,1070
47011000502,3328,820,2316,3959,1092,2753,4118,1231,2793
47151007760,372,48,319,452,50,399,488,60,420
47051002660,1187,827,311,1195,820,356,1239,864,354
47115002660,0,0,0,0,0,0,0,0,0
