GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_tot,Wh_2018_tot,His_2018_tot,BlC_2018_tot,NatC_2018_tot,AsnC_2018_tot,PacC_2018_tot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_tot,Wh_2019_tot,His_2019_tot,BlC_2019_tot,NatC_2019_tot,AsnC_2019_tot,PacC_2019_tot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap
18039000960,1556,1217,157,122,26,63,0,1191,984,81,79,15,41,0,1640,1271,180,136,5,48,0,1268,1050,107,69,5,34,0,1487,1151,94,141,2,99,0,1168,970,76,69,3,53,0,1607,1168,170,135,53,84,3,1298,1013,94,83,39,63,1
18039000460,1588,1409,106,35,4,35,0,1170,1072,55,18,3,22,0,1519,1484,35,0,0,0,0,1050,1015,35,0,0,0,0,1472,1445,27,0,0,0,0,975,975,0,0,0,0,0,1647,1313,199,45,50,42,0,1247,1044,117,34,29,21,0
18039000450,1816,1467,222,91,11,30,2,1277,1082,113,50,9,28,0,2113,1507,326,211,23,47,0,1329,1093,91,109,0,35,0,2196,1424,428,261,26,58,0,1451,1101,157,139,4,50,0,1797,1216,435,79,30,36,1,1305,941,263,52,18,28,1
18039000310,3274,1608,1171,453,62,25,0,2244,1255,667,293,40,15,0,3115,1515,1260,319,18,11,0,1707,1069,389,229,19,11,0,3002,1245,1376,349,19,28,0,1847,1028,539,243,18,22,0,3510,1282,1598,493,114,60,6,2441,1024,996,332,80,34,1
18131000130,1104,994,42,52,11,5,0,839,774,20,32,11,2,0,1155,1026,46,80,1,3,0,836,775,27,26,1,0,0,1214,1081,63,63,3,6,0,859,804,53,1,2,0,0,994,849,57,36,25,14,0,783,678,39,25,24,12,0
18149000090,1043,1003,22,4,15,3,0,769,751,8,0,9,1,0,913,855,20,7,15,14,3,704,660,17,0,13,3,0,844,794,29,11,3,6,2,647,618,21,0,3,3,0,1002,916,42,5,16,7,2,735,675,29,2,12,6,2
18149000080,872,828,31,4,2,7,0,655,632,15,1,1,6,0,893,874,14,1,5,0,0,626,617,7,0,1,0,0,955,919,28,1,1,0,0,655,630,21,0,1,0,0,909,845,33,8,19,1,1,678,640,23,3,12,0,0
18149000020,1158,1106,32,7,16,1,0,907,874,20,3,12,1,0,1131,1074,29,13,0,15,0,906,886,13,0,0,0,0,1143,1089,28,23,0,5,0,918,903,11,4,0,0,0,1224,1113,46,5,36,11,1,939,864,24,2,27,10,1
18149000210,1108,1015,71,0,18,6,0,813,767,31,0,12,3,0,1122,1075,20,17,2,1,0,857,835,12,3,2,0,0,1137,1086,19,26,2,1,0,859,840,10,1,2,0,0,1103,988,67,9,25,5,0,853,778,42,4,21,1,0
18039000850,2511,2246,215,32,21,6,0,1771,1631,116,11,12,4,0,3120,2381,635,27,3,85,13,1816,1681,69,0,2,41,15,3156,2445,558,26,0,120,29,1773,1628,45,0,0,71,29,2893,2439,317,56,55,19,0,2021,1737,204,30,39,9,0
18039000760,1457,1387,54,4,6,5,2,1029,992,26,1,3,2,2,1545,1399,125,4,5,12,0,1093,1056,27,0,1,6,0,1515,1371,121,0,8,17,0,1065,1019,30,0,3,10,0,1927,1737,125,19,44,13,2,1336,1233,68,6,29,6,0
18039000750,1479,1409,56,3,6,5,2,1043,1007,34,1,5,2,1,1476,1270,193,0,0,14,0,991,928,64,0,0,2,0,1494,1281,194,0,1,18,0,1042,963,67,0,0,8,0,1507,1325,133,22,21,3,5,1111,1012,77,4,10,2,3
18131000110,921,887,16,4,12,2,0,658,636,10,2,9,1,0,712,641,32,0,42,0,0,526,470,30,0,24,0,0,725,652,32,0,44,0,0,536,477,30,0,24,0,0,858,765,44,7,35,5,1,673,604,28,3,31,4,0
18149000010,853,816,24,2,7,4,0,694,665,19,1,7,2,0,804,766,26,4,0,7,0,637,627,6,2,0,0,0,802,771,20,7,0,4,0,648,640,6,2,0,0,0,941,848,57,8,19,4,0,791,724,39,3,18,2,0
18149000120,1481,1417,42,4,15,5,1,1128,1078,34,2,12,4,1,1538,1340,109,33,7,51,2,1197,1109,66,7,6,12,0,1555,1336,106,75,1,28,0,1196,1102,70,15,1,8,0,1290,1195,28,4,35,15,6,1031,965,20,3,27,10,2
18149000160,1327,1241,72,7,16,0,0,1001,948,45,4,7,0,0,1220,1124,94,0,0,0,0,879,842,39,0,0,0,0,1209,1123,86,1,1,0,0,858,813,48,0,0,0,0,1336,1228,62,6,17,10,2,1022,947,44,1,13,7,2
18149000180,968,902,55,1,4,6,0,739,695,38,0,2,3,0,1015,975,39,1,10,0,0,753,719,37,1,0,0,0,999,976,25,0,6,0,0,742,727,16,0,0,0,0,1011,911,53,5,33,3,0,787,719,30,0,30,2,0
18039000090,1848,1770,49,10,12,2,1,1233,1193,26,3,8,1,1,1904,1779,31,89,4,0,0,1256,1205,31,9,4,0,0,1863,1688,71,94,6,0,0,1284,1229,36,9,6,0,0,2028,1930,69,8,8,4,1,1339,1282,39,3,6,1,1
18039000100,1115,1069,29,5,6,0,0,742,720,16,0,4,0,0,1184,1118,0,66,0,0,0,680,675,0,4,0,0,0,1169,1158,0,11,0,0,0,585,575,0,10,0,0,0,1172,1106,34,15,16,2,0,767,727,25,6,9,0,0
18039000990,1852,1312,299,200,24,29,2,1362,1045,169,113,15,24,1,1837,1294,340,89,81,33,8,1490,1243,55,76,80,25,0,1596,1076,335,84,67,34,11,1249,1022,50,71,65,25,0,1853,1154,407,163,45,101,1,1510,1006,276,132,28,81,1
18039000980,2192,1670,287,178,32,31,1,1630,1326,161,102,21,25,1,2086,1754,269,48,11,8,0,1629,1405,176,36,12,0,0,2179,1882,208,60,27,10,0,1654,1444,140,51,28,0,0,2305,1427,502,269,88,55,9,1717,1161,282,172,62,41,3
