GEOID10,Tot_2010_tot,Wh_2010_tot,Bl_2010_tot,Hisp_2010_tot,Nat_2010_tot,Oth_2010_tot,Asn_2010_tot,Pac_2010_tot,Bl+_2010_tot,Nat+_2010_tot,Asn+_2010_tot,Pac+_2010_tot,Tot_2010_vap,Wh_2010_vap,Bl_2010_vap,Hisp_2010_vap,Nat_2010_vap,Oth_2010_vap,Asn_2010_vap,Pac_2010_vap,Bl+_2010_vap,Nat+_2010_vap,Asn+_2010_vap,Pac+_2010_vap,Tot_2018_tot,Wh_2018_tot,Bl_2018_tot,Hisp_2018_tot,Nat_2018_tot,Oth_2018_tot,Asn_2018_tot,Pac_2018_tot,Bl+_2018_tot,Nat+_2018_tot,Asn+_2018_tot,Pac+_2018_tot
550850017,411,388,0,10,6,2,5,0,1,6,6,0,322,313,0,3,3,1,2,0,0,3,3,0,353.7,337.5,1.6,9.8,3.2,1.5,0.1,0.0,1.6,4.7,0.1,0.0
550850018,921,900,1,7,2,7,4,0,3,8,4,0,780,763,1,6,2,6,2,0,2,7,2,0,1020.2,957.0,0.0,53.9,9.0,0.3,0.0,0.0,0.0,9.2,0.0,0.0
550850019,825,766,34,4,6,15,0,0,36,16,3,0,719,672,34,1,5,7,0,0,34,11,1,0,819.8,788.0,14.6,6.5,2.5,7.6,0.6,0.0,14.6,10.1,0.7,0.0
550850020,218,217,0,0,0,1,0,0,0,1,0,0,188,187,0,0,0,1,0,0,0,1,0,0,219.9,213.7,3.3,0.3,0.6,1.7,0.2,0.0,3.3,2.3,0.2,0.0
550850021,382,375,0,4,1,2,0,0,0,3,0,0,332,326,0,4,1,1,0,0,0,2,0,0,363.2,325.8,0.0,36.5,0.0,0.0,1.0,0.0,14.6,0.0,3.5,2.2
550850022,463,442,3,14,2,1,1,0,3,2,4,0,370,360,0,7,2,0,1,0,0,2,1,0,399.4,392.2,2.0,1.0,0.7,3.0,0.4,0.0,2.0,2.0,2.1,0.0
550850023,996,975,1,3,7,7,3,0,4,7,5,1,782,772,0,1,3,4,2,0,1,3,4,1,1130.3,1108.9,0.0,17.7,0.0,0.0,3.7,0.0,2.2,0.0,3.7,0.0
550850024,748,720,3,11,2,10,2,0,5,14,2,0,594,577,1,6,2,6,2,0,2,8,2,0,729.9,716.8,0.3,4.4,6.5,0.8,1.1,0.0,0.8,7.2,1.2,0.0
550850025,359,346,3,4,0,5,1,0,3,4,1,2,284,276,3,1,0,3,1,0,3,2,1,1,386.1,374.6,0.0,0.3,1.1,4.1,5.9,0.0,0.0,1.1,10.0,0.0
550850026,782,750,0,7,0,11,14,0,2,9,14,0,652,631,0,5,0,4,12,0,0,4,12,0,883.6,856.8,0.0,0.0,2.7,10.0,14.1,0.0,0.0,2.7,24.1,0.0
550850027,898,866,1,2,9,13,7,0,5,12,11,3,730,706,1,2,6,9,6,0,4,8,7,3,834.4,806.1,1.9,1.9,6.2,11.5,6.9,0.0,7.8,7.3,12.4,0.0
550850028,315,312,0,1,2,0,0,0,0,2,0,0,279,278,0,0,1,0,0,0,0,1,0,0,296.8,289.6,0.0,0.6,5.9,0.0,0.6,0.0,0.0,5.9,0.6,0.0
550850029,387,371,0,0,1,15,0,0,0,16,0,0,336,327,0,0,1,8,0,0,0,9,0,0,357.4,348.8,0.0,0.7,7.1,0.0,0.7,0.0,0.0,7.1,0.7,0.0
550850030,309,302,1,0,2,4,0,0,2,2,2,1,253,248,1,0,2,2,0,0,1,2,1,1,266.2,261.3,0.0,0.6,2.1,1.1,1.1,0.0,0.0,2.1,1.1,0.0
550850031,942,917,1,2,14,4,4,0,2,15,5,1,759,740,1,2,9,3,4,0,1,10,5,1,1220.2,1170.5,0.4,14.8,14.6,0.8,19.2,0.0,0.4,14.6,19.8,0.0
550850032,86,85,0,0,0,0,1,0,0,0,1,0,72,72,0,0,0,0,0,0,0,0,0,0,75.2,74.2,0.0,0.2,0.0,0.5,0.4,0.0,0.0,0.0,0.4,0.0
550850033,650,629,0,4,3,14,0,0,2,15,0,1,514,504,0,2,2,6,0,0,0,7,0,1,543.1,535.0,0.0,1.5,0.1,3.3,3.1,0.0,0.0,0.1,3.1,0.0
550850034,663,649,0,11,2,0,1,0,0,2,1,0,541,537,0,3,1,0,0,0,0,1,0,0,745.2,726.5,0.0,17.6,0.0,0.0,1.1,0.0,0.0,0.0,1.1,0.0
550850035,689,667,0,10,0,12,0,0,0,11,1,0,604,587,0,6,0,11,0,0,0,10,1,0,667.7,664.7,0.0,1.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
550850036,779,768,2,6,0,1,1,1,3,0,1,1,645,639,0,5,0,0,0,1,0,0,0,1,745.2,740.5,0.0,2.8,0.0,0.0,1.9,0.0,0.0,0.0,1.9,0.0
550850037,636,627,0,4,1,4,0,0,0,8,1,0,525,520,0,2,1,2,0,0,0,4,1,0,580.7,572.2,0.0,5.1,0.0,0.0,3.4,0.0,0.0,0.0,3.4,0.0
550850038,1060,1033,3,11,4,7,2,0,4,6,10,3,838,822,0,9,3,2,2,0,1,4,4,1,892.8,826.9,1.7,58.3,0.7,2.7,2.5,0.0,33.2,2.0,9.4,4.8
550850039,358,352,0,3,0,1,2,0,0,0,3,0,290,287,0,1,0,0,2,0,0,0,2,0,392.8,378.7,2.2,0.0,3.3,6.7,1.8,0.0,2.2,9.2,2.6,0.0
550850040,743,729,0,3,6,5,0,0,0,11,0,0,600,589,0,2,4,5,0,0,0,8,0,0,715.2,698.0,4.6,4.6,1.9,1.0,5.0,0.0,4.6,1.9,5.0,0.0
550850041,605,577,0,8,7,8,5,0,0,12,8,0,500,482,0,3,5,5,5,0,0,10,5,0,435.4,433.5,0.0,0.2,1.6,0.0,0.2,0.0,0.0,1.6,0.2,0.0
550850042,965,936,1,7,4,15,2,0,6,15,5,1,770,753,1,5,3,7,1,0,1,10,3,0,729.9,715.5,3.2,0.2,3.5,7.3,0.2,0.0,7.9,4.2,0.2,0.0
550850043,977,937,1,4,11,10,14,0,5,16,15,0,784,762,1,3,9,2,7,0,1,10,8,0,1020.0,984.9,9.6,0.1,7.3,14.2,3.9,0.0,9.6,19.8,5.6,0.0
550850044,662,642,3,1,1,4,8,3,3,5,9,3,516,506,0,1,1,2,5,1,0,4,5,1,705.5,680.8,3.8,0.0,6.2,11.5,3.2,0.0,3.8,16.4,4.5,0.0
550850045,135,132,0,2,0,1,0,0,0,3,0,0,118,115,0,2,0,1,0,0,0,3,0,0,130.3,127.0,0.1,0.3,2.3,0.5,0.1,0.0,0.3,2.6,0.3,0.0
550850046,258,243,0,7,0,7,1,0,0,8,3,0,208,201,0,4,0,2,1,0,0,2,1,0,290.0,269.8,7.3,0.0,0.3,12.5,0.0,0.0,8.8,3.4,0.0,0.0
550850047,288,279,1,1,3,1,3,0,2,4,3,0,240,233,1,1,2,1,2,0,2,3,2,0,420.8,412.5,1.4,0.0,6.8,0.0,0.0,0.0,1.4,6.8,0.0,0.0
550850048,599,569,7,2,12,7,1,1,8,18,1,3,454,438,5,0,9,1,0,1,5,10,0,1,695.1,659.6,6.4,4.6,15.8,7.4,1.3,0.0,10.7,19.4,5.1,0.0
