GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_acstot,Wh_2018_acstot,His_2018_acstot,BlC_2018_acstot,NatC_2018_acstot,AsnC_2018_acstot,PacC_2018_acstot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_acstot,Wh_2019_acstot,His_2019_acstot,BlC_2019_acstot,NatC_2019_acstot,AsnC_2019_acstot,PacC_2019_acstot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap,Tot_2020_acstot,Wh_2020_acstot,His_2020_acstot,BlC_2020_acstot,NatC_2020_acstot,AsnC_2020_acstot,PacC_2020_acstot,Tot_2020_cvap,Wh_2020_cvap,His_2020_cvap,BlC_2020_cvap,NatC_2020_cvap,AsnC_2020_cvap,PacC_2020_cvap,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap,Tot_2020_nhvap,Wh_2020_nhvap,His_2020_nhvap,Bl_2020_nhvap,Asn_2020_nhvap,Nat_2020_nhvap,Pac_2020_nhvap,OthAl_2020_nhvap,Mix_2020_nhvap
220850006-2,1757,1322,89,23,354,12,0,1450,1135,66,11,259,11,0,1854,1250,75,150,410,25,0,1479,1047,46,113,268,8,0,1760,1177,99,137,394,25,1,1395,995,62,108,228,8,0,1981,1427,114,172,336,23,2,1458,1121,73,38,191,10,0,1511,1010,62,49,406,9,2,1236,897,41,27,280,7,1,1236,897,41,21,6,185,1,0,85
220850006-4,224,72,21,10,132,2,0,154,58,14,2,84,2,0,253,146,14,14,80,4,0,193,123,9,10,46,1,0,249,147,16,12,77,3,0,191,126,10,11,43,1,0,211,104,22,25,71,1,0,158,62,9,6,68,0,0,191,67,7,12,107,1,0,147,59,4,1,84,0,0,147,59,4,1,0,74,0,0,9
220850005-8,508,312,18,160,23,2,0,400,250,15,124,15,1,0,607,399,13,98,100,3,0,469,312,10,78,61,0,0,564,364,14,97,93,0,0,454,303,11,80,53,0,0,519,304,8,129,94,0,0,421,224,4,65,40,0,0,475,265,12,134,59,9,0,353,201,7,98,40,6,0,353,201,7,94,1,23,0,5,22
220750001-1,714,473,31,193,21,8,2,564,369,26,155,14,4,1,370,202,5,163,0,0,0,294,163,2,124,0,0,0,352,196,10,147,0,0,0,283,152,10,124,0,0,0,350,203,9,138,0,0,0,278,146,8,120,0,0,0,423,201,58,160,7,1,0,313,148,34,127,6,1,0,313,148,34,125,0,0,0,0,6
220750008-3,399,253,13,57,10,65,0,301,199,9,38,8,49,0,565,136,0,257,31,146,0,315,109,0,135,20,48,0,512,99,0,260,59,133,0,328,83,0,145,15,48,0,597,120,0,289,65,157,0,415,111,0,184,23,67,0,397,139,28,142,13,77,2,291,107,15,104,10,55,2,291,107,15,97,51,4,1,3,13
220750009-1,1019,608,35,135,38,211,1,749,457,21,93,26,152,1,1309,1003,0,17,6,282,16,752,638,0,15,4,86,0,1208,827,0,22,19,338,16,689,524,0,20,14,127,0,1101,568,1,30,31,471,0,618,351,3,20,36,198,0,1213,562,65,167,59,348,1,882,439,40,90,42,256,1,882,439,40,79,252,18,0,15,39
220750008-1,1394,998,45,308,31,19,0,1022,748,28,211,22,15,0,1254,913,76,253,42,16,0,1011,736,51,210,16,0,0,1187,910,28,204,29,14,0,978,761,10,186,24,0,0,1278,1015,10,218,25,8,0,986,772,3,175,31,0,0,1202,718,123,295,43,16,3,908,562,80,220,24,10,1,908,562,80,211,7,9,0,6,33
220750006-2,1271,909,43,281,30,17,1,930,682,26,190,21,13,1,1137,836,69,222,37,14,0,921,674,46,187,12,0,0,1079,834,27,178,25,11,0,889,696,9,167,19,0,0,1136,867,41,154,42,32,0,867,768,17,107,15,0,0,1190,779,142,227,26,18,2,878,603,78,164,16,12,1,878,603,78,154,12,4,0,10,17
220750007-1,855,257,14,480,98,7,0,659,225,12,335,82,5,0,970,326,0,615,35,0,0,715,313,0,372,28,0,0,830,322,0,416,84,0,0,714,317,0,313,82,0,0,838,296,0,481,62,0,0,573,263,0,254,53,0,0,832,231,46,471,69,9,2,653,202,38,334,65,5,2,653,202,38,318,3,35,2,16,39
220010007-4,1312,1243,34,31,1,2,0,971,925,22,21,0,2,0,1127,1068,1,0,58,0,0,854,833,0,0,19,0,0,1089,1052,16,0,18,0,0,839,805,12,0,18,0,0,1362,1290,74,0,0,0,0,949,880,30,0,0,0,0,1196,1077,34,62,16,4,0,883,802,26,39,11,4,0,883,802,26,37,1,0,0,2,15
