GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen
0800101001,925,633,264,1048.0,708.0,240.0,967.0,655.0,237.0
0800101002,912,695,195,1153.0,776.0,291.0,1084.0,730.0,280.0
0800101003,335,196,131,987.3,648.5,248.5,935.1,627.6,255.3
0800101004,156,93,57,171.8,104.7,53.9,158.6,98.8,53.6
0800101005,543,362,175,643.7,373.5,223.5,609.9,382.4,187.7
0800101006,899,656,221,1000.0,653.2,274.5,943.2,642.0,251.8
0800101007,877,588,268,1033.5,617.7,318.2,972.2,605.7,294.6
0800101008,970,635,316,1140.9,645.1,389.1,1097.0,636.0,386.2
0800101009,795,466,309,818.1,480.0,281.7,780.1,463.8,268.3
0800101010,329,236,90,484.6,326.5,128.2,457.5,321.0,117.1
0800101011,836,540,276,1036.9,605.9,327.6,961.5,565.3,317.9
0800101012,915,603,292,1156.6,687.2,351.5,1092.2,686.7,329.1
0800101013,328,210,113,326.9,195.5,99.0,305.3,191.7,93.6
0800101014,612,426,169,678.5,400.8,208.1,632.9,392.9,197.3
0800101015,714,527,160,837.0,543.0,218.0,780.0,537.0,185.0
0800101016,1110,731,357,1251.0,713.0,402.0,1188.0,708.0,383.0
0800101017,543,334,199,611.0,341.0,211.0,577.0,327.0,207.0
0800101018,842,564,264,981.0,597.0,307.0,934.0,577.0,297.0
0800101019,880,559,293,880.0,474.0,315.0,844.0,482.0,291.0
0800101020,776,480,287,662.5,357.3,238.9,637.2,362.7,224.7
0800101021,679,447,219,742.2,452.1,219.2,699.9,438.5,208.1
0800101023,773,515,240,989.0,586.0,303.0,945.0,563.0,290.0
0800101024,998,621,347,1055.5,554.5,389.5,1016.2,592.5,356.7
0800101025,622,422,188,920.0,493.1,346.6,878.5,502.7,310.3
0800101026,393,256,133,452.8,275.9,133.8,427.0,267.5,126.9
0800101027,1125,658,445,1211.2,629.7,470.1,1152.9,662.7,414.3
0800101028,534,343,185,583.9,328.5,211.8,559.1,332.5,187.0
0800101029,758,468,281,841.9,464.4,303.5,813.4,482.7,277.7
0800101030,986,571,405,1012.7,508.4,407.4,966.9,530.9,382.3
0800101031,885,510,346,940.0,480.0,367.0,911.0,510.0,336.0
