GEOID20,Tot_2016_pres,D_2016_pres,R_2016_pres,Tot_2020_pres,D_2020_pres,R_2020_pres,Tot_2020_sen,D_2020_sen,R_2020_sen,Tot_2018_sen,D_2018_sen,R_2018_sen,Tot_2018_gov,D_2018_gov,R_2018_gov
56023000205,785,92,611,961,148,788,955,134,817,599,108,475,600,96,445
56023000201,875,66,661,1033,102,889,1029,97,928,714,71,624,708,74,585
560090004-4,471,25,413,508,43,459,490,43,445,364,37,317,362,40,299
56009013-13,105,2,98,109,7,102,105,9,94,71,4,66,71,5,61
56009010-10,334,34,277,358,48,305,350,56,292,238,41,183,237,36,174
560010041-2,229,97,101,247,133,104,246,129,116,199,108,88,200,103,91
560010041-1,1241,514,530,1354,730,548,1328,701,621,1085,580,476,1077,543,489
56001000402,692,285,297,753,406,306,738,389,346,601,322,267,602,304,273
56001004131,380,156,162,417,223,169,406,213,189,330,177,145,334,168,151
560010041-4,843,349,361,922,496,375,905,477,423,735,393,324,737,371,334
56001000115,495,118,318,557,164,381,552,151,396,460,144,304,461,134,293
56037001201,243,38,184,196,38,151,190,38,152,164,47,111,162,47,96
56037002101,36,8,28,32,11,21,32,12,20,31,13,18,30,10,20
56037001901,148,18,114,144,23,118,139,19,119,116,30,81,116,28,81
56037000303,549,119,374,530,136,370,517,134,382,439,134,289,442,126,284
56037000302,592,132,414,578,147,414,570,147,423,488,149,324,486,142,315
56037000301,362,83,241,350,97,238,341,92,249,283,95,175,280,87,171
560090009-2,497,67,397,504,90,395,496,113,373,386,86,284,386,88,271
560090006-6,287,14,264,327,18,299,319,30,287,228,24,195,227,19,199
56037000401,463,120,285,410,144,255,405,134,269,332,147,179,332,131,173
560070001-1,479,188,245,486,173,300,474,175,298,384,189,190,379,189,173
560070007-1,147,10,125,138,13,119,134,11,122,134,24,107,132,24,101
5600707-1-2,11,1,8,7,1,6,9,1,8,7,1,6,9,1,7
560070015-1,349,16,314,371,16,346,364,19,345,258,21,230,260,20,231
5600701-2-1,171,30,124,181,34,138,176,38,138,127,27,93,126,30,87
5600701-2-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5600701-2-0,79,17,58,83,18,64,84,20,64,60,14,45,61,16,43
5600701-2-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5600701-2-2,4,1,3,6,1,5,6,1,5,4,1,3,3,1,2
560070010-1,51,4,46,58,5,52,58,3,55,47,3,43,47,4,42
560090003-1,186,8,168,186,18,163,180,17,161,143,25,110,142,18,115
560090023-3,533,50,441,548,69,458,534,89,442,358,59,290,362,66,282
56009011-11,223,15,189,225,19,201,216,28,188,166,22,137,165,23,125
5600712-1-0,238,42,177,273,50,213,271,54,216,226,47,172,223,40,170
560070012-1,32,4,23,35,4,29,36,6,30,28,4,22,29,4,22
560190003-3,260,51,189,286,70,210,282,67,215,211,46,155,212,29,171
56009020-20,109,8,98,111,7,101,109,9,100,89,7,80,89,9,75
560070011-1,907,211,596,960,247,689,945,240,702,763,217,522,760,207,525
560070008-1,330,51,247,332,48,269,326,53,271,273,44,210,271,45,192
560070009-1,158,12,123,161,13,140,161,16,143,138,20,109,139,19,113
560210002-2,776,244,449,779,291,452,778,276,501,619,239,373,617,226,381
560210007-2,17,4,13,23,6,17,23,3,20,18,5,12,18,5,13
560210001-8,822,322,390,907,432,420,897,431,463,657,339,294,656,334,300
560210001-6,824,387,349,856,437,385,848,410,435,670,363,284,672,346,306
560210006-3,800,104,631,876,145,712,878,140,738,617,113,491,618,112,486
560210001-1,1407,437,793,1460,552,829,1448,582,859,954,417,504,958,390,514
560210004-1,103,19,76,138,29,108,137,29,108,97,21,71,97,20,73
560070014-1,118,10,93,139,13,121,139,10,129,100,6,91,95,11,80
560070005-1,218,30,163,207,26,173,206,34,172,178,31,145,175,36,127
5600705-1-2,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
560210006-1,837,70,691,1037,129,861,1028,156,865,662,101,533,664,91,525
560210004-7,975,197,656,1062,289,729,1055,280,770,633,182,439,636,163,448
560210003-6,823,251,487,873,306,538,871,317,548,617,249,351,623,234,359
56021002-11,700,205,409,699,255,408,696,265,427,542,213,307,540,204,310
560210004-5,70,5,59,64,7,51,63,10,53,51,9,41,51,12,39
560210001-4,445,203,187,482,257,204,475,248,220,367,218,136,369,197,160
560210003-4,676,246,351,671,293,356,664,277,386,518,242,266,519,224,270
560210004-6,1462,276,1062,1612,399,1176,1603,383,1214,1255,322,903,1255,285,907
560210005-4,1687,276,1266,1883,385,1431,1876,401,1468,1385,321,1033,1390,284,1039
560210003-2,519,180,268,512,207,280,509,216,292,349,165,170,348,159,170
560210004-2,696,139,482,767,185,555,762,183,575,603,161,418,601,135,417
56027000602,598,71,473,586,109,467,577,99,477,518,91,413,515,95,385
56027000102,61,0,60,58,0,58,56,0,56,55,0,55,57,1,54
56005013-01,209,5,193,236,7,223,234,9,223,169,7,160,166,12,137
56005019-01,345,13,314,379,23,341,359,28,329,230,20,203,231,21,193
56005001-27,473,22,419,693,47,621,676,62,612,457,36,414,458,40,397
