GEOID20,Tot_2016_pres,D_2016_pres,R_2016_pres,Tot_2020_pres,D_2020_pres,R_2020_pres,Tot_2020_sen,D_2020_sen,R_2020_sen,Tot_2018_sen,D_2018_sen,R_2018_sen,Tot_2018_gov,D_2018_gov,R_2018_gov
560210005-1,544,129,370,668,155,486,667,177,488,394,116,267,394,104,263
56005024-01,649,31,571,494,39,433,477,41,432,321,30,276,322,35,254
56005001-23,865,48,752,992,109,848,960,101,848,594,85,485,590,101,454
56005009-01,109,3,99,140,5,127,136,8,127,83,4,78,83,7,72
56005001-15,1011,121,812,1030,146,842,1004,128,872,747,124,593,743,151,541
56003000801,156,15,132,185,14,170,185,11,174,119,15,103,118,17,92
56005003-01,865,43,788,915,48,844,885,53,828,620,47,548,618,59,518
56029000902,324,65,226,378,73,286,378,75,302,256,60,191,258,59,183
56005001-22,316,17,273,325,27,289,313,26,286,219,19,190,222,19,186
56003000501,60,3,51,61,3,58,59,3,56,57,3,53,55,2,48
56003002501,111,14,82,112,20,88,110,24,86,74,16,56,74,16,55
56033018-01,68,9,55,63,8,52,61,10,51,47,9,38,48,6,41
56005001-11,292,29,251,304,38,258,299,46,250,222,33,185,221,43,168
56045000502,368,30,310,365,54,303,355,48,307,268,30,229,273,32,219
56025000210,1016,213,683,1004,265,685,996,277,712,814,233,562,819,187,609
56025000206,1233,235,873,1286,294,938,1264,289,965,992,288,678,993,247,702
56011000303,185,26,137,201,30,161,196,27,169,145,22,113,146,26,113
56003000101,816,102,624,863,132,709,846,133,711,679,110,544,678,100,513
56025000402,971,85,834,1116,109,974,1092,144,943,748,93,623,748,89,598
56029000301,752,102,581,836,139,672,825,128,692,611,99,496,610,83,495
56029000904,517,123,331,565,160,379,555,156,396,389,113,269,388,104,265
56025000203,615,120,412,631,167,426,609,189,416,436,148,268,435,114,289
56025000310,2532,468,1852,2785,644,2050,2728,630,2086,1920,475,1400,1926,428,1433
56025000207,1354,224,1014,1398,295,1056,1360,321,1035,1010,264,715,1011,226,737
56025000104,951,280,555,982,369,563,958,365,590,716,295,398,723,271,416
56005001-03,400,71,292,424,93,312,409,80,327,302,77,211,301,85,195
56041000102,1724,277,1247,1915,397,1458,1873,373,1496,1303,314,950,1304,282,949
56017000101,830,152,597,802,155,605,792,174,615,698,155,514,693,155,515
56011000102,289,34,241,308,51,253,299,53,244,244,48,192,243,53,178
56021002-12,875,259,501,1144,408,678,1141,413,723,759,303,427,766,272,458
560210001-9,523,173,275,527,202,289,519,200,317,392,175,207,394,166,218
560210003-1,772,234,432,729,296,399,727,299,425,586,245,320,586,230,333
56021003-13,725,201,453,1058,352,661,1048,358,685,577,210,356,579,208,350
560070003-2,617,147,383,657,154,467,641,154,482,539,163,357,537,167,341
56029001102,72,15,53,71,15,55,70,14,56,52,11,40,52,11,39
56029002403,227,50,152,221,48,163,213,47,165,162,36,119,162,30,120
56029002502,456,94,322,489,139,345,482,105,376,393,101,286,394,81,295
56017000102,663,117,476,661,162,472,646,156,490,580,147,414,580,130,406
56037001002,271,72,161,246,73,168,237,73,163,207,80,123,207,81,114
56029002503,524,78,403,523,98,412,510,87,417,388,85,296,390,64,303
56013000103,658,267,323,734,362,347,728,361,364,583,317,251,580,270,295
560190003-5,155,32,113,173,38,129,172,45,127,137,32,99,138,16,116
56015001301,159,19,128,175,25,147,173,29,142,148,27,118,148,26,110
56015000101,49,0,49,53,2,51,52,3,49,45,1,43,46,0,38
560210006-4,103,8,86,126,8,117,124,10,112,84,7,74,85,7,72
560210003-3,499,169,252,509,200,283,509,204,301,385,177,201,388,157,212
560210002-1,451,146,264,507,212,276,501,193,308,369,154,207,371,133,230
560210004-8,814,224,481,992,334,612,989,361,623,645,279,342,645,247,362
56029000802,199,26,155,198,34,159,194,35,159,159,30,124,159,32,122
560090023-5,311,34,260,348,54,285,339,53,281,229,37,185,228,40,167
56023000210,1046,254,703,1342,321,983,1329,289,1036,909,230,665,907,227,636
56013000105,722,241,401,804,339,424,793,340,451,664,293,353,662,241,389
56005007-01,176,13,162,182,14,164,178,14,161,143,14,126,143,18,121
56005008-01,120,4,110,121,8,108,118,7,110,92,4,86,92,4,86
56005001-19,718,73,599,758,82,647,733,72,656,544,61,473,541,76,438
56005001-26,324,24,278,373,39,320,365,35,328,256,31,218,256,38,208
56043000501,825,124,621,852,140,685,841,131,707,665,133,508,667,128,510
56033020-02,151,21,116,185,36,139,183,37,145,119,21,98,117,22,86
56033002-03,880,185,607,1014,274,706,1004,264,733,704,193,495,704,171,509
5603302-03s,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
56033007-01,309,56,227,325,72,242,322,67,252,270,60,201,268,43,218
56031000102,343,81,238,360,94,261,355,76,279,281,84,189,280,83,176
56031000104,391,78,284,427,96,322,428,92,336,319,82,226,321,83,223
560390004-3,612,437,109,717,576,120,704,548,154,606,475,117,602,414,171
56037000501,209,48,139,208,59,145,207,49,156,173,58,107,172,54,108
560090001-1,169,8,156,189,11,177,187,12,175,122,4,116,120,7,104
560210007-1,110,43,55,138,46,77,138,58,80,88,39,46,88,38,43
560210002-5,953,322,536,959,396,520,962,381,575,837,350,467,837,300,509
56021004-10,199,27,151,257,48,204,251,53,196,158,33,123,157,34,112
560210007-4,356,99,231,413,134,265,409,151,252,262,84,154,265,85,151
56005014-01,667,29,608,627,48,565,616,48,567,438,44,372,438,48,366
56029002501,671,156,422,687,211,454,670,178,488,522,171,329,522,139,347
56025000111,650,174,432,682,180,478,672,169,502,507,163,334,508,130,360
56003002601,96,10,79,121,14,103,119,13,106,89,13,74,90,14,70
56033009-01,51,3,47,57,6,51,58,6,51,44,6,37,42,5,34
56011001414,183,18,157,186,33,149,180,26,154,169,17,147,169,19,145
56025000109,1081,164,817,1200,261,893,1176,265,905,843,215,608,840,182,624
56037000404,834,182,570,763,208,526,744,211,531,639,213,400,646,221,391
56037000304,141,31,100,122,31,87,114,36,78,86,24,61,86,29,52
56011001802,225,10,205,235,8,217,233,12,221,147,12,128,148,11,128
56043000502,859,137,614,911,186,692,902,192,706,699,165,512,698,163,499
56021002-13,946,338,493,1057,419,602,1052,407,638,820,364,440,820,338,459
56029000901,428,103,256,412,123,270,398,120,275,278,94,178,278,96,166
560190003-6,213,37,154,222,48,167,215,50,164,177,43,132,176,27,141
56037001006,707,164,447,692,171,498,676,181,493,487,183,287,484,175,282
56037000305,269,66,170,288,98,180,281,86,195,225,97,123,225,82,127
560210007-3,139,36,94,150,39,104,149,45,102,114,34,74,114,38,68
56037000603,359,65,259,358,85,252,353,83,269,298,87,199,298,83,195
56037000602,478,88,342,404,93,296,393,96,295,323,92,218,319,90,195
56037007011,276,40,212,304,60,240,295,59,236,218,62,142,216,50,143
56015001006,378,97,247,441,123,304,428,111,313,326,101,217,326,101,212
560090007-7,224,18,192,217,23,188,213,22,188,181,27,146,183,19,144
560210004-3,27,2,25,28,1,27,28,1,27,20,0,20,20,0,19
56005001-16,874,68,758,1024,129,846,993,125,862,612,94,507,611,92,496
56005001-21,350,22,310,418,24,383,406,31,372,216,26,186,216,25,180
56033003-03,133,32,90,152,50,99,148,44,103,114,38,75,115,31,81
5603303-03s,161,37,110,183,61,119,177,53,124,142,46,93,141,37,99
56033019-01,278,40,217,320,54,259,312,48,263,246,48,194,246,37,203
560190003-4,292,45,224,304,75,219,299,84,215,249,67,172,250,42,201
560190003-8,271,45,210,311,66,239,306,64,242,232,38,187,231,26,199
56015001005,244,38,179,255,56,196,254,54,200,197,50,139,198,47,142
56015001003,389,75,273,402,98,292,397,100,297,293,84,199,292,69,207
56015001002,338,66,239,355,81,263,350,86,262,258,65,186,261,54,185
560190003-7,249,42,191,272,58,207,267,49,217,224,47,174,228,24,200
560210001-7,355,130,180,371,159,188,365,165,200,261,130,123,261,118,139
56011001515,265,14,243,288,21,263,286,28,257,201,20,175,205,20,176
56033008-01,591,138,410,722,194,515,708,189,518,509,151,342,508,135,354
56025000209,584,87,446,629,109,492,611,122,487,426,105,309,426,95,308
560410002-2,271,35,207,278,38,229,269,37,229,206,35,164,205,28,169
56011000101,321,37,258,361,55,291,355,48,307,291,36,245,290,33,244
560390001-9,897,598,211,1109,790,281,1084,743,338,863,634,208,856,543,280
560210005-3,1213,229,876,1367,328,998,1365,321,1039,1036,252,755,1038,256,729
560210002-4,586,183,344,583,253,310,581,224,355,498,196,293,501,180,308
56015001001,106,31,71,124,40,79,126,46,80,73,29,44,73,27,44
560210002-9,653,186,370,661,240,385,659,249,406,494,213,262,499,198,279
560210002-8,182,59,92,181,65,111,178,57,120,139,66,70,140,53,79
560090023-6,327,52,249,336,50,277,325,54,267,263,52,200,262,48,200
56019006-10,128,14,109,144,15,125,142,22,120,122,20,101,120,21,94
56005023-01,655,30,598,708,43,642,692,37,650,518,40,472,510,58,426
56033003-02,371,138,171,396,187,199,395,171,220,298,139,150,300,116,172
56025000305,774,180,530,769,207,543,755,226,527,579,182,386,582,155,404
56031000101,340,55,259,382,80,291,378,81,297,281,60,214,282,73,182
560190003-1,420,75,307,457,112,333,446,108,338,382,102,273,380,54,315
56021002-10,218,61,140,377,108,254,373,97,274,231,82,146,233,67,161
56033011-01,687,115,519,783,143,619,777,153,620,552,125,409,555,104,426
5603311-01s,91,15,72,108,21,86,106,20,86,74,16,57,74,14,59
56005001-25,650,69,545,703,90,593,690,79,609,520,75,434,519,82,420
56025000204,571,163,349,592,184,383,579,195,382,437,169,249,438,151,267
56029000702,70,9,53,66,12,53,64,13,51,52,11,40,51,10,36
56021003-11,198,55,118,244,81,152,241,76,164,157,73,82,158,66,91
56005026-01,41,5,33,37,3,31,35,4,29,22,2,19,22,1,20
56039001-11,151,96,39,185,128,50,179,117,62,163,120,41,161,96,62
56005001-24,436,34,378,477,45,405,461,55,403,305,46,245,300,54,229
560390001-8,933,597,234,981,714,243,963,670,292,816,582,219,812,516,269
56025ZZZZZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560390001-7,736,482,179,782,573,191,775,527,248,704,506,191,698,410,268
560390004-4,320,167,105,476,298,148,466,248,214,305,183,116,304,162,134
56025000309,620,125,432,613,161,427,599,164,434,422,145,265,426,136,273
56005001-14,269,37,210,320,51,258,312,48,262,210,44,155,210,43,159
56021004-11,113,45,55,124,54,66,123,49,74,107,42,63,107,42,62
