GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_gov,Dem_2016_gov,Rep_2016_gov,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_ag,Dem_2016_ag,Rep_2016_ag
490352122,594,436,138,630.0,439.0,168.0,610.0,408.0,157.0,636.0,453.0,87.0,611.0,379.0,161.0
490352126,638,516,111,645.0,510.0,124.0,638.0,473.0,116.0,651.0,516.0,53.0,620.0,456.0,119.0
490352128,566,467,86,571.0,454.0,110.0,558.0,397.0,102.0,580.0,458.0,57.0,544.0,371.0,115.0
490352136,123,68,53,135.1,69.5,61.7,131.2,68.5,54.8,128.3,68.5,38.2,129.2,57.8,65.6
490352144,462,355,95,447.0,321.8,109.1,447.0,311.3,106.3,463.1,337.9,52.5,430.9,279.8,101.4
490352152,551,364,167,385.8,265.7,109.8,378.3,251.6,104.1,392.0,264.3,60.8,369.8,226.6,105.1
490352153,300,163,124,433.2,298.3,123.2,424.7,282.4,116.9,440.0,296.7,68.2,415.2,254.4,117.9
490352154,496,256,227,404.0,172.9,223.4,396.8,156.2,220.1,406.8,175.3,132.0,384.9,135.3,217.2
490352158,544,426,101,604.0,483.0,112.0,590.0,439.0,100.0,600.0,472.0,55.0,571.0,404.0,94.0
490352164,705,550,142,550.0,415.0,126.0,538.0,361.0,132.0,554.0,408.0,72.0,524.0,336.0,136.0
490352166,470,325,139,500.0,313.0,184.0,492.0,299.0,163.0,509.0,342.0,111.0,475.0,256.0,179.0
490352167,252,188,60,306.0,233.9,65.0,300.7,217.4,65.4,309.0,235.7,40.7,295.1,202.5,65.8
490352174,316,173,130,444.0,190.1,245.6,436.2,171.8,241.9,447.2,192.7,145.0,423.1,148.7,238.8
490352178,487,389,78,486.5,378.1,95.1,476.1,345.7,92.1,499.2,378.3,50.5,466.9,330.3,91.4
490352179,341,277,55,358.5,292.1,58.7,345.9,258.0,56.5,365.6,283.8,34.0,343.1,255.8,58.2
490352182,466,330,113,445.0,311.0,119.0,447.0,307.0,110.0,450.0,315.0,52.0,437.0,271.0,110.0
490352184,397,298,88,513.0,392.1,109.0,504.3,364.6,109.6,518.0,395.3,68.3,494.9,339.5,110.2
490352204,246,175,66,288.3,187.0,86.4,284.9,177.2,87.9,291.1,173.6,63.7,283.8,162.0,84.5
490352206,287,191,82,251.4,165.6,73.6,248.4,158.0,73.6,253.0,153.0,53.8,247.6,145.7,71.4
490352214,362,227,126,416.6,262.4,134.2,408.6,246.2,132.5,420.1,244.8,95.7,410.4,224.0,133.6
490352220,436,282,142,620.4,370.2,228.9,610.4,352.1,226.4,635.4,374.6,147.6,599.7,310.2,225.1
490352223,333,241,79,310.8,228.3,73.1,306.8,214.9,72.2,314.8,223.0,48.6,300.1,191.3,71.3
490352224,378,244,125,431.3,267.4,134.1,426.1,254.3,137.6,430.4,256.5,99.6,424.5,226.5,125.9
490352226,511,332,167,550.3,360.7,155.5,541.5,324.6,171.6,550.4,329.1,124.6,535.3,303.9,165.8
490352228,242,187,42,386.2,283.7,90.9,381.2,267.1,89.8,391.2,277.0,60.4,372.9,237.7,88.7
490352230,219,184,26,393.0,306.0,70.0,383.0,287.0,67.0,397.0,291.0,49.0,375.0,256.0,66.0
490352242,416,268,138,508.5,314.2,157.9,503.1,299.9,162.8,507.0,303.7,118.9,500.6,267.4,147.5
490352246,340,222,108,448.4,269.9,144.1,444.8,260.4,150.1,446.6,271.0,115.7,441.9,236.1,136.4
490352252,330,219,103,434.4,259.1,152.0,429.0,242.3,145.4,439.2,254.3,96.3,423.6,223.2,144.2
490352254,284,170,112,291.6,173.9,102.0,288.0,162.7,97.6,294.8,170.7,64.7,284.4,149.8,96.8
490352255,443,253,173,505.1,301.3,161.3,496.1,280.8,155.5,510.9,293.9,112.2,495.3,259.5,158.0
490352256,35,16,17,31.3,18.7,10.0,30.8,17.4,9.6,31.7,18.2,7.0,30.7,16.1,9.8
490352260,161,120,35,210.6,155.1,47.5,206.1,149.5,41.7,211.5,146.6,33.6,204.4,134.6,42.3
490352264,330,238,81,378.7,283.8,76.2,377.3,269.4,75.3,380.9,275.0,54.3,367.9,239.9,75.5
490352265,206,148,51,332.4,244.6,75.2,325.2,236.0,65.8,333.8,231.1,53.2,322.5,212.6,66.7
490352306,352,263,74,624.3,415.7,185.2,614.9,394.4,184.8,639.4,413.7,122.3,601.0,344.2,185.2
490352307,372,278,78,452.4,325.3,106.4,445.9,318.2,102.3,462.5,341.8,60.3,432.3,290.4,91.7
490352308,292,218,61,352.8,252.9,83.7,347.9,245.8,81.9,360.3,264.0,46.5,337.2,223.6,74.1
490352312,522,392,116,527.6,400.5,111.8,517.6,364.5,118.7,536.0,398.9,66.6,506.9,330.0,117.2
490352318,414,308,97,357.4,251.7,89.3,353.0,234.5,96.1,362.9,251.0,43.9,341.6,208.4,91.3
490352320,513,393,104,465.2,340.0,108.5,456.3,316.4,104.8,473.5,334.2,63.3,445.4,282.3,105.8
490352323,270,111,154,263.1,123.7,134.8,263.6,117.7,135.3,266.4,129.3,69.2,254.4,110.3,124.2
490352330,456,358,81,493.3,370.2,102.1,488.6,352.5,106.9,502.0,361.1,60.7,475.7,304.7,105.7
490352332,255,214,34,280.0,205.6,62.1,277.1,194.2,65.9,284.7,201.9,34.4,269.2,169.4,64.2
490352334,509,390,91,473.8,338.2,113.3,468.8,313.8,121.1,481.7,336.1,59.5,452.0,273.9,117.7
490352348,479,333,127,475.3,353.7,104.1,468.8,331.2,106.5,480.5,348.3,62.3,450.5,283.8,104.4
490352352,479,364,104,524.8,389.3,115.4,518.1,363.8,118.6,531.1,383.6,68.6,497.8,311.5,116.7
490352354,440,336,91,392.2,278.5,94.7,386.0,260.1,93.5,406.4,266.8,64.1,371.7,230.7,90.1
490352359,48,14,32,13.0,8.3,4.1,13.3,7.7,4.4,14.3,9.4,3.0,12.4,7.0,3.9
490352360,555,396,138,505.3,321.4,158.5,515.0,297.9,172.2,554.1,365.2,117.2,480.9,272.5,149.7
490352362,509,361,131,620.3,476.1,118.0,611.8,450.5,120.8,635.2,464.7,83.1,593.3,388.7,123.6
490352364,361,263,81,294.2,216.1,67.2,288.2,195.3,71.1,298.4,211.1,33.4,280.8,177.0,64.4
490352365,303,220,68,246.7,181.2,56.4,241.7,163.8,59.6,250.3,177.1,28.0,235.5,148.5,54.0
490352366,480,349,108,395.0,289.9,92.5,386.9,264.2,95.3,402.0,286.6,48.8,380.0,244.2,88.6
490352370,260,176,75,277.2,195.0,66.4,272.8,189.9,68.1,279.5,192.9,47.3,269.8,169.5,64.4
490352371,188,145,33,492.6,403.7,78.4,485.9,381.4,82.9,491.9,368.1,47.1,472.5,333.8,73.9
490352374,459,357,89,547.0,384.7,131.1,538.4,374.8,134.4,551.6,380.8,93.4,532.4,334.4,127.1
490352378,451,340,89,543.0,424.5,96.6,539.0,409.0,98.9,553.4,407.8,66.7,526.9,347.4,101.8
490352380,171,123,41,180.7,136.6,38.9,177.5,129.0,38.9,181.7,134.1,24.0,170.8,110.9,37.4
490352384,540,434,88,643.5,496.2,126.1,629.8,468.9,121.0,646.2,497.3,70.7,612.7,417.9,128.4
490352388,438,346,84,458.4,357.7,84.5,450.0,335.2,84.1,461.2,353.5,52.2,441.7,306.1,89.7
490352389,102,79,18,107.1,77.1,27.4,104.7,75.1,24.1,108.2,81.5,12.5,101.6,65.9,26.3
490352392,518,221,272,550.3,265.4,258.0,545.6,232.2,269.6,567.2,261.7,101.1,527.7,220.1,244.9
490352394,258,99,152,262.8,126.8,123.2,260.6,110.9,128.8,270.9,125.0,48.3,252.0,105.1,116.9
490352404,607,487,95,661.0,513.0,111.0,653.0,483.0,115.0,667.0,498.0,76.0,641.0,443.0,106.0
490352406,344,291,41,330.8,272.9,49.1,326.8,248.1,47.9,335.2,269.3,24.8,316.4,227.7,49.5
490352422,490,391,84,375.8,299.5,65.2,371.9,276.8,68.8,379.8,280.7,45.7,364.6,243.1,70.0
490352435,260,200,53,278.2,223.1,38.9,273.5,210.1,43.0,277.9,207.8,32.1,269.9,181.5,42.1
490352436,446,344,91,530.9,418.9,96.3,522.0,375.8,110.7,526.1,395.6,51.9,513.2,337.5,102.5
490352437,496,400,84,497.2,410.1,73.9,491.2,372.9,72.1,503.8,404.7,37.2,475.6,342.3,74.5
490352438,399,305,75,410.6,316.3,81.6,405.1,289.3,73.8,414.4,316.3,34.7,396.2,271.1,70.5
490352442,450,338,96,583.4,426.1,126.6,580.2,416.0,119.7,580.7,410.4,85.0,564.8,373.3,112.1
490352444,461,356,94,495.9,397.6,69.3,487.5,374.5,76.7,495.3,370.3,57.3,481.2,323.6,75.1
490352450,577,450,108,570.0,456.0,100.0,571.0,411.0,98.0,582.0,470.0,46.0,561.0,407.0,105.0
490352462,543,422,111,573.8,443.8,113.2,568.7,408.3,121.3,573.6,410.2,74.2,562.7,366.4,114.7
490352466,585,436,139,605.5,480.9,104.0,597.6,445.1,105.4,608.4,449.2,74.8,590.4,398.2,103.9
490352474,464,376,77,465.2,371.0,80.2,453.0,331.3,86.8,463.5,344.6,45.4,444.5,297.6,82.3
490352475,287,218,61,303.9,243.2,51.5,295.0,216.9,54.5,303.4,224.7,29.7,289.3,194.8,52.2
490352476,337,264,61,429.0,349.0,65.0,424.0,316.0,63.0,433.0,339.0,41.0,412.0,289.0,64.0
490352480,346,264,62,404.0,284.0,102.0,397.0,264.0,108.0,407.0,257.0,70.0,394.0,237.0,97.0
490352482,418,290,107,687.0,509.0,151.0,681.0,448.0,172.0,698.0,494.0,93.0,661.0,411.0,163.0
490352493,316,191,114,318.0,218.0,87.0,309.0,189.0,85.0,322.0,201.0,56.0,306.0,178.0,84.0
490352494,458,307,136,467.0,307.0,137.0,456.0,291.0,138.0,464.0,289.0,78.0,449.0,241.0,142.0
490352502,641,497,129,652.0,517.0,115.0,645.0,470.0,122.0,662.0,508.0,71.0,628.0,424.0,123.0
490352506,606,457,146,597.5,435.8,147.8,584.2,413.6,127.7,598.8,462.3,65.3,565.6,363.4,143.5
490352510,524,375,139,428.8,256.2,162.4,420.4,238.4,148.4,432.1,277.6,57.5,410.2,224.7,153.2
490352514,525,440,76,546.0,443.0,94.0,532.0,400.0,85.0,544.0,448.0,60.0,525.0,390.0,79.0
490352516,498,350,139,537.0,376.0,150.0,530.0,336.0,140.0,542.0,377.0,83.0,508.0,306.0,152.0
490352523,282,210,66,309.1,204.1,98.2,297.4,193.4,90.3,310.6,218.3,46.9,300.3,182.6,95.7
490352524,630,390,222,591.2,344.5,234.4,572.8,322.2,219.8,596.7,379.7,106.3,573.3,301.9,228.3
490352532,540,451,71,569.9,454.6,98.7,558.6,408.4,99.8,577.1,449.0,52.9,551.4,381.6,100.1
490352534,221,186,34,248.2,190.8,53.8,242.9,183.9,38.8,251.2,207.7,22.2,240.6,173.6,46.5
490352535,377,287,78,365.2,285.4,73.7,355.6,251.0,73.7,364.8,284.1,39.2,350.4,228.4,84.5
490352536,521,436,76,499.8,384.2,108.2,489.1,370.1,78.2,505.8,418.2,44.8,484.4,349.4,93.5
490352540,478,343,114,469.6,374.1,81.8,460.4,336.3,82.3,475.5,369.7,43.4,454.3,314.3,82.4
490352544,454,353,92,472.8,369.5,95.4,460.4,325.0,95.4,472.2,367.9,50.8,453.6,295.6,109.5
490352548,540,365,166,545.0,358.0,176.0,532.0,333.0,170.0,543.0,361.0,67.0,530.0,310.0,175.0
490352550,453,355,82,332.7,244.5,71.3,336.3,236.8,72.3,344.5,252.7,40.5,320.9,201.5,73.8
490352551,451,355,81,526.6,411.1,100.5,520.1,377.6,101.1,531.4,390.8,65.2,507.5,327.4,102.3
