GEOID10,Tot_2010_tot,Wh_2010_tot,Bl_2010_tot,Hisp_2010_tot,Nat_2010_tot,Oth_2010_tot,Asn_2010_tot,Pac_2010_tot,Bl+_2010_tot,Nat+_2010_tot,Asn+_2010_tot,Pac+_2010_tot,Tot_2010_vap,Wh_2010_vap,Bl_2010_vap,Hisp_2010_vap,Nat_2010_vap,Oth_2010_vap,Asn_2010_vap,Pac_2010_vap,Bl+_2010_vap,Nat+_2010_vap,Asn+_2010_vap,Pac+_2010_vap,Tot_2018_tot,Wh_2018_tot,Bl_2018_tot,Hisp_2018_tot,Nat_2018_tot,Oth_2018_tot,Asn_2018_tot,Pac_2018_tot,Bl+_2018_tot,Nat+_2018_tot,Asn+_2018_tot,Pac+_2018_tot
36061478,1073,9,629,292,3,23,117,0,729,36,127,0,807,6,490,210,3,20,78,0,559,27,85,0,912.2,59.2,292.8,445.0,0.0,0.0,115.3,0.0,416.1,21.2,115.3,8.6
36061479,2495,575,631,1153,2,65,69,0,908,67,93,4,2047,523,527,884,2,53,58,0,736,55,76,3,1813.8,431.8,446.2,714.0,0.0,42.0,179.7,0.0,588.9,42.8,179.7,8.4
36061480,781,12,286,435,3,3,42,0,372,24,45,6,572,10,206,320,1,3,32,0,253,14,35,3,874.2,0.0,409.5,410.0,0.0,21.4,33.3,0.0,510.7,0.0,81.2,0.0
36061482,2158,338,290,1380,1,42,102,5,389,32,117,6,1618,313,214,961,1,33,92,4,284,26,103,5,1888.9,385.1,210.4,1032.3,0.0,49.1,212.0,0.0,238.0,41.6,255.1,16.0
36061484,3215,119,1871,1004,18,67,133,3,2194,65,156,13,2609,110,1564,758,14,48,113,2,1789,48,123,7,3407.0,255.0,1601.0,1012.0,0.0,42.0,497.0,0.0,1679.0,88.0,497.0,0.0
36061488,3243,108,788,2162,11,46,128,0,1128,75,146,14,2407,102,591,1570,8,37,99,0,815,56,116,10,3857.1,158.2,1176.5,2393.7,0.0,17.6,111.3,0.0,1376.5,109.9,147.2,0.0
36061489,1388,231,138,868,0,37,114,0,234,68,140,5,1105,222,117,633,0,31,102,0,184,49,118,5,1229.6,380.6,91.2,694.3,0.0,13.4,50.2,0.0,127.1,100.4,63.6,0.0
36061490,1358,252,210,734,1,37,124,0,272,24,137,1,1131,226,180,580,1,30,114,0,226,19,124,1,1891.0,438.0,390.0,985.0,0.0,8.0,70.0,0.0,445.0,0.0,78.0,0.0
36061491,2341,61,833,1332,6,41,68,0,1056,68,79,3,1743,56,630,972,5,31,49,0,766,48,57,2,2059.5,89.2,833.9,733.9,0.0,31.7,370.9,0.0,949.4,73.8,377.0,0.0
36061492,1409,189,788,377,6,30,19,0,913,32,29,2,1086,174,578,287,3,26,18,0,668,23,26,2,1614.9,289.2,613.3,547.7,0.0,19.4,145.3,0.0,659.5,8.7,154.7,0.0
36061493,2024,284,1066,578,3,46,47,0,1235,45,64,8,1716,265,893,470,1,41,46,0,1028,38,61,6,2484.0,351.0,1086.0,792.0,0.0,94.0,161.0,0.0,1194.0,12.0,204.0,0.0
36061494,1779,433,821,390,9,56,70,0,928,38,90,3,1478,391,670,308,5,41,63,0,757,31,76,3,1663.4,518.1,681.1,267.9,0.0,58.0,138.4,0.0,725.4,3.4,180.0,0.0
36061495,1045,153,557,270,1,30,34,0,640,10,39,2,808,134,435,197,1,14,27,0,486,8,30,2,1182.1,145.4,821.2,117.1,0.0,49.6,48.8,0.0,869.9,13.9,64.5,0.0
36061496,660,100,343,163,4,28,22,0,416,19,29,0,521,83,271,123,2,22,20,0,325,14,26,0,833.4,213.3,374.5,187.7,0.0,31.3,26.5,0.0,446.1,8.1,49.8,0.0
