GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen
0508326,93,31,62,69.0,17.0,49.0,67.0,25.0,39.0
0508327,86,14,71,110.0,18.0,86.0,105.0,29.0,73.0
0508329,656,161,471,495.0,128.0,338.0,497.0,156.0,325.0
0508330,405,122,269,492.0,138.0,316.0,488.0,166.0,300.0
0508331,336,101,224,380.0,88.0,273.0,381.0,122.0,248.0
0508332,291,88,193,344.0,82.0,243.0,335.0,108.0,212.0
0508333,489,147,326,564.0,136.0,396.0,554.0,182.0,354.0
0508501,785,156,618,1112.1,187.0,861.9,1094.8,270.0,764.8
0508502,371,82,281,550.6,67.6,444.6,538.3,121.4,374.3
0508503,96,21,73,129.6,24.9,96.9,125.4,35.4,82.0
0508504,368,81,279,561.2,85.2,442.1,550.1,126.9,375.7
0508505,461,102,350,694.6,124.1,525.0,673.8,164.4,458.7
0508506,753,146,592,1034.5,147.5,843.8,1011.5,214.1,746.1
0508507,894,172,697,1043.0,174.0,827.0,1027.0,260.0,708.0
0508508,773,156,593,1804.4,311.4,1388.6,1754.8,423.1,1240.6
0508509,1308,303,973,1377.6,271.3,1014.0,1332.6,347.9,886.3
05085010,2565,519,2003,3698.8,666.5,2830.2,3618.1,841.4,2598.0
05085011,2494,496,1950,1680.5,282.8,1300.8,1640.1,387.3,1161.1
05085012,1811,404,1365,1469.5,266.7,1095.2,1425.3,340.1,971.8
05085013,1567,313,1208,1788.5,297.8,1406.8,1764.8,427.8,1263.8
05085014,1076,322,730,1158.0,303.0,792.0,1125.0,414.0,676.0
05085015,1064,176,871,1184.0,161.0,971.0,1154.0,256.0,848.0
05085016,656,118,526,827.0,104.0,667.0,807.0,177.0,596.0
05085017,154,27,124,224.0,41.0,178.0,221.0,78.0,134.0
05085018,123,22,98,107.0,22.0,83.0,103.0,33.0,70.0
05085019,156,28,125,141.0,27.0,100.0,137.0,42.0,89.0
05085020,383,108,269,410.0,120.0,259.0,404.0,178.0,207.0
05085021,213,168,39,186.0,137.0,42.0,180.0,140.0,37.0
05085022,345,150,186,384.1,88.4,281.7,378.1,165.5,203.5
05085023,199,87,107,223.2,73.8,134.9,218.1,108.7,106.2
05085024,200,87,108,157.0,38.0,112.0,155.0,62.0,90.0
05085025,193,84,104,191.8,90.8,93.9,184.4,106.0,73.1
05085026,239,107,126,220.2,87.1,125.1,216.8,113.0,95.9
05085027,189,27,157,142.2,10.8,126.0,139.6,38.7,98.1
05085028,367,120,235,408.0,86.0,302.0,400.0,144.0,248.0
05085029,178,58,114,205.0,89.0,106.0,202.0,94.0,101.0
05085030,297,97,191,220.0,71.0,130.0,217.0,86.0,121.0
05085031,54,16,37,78.8,21.2,51.0,74.0,26.0,47.1
05085032,56,23,32,48.0,15.0,29.0,47.0,20.0,24.0
05085033,203,60,138,237.7,78.6,146.2,232.8,99.3,126.5
05085034,44,13,30,26.0,10.0,15.0,25.0,13.0,9.0
05085035,27,8,18,31.7,2.5,27.8,30.9,7.2,23.1
05085036,34,10,23,35.1,8.0,26.1,34.5,11.7,21.8
05085037,90,27,61,119.9,36.0,77.9,116.5,40.2,70.2
