GEOID20,Tot_2020_pres,D_2020_pres,R_2020_pres,Tot_2020_sen,D_2020_sen,R_2020_sen,Tot_2018_gov,D_2018_gov,R_2018_gov,Tot_2018_ag,D_2018_ag,R_2018_ag,Tot_2016_sen,D_2016_sen,R_2016_sen,Tot_2016_pres,D_2016_pres,R_2016_pres
19029029010,352,90,258,346,91,249,287,67,203,208,157,0,326,51,232,331,71,226
19029029011,131,33,98,128,34,94,111,27,80,82,60,0,125,19,89,128,28,88
19029029007,122,33,88,125,37,84,129,31,99,99,65,0,154,31,121,158,31,121
19029029008,127,35,88,122,37,83,125,28,92,92,64,0,147,27,117,150,28,117
19029029001,147,39,108,145,43,101,150,33,110,110,79,0,182,32,148,187,33,148
19029029009,3713,1241,2418,3634,1241,2295,2837,1016,1771,2260,1743,0,3379,864,2364,3513,1065,2235
19029029002,152,42,110,154,45,106,148,30,108,108,78,0,172,28,140,176,31,140
19137137008,2867,979,1829,2854,937,1830,2119,721,1326,1711,1227,0,2689,649,1901,2723,807,1744
19137137007,107,33,74,108,32,76,83,24,57,63,48,0,104,21,78,106,24,71
19137137004,101,28,73,99,25,73,75,14,56,61,44,0,93,13,72,93,20,67
19137137002,113,26,85,112,24,84,81,15,56,62,42,0,97,14,77,99,18,76
19137137001,94,18,76,92,16,76,73,12,53,49,37,0,83,12,69,87,15,69
19137137009,111,22,88,110,20,88,88,10,69,65,44,0,103,10,88,104,18,87
19137137003,208,42,162,209,38,160,143,26,113,106,68,0,172,26,142,174,37,141
19135135001,63,12,51,60,13,45,54,10,36,42,33,0,60,19,41,60,10,41
19135135007,2160,648,1490,2111,682,1362,1652,625,1005,1459,1086,0,2070,775,1222,2080,614,1353
19135135002,445,95,344,437,116,309,349,96,229,292,198,0,398,122,267,398,96,285
19135135003,135,31,104,130,34,93,114,30,72,96,65,0,129,40,87,129,30,91
19099099014,1109,483,601,1103,509,542,822,443,369,765,568,0,976,373,539,981,431,493
19099099011,785,265,503,780,276,472,620,273,342,568,399,0,692,210,457,692,228,401
19099099015,580,184,389,575,181,371,498,182,289,434,317,0,579,147,391,588,166,381
19099099017,7818,3809,3853,7744,3837,3589,6168,3447,2593,5666,4522,0,7489,3042,3949,7593,3539,3446
19069069015,87,26,61,87,25,62,67,17,49,61,38,0,79,14,61,79,17,61
19069069017,163,49,111,160,47,112,135,40,97,123,81,0,160,28,126,160,41,122
19069069022,106,34,72,107,32,73,83,24,63,76,51,0,97,19,77,97,24,76
19087087010,3680,1430,2170,3593,1476,1956,2775,1230,1473,2316,1750,0,3484,1125,2218,3534,1274,1941
19087087009,627,178,436,609,190,398,453,153,294,343,261,0,541,122,406,553,141,376
19099099018,224,73,150,221,77,141,162,63,110,150,112,0,195,51,127,195,61,124
19099099006,615,197,400,597,203,370,487,180,297,430,303,0,564,150,381,566,173,356
19099099007,697,224,462,704,239,438,542,203,343,484,354,0,635,166,424,635,195,404
19099099005,179,56,122,176,59,115,131,47,87,119,89,0,153,41,102,153,45,98
19099099016,390,126,261,390,131,248,296,107,188,264,191,0,345,90,230,345,106,220
19069069008,1800,757,1009,1753,745,952,1440,602,813,1269,1009,0,1774,528,1155,1777,677,961
19069069004,653,182,459,656,190,432,493,143,347,407,325,0,601,138,429,607,165,407
19069069003,165,45,120,167,52,111,128,32,91,105,83,0,154,32,108,154,44,105
19069069005,80,21,59,79,23,56,66,16,50,56,44,0,80,16,56,80,23,56
19069069002,125,36,89,117,38,79,88,23,67,77,57,0,109,23,77,109,30,77
19015015012,650,216,414,643,217,406,491,200,302,433,295,0,552,145,374,556,181,335
19015015009,135,48,87,134,48,86,105,47,67,96,67,0,126,28,84,126,47,71
19015015007,374,125,243,370,125,236,305,119,183,265,176,0,335,88,231,337,110,205
