GEOID20,Tot_2016_pres,D_2016_pres,R_2016_pres,Tot_2018_gov,D_2018_gov,R_2018_gov,Tot_2018_sen,D_2018_sen,R_2018_sen,Tot_2020_sen,D_2020_sen,R_2020_sen,Tot_2020_pres,D_2020_pres,R_2020_pres
2300311300,223,86,123,186,55,114,187,6,79,234,64,159,231,98,130
2302509655,262,66,173,188,54,125,185,8,113,257,55,186,253,73,176
2302545110,409,159,225,366,156,192,367,23,162,480,133,311,484,185,284
2302551114,254,66,178,202,57,135,202,10,111,255,52,194,259,74,180
2302567238,19,5,14,14,4,10,15,0,9,6,1,5,5,1,4
2300902865,3151,2263,713,2919,2146,625,2947,418,534,3615,2298,1038,3609,2707,806
2300923200,4233,1801,2086,3627,1733,1674,3644,347,1454,4786,1806,2604,4770,2260,2320
2300911800,59,24,31,53,24,26,55,6,23,82,25,53,87,38,45
2300980040,208,48,141,174,41,127,177,10,100,231,53,170,231,69,159
2300919770,240,67,150,156,50,93,154,7,84,225,43,162,223,66,148
2302564850,1140,284,770,894,263,569,898,46,525,1187,236,881,1191,324,835
2302559005,1936,676,1074,1560,639,824,1575,107,777,2063,604,1313,2055,826,1159
2300353602,5,2,3,5,3,2,4,0,3,0,0,0,0,0,0
2302553636,30,6,22,27,6,19,26,2,18,36,4,28,39,12,26
2302576190,26,6,14,23,10,12,24,1,8,29,9,18,28,13,13
2302568910,4022,1688,2050,3190,1558,1485,3238,246,1261,4198,1354,2433,4223,1896,2220
2302549835,1796,641,1024,1418,607,725,1436,95,636,1878,466,1242,1885,694,1131
2302532895,94,28,58,82,26,46,83,7,46,90,14,58,88,32,54
2302501395,1148,363,706,885,350,481,896,61,440,1221,289,811,1228,402,798
2302556520,1076,312,682,849,253,539,866,50,488,1153,235,863,1160,328,802
2302562995,261,73,155,218,89,118,219,13,98,300,65,209,301,101,196
2302523410,526,168,323,438,175,235,435,28,204,565,128,390,568,183,375
2300908815,2593,1044,1338,2176,987,1023,2189,189,890,2867,960,1701,2874,1292,1484
2300916935,1080,454,543,942,413,473,955,57,400,1174,429,679,1173,551,583
2300901185,170,58,99,136,50,77,139,13,69,189,52,130,190,65,115
23011086515,4275,1841,2104,3598,1669,1731,3605,287,1483,4711,1688,2726,4710,2207,2366
23011040175,2031,707,1158,1699,642,933,1721,92,809,2178,630,1399,2190,859,1263
23011024950,775,347,374,673,338,300,672,44,257,837,322,459,835,392,422
23011004020,2009,833,1064,1719,754,890,1739,107,723,2228,790,1308,2229,1005,1169
23011047770,1029,462,476,920,440,419,917,79,347,1167,469,632,1165,582,561
2302916865,38,6,30,26,7,18,26,2,15,39,6,31,40,5,35
2302957780,494,193,274,372,174,176,374,25,159,485,174,291,485,210,268
23027086760,2163,873,1111,1842,835,910,1849,115,825,2347,794,1414,2350,1045,1248
23027039055,549,235,268,454,207,205,460,30,197,586,208,319,595,268,309
23027078255,1044,452,475,753,385,315,781,143,284,949,362,511,957,449,456
2301506050,2044,988,901,1812,931,790,1828,140,633,2229,1010,1123,2224,1242,924
23011807407,993,579,332,816,514,253,830,142,215,1235,660,479,1241,790,406
23011807404,1040,607,348,851,537,265,863,149,225,1147,613,446,1142,729,377
23011807402,981,570,330,798,502,249,811,138,212,1073,573,413,1072,683,351
23011807406,1154,668,389,938,590,293,960,166,250,1353,725,524,1358,864,450
23011807403,989,576,333,813,514,252,825,141,216,725,389,281,726,460,243
23011807405,1046,609,353,860,542,268,878,151,229,1249,671,482,1251,798,416
23011807401,1027,597,344,839,529,261,854,145,224,1175,629,454,1176,749,390
23011021004,2453,1129,1122,2139,1087,928,2139,218,756,2800,1156,1481,2831,1480,1257
23011013470,1655,525,1014,1329,528,716,1331,79,624,1804,508,1164,1798,648,1101
23011012735,2463,927,1350,2027,869,1042,2013,154,923,2610,869,1583,2604,1119,1398
2301518475,1054,451,514,936,426,459,943,65,383,1164,444,645,1166,548,581
2301570240,617,335,229,564,325,202,574,44,174,724,365,330,722,434,262
2301579550,2744,1143,1412,2279,1036,1109,2291,192,925,2947,1024,1703,2954,1308,1572
23011004475,1517,549,844,1256,503,679,1247,86,597,1642,473,1056,1641,614,986
23011012350,1476,524,862,1207,467,650,1207,80,539,1573,464,1005,1571,611,919
23011063835,597,284,269,531,265,234,525,40,211,715,261,410,718,344,351
23011082945,2158,799,1188,1848,727,1000,1839,125,798,2392,765,1498,2395,1011,1320
23027035450,322,105,189,265,122,132,268,28,119,341,112,200,339,135,191
23027074475,993,449,472,898,453,397,904,84,360,1063,437,559,1072,535,509
23027039504,882,530,280,827,546,241,826,118,200,904,484,321,907,596,274
23027039503,756,457,243,709,470,205,714,102,174,921,491,327,919,607,275
23027066635,1524,695,711,1233,630,533,1260,110,442,1614,673,818,1619,852,723
2302915920,286,71,202,243,80,153,241,12,138,315,66,237,317,87,219
2302920960,717,247,425,567,253,283,578,46,265,820,223,562,818,273,529
2302953500,235,60,159,177,56,111,179,9,96,234,47,181,234,64,169
2301535695,1567,553,876,1367,567,741,1379,87,619,1700,541,1052,1701,686,953
23027047245,530,194,297,497,209,259,498,56,226,610,195,366,614,245,356
23011021001,2032,1125,746,1738,1027,615,1736,202,474,2184,1076,953,2189,1269,841
23011062190,1630,800,711,1472,758,622,1470,111,533,1838,770,947,1833,953,820
23011054560,3481,1454,1718,2856,1275,1367,2902,214,1127,3650,1276,2115,3652,1699,1857
23027046790,630,290,280,533,290,215,534,62,170,659,284,303,655,350,267
2302914940,72,21,48,57,15,39,56,3,29,66,14,52,66,18,45
2302942100,488,186,250,407,211,179,409,24,160,568,178,369,569,218,338
2301507485,1835,944,769,1698,908,709,1699,137,574,2140,993,1031,2138,1288,809
2301541280,0,0,0,0,0,0,0,0,0,2,1,1,2,1,1
2302935905,325,120,177,255,119,128,256,20,124,347,89,239,348,125,213
2302928660,82,26,49,66,23,37,65,5,32,81,22,57,81,31,49
2300907975,635,409,190,573,369,175,577,68,144,698,348,278,692,455,220
2300926350,792,306,427,644,274,326,651,64,300,848,287,492,853,380,453
23011068385,2590,947,1414,2243,851,1269,2230,120,1057,2972,908,1896,2972,1197,1692
23011086165,1352,409,815,1099,347,678,1114,74,594,1444,364,974,1441,482,901
23027066565,836,373,391,743,372,320,742,82,261,940,333,526,943,435,482
23027052845,1010,533,409,920,523,360,921,85,305,1117,546,472,1117,677,409
23027039502,732,517,169,705,516,156,710,79,128,784,496,225,783,603,160
23027039501,715,499,162,679,497,149,690,76,126,869,546,248,863,665,176
2302941960,934,390,455,716,385,288,736,85,276,902,307,514,897,399,462
2302902480,689,265,373,525,218,283,511,33,225,668,169,467,675,242,422
23027035240,421,282,116,386,287,83,379,37,71,445,275,143,448,312,120
2301516235,1322,774,455,1191,754,373,1205,131,295,1495,810,603,1487,990,464
2302921730,784,411,310,679,414,226,681,73,191,843,370,419,841,479,340
23011059110,1651,582,938,1390,548,762,1396,98,635,1794,545,1159,1788,698,1036
23011086970,3610,1697,1605,2961,1504,1277,2957,264,1036,3780,1581,1963,3764,1984,1653
2301569645,338,102,197,270,107,144,273,22,124,360,108,223,359,132,214
2301585010,1400,610,688,1200,560,575,1205,105,487,1490,520,841,1488,695,755
2301501010,469,264,176,465,273,167,469,67,129,526,267,214,520,323,174
23027004125,559,227,282,459,210,214,468,47,192,597,184,368,602,262,320
2302535345,477,111,339,362,101,243,368,28,209,489,78,381,492,133,355
2301548645,1236,793,381,1151,747,358,1157,135,305,1379,773,502,1370,933,404
2300339300,793,328,411,629,219,339,628,40,233,766,227,513,769,328,424
2301752575,6,3,3,8,3,5,8,0,1,4,1,3,6,3,3
2300761840,721,288,384,619,257,331,620,62,250,761,219,515,762,297,450
2301758270,960,324,548,766,266,414,771,48,355,918,225,633,912,325,562
2301701325,529,196,280,431,165,229,433,27,184,536,192,300,539,224,293
2300311785,100,26,69,83,27,51,83,6,31,102,23,70,104,37,67
2300342520,2167,1188,847,1696,969,611,1739,214,461,2120,905,1106,2126,1155,942
2302919870,319,114,180,279,131,129,286,29,124,326,98,208,326,129,191
2301745285,1313,549,648,981,477,414,974,113,330,1271,461,727,1279,562,678
2301727505,116,42,62,102,40,50,103,10,42,123,45,71,124,49,66
2301780635,914,341,494,793,335,387,799,55,318,1040,371,620,1044,457,558
2301708150,854,369,429,704,337,322,718,85,265,960,391,522,963,473,467
2301778465,56,13,39,45,10,35,46,2,32,63,14,47,64,16,47
23031004860,10020,5551,3736,8093,4588,3016,8167,1130,2189,11139,5722,4520,11154,7097,3714
23031067475,1541,539,876,1259,454,723,1264,105,586,1791,524,1162,1798,712,1036
23031009410,4789,1911,2543,4099,1590,2336,4112,329,1707,5320,1958,3008,5310,2442,2692
23031014485,815,335,398,720,311,376,718,58,281,948,345,534,950,434,479
2301710005,510,153,242,419,136,220,432,28,206,541,128,380,547,156,375
2301754000,2592,1065,1316,2183,958,1012,2204,177,848,2880,1163,1519,2874,1415,1366
2301945005,740,195,509,554,181,336,561,26,320,731,145,552,740,192,535
2301957936,273,200,43,193,100,32,199,54,22,314,210,74,308,242,58
2301363590,3522,2041,1211,3000,1907,944,2994,460,769,3992,2054,1554,3997,2520,1366
2301923620,820,261,494,637,226,368,647,40,313,881,214,628,883,282,586
2301952710,226,73,143,208,72,126,208,3,117,282,72,199,279,91,183
23031039195,1623,647,845,1341,549,692,1340,131,538,1852,672,1026,1853,822,950
23031657251,3315,1463,1569,2402,1136,1104,2330,263,818,3370,1334,1816,3383,1686,1592
