GEOID20,Tot_2016_pres,D_2016_pres,R_2016_pres,Tot_2018_sen,D_2018_sen,R_2018_sen,Tot_2018_gov,D_2018_gov,R_2018_gov,Tot_2020_sen,D_2020_sen,R_2020_sen,Tot_2020_pres,D_2020_pres,R_2020_pres
2301506050,2044,988,901,1828,140,633,1812,931,790,2229,1010,1123,2224,1242,924
23011807407,993,579,332,830,142,215,816,514,253,1100,589,424,1097,696,362
23011807404,1040,607,348,863,149,225,851,537,265,1145,614,440,1143,727,378
23011807402,981,570,330,811,138,212,798,502,249,1080,575,418,1086,690,356
23011807406,1154,668,389,960,166,250,938,590,293,1271,680,491,1263,804,420
23011807403,989,576,333,825,141,216,813,514,252,1089,583,423,1093,696,361
23011807405,1046,609,353,878,151,229,860,542,268,1150,616,449,1155,739,382
23011807401,1027,597,344,854,145,224,839,529,261,1122,603,434,1129,721,374
23011021004,2453,1129,1122,2139,218,756,2139,1087,928,2800,1156,1481,2831,1480,1257
23011013470,1655,525,1014,1331,79,624,1329,528,716,1804,508,1164,1798,648,1101
23011012735,2463,927,1350,2013,154,923,2027,869,1042,2610,869,1583,2604,1119,1398
2301518475,1054,451,514,943,65,383,936,426,459,1164,444,645,1166,548,581
2301570240,617,335,229,574,44,174,564,325,202,724,365,330,722,434,262
2301579550,2744,1143,1412,2291,192,925,2279,1036,1109,2947,1024,1703,2954,1308,1572
23011004475,1517,549,844,1247,86,597,1256,503,679,1642,473,1056,1641,614,986
23011012350,1476,524,862,1207,80,539,1207,467,650,1573,464,1005,1571,611,919
23011063835,597,284,269,525,40,211,531,265,234,715,261,410,718,344,351
23011082945,2158,799,1188,1839,125,798,1848,727,1000,2392,765,1498,2395,1011,1320
23027035450,322,105,189,268,28,119,265,122,132,341,112,200,339,135,191
23027074475,993,449,472,904,84,360,898,453,397,1063,437,559,1072,535,509
23027039504,882,530,280,826,118,200,827,546,241,981,524,349,979,642,295
23027039503,756,457,243,714,102,174,709,470,205,844,451,299,847,561,254
23027066635,1524,695,711,1260,110,442,1233,630,533,1614,673,818,1619,852,723
2302915920,286,71,202,241,12,138,243,80,153,315,66,237,317,87,219
2302920960,717,247,425,578,46,265,567,253,283,820,223,562,818,273,529
2302953500,235,60,159,179,9,96,177,56,111,254,49,196,251,67,181
2301535695,1567,553,876,1379,87,619,1367,567,741,1700,541,1052,1701,686,953
23027047245,530,194,297,498,56,226,497,209,259,610,195,366,614,245,356
23011021001,2032,1125,746,1736,202,474,1738,1027,615,2184,1076,953,2189,1269,841
23011062190,1630,800,711,1470,111,533,1472,758,622,1838,770,947,1833,953,820
23011054560,3481,1454,1718,2902,214,1127,2856,1275,1367,3650,1276,2115,3652,1699,1857
23027046790,630,290,280,534,62,170,533,290,215,659,284,303,655,350,267
