GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres
160011,1610,465,1116
160012,1066,321,731
160013,1101,569,519
160014,975,337,625
160015,1107,392,690
160016,1977,790,1144
160017,1493,623,845
160018,915,260,638
160019,1587,446,1129
1600110,605,210,393
1600111,1780,823,937
1600112,1096,631,437
1600113,1335,762,551
1600114,663,366,286
1600115,997,514,460
1600116,1740,1006,704
1600117,1739,655,1065
1600118,1567,585,948
1600119,1002,434,552
1600120,877,369,488
1600121,698,303,378
1600122,1641,767,845
1600123,918,450,426
1600124,696,334,357
1600125,1901,1098,746
1600126,1281,734,505
1600127,1716,730,953
1600128,1232,502,697
1600129,893,369,502
1600130,1167,504,640
1600131,1541,735,778
1600132,734,319,403
1600133,1476,893,536
1600134,885,547,319
1600135,577,400,159
1600136,1054,765,267
1600137,1198,924,248
1600138,1278,871,394
1600139,1323,1090,210
1600140,768,613,135
1600141,1525,1035,463
1600142,749,222,510
1600143,2026,665,1330
1600144,1239,419,790
1600145,1651,633,981
1600146,2134,783,1304
1600147,1707,629,1045
1600148,1160,442,691
1600149,1492,596,859
1600150,2065,928,1092
1600151,1389,633,731
1600152,1139,555,556
1600153,1398,678,687
1600154,937,442,478
1600155,1339,687,622
1600156,1138,581,538
1600157,1525,856,623
1600158,704,489,195
1600159,1511,1159,323
1600160,1217,899,283
1600161,1165,363,771
1600162,1008,341,648
1600163,1756,664,1047
1600164,2159,912,1208
1600165,1425,589,811
1600166,1306,620,654
1600167,1294,686,573
1600168,999,548,425
1600169,742,437,277
1600170,710,456,237
1600171,732,421,292
1600172,894,630,236
1600173,1164,769,380
1600174,1920,1054,835
1600175,1003,621,324
1600176,1066,714,340
1600177,1102,859,219
1600178,1645,619,991
1600179,597,256,325
1600180,630,324,291
1600181,1285,636,618
1600182,1092,540,511
1600183,1472,852,570
1600184,882,546,315
1600185,1367,870,454
1600186,986,624,330
1600187,1614,983,588
1600188,728,430,278
1600189,1192,364,813
1600190,1648,518,1106
1600191,1348,464,863
1600192,937,331,596
1600193,1087,398,674
1600194,1833,712,1095
1600195,922,380,509
1600196,1201,387,797
1600197,1087,545,509
1600198,1314,697,580
1600199,1069,637,402
16001100,1273,738,502
16001101,819,423,380
16001102,1293,762,495
16001103,840,502,315
16001104,1334,790,516
16001105,1254,775,457
16001106,1345,737,593
16001107,1342,736,572
16001108,1240,716,503
16001109,2105,691,1381
16001110,2266,893,1321
16001111,1714,589,1066
16001112,1796,728,1027
16001113,211,79,120
16001114,1803,918,850
16001115,1402,540,830
16001116,1518,719,763
16001117,1274,309,937
16001118,953,300,623
16001119,2305,949,1304
16001120,1011,417,578
16001121,35,15,20
16001122,1123,359,734
16001123,1444,381,1023
16001124,1481,402,1047
16001125,50,4,44
16001126,1608,487,1093
16001127,1235,328,891
16001128,1755,703,1027
16001129,1164,498,636
16001130,2037,630,1392
16001131,2078,665,1389
16001132,1957,627,1302
16001133,2023,766,1218
16001134,841,272,556
16001135,1222,397,808
16001136,1467,480,950
16001137,1014,315,683
16001138,1057,409,623
16001139,1287,604,650
16001140,1327,428,867
16001141,1464,521,893
16003003001,205,53,144
16003003002,525,138,366
16003003003,691,188,481
16003003004,33,5,27
16003003005,814,330,462
16003003006,52,14,37
16005005001,458,180,267
16005005002,630,270,353
16005005003,618,273,331
16005005004,755,425,309
16005005005,794,416,346
16005005006,581,365,200
16005005007,404,187,201
16005005008,472,286,165
16005005009,571,293,256
16005005010,889,398,457
16005005011,430,194,228
16005005012,625,235,371
16005005013,589,252,321
16005005014,671,263,394
16005005015,558,261,282
16005005017,592,257,319
16005005018,633,241,370
16005005019,507,214,277
16005005020,563,268,279
16005005021,608,285,307
16005005022,652,287,346
16005005023,627,268,339
16005005024,493,290,191
16005005025,440,216,205
16005005026,556,334,206
16005005027,566,266,278
16005005028,753,352,380
16005005031,500,295,185
16005005032,406,204,196
16005005034,617,245,358
16005005035,672,255,405
16005005036,598,200,384
16005005037,898,261,619
16005005038,347,103,243
16005005039,488,196,287
16005005040,240,75,154
16005005041,880,377,483
16005005042,535,228,294
16005005043,712,362,323
16005005050,757,261,474
16005005051,758,283,466
16005005052,598,224,356
16005005053,896,387,487
16005005054,462,149,306
16005005055,1087,381,684
16005005056,516,162,346
16005005057,687,221,440
16005005058,534,176,354
16005005059,468,152,297
16005005060,799,547,238
16005005061,483,99,372
16005005062,575,149,408
16005005063,631,244,376
16005005064,687,259,391
16005005065,843,233,582
16005005066,732,300,416
16005005067,585,174,389
16005005068,79,14,65
16007007001,408,77,320
16007007002,388,74,307
16007007003,361,72,285
16007007005,340,38,293
16007007006,158,10,145
16007007007,76,12,63
16007007008,277,49,220
16007007009,88,16,72
16007007010,162,27,130
16007007012,158,42,111
16007007013,122,24,95
16007007014,136,19,116
16007007015,200,34,161
16007007016,69,8,59
16009009001,161,58,99
16009009002,406,111,287
16009009003,448,157,284
16009009004,164,46,111
16009009005,213,61,136
16009009006,229,62,157
16009009007,48,11,34
16009009008,806,229,564
16009009009,606,190,405
16009009010,696,313,367
16009009011,387,169,202
16011011001,778,226,533
16011011002,482,150,312
16011011003,661,232,416
16011011004,764,258,481
16011011005,812,288,505
16011011006,784,212,555
16011011007,947,180,752
16011011008,734,144,573
16011011009,845,223,602
16011011010,755,122,598
16011011011,521,134,380
16011011012,711,99,577
16011011013,955,164,772
16011011014,1032,191,811
16011011015,733,208,504
16011011016,278,49,217
16011011017,735,156,563
16011011018,482,101,364
16011011019,388,115,257
16011011020,736,620,110
16011011021,1007,134,827
16011011022,534,115,403
16011011023,454,106,331
16011011024,420,97,306
16011011025,607,100,481
16013013001,773,622,136
16013013002,1034,806,209
16013013003,276,187,85
16013013004,475,366,102
16013013005,505,342,154
16013013006,714,557,150
16013013007,955,701,233
16013013008,1305,842,429
16013013009,12,4,8
16013013010,1440,813,596
16013013011,385,193,191
16013013012,579,171,398
16013013013,799,471,319
16013013014,1319,872,429
16015015030,1123,354,746
16015015040,838,211,612
16015015050,588,226,333
16015015060,150,43,99
16015015070,878,340,529
16015015080,196,66,114
16017017001,701,309,374
16017017002,754,277,460
16017017003,1026,505,491
16017017004,132,32,97
16017017005,692,213,453
16017017006,620,214,384
16017017007,487,159,303
16017017008,827,385,427
16017017009,347,175,168
16017017010,608,220,365
16017017011,981,262,686
16017017012,488,214,265
16017017013,600,259,335
16017017014,656,339,302
16017017015,831,442,360
16017017016,1280,482,765
16017017017,325,112,204
16017017018,51,6,41
16017017019,360,136,217
16017017021,428,145,274
16017017022,854,280,556
16017017023,157,64,88
16017017024,238,108,116
16017017025,1094,402,661
16017017026,785,444,321
16017017027,389,167,212
16017017028,168,55,99
16017017029,674,186,471
16017017030,1092,565,502
16017017031,226,79,139
16017017032,844,303,507
16017017033,327,104,213
16017017034,262,93,157
16017017037,243,104,132
16019019001,630,187,427
16019019002,670,210,442
16019019003,681,208,453
16019019004,526,185,331
16019019005,770,268,479
16019019006,1358,342,977
16019019007,526,170,330
16019019008,567,277,276
16019019009,566,231,313
16019019010,622,243,362
16019019011,643,280,345
16019019012,744,327,383
16019019013,1128,316,799
16019019014,648,246,388
16019019015,1034,317,689
16019019016,952,311,625
16019019017,1013,361,625
16019019018,934,385,531
16019019019,826,297,517
16019019020,930,333,581
16019019021,478,182,285
16019019022,650,136,503
16019019023,689,198,478
16019019024,897,257,624
16019019025,550,197,342
16019019026,834,267,555
16019019027,1355,344,987
16019019028,1239,379,843
16019019036,524,88,430
16019019037,630,144,479
16019019038,356,70,281
16019019039,820,111,691
16019019040,1029,265,752
16019019041,899,231,652
16019019042,496,115,370
16019019043,819,121,678
16019019044,586,126,446
16019019045,1311,279,1003
16019019046,967,275,670
16019019047,874,206,640
16019019048,1189,262,890
16019019049,933,224,692
16019019050,1552,305,1220
16019019051,1099,253,824
16019019052,1124,217,890
16019019053,1128,198,899
16019019054,434,55,371
16019019055,408,120,276
16019019056,28,3,6
16019019057,14,0,3
16019019058,1461,228,1204
16019019059,562,67,477
16021021001,258,100,155
16021021002,450,132,302
16021021003,535,186,324
16021021004,1077,302,737
16021021005,898,293,571
16021021006,817,252,542
