GEOID10,Tot_2010_tot,Wh_2010_tot,Bl_2010_tot,Hisp_2010_tot,Nat_2010_tot,Oth_2010_tot,Asn_2010_tot,Pac_2010_tot,Bl+_2010_tot,Nat+_2010_tot,Asn+_2010_tot,Pac+_2010_tot,Tot_2010_vap,Wh_2010_vap,Bl_2010_vap,Hisp_2010_vap,Nat_2010_vap,Oth_2010_vap,Asn_2010_vap,Pac_2010_vap,Bl+_2010_vap,Nat+_2010_vap,Asn+_2010_vap,Pac+_2010_vap,Tot_2018_tot,Wh_2018_tot,Bl_2018_tot,Hisp_2018_tot,Nat_2018_tot,Oth_2018_tot,Asn_2018_tot,Pac_2018_tot,Bl+_2018_tot,Nat+_2018_tot,Asn+_2018_tot,Pac+_2018_tot
16003003003,936,887,1,22,13,11,0,2,2,21,1,3,771,730,1,18,12,8,0,2,1,19,0,3,1036.9,975.1,5.0,30.0,8.3,15.0,0.0,3.6,10.7,17.5,0.1,3.6
16003003004,59,59,0,0,0,0,0,0,0,0,0,0,52,52,0,0,0,0,0,0,0,0,0,0,64.9,60.9,0.5,2.1,0.6,0.6,0.0,0.3,0.5,1.1,0.0,0.3
16003003005,1568,1489,2,41,12,19,5,0,3,31,8,0,1237,1183,1,26,11,12,4,0,2,24,5,0,1335.5,1194.9,0.0,63.5,27.7,49.2,0.0,0.0,0.0,72.5,4.5,0.0
16003003006,163,148,1,6,4,4,0,0,2,7,0,0,129,119,1,4,4,1,0,0,2,4,0,0,139.3,124.6,0.0,6.6,2.9,5.1,0.0,0.0,0.0,7.6,0.5,0.0
16005005001,1061,979,4,29,13,10,23,3,5,15,29,4,851,801,3,21,6,4,13,3,4,7,13,3,1095.9,1041.4,0.0,44.7,0.0,0.0,9.8,0.0,0.0,0.0,9.8,0.0
16005005002,1176,1111,3,35,5,14,8,0,5,9,19,0,875,836,3,21,3,8,4,0,3,5,10,0,1273.1,1229.1,0.9,33.1,0.3,0.0,9.7,0.0,0.9,0.3,9.7,0.0
16005005003,1073,1015,3,16,2,30,7,0,9,19,17,3,773,736,1,12,1,16,7,0,4,5,14,0,995.5,945.9,0.0,40.6,0.0,0.0,8.9,0.0,0.0,0.0,8.9,0.0
16005005004,2298,2002,12,171,44,48,20,1,29,80,35,5,1812,1591,11,126,40,28,15,1,17,62,23,1,2574.1,2250.7,7.6,232.7,15.8,53.8,7.9,5.6,43.6,97.6,22.7,5.6
16005005005,1289,1121,4,93,27,19,19,6,8,44,26,7,935,832,2,54,20,8,16,3,3,31,18,3,1300.0,1110.5,1.5,95.1,28.6,39.0,25.3,0.0,18.9,41.1,28.0,0.0
16005005006,1756,1476,27,169,31,44,5,4,54,71,17,11,1433,1245,23,114,22,20,5,4,33,49,11,5,1679.8,1415.2,0.7,142.7,45.6,61.5,9.7,4.4,5.2,80.3,19.3,41.4
