GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_tot,Wh_2018_tot,His_2018_tot,BlC_2018_tot,NatC_2018_tot,AsnC_2018_tot,PacC_2018_tot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_tot,Wh_2019_tot,His_2019_tot,BlC_2019_tot,NatC_2019_tot,AsnC_2019_tot,PacC_2019_tot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap
49055FR0100,210,197,10,0,1,1,1,137,127,8,0,1,1,0,257,236,7,1,1,1,1,166,164,1,1,1,1,1,220,207,2,1,1,1,1,149,144,1,1,1,1,1
49055LY03US,5,4,0,0,0,0,0,3,3,0,0,0,0,0,6,6,0,0,0,0,0,4,4,0,0,0,0,0,5,4,0,0,0,0,0,3,3,0,0,0,0,0
49007CB0020,24,17,6,1,1,0,0,22,17,4,1,1,0,0,24,23,0,0,0,0,0,15,15,0,0,0,0,0,24,23,1,0,0,0,0,15,15,0,0,0,0,0
49007CB0400,418,364,46,1,7,1,0,299,260,33,1,5,1,0,429,361,71,0,0,0,0,325,288,35,0,0,0,0,458,365,93,0,0,0,0,325,277,46,0,0,0,1
49007CB0380,1590,1344,194,10,37,5,2,1191,1030,127,5,25,3,1,1306,1170,81,0,51,2,0,1056,950,60,0,51,0,0,1350,1221,92,0,29,0,0,1104,1001,73,0,28,0,0
49007CB037W,68,60,5,0,1,1,0,51,47,4,0,1,1,0,64,56,7,1,1,1,0,48,41,6,1,0,0,0,67,57,8,0,0,1,0,51,45,5,0,0,0,0
49007CB037E,1298,1145,118,8,16,17,3,980,873,83,3,12,10,2,1264,1224,34,2,6,3,0,998,965,26,2,5,0,0,1235,1190,39,1,3,3,0,943,906,35,1,3,0,0
49007CB0210,1132,953,134,4,37,8,2,834,717,94,1,21,5,1,1032,860,149,15,13,19,0,805,670,114,16,7,0,0,1097,923,166,10,11,19,0,871,733,128,11,3,0,0
49007CB0200,1678,1310,327,21,43,3,0,1270,1021,219,11,31,2,0,1317,1088,211,0,16,4,0,1012,851,143,0,14,4,0,1470,1184,273,0,12,3,0,1091,900,177,0,14,4,0
49049SA02UA,208,199,5,0,0,1,0,121,114,4,0,0,0,0,186,182,5,0,0,2,0,126,122,2,0,0,3,0,243,235,3,0,0,4,0,146,140,2,0,0,3,0
49049SA04IB,418,385,21,4,3,4,4,267,249,16,1,1,1,1,553,504,29,0,0,17,0,333,307,22,0,0,3,0,542,485,29,0,17,10,0,353,304,26,0,19,4,0
49039EPHU0W,54,44,6,0,1,0,5,36,32,2,0,1,0,1,83,65,16,3,1,0,3,51,44,4,0,1,0,0,76,57,14,0,2,0,3,51,44,4,0,1,0,0
49039EPHU0E,119,112,2,0,2,4,0,81,76,2,0,1,2,0,178,173,0,0,1,0,0,116,112,0,0,1,0,0,206,198,0,0,0,6,0,131,123,0,0,0,6,0
