GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_tot,Wh_2018_tot,His_2018_tot,BlC_2018_tot,NatC_2018_tot,AsnC_2018_tot,PacC_2018_tot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_tot,Wh_2019_tot,His_2019_tot,BlC_2019_tot,NatC_2019_tot,AsnC_2019_tot,PacC_2019_tot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap
150090314042,1096,513,173,19,36,288,209,861,456,103,12,24,203,127,1566,858,212,0,251,409,271,1035,680,45,0,35,185,25,1546,802,208,0,266,522,314,1000,625,65,0,0,220,10
150090314043,1234,577,195,21,40,321,235,968,515,112,14,25,229,142,1422,297,512,27,37,598,346,725,230,115,0,0,195,40,1343,327,467,31,65,535,396,710,265,105,0,10,125,20
150090314051,1223,276,141,14,20,693,231,927,244,84,10,14,512,140,1458,187,238,43,148,909,670,870,185,85,14,10,315,35,1193,250,165,41,84,664,261,855,250,40,14,0,435,50
150070401052,2813,1529,245,36,91,838,387,2198,1284,155,25,51,610,242,2465,1303,112,59,25,786,217,1656,1087,102,17,16,347,44,2349,1450,125,56,19,663,115,1842,1299,121,22,11,311,24
150070409002,1151,185,98,21,31,716,461,909,164,67,11,20,553,299,1366,207,59,0,15,699,504,1040,195,40,0,4,470,270,1220,260,44,0,23,613,396,925,225,35,0,4,385,210
150070402054,1237,360,143,17,25,621,329,965,315,89,13,16,463,215,1554,423,230,52,9,772,433,1160,330,130,10,4,480,130,1637,514,290,50,8,774,304,1205,420,150,4,10,515,50
150090302032,1707,881,198,19,60,453,450,1302,726,124,11,36,299,280,1188,774,36,0,0,396,220,1060,730,35,0,0,125,0,1490,760,82,0,0,665,337,1215,715,60,0,0,180,0
150090303054,1797,819,171,19,51,655,424,1403,712,109,12,29,463,255,2466,1427,146,59,105,723,321,1877,1145,135,0,65,379,56,2406,1154,197,61,136,723,516,1735,973,152,0,59,348,62
150090303051,809,367,77,9,23,296,193,631,319,49,5,12,211,114,1108,641,66,26,46,325,144,843,515,60,0,30,171,24,1081,518,89,27,60,324,231,780,437,68,0,26,157,28
150090304061,1825,651,204,23,52,811,533,1402,565,128,14,25,573,319,1726,562,186,0,0,894,414,1400,560,110,0,0,475,20,1699,545,149,0,103,760,347,1435,545,135,0,55,475,70
150090304042,1772,564,263,22,80,817,591,1336,494,157,12,36,550,349,1683,552,210,10,68,666,681,1255,430,145,0,20,230,175,1770,657,118,9,82,668,648,1325,500,95,0,25,310,175
150090304043,2418,772,360,30,107,1116,807,1827,674,213,16,49,750,478,2408,1065,209,73,63,1015,340,1745,915,120,0,10,495,70,2316,984,198,113,76,717,536,1765,860,125,30,14,370,235
150010201004,1341,294,143,15,32,809,374,1065,273,96,5,14,615,232,1052,252,283,41,58,623,246,640,200,135,0,4,225,10,971,201,277,44,98,596,238,590,165,125,0,4,230,10
150010201003,1028,256,104,10,35,606,259,822,234,67,4,15,465,150,930,187,63,6,6,560,334,720,181,41,3,0,308,55,963,229,66,2,12,558,298,729,215,44,1,0,295,58
150010208021,982,224,90,7,29,580,297,794,204,55,3,14,457,191,1096,312,0,19,70,634,377,930,260,0,0,0,390,80,1305,403,0,0,65,693,444,1105,330,0,0,0,415,95
150010208012,1888,324,233,18,78,1153,772,1420,293,126,7,27,823,466,2164,239,276,45,162,1369,1082,1671,226,159,5,12,601,132,2049,332,252,51,182,1222,974,1530,308,142,12,22,491,116
150010208023,2002,452,188,17,61,1189,616,1615,409,113,7,24,932,398,2294,594,398,34,71,1244,584,1690,535,245,0,35,685,20,2412,497,554,21,72,1330,875,1695,425,335,0,30,600,45
150010208022,576,132,53,6,17,341,174,466,121,32,1,7,268,113,429,151,0,0,0,278,0,375,140,0,0,0,240,0,455,180,0,0,0,275,0,390,165,0,0,0,225,0
150010215131,2072,870,228,29,74,668,699,1601,758,141,19,46,446,447,2407,1028,192,8,128,596,928,1854,923,88,8,26,156,330,2529,1018,228,10,121,646,1075,1937,904,80,10,16,141,349
150010215133,1699,709,189,22,61,552,574,1309,617,117,16,39,370,369,1975,844,157,8,107,489,760,1521,757,72,7,19,129,270,2075,835,187,10,100,529,884,1588,741,65,10,14,114,286
150010215132,1520,634,170,20,54,493,514,1171,551,104,14,35,331,329,1463,606,103,4,47,718,271,1100,465,55,4,4,390,75,1450,560,105,4,44,720,302,1150,470,55,4,0,405,90
