GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_tot,Wh_2018_tot,His_2018_tot,BlC_2018_tot,NatC_2018_tot,AsnC_2018_tot,PacC_2018_tot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_tot,Wh_2019_tot,His_2019_tot,BlC_2019_tot,NatC_2019_tot,AsnC_2019_tot,PacC_2019_tot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap
150030048021,1445,75,63,28,16,1145,373,1162,69,43,13,6,939,250,1452,123,34,45,55,1183,347,1133,115,19,11,0,725,87,1380,104,5,16,9,1176,239,1058,102,2,14,0,749,72,1551,95,57,24,33,1302,282,1315,92,45,17,29,1076,239
150030048022,1055,54,46,17,13,846,259,850,49,29,9,5,692,173,1060,89,25,30,40,865,254,827,85,11,8,0,530,63,1007,76,2,11,7,859,176,772,73,2,11,0,546,53,1119,82,55,21,30,898,194,924,70,46,17,23,747,135
150030047011,1180,115,37,14,13,953,229,977,107,22,8,9,785,156,1451,216,147,20,106,1050,236,1098,162,49,8,0,699,19,1526,170,150,20,102,1140,320,1173,119,63,8,0,749,6,1261,156,82,35,30,938,285,1032,135,59,26,21,765,210
150030048023,1179,61,51,22,15,935,304,946,55,35,10,5,766,204,1132,7,319,38,56,712,520,865,8,251,0,0,372,143,1109,9,237,45,63,881,350,856,8,184,0,0,497,55,1203,47,70,11,20,844,393,928,36,51,5,11,677,264
150030048011,1066,45,71,12,23,855,355,741,42,36,6,9,608,155,1200,107,68,19,8,508,639,775,65,45,0,0,290,305,1296,160,109,20,11,638,557,855,105,85,0,0,365,225,720,49,53,30,22,540,209,572,46,33,15,10,434,145
150030089402,878,89,119,32,34,607,314,645,80,72,18,14,430,188,879,72,103,12,32,629,405,681,64,67,3,3,296,86,876,54,104,4,21,651,365,683,45,70,0,0,342,91,863,82,86,24,23,667,253,685,70,60,11,16,529,174
150030089401,1943,198,266,74,74,1341,694,1427,173,158,39,31,951,415,1943,159,227,26,74,1391,896,1504,141,148,7,7,654,189,1934,118,233,10,47,1441,806,1512,100,155,0,0,758,199,2073,150,223,75,104,1489,811,1596,125,148,60,62,1133,539
150030089421,1510,154,205,57,59,1043,540,1110,137,123,32,25,741,323,1295,119,295,149,111,853,496,955,110,130,55,0,355,80,1323,235,248,157,28,905,349,985,160,125,50,0,425,45,1629,165,235,73,62,1127,616,1215,139,146,55,29,839,369
150030089422,826,85,113,30,33,572,295,609,75,68,18,14,405,177,774,71,203,59,0,514,377,525,55,140,10,0,119,35,958,63,277,80,9,704,326,605,55,165,35,0,170,30,741,84,102,23,21,462,358,541,78,59,8,18,307,225
150030089441,935,136,89,30,21,688,170,639,109,51,19,8,450,89,900,103,88,47,23,729,155,601,89,51,24,2,365,0,865,91,90,36,24,714,157,576,78,55,12,2,353,2,804,65,82,39,17,639,186,537,51,46,21,7,416,110
150030089061,1001,189,97,38,32,666,228,785,167,58,24,17,503,136,723,207,105,30,0,428,78,610,195,85,20,0,275,0,700,142,97,20,29,482,70,570,140,90,10,0,305,0,1040,215,102,47,36,676,213,842,190,58,36,22,523,147
