GEOID20,Tot_2010_tot,Wh_2010_tot,His_2010_tot,BlC_2010_tot,NatC_2010_tot,AsnC_2010_tot,PacC_2010_tot,Tot_2010_vap,Wh_2010_vap,His_2010_vap,BlC_2010_vap,NatC_2010_vap,AsnC_2010_vap,PacC_2010_vap,Tot_2018_acstot,Wh_2018_acstot,His_2018_acstot,BlC_2018_acstot,NatC_2018_acstot,AsnC_2018_acstot,PacC_2018_acstot,Tot_2018_cvap,Wh_2018_cvap,His_2018_cvap,BlC_2018_cvap,NatC_2018_cvap,AsnC_2018_cvap,PacC_2018_cvap,Tot_2019_acstot,Wh_2019_acstot,His_2019_acstot,BlC_2019_acstot,NatC_2019_acstot,AsnC_2019_acstot,PacC_2019_acstot,Tot_2019_cvap,Wh_2019_cvap,His_2019_cvap,BlC_2019_cvap,NatC_2019_cvap,AsnC_2019_cvap,PacC_2019_cvap,Tot_2020_acstot,Wh_2020_acstot,His_2020_acstot,BlC_2020_acstot,NatC_2020_acstot,AsnC_2020_acstot,PacC_2020_acstot,Tot_2020_cvap,Wh_2020_cvap,His_2020_cvap,BlC_2020_cvap,NatC_2020_cvap,AsnC_2020_cvap,PacC_2020_cvap,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap,Tot_2020_adjtot,Wh_2020_adjtot,His_2020_adjtot,BlC_2020_adjtot,NatC_2020_adjtot,AsnC_2020_adjtot,PacC_2020_adjtot,Tot_2020_nhvap,Wh_2020_nhvap,His_2020_nhvap,Bl_2020_nhvap,Asn_2020_nhvap,Nat_2020_nhvap,Pac_2020_nhvap,OthAl_2020_nhvap,Mix_2020_nhvap
42021001651,1299,1240,24,18,2,17,0,1003,973,12,5,2,13,0,1278,1190,6,33,3,49,0,959,937,8,12,4,2,0,1244,1168,16,10,0,44,2,941,920,15,8,0,2,0,1298,1206,20,11,1,58,3,1019,1002,10,5,4,3,0,1214,1095,36,42,10,20,1,956,876,14,32,5,17,0,1216,1096,36,43,10,20,1,956,876,14,25,12,0,0,3,26
42021001941,1796,1693,27,18,13,55,0,1428,1362,18,13,5,36,0,1893,1839,37,0,0,20,0,1423,1366,37,0,0,20,0,1690,1636,36,0,0,21,0,1266,1210,32,0,0,21,0,2044,1952,75,0,0,17,0,1554,1508,34,0,0,12,0,1696,1525,49,34,15,65,0,1427,1299,34,26,15,50,0,1696,1525,49,34,15,65,0,1427,1299,34,17,48,1,0,2,26
42021001255,1032,996,10,14,1,10,0,925,895,9,10,1,9,0,906,893,3,10,0,0,0,821,817,4,4,0,0,0,897,887,3,9,0,0,0,838,833,4,4,0,0,0,987,961,10,16,0,0,0,942,927,10,12,0,0,0,955,894,13,33,14,5,0,865,826,4,22,12,3,0,956,894,13,35,14,5,0,865,826,4,16,0,2,0,2,15
42021001241,1667,1608,13,37,10,2,0,1408,1366,8,29,7,1,0,1478,1452,0,22,1,1,0,1204,1194,0,7,1,1,0,1574,1551,0,17,2,1,0,1276,1267,0,7,1,1,0,1451,1412,0,37,0,0,0,1222,1182,0,28,2,0,0,1433,1301,27,65,19,7,1,1253,1167,16,42,14,5,0,1434,1302,27,65,19,7,1,1253,1167,16,24,3,2,0,0,41
42021001540,849,818,15,8,0,7,0,698,676,9,7,0,5,0,756,748,3,3,1,4,0,602,595,3,0,2,4,0,757,747,5,3,1,3,0,614,603,5,0,2,4,0,680,654,6,7,1,12,0,558,538,1,15,0,13,0,745,690,8,21,10,13,0,621,591,1,9,6,9,0,745,690,8,21,10,13,0,621,591,1,5,7,1,0,1,15
42021000786,837,513,43,274,16,2,0,652,412,27,205,12,2,0,562,339,3,187,3,33,0,505,320,4,173,4,12,0,593,429,2,153,18,9,0,535,375,4,150,20,8,0,681,450,1,204,15,12,0,589,356,0,209,17,6,0,604,336,26,219,30,8,0,493,294,22,157,25,7,0,611,337,27,224,30,12,0,493,294,22,134,4,2,0,2,35
42021000826,2009,1236,53,717,19,17,0,1468,993,33,434,10,4,0,1731,1188,26,532,40,12,0,1350,990,15,334,8,0,0,1625,1026,32,571,74,21,0,1225,860,10,329,14,0,0,1617,1077,50,515,122,68,0,1249,966,2,254,0,0,0,1554,909,68,541,31,2,2,1182,763,44,351,22,2,2,1576,914,69,552,31,2,2,1182,763,44,306,1,2,0,13,53
42049001090,412,401,0,2,2,6,0,302,297,0,0,1,3,0,369,356,3,6,0,8,0,294,284,3,1,0,3,0,386,375,3,6,1,4,0,303,297,3,1,1,1,0,365,351,7,5,2,5,0,284,275,15,0,0,15,0,388,373,5,5,1,1,0,295,285,5,0,1,1,0,388,373,5,5,1,1,0,295,285,5,0,0,0,0,0,5
42049000780,1472,1382,43,31,5,11,0,1193,1134,27,18,4,10,0,1688,1640,28,0,10,0,0,1370,1340,19,0,10,0,0,1472,1430,31,0,0,0,0,1180,1160,19,0,0,0,0,1326,1116,56,0,0,0,0,1055,1007,45,0,0,0,0,1488,1284,59,86,16,31,3,1231,1081,39,64,9,25,2,1489,1285,59,86,16,31,3,1231,1081,39,39,22,1,2,2,45
42125000520,854,780,10,61,1,5,0,646,610,6,27,1,3,0,916,775,28,111,0,1,0,667,593,7,64,0,0,0,873,702,26,137,0,1,0,596,519,10,71,0,0,0,783,669,22,94,0,0,0,530,469,10,48,0,0,0,802,639,23,102,9,9,0,637,529,14,60,9,9,0,805,640,23,104,9,9,0,637,529,14,49,4,3,0,5,33
42129001380,3239,3158,24,17,12,31,1,2427,2375,15,8,9,20,1,3490,3437,18,28,0,12,0,2477,2434,20,28,0,0,0,3440,3355,17,22,0,49,0,2395,2323,15,20,0,30,0,3381,3274,13,32,0,65,0,2483,2406,0,24,0,71,0,3585,3378,47,34,39,63,0,2704,2574,38,21,19,30,0,3586,3379,47,34,39,63,0,2704,2574,38,16,23,0,0,5,48
